Date,Group_Type,Group,Deaths_Monthly,Cases_Monthly,Deaths_PCT,Cases_PCT
2020-09-01,Race,Other,16,278,0.00750117205813408,0.00231645432502021
2020-09-01,Race,Unknown,1,61802,0.00046882325363338,0.51496946113273
2020-09-01,Race,White,744,18835,0.348804500703235,0.156943946804876
2020-09-01,Gender,Female,969,61121,0.454289732770745,0.509294981293381
2020-09-01,Gender,Male,1164,56198,0.545710267229255,0.468273741573689
2020-09-01,Gender,Unknown,0,2692,0,0.0224312771329295
2020-10-01,Age,<1 years,0,725,0,0.0054621753772668
2020-10-01,Age,1-9 years,1,5802,0.000390015600624025,0.0437124710881407
2020-10-01,Age,10-19 years,4,15981,0.0015600624024961,0.120401413384967
2020-10-01,Age,20-29 years,10,25064,0.00390015600624025,0.188833053318366
2020-10-01,Age,30-39 years,43,21765,0.0167706708268331,0.163978271843051
2020-10-01,Age,40-49 years,120,19988,0.046801872074883,0.150590291642495
2020-10-01,Age,50-59 years,258,18049,0.100624024960998,0.135981797771432
2020-10-01,Age,60-69 years,547,12797,0.213338533541342,0.0964130459350114
2020-10-01,Age,70-79 years,674,7328,0.262870514820593,0.0552094085029119
2020-10-01,Age,80+ years,907,4612,0.353744149765991,0.03474696943442
2020-10-01,Age,Unknown,,620,,0.00467110170193851
2020-10-01,Race,Asian,47,2050,0.0183307332293292,0.0154447717564096
2020-10-01,Race,Black,235,8209,0.0916536661466459,0.0618468933406665
2020-10-01,Race,Hispanic,1185,37911,0.46216848673947,0.285622801003534
2020-10-01,Race,Other,9,437,0.00351014040561623,0.00329237329636634
2020-10-01,Race,Unknown,1,57775,0.000390015600624025,0.435278872305641
2020-10-01,Race,White,1087,26349,0.423946957878315,0.198514288297383
2020-10-01,Gender,Female,1112,69098,0.433697347893916,0.520586750646044
2020-10-01,Gender,Male,1451,59563,0.56591263650546,0.448749726891231
2020-10-01,Gender,Unknown,1,4070,0.000390015600624025,0.0306635224627254
2020-11-01,Age,<1 years,0,1288,0,0.00507554203478795
2020-11-01,Age,1-9 years,1,11182,0.000208376745155241,0.0440642166405271
2020-11-01,Age,10-19 years,0,31333,0,0.123472017527959
2020-11-01,Age,20-29 years,20,47689,0.00416753490310481,0.187925096348605
2020-11-01,Age,30-39 years,64,42155,0.0133361116899354,0.16611760440721
2020-11-01,Age,40-49 years,202,38191,0.0420921025213586,0.150496914480269
2020-11-01,Age,50-59 years,463,34734,0.0964784330068764,0.136874128133793
2020-11-01,Age,60-69 years,986,24666,0.205459470723067,0.0971997824767699
2020-11-01,Age,70-79 years,1307,13019,0.2723484059179,0.0513031690612612
2020-11-01,Age,80+ years,1756,7063,0.365909564492603,0.0278327277885926
2020-11-01,Age,Unknown,,2446,,0.00963880110022619
2020-11-01,Race,Asian,69,4651,0.0143779954157116,0.0183279083880425
2020-11-01,Race,Black,384,15423,0.0800166701396124,0.0607764633560051
2020-11-01,Race,Hispanic,2170,68380,0.452177536986872,0.269460841877951
2020-11-01,Race,Other,19,847,0.00395915815794957,0.00333772057722469
2020-11-01,Race,Unknown,3,108830,0.000625130235465722,0.428859658110228
2020-11-01,Race,White,2154,55635,0.448843509064388,0.21923740769055
2020-11-01,Gender,Female,1977,129028,0.411960825171911,0.50845266899427
2020-11-01,Gender,Male,2822,114094,0.588039174828089,0.449603177730665
2020-11-01,Gender,Unknown,0,10644,0,0.0419441532750644
2020-12-01,Age,<1 years,0,2403,0,0.00555684025529553
2020-12-01,Age,1-9 years,0,20747,0,0.0479765979095366
2020-12-01,Age,10-19 years,4,53682,0.000568504832291074,0.12413745259458
2020-12-01,Age,20-29 years,23,79527,0.00326890278567368,0.183902969198039
2020-12-01,Age,30-39 years,91,72902,0.0129334849346219,0.168582924798816
2020-12-01,Age,40-49 years,293,67348,0.0416429789653212,0.15573952455832
2020-12-01,Age,50-59 years,694,59048,0.0986355884025014,0.136546110443067
2020-12-01,Age,60-69 years,1431,41091,0.203382603752132,0.095021274627694
2020-12-01,Age,70-79 years,1899,21680,0.269897669130188,0.0501341226528536
2020-12-01,Age,80+ years,2601,12122,0.369670267197271,0.0280316344463972
2020-12-01,Age,Unknown,,1890,,0.00437054851540098
2020-12-01,Race,Asian,151,8877,0.0214610574189881,0.0205277032651929
2020-12-01,Race,Black,663,27129,0.0942296759522456,0.0627347146424938
2020-12-01,Race,Hispanic,2582,113686,0.366969869243889,0.262894274350199
2020-12-01,Race,Other,47,1235,0.00667993177942013,0.00285588752196837
2020-12-01,Race,Unknown,3,186617,0.000426378624218306,0.431544260475442
2020-12-01,Race,White,3590,94896,0.510233086981239,0.219443159744704
2020-12-01,Gender,Female,3011,225857,0.427942012507106,0.522285172509481
2020-12-01,Gender,Male,4025,198848,0.572057987492894,0.459827953010822
2020-12-01,Gender,Unknown,0,7735,0,0.0178868744796966
2021-01-01,Age,<1 years,2,1194,0.000201085863663784,0.00264040707381419
2021-01-01,Age,1-9 years,2,24897,0.000201085863663784,0.0550571314210653
