"FIPS","City","Population"
62504,"Roanoke",9388
65408,"Sanger",8731
67100,"Shady Shores",2865
69032,"Southlake",956
72530,"The Colony",44438
73710,"Trophy Club",11955
77620,"Westlake",24
18092,"Cuero",8236
51792,"Nordheim",303
80560,"Yoakum",2118
80584,"Yorktown",2050
20332,"Dickens",259
69848,"Spur",1199
4300,"Asherton",1039
8260,"Big Wells",702
12988,"Carrizo Springs",5362
15112,"Clarendon",1781
33044,"Hedley",289
35072,"Howardwick",393
7528,"Benavides",1406
27432,"Freer",2666
65180,"San Diego",3342
12736,"Carbon",272
15004,"Cisco",3784
22132,"Eastland",3850
30308,"Gorman",1035
60632,"Ranger",2469
62252,"Rising Star",821
30044,"Goldsmith",294
53388,"Odessa",121168
62816,"Rocksprings",1135
2044,"Alma",385
5612,"Bardwell",689
13492,"Cedar Hill",560
24348,"Ennis",20357
25752,"Ferris",2972
29036,"Garrett",892
29840,"Glenn Heights",3125
30464,"Grand Prairie",28
37072,"Italy",1923
46452,"Mansfield",131
47268,"Maypearl",1032
48096,"Midlothian",33532
48408,"Milford",747
53115,"Oak Leaf",1484
54444,"Ovilla",3794
54744,"Palmer",2123
56485,"Pecan Hill",694
61196,"Red Oak",13464
75236,"Venus",100
76816,"Waxahachie",37988
3432,"Anthony",5352
15544,"Clint",1112
24000,"El Paso",681728
34832,"Horizon City",19642
65360,"San Elizario",9089
68636,"Socorro",34370
75668,"Vinton",2022
21484,"Dublin",3553
33548,"Hico",0
70208,"Stephenville",21247
10828,"Bruceville-Eddy",4
30092,"Golinda",427
44176,"Lott",742
46740,"Marlin",5581
63188,"Rosebud",1349
5264,"Bailey",305
9328,"Bonham",10386
20680,"Dodd City",389
22516,"Ector",736
34700,"Honey Grove",1737
40180,"Ladonia",627
42352,"Leonard",2054
56468,"Pecan Gap",12
60752,"Ravenna",225
66008,"Savoy",872
73592,"Trenton",683
78628,"Whitewright",8
79684,"Windom",205
12916,"Carmine",252
25644,"Fayetteville",257
26028,"Flatonia",1431
40276,"La Grange",4677
63524,"Round Top",90
66188,"Schulenburg",2913
31964,"Hamlin",0
62612,"Roby",619
63464,"Rotan",1438
26268,"Floydada",2676
43252,"Lockney",1631
17948,"Crowell",817
3708,"Arcola",2663
6272,"Beasley",677
25068,"Fairchilds",1297
27876,"Fulshear",13914
35000,"Houston",42242
38476,"Katy",2403
38848,"Kendleton",454
47337,"Meadows Place",4591
48804,"Missouri City",69181
50628,"Needville",3103
54192,"Orchard",407
56348,"Pearland",1045
58088,"Pleak",1675
61892,"Richmond",12578
63284,"Rosenberg",38307
67964,"Simonton",884
69908,"Stafford",17062
70808,"Sugar Land",118488
72740,"Thompsons",350
77746,"Weston Lakes",4003
49860,"Mount Vernon",2738
79816,"Winnsboro",696
25104,"Fairfield",2892
39520,"Kirvin",131
53232,"Oakwood",37
70604,"Streetman",246
72020,"Teague",3515
80296,"Wortham",996
20428,"Dilley",4489
56384,"Pearsall",10609
19984,"Denver City",0
66440,"Seagraves",2936
66764,"Seminole",7815
6060,"Bayou Vista",1633
15328,"Clear Lake Shores",1215
20344,"Dickinson",21129
27648,"Friendswood",28791
28068,"Galveston",50446
34220,"Hitchcock",7914
37252,"Jamaica Beach",1079
38776,"Kemah",2019
41116,"La Marque",17319
41980,"League City",105549
65726,"Santa Fe",13449
66392,"Seabrook",0
72392,"Texas City",50094
72989,"Tiki Island",1065
59012,"Post",5115
27348,"Fredericksburg",11496
30080,"Goliad",2004
30116,"Gonzales",7533
51588,"Nixon",2534
68300,"Smiley",570
76024,"Waelder",1133
42148,"Lefors",480
45780,"McLean",744
54912,"Pampa",17068
7420,"Bells",1515
16036,"Collinsville",1959
19900,"Denison",25529
20932,"Dorchester",94
31616,"Gunter",1675
35084,"Howe",3346
39680,"Knollwood",489
57476,"Pilot Point",3
59132,"Pottsboro",2489
64088,"Sadler",383
67496,"Sherman",44002
69104,"Southmayd",1137
73112,"Tioga",1051
73328,"Tom Bean",1081
73592,"Trenton",0
74924,"Van Alstyne",4378
78532,"Whitesboro",4120
78628,"Whitewright",1713
15172,"Clarksville City",934
22168,"East Mountain",0
22192,"Easton",463
29660,"Gladewater",3845
39124,"Kilgore",11337
40696,"Lakeport",996
43888,"Longview",79673
76576,"Warren City",297
78436,"White Oak",6322
3192,"Anderson",242
7144,"Bedias",470
36068,"Iola",424
50472,"Navasota",7998
58040,"Plantersville",594
73224,"Todd Mission",114
14920,"Cibolo",31281
39292,"Kingsbury",133
45096,"Luling",22
46692,"Marion",1241
50796,"New Berlin",624
50820,"New Braunfels",15408
65600,"San Marcos",0
65690,"Santa Clara",751
66128,"Schertz",38784
66644,"Seguin",29992
66704,"Selma",2612
70052,"Staples",277
160,"Abernathy",1954
22708,"Edmonson",103
31820,"Hale Center",2054
56996,"Petersburg",1132
57980,"Plainview",20143
24636,"Estelline",129
40888,"Lakeview",95
47616,"Memphis",2012
73964,"Turkey",378
24864,"Evant",134
31952,"Hamilton",3012
33548,"Hico",1413
31412,"Gruver",1135
69476,"Spearman",3256
14680,"Chillicothe",673
60044,"Quanah",2487
39868,"Kountze",2108
45120,"Lumberton",13073
63272,"Rose Hill Acres",436
67832,"Silsbee",6617
68828,"Sour Lake",1924
6128,"Baytown",73012
7300,"Bellaire",18971
11300,"Bunker Hill Village",3935
19624,"Deer Park",33474
23164,"El Lago",2663
27648,"Friendswood",11499
27996,"Galena Park",10757
33068,"Hedwig Village",2634
34148,"Hilshire Village",808
35000,"Houston",2272285
35348,"Humble",15824
35480,"Hunters Creek Village",4869
37156,"Jacinto City",10466
37612,"Jersey Village",7890
38476,"Katy",17245
41440,"La Porte",34976
41980,"League City",1987
48804,"Missouri City",6276
49380,"Morgan's Point",342
50376,"Nassau Bay",3972
56000,"Pasadena",151227
56348,"Pearland",5239
57800,"Piney Point Village",3444
66392,"Seabrook",14149
67688,"Shoreacres",1593
69020,"South Houston",17438
69272,"Southside Place",1883
69830,"Spring Valley Village",4319
69908,"Stafford",300
71960,"Taylor Lake Village",3571
73316,"Tomball",11778
76228,"Waller",594
76948,"Webster",11451
77956,"West University Place",15585
31904,"Hallsville",4296
43888,"Longview",1958
46776,"Marshall",22831
66332,"Scottsville",354
74240,"Uncertain",92
76636,"Waskom",2190
14260,"Channing",344
18524,"Dalhart",2615
32696,"Haskell",3153
53304,"O'Brien",102
62636,"Rochester",307
63752,"Rule",599
69980,"Stamford",34
77044,"Weinert",162
5000,"Austin",0
6242,"Bear Creek",480
11080,"Buda",16906
21424,"Dripping Springs",5708
32906,"Hays",269
39952,"Kyle",48393
49600,"Mountain City",810
51492,"Niederwald",482
65600,"San Marcos",64773
74216,"Uhland",675
79624,"Wimberley",3232
80058,"Woodcreek",1716
12412,"Canadian",2699
4504,"Athens",12753
7852,"Berryville",1064
10756,"Brownsboro",1279
12472,"Caney City",220
14224,"Chandler",3180
15820,"Coffee City",293
24228,"Enchanted Oaks",341
24828,"Eustace",1006
27300,"Frankston",19
31592,"Gun Barrel City",6208
43354,"Log Cabin",772
45324,"Mabank",920
46224,"Malakoff",2301
49272,"Moore Station",220
50076,"Murchison",599
56276,"Payne Springs",769
59192,"Poynor",306
66908,"Seven Points",1469
70076,"Star Harbor",477
73352,"Tool",2302
73652,"Trinidad",870
1576,"Alamo",19910
2212,"Alton",18105
20884,"Donna",16338
22528,"Edcouch",3313
22660,"Edinburg",101170
24036,"Elsa",7174
30608,"Granjeno",315
33560,"Hidalgo",14183
40384,"La Joya",4293
41788,"La Villa",2870
45384,"McAllen",143268
47700,"Mercedes",16604
48768,"Mission",84331
54780,"Palmhurst",2732
54804,"Palmview",5774
56696,"Penitas",4716
57200,"Pharr",79112
59636,"Progreso",5944
59642,"Progreso Lakes",291
65516,"San Juan",37008
70868,"Sullivan City",4170
77272,"Weslaco",41629
100,"Abbott",369
3588,"Aquilla",113
9004,"Blum",467
11656,"Bynum",207
12895,"Carl's Corner",190
17372,"Covington",279
34088,"Hillsboro",8476
35180,"Hubbard",1406
37084,"Itasca",1733
46260,"Malone",283
47820,"Mertens",128
49692,"Mount Calm",339
56672,"Penelope",207
78664,"Whitney",2162
3540,"Anton",1095
42448,"Levelland",13502
54075,"Opdyke West",194
63140,"Ropesville",427
68504,"Smyer",478
71060,"Sundown",1425
10087,"Brazos Bend",356
17648,"Cresson",426
19570,"DeCordova",3040
30416,"Granbury",10730
42940,"Lipan",488
73268,"Tolar",1004
16252,"Como",727
18128,"Cumby",798
70904,"Sulphur Springs",16234
73124,"Tira",313
17744,"Crockett",6385
30632,"Grapeland",1443
38884,"Kennard",325
41644,"Latexo",314
44260,"Lovelady",627
8236,"Big Spring",28187
15700,"Coahoma",963
26640,"Forsan",229
19708,"Dell City",526
11716,"Caddo Mills",1698
12112,"Campbell",632
13672,"Celeste",907
16240,"Commerce",9680
30920,"Greenville",28827
32810,"Hawk Cove",557
38068,"Josephine",137
43636,"Lone Oak",692
51444,"Neylandville",97
60140,"Quinlan",1524
63668,"Royse City",909
74372,"Union Valley",398
77896,"West Tawakoni",2006
79948,"Wolfe City",1480
9556,"Borger",12415
27696,"Fritch",1944
65384,"Sanford",156
70340,"Stinnett",1770
47832,"Mertzon",743
10960,"Bryson",536
37168,"Jacksboro",4384
22720,"Edna",5780
28080,"Ganado",2055
41848,"La Ward",224
10708,"Browndell",206
37420,"Jasper",7551
39460,"Kirbyville",2069
74648,"Valentine",133
7000,"Beaumont",116825
8128,"Bevil Oaks",1225
14704,"China",1206
31328,"Groves",15480
50580,"Nederland",17371
51720,"Nome",595
58820,"Port Arthur",54272
58940,"Port Neches",12655
71966,"Taylor Landing",240
1852,"Alice",18682
54168,"Orange Grove",1302
59384,"Premont",2543
65180,"San Diego",879
2260,"Alvarado",4530
10216,"Briaroaks",507
11428,"Burleson",38242
15364,"Cleburne",31295
17429,"Coyote Flats",363
17648,"Cresson",177
17917,"Cross Timber",312
17960,"Crowley",39
27000,"Fort Worth",0
29972,"Godley",1373
30512,"Grandview",1798
38080,"Joshua",8101
38548,"Keene",6568
46452,"Mansfield",2153
62240,"Rio Vista",1075
75236,"Venus",4268
1000,"Abilene",5710
3372,"Anson",2297
31964,"Hamlin",2021
32840,"Hawley",623
45048,"Lueders",333
69980,"Stamford",2907
25392,"Falls City",689
38452,"Karnes City",3383
38860,"Kenedy",3353
63788,"Runge",1138
16216,"Combine",1557
17200,"Cottonwood",202
17504,"Crandall",4017
19000,"Dallas",0
26604,"Forney",27236
30752,"Grays Prairie",372
32984,"Heath",0
38488,"Kaufman",7788
38788,"Kemp",1236
45324,"Mabank",3075
47892,"Mesquite",136
52902,"Oak Grove",669
53160,"Oak Ridge",742
59066,"Post Oak Bend City",587
63404,"Rosser",400
66368,"Scurry",781
66428,"Seagoville",26
66908,"Seven Points",52
71756,"Talty",2760
72284,"Terrell",18869
9160,"Boerne",18232
25168,"Fair Oaks Ranch",2388
37468,"Jayton",502
36032,"Ingram",1850
39040,"Kerrville",23754
38248,"Junction",2404
9868,"Brackettville",1686
69560,"Spofford",97
17000,"Corpus Christi",0
39352,"Kingsville",25315
7636,"Benjamin",254
30296,"Goree",203
39700,"Knox City",1119
50040,"Munday",1275
8812,"Blossom",1569
20020,"Deport",510
55080,"Paris",24847
61592,"Reno",3346
63584,"Roxton",639
71356,"Sun Valley",83
73196,"Toco",76
3084,"Amherst",660
21928,"Earth",971
43024,"Littlefield",5843
54012,"Olton",2060
69764,"Springlake",102
70772,"Sudan",895
16624,"Copperas Cove",672
38800,"Kempner",1140
41188,"Lampasas",7982
43516,"Lometa",861
17216,"Cotulla",4137
24240,"Encinal",591
31868,"Hallettsville",2637
49560,"Moulton",899
67640,"Shiner",2162
80560,"Yoakum",3822
29432,"Giddings",5099
42532,"Lexington",1222
11116,"Buffalo",1902
13900,"Centerville",907
37648,"Jewett",1220
42340,"Leona",180
46752,"Marquez",274
51840,"Normangee",624
53232,"Oakwood",478
3072,"Ames",1201
15436,"Cleveland",8197
18476,"Daisetta",1124
19432,"Dayton",8389
19435,"Dayton Lakes",103
20140,"Devers",522
32240,"Hardin",935
38872,"Kenefick",693
42568,"Liberty",9314
49068,"Mont Belvieu",0
51984,"North Cleveland",298
53824,"Old River-Winfree",140
58448,"Plum Grove",726
16552,"Coolidge",953
31280,"Groesbeck",4253
39844,"Kosse",466
46824,"Mart",2
47916,"Mexia",7344
72080,"Tehuacana",279
72788,"Thornton",524
9448,"Booker",1481
19288,"Darrouzett",342
26328,"Follett",441
33608,"Higgins",391
29348,"George West",2562
72872,"Three Rivers",1949
34862,"Horseshoe Bay",3192
43144,"Llano",3497
71228,"Sunrise Beach Village",796
160,"Abernathy",752
11155,"Buffalo Springs",442
35732,"Idalou",2308
45000,"Lubbock",258862
50916,"New Deal",827
60672,"Ransom Canyon",1124
67136,"Shallowater",2574
68180,"Slaton",5890
79972,"Wolfforth",5486
51012,"New Home",363
53436,"O'Donnell",718
71708,"Tahoka",2649
79612,"Wilson",490
9916,"Brady",5302
47568,"Melvin",168
7408,"Bellmead",10744
8104,"Beverly Hills",1987
10828,"Bruceville-Eddy",1693
17564,"Crawford",827
29408,"Gholson",1118
30092,"Golinda",162
31880,"Hallsburg",468
33428,"Hewitt",14937
40168,"Lacy-Lakeview",6721
42400,"Leroy",346
44020,"Lorena",1755
45672,"McGregor",5331
46824,"Mart",1961
49200,"Moody",1420
62108,"Riesel",1037
62588,"Robinson",11926
63380,"Ross",284
74732,"Valley Mills",13
76000,"Waco",139236
77332,"West",2986
80224,"Woodway",9024
45996,"Madisonville",4685
48180,"Midway",236
51840,"Normangee",82
37528,"Jefferson",1915
1108,"Ackerly",76
48072,"Midland",0
70040,"Stanton",3000
46968,"Mason",2305
5984,"Bay City",17535
54684,"Palacios",4535
21892,"Eagle Pass",29684
13312,"Castroville",3119
20152,"Devine",4829
34676,"Hondo",9436
40108,"LaCoste",1247
45288,"Lytle",567
50400,"Natalia",1590
65000,"San Antonio",31
47628,"Menard",1404
48072,"Midland",146038
53388,"Odessa",2166
11020,"Buckholts",522
12040,"Cameron",5464
48336,"Milano",421
62672,"Rockdale",5503
72776,"Thorndale",1300
30056,"Goldthwaite",1833
49992,"Mullin",176
16120,"Colorado City",3857
43996,"Loraine",564
77380,"Westbrook",244
9640,"Bowie",5114
51648,"Nocona",3002
64184,"St. Jo",1030
15436,"Cleveland",41
16432,"Conroe",91079
18260,"Cut and Shoot",1438
35000,"Houston",5741
46056,"Magnolia",2093
49128,"Montgomery",1360
53190,"Oak Ridge North",3161
55008,"Panorama Village",2424
56156,"Patton Village",2157
63044,"Roman Forest",2006
67400,"Shenandoah",2987
69548,"Splendora",2255
69932,"Stagecoach",592
73316,"Tomball",0
79408,"Willis",7028
80044,"Woodbranch",1441
80144,"Woodloch",208
11692,"Cactus",3245
21556,"Dumas",13827
27696,"Fritch",8
71180,"Sunray",1812
18464,"Daingerfield",2380
35300,"Hughes Springs",6
43684,"Lone Star",1482
50316,"Naples",1313
54024,"Omaha",980
47004,"Matador",611
62528,"Roaring Springs",231
3564,"Appleby",446
14776,"Chireno",384
18224,"Cushing",620
29060,"Garrison",873
50256,"Nacogdoches",32877
3288,"Angus",429
5708,"Barry",264
8788,"Blooming Grove",835
17060,"Corsicana",23906
19420,"Dawson",801
24168,"Emhouse",145
24816,"Eureka",307
27768,"Frost",641
30188,"Goodlow",198
38992,"Kerens",1523
48372,"Mildred",392
50184,"Mustang",21
50448,"Navarro",220
53217,"Oak Valley",421
59168,"Powell",146
61616,"Retreat",384
61736,"Rice",974
61820,"Richland",273
70604,"Streetman",0
51372,"Newton",2370
8488,"Blackwell",295
63176,"Roscoe",1285
71540,"Sweetwater",10469
1396,"Agua Dulce",801
3600,"Aransas Pass",15
8392,"Bishop",3056
17000,"Corpus Christi",326586
21436,"Driscoll",746
36008,"Ingleside",0
57056,"Petronila",120
58808,"Port Aransas",4266
58904,"Portland",0
62600,"Robstown",11261
