"Date","County","Doses_Allocated_1","Doses_Allocated_2","Doses_Administered","At_Least_One_Vaccinated","Fully_Vaccinated","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
2020-12-20,"Navarro",900,NA,29,NA,NA,"38360","8651","1720","869","15775"
2020-12-20,"Newton",100,NA,1,NA,NA,"11298","2878","55","113","4648"
2020-12-20,"Nolan",100,NA,10,NA,NA,"11321","2737","519","251","4249"
2020-12-20,"Nueces",6400,NA,1729,NA,NA,"284366","54069","25582","4100","113767"
2020-12-20,"Ochiltree",200,NA,2,NA,NA,"7106","1148","200","114","2812"
2020-12-20,"Orange",200,NA,36,NA,NA,"65087","13729","1456","548","26244"
2020-12-20,"Panola",500,NA,15,NA,NA,"18462","4589","473","377","7117"
2020-12-20,"Parker",2100,NA,509,NA,NA,"111686","22331","2890","1301","40567"
2020-12-20,"Parmer",100,NA,6,NA,NA,"7222","1366","161","174","2910"
2020-12-20,"Pecos",500,NA,2,NA,NA,"12317","2141","400","120","5047"
2020-12-20,"Polk",1100,NA,14,NA,NA,"42276","9733","1184","574","17118"
2020-12-20,"Potter",10575,NA,506,NA,NA,"88673","15203","10224","1770","35559"
2020-12-20,"Rains",100,NA,11,NA,NA,"10277","3123","163","68","3649"
2020-12-20,"Randall",1800,NA,874,NA,NA,"108431","21424","2812","869","34803"
2020-12-20,"Refugio",300,NA,4,NA,NA,"5583","1617","228","154","2031"
2020-12-20,"Robertson",200,NA,7,NA,NA,"13474","3412","252","252","4991"
2020-12-20,"Rockwall",1800,NA,334,NA,NA,"80325","13395","3750","1347","27575"
2020-12-20,"Runnels",200,NA,38,NA,NA,"8184","2153","405","312","2979"
2020-12-20,"Rusk",200,NA,84,NA,NA,"43777","9197","1501","759","17428"
2020-12-20,"Sabine",500,NA,1,NA,NA,"8871","3267","572","186","3077"
2020-12-20,"San Augustine",300,NA,NA,NA,NA,"6811","2227","415","337","2590"
2020-12-20,"San Jacinto",200,NA,7,NA,NA,"23444","6488","132","190","9275"
2020-12-20,"San Patricio",200,NA,111,NA,NA,"51116","10209","975","347","19063"
2020-12-20,"San Saba",100,NA,1,NA,NA,"5000","1465","33","72","1828"
2020-12-20,"Schleicher",100,NA,27,NA,NA,"2218","559","65","34","793"
2020-12-20,"Shelby",500,NA,4,NA,NA,"19449","4532","540","369","7876"
2020-12-20,"Smith",6175,NA,1396,NA,NA,"182283","39337","19690","3030","62467"
2020-12-20,"Starr",700,NA,124,NA,NA,"45765","7370","4479","1999","21117"
2020-12-20,"Stonewall",100,NA,2,NA,NA,"1095","361","63","53","369"
2020-12-20,"Tarrant",28725,NA,7520,NA,NA,"1617160","244511","86106","18386","590239"
2020-12-20,"Taylor",1400,NA,1038,NA,NA,"107257","20131","11065","2465","36680"
2020-12-20,"Terry",600,NA,8,NA,NA,"9307","1858","345","178","3985"
2020-12-20,"Titus",800,NA,8,NA,NA,"24323","4845","1811","633","9797"
2020-12-20,"Tom Green",1175,NA,1806,NA,NA,"93752","18625","6702","1601","33131"
2020-12-20,"Travis",24125,NA,6633,NA,NA,"1032386","129553","51820","8264","311477"
2020-12-20,"Trinity",400,NA,NA,NA,NA,"12104","3956","347","241","4400"
2020-12-20,"Tyler",400,NA,2,NA,NA,"17963","4895","476","238","6926"
2020-12-20,"Upton",100,NA,NA,NA,NA,"2730","537","170","30","1105"
