"County","Date","Cases_Cumulative","Cases_Daily","Deaths_Cumulative","Deaths_Daily","Tests_Cumulative","Tests_Daily","Active_Cases_Cumulative","Active_Cases_Daily","Retail_Recreation","Grocery_Pharmacy","Parks","Transit","Workplaces","Residential","Metro_Area","TSA","TSA_Name","Population_DSHS","TSA_Combined"
"La Salle",2020-04-28,1,0,0,0,21,0,1,0,NA,NA,NA,-36,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-04-29,1,0,0,0,21,0,1,0,NA,NA,NA,-39,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-04-30,1,0,0,0,21,0,0,-1,NA,NA,NA,-40,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-01,1,0,0,0,21,0,0,0,NA,NA,NA,-44,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-02,1,0,0,0,21,0,0,0,NA,NA,NA,-52,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-03,1,0,0,0,21,0,0,0,NA,NA,NA,-49,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-04,1,0,0,0,21,0,0,0,NA,NA,NA,-45,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-05,1,0,0,0,NA,NA,0,0,NA,NA,NA,-47,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-06,1,0,0,0,24,NA,0,0,NA,NA,NA,-35,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-07,1,0,0,0,27,3,0,0,NA,NA,NA,-34,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-08,1,0,0,0,32,5,0,0,NA,NA,NA,-41,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-09,2,1,0,0,33,1,0,0,NA,NA,NA,-47,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-10,2,0,0,0,50,17,1,1,NA,NA,NA,-45,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-11,2,0,0,0,54,4,1,0,NA,NA,NA,-43,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-12,2,0,0,0,60,6,1,0,NA,NA,NA,-32,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-13,3,1,0,0,66,6,2,1,NA,NA,NA,-35,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-14,4,1,0,0,72,6,3,1,NA,NA,NA,-38,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-15,4,0,0,0,74,2,3,0,NA,NA,NA,-37,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-16,4,0,0,0,81,7,3,0,NA,NA,NA,-43,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-17,4,0,0,0,84,3,3,0,NA,NA,NA,-38,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
