"District","Date","County","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Terlingua Csd (22004)","2020-09-27","Brewster,Presidio",100,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alpine ISD (22901)","2020-09-27","Brewster,Jeff Davis,Pecos,Presidio",906,798,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Marathon ISD (22902)","2020-09-27","Brewster,Pecos,Terrell",59,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Vicente ISD (22903)","2020-09-27","Brewster",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silverton ISD (23902)","2020-09-27","Armstrong,Briscoe,Floyd,Swisher",181,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brooks County ISD (24901)","2020-09-27","Brooks,Duval,Hidalgo,Jim Hogg,Jim Wells,Kenedy,Kleberg,Starr",1438,628,NA,NA,NA,NA,NA,NA,NA,6,1,9,2,0,18,0
"Bangs ISD (25901)","2020-09-27","Brown,Coleman",840,799,NA,NA,NA,NA,NA,NA,NA,0,2,10,5,0,0,17
"Brownwood ISD (25902)","2020-09-27","Brown,Mills",3437,2951,0,0,5,0,0,2,3,7,1,24,11,0,30,13
"Blanket ISD (25904)","2020-09-27","Brown,Comanche",173,146,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"May ISD (25905)","2020-09-27","Brown,Comanche,Eastland",252,242,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,3,0
"Zephyr ISD (25906)","2020-09-27","Brown,Comanche,Mills",206,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brookesmith ISD (25908)","2020-09-27","Brown,Coleman,McCulloch,Mills,San Saba",168,131,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"Early ISD (25909)","2020-09-27","Brown",1158,1064,NA,NA,NA,NA,NA,NA,NA,1,0,4,1,0,2,4
"Caldwell ISD (26901)","2020-09-27","Brazos,Burleson,Lee,Milam,Robertson",1720,1384,NA,NA,NA,NA,NA,NA,NA,0,1,17,6,0,1,23
"Somerville ISD (26902)","2020-09-27","Burleson,Lee,Washington",538,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snook ISD (26903)","2020-09-27","Brazos,Burleson,Washington",500,438,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,1,0,2
"Burnet Cisd (27903)","2020-09-27","Bell,Burnet,Lampasas,Llano,San Saba,Travis,Williamson",3081,2475,0,0,0,1,0,1,0,1,2,2,3,0,8,0
"Marble Falls ISD (27904)","2020-09-27","Blanco,Burnet,Llano,Travis",4094,3373,0,1,1,2,0,4,0,4,3,6,8,0,15,6
"Lockhart ISD (28902)","2020-09-27","Bastrop,Caldwell,Hays,Travis",5998,1857,NA,NA,NA,NA,NA,NA,NA,2,0,3,3,0,5,3
"Luling ISD (28903)","2020-09-27","Caldwell,Gonzales,Guadalupe",1353,968,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,0,7,1
"Prairie Lea ISD (28906)","2020-09-27","Caldwell,Guadalupe",179,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calhoun County ISD (29901)","2020-09-27","Aransas,Calhoun,Jackson,Matagorda,Refugio,Victoria",3563,2869,0,1,0,0,0,1,0,2,2,16,19,2,37,0
"Cross Plains ISD (30901)","2020-09-27","Brown,Callahan,Coleman,Eastland",363,355,0,1,0,0,0,1,0,1,1,1,0,0,3,0
"Clyde Cisd (30902)","2020-09-27","Callahan,Coleman,Jones,Shackelford,Taylor",1395,1255,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2
"Baird ISD (30903)","2020-09-27","Callahan,Coleman,Eastland,Shackelford",268,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eula ISD (30906)","2020-09-27","Callahan,Shackelford,Taylor",459,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of Texas Rio Grande Valley (31505)","2020-09-27","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brownsville ISD (31901)","2020-09-27","Cameron",40121,283,5,3,3,3,1,11,2,19,12,24,129,65,91,28
"Harlingen Cisd (31903)","2020-09-27","Cameron,Willacy",17806,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Feria ISD (31905)","2020-09-27","Cameron,Hidalgo",3078,921,NA,NA,NA,NA,NA,NA,NA,0,0,0,15,2,13,0
"Los Fresnos Cisd (31906)","2020-09-27","Cameron,Willacy",10398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Point Isabel ISD (31909)","2020-09-27","Cameron,Willacy",2064,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio Hondo ISD (31911)","2020-09-27","Cameron,Willacy",2127,404,0,0,0,1,1,0,0,0,0,0,4,2,2,0
"San Benito Cisd (31912)","2020-09-27","Cameron",9719,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Maria ISD (31913)","2020-09-27","Cameron,Hidalgo",572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Rosa ISD (31914)","2020-09-27","Cameron,Hidalgo",911,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Texas ISD (31916)","2020-09-27","Cameron",4208,79,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,2,1
"Pittsburg ISD (32902)","2020-09-27","Camp,Franklin,Morris,Titus,Upshur,Wood",2395,2059,0,0,0,2,0,1,1,3,0,11,10,1,8,15
"Groom ISD (33901)","2020-09-27","Armstrong,Carson,Donley,Gray",141,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panhandle ISD (33902)","2020-09-27","Armstrong,Carson,Hutchinson,Moore,Potter,Randall",681,676,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"White Deer ISD (33904)","2020-09-27","Carson,Gray,Hutchinson,Roberts",352,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlanta ISD (34901)","2020-09-27","Bowie,Cass",1840,1634,0,0,1,3,0,2,2,3,2,18,19,0,16,26
"Avinger ISD (34902)","2020-09-27","Cass,Marion,Morris",140,116,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"Hughes Springs ISD (34903)","2020-09-27","Cass,Morris",1118,1083,0,0,1,1,1,1,0,1,0,5,5,2,7,2
"Linden-Kildare Cisd (34905)","2020-09-27","Cass,Marion",628,570,0,0,1,0,0,0,1,1,0,6,7,0,3,11
"Mcleod ISD (34906)","2020-09-27","Cass,Marion",407,381,NA,NA,NA,NA,NA,NA,NA,0,2,9,8,1,15,3
"Queen City ISD (34907)","2020-09-27","Bowie,Cass",952,874,0,0,11,3,0,2,12,1,0,25,27,2,12,39
"Bloomburg ISD (34909)","2020-09-27","Cass",251,251,0,0,1,1,0,1,1,0,1,3,3,0,6,1
"Dimmitt ISD (35901)","2020-09-27","Castro,Deaf Smith,Parmer,Randall",1200,1125,0,0,0,2,0,0,2,0,2,8,6,0,2,14
"Hart ISD (35902)","2020-09-27","Castro,Hale,Lamb,Swisher",201,185,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,2,0
"Nazareth ISD (35903)","2020-09-27","Castro,Swisher",249,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anahuac ISD (36901)","2020-09-27","Chambers,Galveston,Liberty",1320,1138,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Barbers Hill ISD (36902)","2020-09-27","Chambers,Galveston,Harris,Liberty",6417,5802,2,0,4,8,0,14,0,5,2,16,19,0,42,0
"East Chambers ISD (36903)","2020-09-27","Chambers,Galveston,Jefferson,Liberty",1500,1040,NA,NA,NA,NA,NA,NA,NA,3,3,7,13,7,7,12
"Alto ISD (37901)","2020-09-27","Anderson,Cherokee,Houston,Nacogdoches",636,527,NA,NA,NA,NA,NA,NA,NA,0,2,8,3,0,1,12
"Jacksonville ISD (37904)","2020-09-27","Anderson,Cherokee",4749,3910,1,2,3,4,0,2,8,11,8,41,34,3,47,44
"Rusk ISD (37907)","2020-09-27","Anderson,Cherokee,Nacogdoches,Rusk",1993,1652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Summerfield ISD (37908)","2020-09-27","Cherokee,Rusk",537,496,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,1,3
"Wells ISD (37909)","2020-09-27","Angelina,Cherokee,Houston,Nacogdoches",267,231,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,1
"Childress ISD (38901)","2020-09-27","Childress,Cottle,Foard,Hall,Hardeman",1006,937,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Henrietta ISD (39902)","2020-09-27","Archer,Clay,Wichita",921,780,NA,NA,NA,NA,NA,NA,NA,0,3,7,2,1,1,10
"Petrolia Cisd (39903)","2020-09-27","Clay,Wichita",441,439,0,0,0,1,0,1,0,0,0,1,1,0,2,0
"Bellevue ISD (39904)","2020-09-27","Clay,Montague",136,128,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Midway ISD (39905)","2020-09-27","Archer,Clay,Jack",132,131,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0
"Morton ISD (40901)","2020-09-27","Bailey,Cochran",354,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whiteface Cisd (40902)","2020-09-27","Bailey,Cochran,Hockley,Lamb,Terry,Yoakum",343,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronte ISD (41901)","2020-09-27","Coke,Runnels,Tom Green",245,233,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Robert Lee ISD (41902)","2020-09-27","Coke,Mitchell,Nolan,Sterling,Tom Green",256,247,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Coleman ISD (42901)","2020-09-27","Brown,Callahan,Coleman,Runnels,Taylor",843,776,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,3,1
"Santa Anna ISD (42903)","2020-09-27","Brown,Coleman,McCulloch",265,248,NA,NA,NA,NA,NA,NA,NA,0,2,6,0,0,8,0
"Panther Creek Cisd (42905)","2020-09-27","Coleman,Concho,McCulloch,Runnels",157,127,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Imagine International Academy Of North Texas (43801)","2020-09-27","Collin",1440,383,0,1,1,0,0,2,0,1,1,1,1,0,3,1
"Lone Star Language Academy (43802)","2020-09-27","Collin",210,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen ISD (43901)","2020-09-27","Collin",21539,10558,0,2,13,4,0,0,19,5,4,48,13,0,0,70
"Anna ISD (43902)","2020-09-27","Collin,Grayson",3930,2838,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,0,0,8
"Celina ISD (43903)","2020-09-27","Collin,Denton,Grayson",2973,2360,NA,NA,NA,NA,NA,NA,NA,4,12,56,24,2,55,39
"Farmersville ISD (43904)","2020-09-27","Collin,Hunt",1904,1521,NA,NA,NA,NA,NA,NA,NA,0,3,4,1,0,8,0
"Frisco ISD (43905)","2020-09-27","Collin,Denton",554,268,5,4,17,6,0,0,32,22,10,110,43,0,0,185
"Mckinney ISD (43907)","2020-09-27","Collin",23271,15219,3,1,6,3,0,1,12,20,9,50,11,0,11,79
"Melissa ISD (43908)","2020-09-27","Collin",4017,2968,1,0,0,2,0,3,0,3,2,12,11,0,22,6
"Plano ISD (43910)","2020-09-27","Collin,Dallas",50066,15174,9,6,13,12,0,19,21,40,22,66,49,0,80,97
"Princeton ISD (43911)","2020-09-27","Collin",5774,3980,3,4,4,4,1,7,7,5,8,21,14,3,29,16
"Prosper ISD (43912)","2020-09-27","Collin,Denton",19012,12578,2,0,9,4,0,0,15,17,22,85,31,0,18,137
"Wylie ISD (43914)","2020-09-27","Collin,Dallas,Rockwall",17465,9095,NA,NA,NA,NA,NA,NA,NA,6,7,43,28,2,23,59
"Blue Ridge ISD (43917)","2020-09-27","Collin,Fannin,Hunt",896,812,0,0,3,1,0,0,4,2,0,3,8,0,2,11
"Community ISD (43918)","2020-09-27","Collin,Hunt,Rockwall",2723,1675,0,3,1,6,0,2,8,0,11,27,16,2,21,31
"Lovejoy ISD (43919)","2020-09-27","Collin",4192,2224,NA,NA,NA,NA,NA,NA,NA,1,0,11,5,1,6,10
"Wellington ISD (44902)","2020-09-27","Childress,Collingsworth,Donley,Hall,Wheeler",537,522,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Columbus ISD (45902)","2020-09-27","Austin,Colorado,Fayette",1510,1075,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,0,4,1
"Rice Cisd (45903)","2020-09-27","Austin,Colorado,Lavaca,Wharton",1235,833,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,1,2
"Weimar ISD (45905)","2020-09-27","Colorado,Fayette,Lavaca",613,583,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,3,1
"Trinity Charter School (46802)","2020-09-27","Comal",389,360,0,1,13,0,12,1,1,0,1,13,0,12,1,1
"New Braunfels ISD (46901)","2020-09-27","Comal,Guadalupe",9247,5757,0,1,6,4,0,0,11,5,2,28,11,3,22,21
"Comal ISD (46902)","2020-09-27","Bexar,Blanco,Comal,Guadalupe,Hays,Kendall",25214,15285,1,0,11,2,1,13,0,15,4,47,20,1,39,46
"Comanche ISD (47901)","2020-09-27","Brown,Comanche,Erath,Mills",1381,1256,NA,NA,NA,NA,NA,NA,NA,2,2,9,10,0,22,1
"De Leon ISD (47902)","2020-09-27","Comanche,Eastland,Erath",740,717,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1
"Gustine ISD (47903)","2020-09-27","Comanche,Hamilton",148,140,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,0,2,2
"Sidney ISD (47905)","2020-09-27","Brown,Comanche",146,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eden Cisd (48901)","2020-09-27","Concho,Menard,Schleicher,Tom Green",232,199,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,1,2
"Paint Rock ISD (48903)","2020-09-27","Coleman,Concho,Runnels,Tom Green",246,203,NA,NA,NA,NA,NA,NA,NA,1,0,3,4,2,2,4
"Gainesville ISD (49901)","2020-09-27","Cooke",3026,2473,1,2,1,2,0,6,0,9,8,18,19,0,27,27
"Muenster ISD (49902)","2020-09-27","Cooke,Montague",523,489,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,0,1,4
"Valley View ISD (49903)","2020-09-27","Cooke,Denton",889,681,0,0,3,1,0,1,3,0,0,5,2,0,3,4
"Callisburg ISD (49905)","2020-09-27","Cooke,Grayson",1116,972,0,0,0,1,0,0,1,0,2,2,1,0,2,3
"Era ISD (49906)","2020-09-27","Cooke,Denton,Montague",479,459,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Lindsay ISD (49907)","2020-09-27","Cooke",484,466,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,0,1,6
"Walnut Bend ISD (49908)","2020-09-27","Cooke",59,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivells Bend ISD (49909)","2020-09-27","Cooke",48,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evant ISD (50901)","2020-09-27","Coryell,Hamilton,Lampasas",241,205,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Gatesville ISD (50902)","2020-09-27","Bell,Bosque,Coryell,McLennan",2779,2228,0,0,2,0,0,1,1,3,1,5,5,0,7,7
"Oglesby ISD (50904)","2020-09-27","Coryell,McLennan",186,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonesboro ISD (50909)","2020-09-27","Bosque,Coryell,Hamilton",316,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Copperas Cove ISD (50910)","2020-09-27","Bell,Burnet,Coryell,Lampasas",8006,4808,0,0,3,1,0,4,0,4,3,6,8,1,18,2
"Paducah ISD (51901)","2020-09-27","Childress,Cottle,Dickens,Foard,Hall,King,Motley",186,143,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Crane ISD (52901)","2020-09-27","Crane,Crockett,Ector,Pecos,Upton,Ward",1096,926,0,2,0,0,0,0,2,0,3,1,2,0,2,4
"Crockett County Consolidated Csd (53001)","2020-09-27","Crane,Crockett,Irion,Pecos,Reagan,Schleicher,Sutton,Terrell,Upton,Val Verde",763,752,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,3,0
"Crosbyton Cisd (54901)","2020-09-27","Crosby,Dickens,Floyd,Garza,Kent,Motley",324,316,0,0,1,1,0,2,0,0,1,3,2,0,6,0
"Lorenzo ISD (54902)","2020-09-27","Crosby,Floyd,Garza,Hale,Lubbock,Lynn",236,212,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Ralls ISD (54903)","2020-09-27","Crosby,Floyd,Garza",457,425,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,1,0,4
"Culberson County-Allamoore ISD (55901)","2020-09-27","Culberson,Hudspeth,Jeff Davis,Reeves",386,265,0,0,0,5,0,5,0,0,1,0,10,0,11,0
"Dalhart ISD (56901)","2020-09-27","Dallam,Hartley",1668,1546,NA,NA,NA,NA,NA,NA,NA,2,0,7,5,0,2,12
"Texline ISD (56902)","2020-09-27","Dallam,Hartley",197,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pegasus School Of Liberal Arts And Sciences (57802)","2020-09-27","Dallas",503,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uplift Education (57803)","2020-09-27","Dallas",21761,4871,NA,NA,NA,NA,NA,NA,NA,6,6,9,4,0,5,20
"Texans Can Academies (57804)","2020-09-27","Dallas",4757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lumin Education (57805)","2020-09-27","Dallas",258,147,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,3,0
"Advantage Academy (57806)","2020-09-27","Dallas",1197,405,0,0,1,0,0,0,1,1,0,2,5,0,3,5
"Life School (57807)","2020-09-27","Dallas",5600,2178,0,0,1,3,1,2,1,4,6,13,20,11,9,23
"Universal Academy (57808)","2020-09-27","Dallas",2405,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Academy (57809)","2020-09-27","Dallas",123,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy Of Dallas (57810)","2020-09-27","Dallas",294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinity Basin Preparatory (57813)","2020-09-27","Dallas",4178,1874,1,1,0,3,0,1,4,6,4,0,17,0,5,22
"Academy For Academic Excellence (57814)","2020-09-27","Dallas",294,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A W Brown Leadership Academy (57816)","2020-09-27","Dallas",1343,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jean Massieu Academy (57819)","2020-09-27","Dallas",197,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Academy Southeast (57827)","2020-09-27","Dallas",601,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winfree Academy Charter Schools (57828)","2020-09-27","Dallas",1244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A+ Academy (57829)","2020-09-27","Dallas",1314,477,1,0,0,0,0,1,0,1,0,1,1,0,3,0
"Inspired Vision Academy (57830)","2020-09-27","Dallas",1218,474,0,1,2,1,1,3,0,1,2,4,3,1,8,1
"Gateway Charter Academy (57831)","2020-09-27","Dallas",813,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Education Center International Academy (57833)","2020-09-27","Dallas",543,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolution Academy Charter School (57834)","2020-09-27","Dallas",583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden Rule Charter School (57835)","2020-09-27","Dallas",1561,549,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,0
"St Anthony School (57836)","2020-09-27","Dallas",330,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Academia De Estrellas (57839)","2020-09-27","Dallas",1017,53,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"Richland Collegiate High School (57840)","2020-09-27","Dallas",500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cityscape Schools (57841)","2020-09-27","Dallas",1208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manara Academy (57844)","2020-09-27","Dallas",656,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ume Preparatory Academy (57845)","2020-09-27","Dallas",1275,643,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1
"Legacy Preparatory (57846)","2020-09-27","Dallas",1530,489,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Village Tech Schools (57847)","2020-09-27","Dallas",1221,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"International Leadership Of Texas (Iltexas) (57848)","2020-09-27","Dallas",20793,5633,3,2,2,6,0,12,1,5,8,9,32,9,31,14
"Pioneer Technology & Arts Academy (57850)","2020-09-27","Dallas",1615,996,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Bridgeway Preparatory Academy (57851)","2020-09-27","Dallas",101,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carrollton-Farmers Branch ISD (57903)","2020-09-27","Collin,Dallas,Denton",24701,10283,7,5,17,14,0,0,43,18,11,30,39,0,4,94
"Cedar Hill ISD (57904)","2020-09-27","Dallas,Ellis,Tarrant",7290,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas ISD (57905)","2020-09-27","Collin,Dallas,Denton,Ellis,Kaufman",144574,10259,NA,NA,NA,NA,NA,NA,NA,2,2,11,13,1,13,14
"Desoto ISD (57906)","2020-09-27","Dallas,Ellis",8047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duncanville ISD (57907)","2020-09-27","Dallas",11711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garland ISD (57909)","2020-09-27","Collin,Dallas,Rockwall",53825,18607,13,7,25,8,2,51,0,60,41,163,72,39,297,0
"Grand Prairie ISD (57910)","2020-09-27","Dallas,Tarrant",28120,11823,6,5,4,0,0,15,0,17,10,18,65,2,107,1
"Highland Park ISD (57911)","2020-09-27","Dallas",6622,4996,NA,NA,NA,NA,NA,NA,NA,5,4,47,4,4,53,3
"Irving ISD (57912)","2020-09-27","Dallas,Tarrant",32433,12315,1,2,15,8,1,7,18,17,5,39,47,6,69,33
"Lancaster ISD (57913)","2020-09-27","Dallas,Ellis",7200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesquite ISD (57914)","2020-09-27","Dallas,Kaufman",38349,20859,4,5,15,17,0,0,41,20,29,72,63,3,32,149
"Richardson ISD (57916)","2020-09-27","Collin,Dallas",37581,20603,4,5,15,9,0,0,33,31,27,48,49,0,1,154
"Sunnyvale ISD (57919)","2020-09-27","Dallas,Kaufman,Rockwall",1982,695,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,0,2,3
"Coppell ISD (57922)","2020-09-27","Dallas,Denton,Tarrant",12978,3683,2,0,11,4,7,10,0,2,4,28,19,7,46,0
"Dawson ISD (58902)","2020-09-27","Dawson,Gaines,Lynn,Terry",154,135,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1
"Klondike ISD (58905)","2020-09-27","Andrews,Dawson,Gaines,Martin",264,264,0,0,0,1,0,0,1,0,1,13,3,0,6,11
"Lamesa ISD (58906)","2020-09-27","Borden,Dawson,Lynn",1734,1281,2,0,6,3,0,0,11,11,1,34,45,0,12,79
"Sands Cisd (58909)","2020-09-27","Borden,Dawson,Howard,Martin",258,257,1,0,0,0,0,0,1,2,0,2,0,0,0,4
"Hereford ISD (59901)","2020-09-27","Castro,Deaf Smith,Parmer,Randall",3876,3315,2,0,2,7,0,11,0,8,2,25,37,0,72,0
"Walcott ISD (59902)","2020-09-27","Deaf Smith,Parmer",143,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper ISD (60902)","2020-09-27","Delta,Franklin,Hopkins,Hunt,Lamar,Red River",811,702,3,0,0,1,0,0,4,3,0,3,3,0,2,7
"Fannindel ISD (60914)","2020-09-27","Delta,Fannin,Hunt,Lamar",158,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of North Texas (61501)","2020-09-27","Denton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Texas Collegiate Academy (61802)","2020-09-27","Denton",631,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leadership Prep School (61804)","2020-09-27","Denton",1352,520,0,1,0,2,2,1,0,0,2,2,3,2,3,2
"Trivium Academy (61805)","2020-09-27","Denton",609,422,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Denton ISD (61901)","2020-09-27","Denton",30214,16055,7,5,17,1,0,16,14,20,10,47,33,0,59,51
"Lewisville ISD (61902)","2020-09-27","Collin,Dallas,Denton,Tarrant",49265,27385,4,3,30,18,0,0,55,21,24,159,39,0,0,243
"Pilot Point ISD (61903)","2020-09-27","Collin,Cooke,Denton,Grayson",1361,1042,NA,NA,NA,NA,NA,NA,NA,1,0,15,4,0,4,16
"Krum ISD (61905)","2020-09-27","Denton,Wise",2121,1660,0,0,2,0,0,0,2,0,4,10,11,0,1,24
"Ponder ISD (61906)","2020-09-27","Denton,Wise",1585,1283,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,3,0
"Aubrey ISD (61907)","2020-09-27","Denton",2642,2002,0,0,1,1,0,2,0,0,0,5,2,1,3,3
"Sanger ISD (61908)","2020-09-27","Cooke,Denton",2545,1953,0,0,2,0,0,2,0,2,1,5,3,0,10,1
