Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-03-01,75456,157,106,51
2021-03-01,75457,1109,746,363
2021-03-01,75458,28,18,10
2021-03-01,75459,581,389,192
2021-03-01,75460,4063,2783,1280
2021-03-01,75461,88,52,36
2021-03-01,75462,3495,2232,1263
2021-03-01,75468,220,147,73
2021-03-01,75469,114,63,51
2021-03-01,75470,49,31,18
2021-03-01,75471,116,75,41
2021-03-01,75472,399,263,136
2021-03-01,75473,867,599,268
2021-03-01,75474,1786,1142,644
2021-03-01,75475,31,19,12
2021-03-01,75476,230,149,81
2021-03-01,75477,159,109,50
2021-03-01,75478,126,83,43
2021-03-01,75479,264,175,89
2021-03-01,75480,268,191,77
2021-03-01,75481,81,53,28
2021-03-01,75482,3538,2342,1196
2021-03-01,75483,110,79,31
2021-03-01,75485,25,20,NA
2021-03-01,75486,524,345,179
2021-03-01,75487,147,107,40
2021-03-01,75488,221,135,86
2021-03-01,75489,140,92,48
2021-03-01,75490,420,275,145
2021-03-01,75491,666,439,227
2021-03-01,75492,167,92,75
2021-03-01,75493,38,24,14
2021-03-01,75494,1379,958,421
2021-03-01,75495,1482,1064,418
2021-03-01,75496,608,368,240
2021-03-01,75497,716,518,198
2021-03-01,75501,2761,1868,893
2021-03-01,75503,5481,3501,1980
2021-03-01,75504,43,24,19
2021-03-01,75505,59,42,17
2021-03-01,75507,NA,NA,NA
2021-03-01,75550,128,94,34
2021-03-01,75551,1178,839,339
2021-03-01,75554,234,179,55
2021-03-01,75555,72,55,17
2021-03-01,75556,106,72,34
2021-03-01,75558,170,114,56
2021-03-01,75559,479,323,156
2021-03-01,75560,92,61,31
2021-03-01,75561,378,256,122
2021-03-01,75562,6,6,NA
2021-03-01,75563,274,202,72
2021-03-01,75564,NA,NA,NA
2021-03-01,75565,9,8,NA
2021-03-01,75566,34,28,6
2021-03-01,75567,274,193,81
2021-03-01,75568,237,175,62
2021-03-01,75569,257,183,74
2021-03-01,75570,687,465,222
2021-03-01,75571,263,189,74
2021-03-01,75572,269,197,72
2021-03-01,75573,50,34,16
2021-03-01,75574,92,66,26
2021-03-01,75599,NA,NA,NA
2021-03-01,75601,3374,2320,1054
2021-03-01,75602,2313,1557,756
2021-03-01,75603,1206,826,380
2021-03-01,75604,4941,3367,1574
2021-03-01,75605,8637,5742,2895
2021-03-01,75606,154,106,48
2021-03-01,75607,137,97,40
2021-03-01,75608,225,146,79
2021-03-01,75615,NA,NA,NA
2021-03-01,75630,246,182,64
2021-03-01,75631,271,181,90
2021-03-01,75633,1763,1158,605
2021-03-01,75636,25,15,10
2021-03-01,75637,16,11,NA
2021-03-01,75638,666,458,208
2021-03-01,75639,171,120,51
2021-03-01,75640,588,421,167
2021-03-01,75641,8,6,NA
2021-03-01,75642,32,27,NA
2021-03-01,75643,161,100,61
2021-03-01,75644,1524,1111,413
2021-03-01,75645,1280,906,374
2021-03-01,75647,1944,1352,592
2021-03-01,75650,1549,1012,537
2021-03-01,75651,290,211,79
2021-03-01,75652,1760,1290,470
2021-03-01,75653,139,105,34
2021-03-01,75654,1490,1024,466
2021-03-01,75656,462,318,144
2021-03-01,75657,1028,737,291
2021-03-01,75658,14,11,NA
2021-03-01,75659,6,NA,NA
2021-03-01,75660,96,72,24
2021-03-01,75661,247,200,47
2021-03-01,75662,3033,2103,930
2021-03-01,75663,208,161,47
2021-03-01,75666,22,16,6
2021-03-01,75667,126,88,38
2021-03-01,75668,171,124,47
2021-03-01,75669,74,51,23
2021-03-01,75670,1795,1322,473
2021-03-01,75671,151,114,37
2021-03-01,75672,2568,1920,648
2021-03-01,75680,NA,NA,NA
2021-03-01,75681,334,227,107
2021-03-01,75682,88,61,27
2021-03-01,75683,367,256,111
2021-03-01,75684,592,425,167
2021-03-01,75685,8,8,NA
2021-03-01,75686,1879,1242,637
2021-03-01,75687,NA,NA,NA
