"Date","TSA","TSA_Name","TSA_Combined","Population_DSHS","Ventilators_Available","Hospitalizations_Total","Hospitalizations_General","Hospitalizations_ICU","Beds_Available_Total","Beds_Occupied_Total","Beds_Occupied_ICU"
2020-04-15,"U","Corpus Christi","U - Corpus Christi",630897,NA,12,6,6,356,22,722
2020-04-15,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,65,38,27,821,94,1420
2020-04-16,"A","Amarillo","A - Amarillo",440127,NA,18,12,6,668,92,522
2020-04-16,"B","Lubbock","B - Lubbock",513580,NA,32,18,14,608,99,795
2020-04-16,"C","Wichita Falls","C - Wichita Falls",219793,NA,5,4,1,356,21,190
2020-04-16,"D","Abilene","D - Abilene",306972,NA,5,2,3,460,23,274
2020-04-16,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,470,246,224,5453,723,9014
2020-04-16,"F","Paris","F - Paris",273329,NA,15,8,7,NA,36,480
2020-04-16,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,36,19,17,682,84,1039
2020-04-16,"H","Lufkin","H - Lufkin",272151,NA,28,21,7,281,22,247
2020-04-16,"I","El Paso","I - El Paso",881765,NA,24,14,10,705,93,604
2020-04-16,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,10,3,7,623,41,650
2020-04-16,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,271,22,260
2020-04-16,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,16,8,8,590,57,406
2020-04-16,"M","Waco","M - Waco",330048,NA,6,4,2,327,23,310
2020-04-16,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,16,10,6,287,22,243
2020-04-16,"O","Austin","O - Austin",2375407,NA,22,8,14,1379,178,973
2020-04-16,"P","San Antonio","P - San Antonio",2945792,NA,30,19,11,2537,320,2815
2020-04-16,"Q","Houston","Q - Houston",6688587,NA,511,274,237,3795,328,7717
2020-04-16,"R","Galveston","R - Galveston",1309237,NA,101,65,36,575,45,936
2020-04-16,"S","Victoria","S - Victoria",186672,NA,19,15,4,290,32,260
2020-04-16,"T","Laredo","T - Laredo",295669,NA,27,13,14,95,13,253
2020-04-16,"U","Corpus Christi","U - Corpus Christi",630897,NA,7,2,5,366,21,810
2020-04-16,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,61,31,30,910,91,1473
2020-04-17,"A","Amarillo","A - Amarillo",440127,NA,24,15,9,645,89,553
2020-04-17,"B","Lubbock","B - Lubbock",513580,NA,38,21,17,581,109,823
