Date,TSA,Variant,Cases,Case_Ratio
2021-07-14,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-07-14,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-07-14,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-07-21,T - Laredo,B.1.1.7 ALPHA (UK),2,1
2021-07-21,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-07-21,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-07-21,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-07-29,T - Laredo,B.1.1.7 ALPHA (UK),2,1
2021-07-29,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-07-29,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-07-29,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-08-06,T - Laredo,B.1.1.7 ALPHA (UK),2,1
2021-08-06,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-08-06,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-08-06,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-08-11,T - Laredo,B.1.1.7 ALPHA (UK),2,1
2021-08-11,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-08-11,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-08-11,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-08-18,T - Laredo,B.1.1.7 ALPHA (UK),2,1
2021-08-18,T - Laredo,B.1.351 BETA (South Africa),0,NA
2021-08-18,T - Laredo,B.1.617.2 DELTA (India),0,NA
2021-08-18,T - Laredo,P.1 GAMMA (Brazil),0,NA
2021-06-21,U - Corpus Christi,B.1.1.7 ALPHA (UK),41,NA
2021-06-21,U - Corpus Christi,B.1.351 BETA (South Africa),0,NA
2021-06-21,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-06-21,U - Corpus Christi,P.1 GAMMA (Brazil),0,NA
2021-06-23,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1.146341463414634
2021-06-23,U - Corpus Christi,B.1.351 BETA (South Africa),0,NA
2021-06-23,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-06-23,U - Corpus Christi,P.1 GAMMA (Brazil),0,NA
2021-07-01,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1
2021-07-01,U - Corpus Christi,B.1.351 BETA (South Africa),0,NA
2021-07-01,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-07-01,U - Corpus Christi,P.1 GAMMA (Brazil),0,NA
2021-07-08,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1
2021-07-08,U - Corpus Christi,B.1.351 BETA (South Africa),1,NA
2021-07-08,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-07-08,U - Corpus Christi,P.1 GAMMA (Brazil),0,NA
2021-07-14,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1
2021-07-14,U - Corpus Christi,B.1.351 BETA (South Africa),0,0
2021-07-14,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-07-14,U - Corpus Christi,P.1 GAMMA (Brazil),0,NA
2021-07-21,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1
2021-07-21,U - Corpus Christi,B.1.351 BETA (South Africa),0,NA
2021-07-21,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-07-21,U - Corpus Christi,P.1 GAMMA (Brazil),0,NA
2021-07-29,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1
2021-07-29,U - Corpus Christi,B.1.351 BETA (South Africa),0,NA
2021-07-29,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-07-29,U - Corpus Christi,P.1 GAMMA (Brazil),0,NA
2021-08-06,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1
2021-08-06,U - Corpus Christi,B.1.351 BETA (South Africa),0,NA
2021-08-06,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-08-06,U - Corpus Christi,P.1 GAMMA (Brazil),0,NA
2021-08-11,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1
2021-08-11,U - Corpus Christi,B.1.351 BETA (South Africa),0,NA
2021-08-11,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-08-11,U - Corpus Christi,P.1 GAMMA (Brazil),1,NA
2021-08-18,U - Corpus Christi,B.1.1.7 ALPHA (UK),47,1
2021-08-18,U - Corpus Christi,B.1.351 BETA (South Africa),0,NA
2021-08-18,U - Corpus Christi,B.1.617.2 DELTA (India),0,NA
2021-08-18,U - Corpus Christi,P.1 GAMMA (Brazil),0,0
2021-06-21,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),41,NA
2021-06-21,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-06-21,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),0,NA
2021-06-21,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,NA
2021-06-23,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),43,1.048780487804878
2021-06-23,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-06-23,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),0,NA
2021-06-23,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,1
2021-07-01,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),43,1
2021-07-01,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-07-01,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),0,NA
2021-07-01,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,1
2021-07-08,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),43,1
2021-07-08,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-07-08,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),0,NA
2021-07-08,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,1
2021-07-14,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),43,1
2021-07-14,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-07-14,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),0,NA
2021-07-14,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,1
2021-07-21,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),43,1
2021-07-21,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-07-21,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),0,NA
2021-07-21,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,1
2021-07-29,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),43,1
2021-07-29,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-07-29,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),0,NA
2021-07-29,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,1
2021-08-06,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),42,0.9767441860465116
2021-08-06,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-08-06,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),1,NA
2021-08-06,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,1
2021-08-11,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),42,1
2021-08-11,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-08-11,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),1,1
2021-08-11,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),0,0
2021-08-18,V - Lower Rio Grande Valley,B.1.1.7 ALPHA (UK),42,1
2021-08-18,V - Lower Rio Grande Valley,B.1.351 BETA (South Africa),0,NA
2021-08-18,V - Lower Rio Grande Valley,B.1.617.2 DELTA (India),1,1
2021-08-18,V - Lower Rio Grande Valley,P.1 GAMMA (Brazil),10,NA
