Date,TSA,Variant,Cases,Case_Ratio
2021-07-14,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-07-14,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-07-21,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-07-21,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-07-21,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-07-21,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-07-29,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-07-29,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-07-29,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-07-29,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-08-06,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-08-06,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-08-06,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-08-06,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-08-11,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-08-11,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-08-11,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-08-11,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-08-18,F - Paris,B.1.1.7 ALPHA (UK),2,1
2021-08-18,F - Paris,B.1.351 BETA (South Africa),0,NA
2021-08-18,F - Paris,B.1.617.2 DELTA (India),0,NA
2021-08-18,F - Paris,P.1 GAMMA (Brazil),0,NA
2021-06-21,G - Longview/Tyler,B.1.1.7 ALPHA (UK),8,NA
2021-06-21,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-06-21,G - Longview/Tyler,B.1.617.2 DELTA (India),0,NA
2021-06-21,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-06-23,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1.25
2021-06-23,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-06-23,G - Longview/Tyler,B.1.617.2 DELTA (India),0,NA
2021-06-23,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-07-01,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1
2021-07-01,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-07-01,G - Longview/Tyler,B.1.617.2 DELTA (India),0,NA
2021-07-01,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-07-08,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1
2021-07-08,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-07-08,G - Longview/Tyler,B.1.617.2 DELTA (India),0,NA
2021-07-08,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-07-14,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1
2021-07-14,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-07-14,G - Longview/Tyler,B.1.617.2 DELTA (India),0,NA
2021-07-14,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-07-21,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1
2021-07-21,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-07-21,G - Longview/Tyler,B.1.617.2 DELTA (India),0,NA
2021-07-21,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-07-29,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1
2021-07-29,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-07-29,G - Longview/Tyler,B.1.617.2 DELTA (India),3,NA
2021-07-29,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-08-06,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1
2021-08-06,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-08-06,G - Longview/Tyler,B.1.617.2 DELTA (India),0,0
2021-08-06,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-08-11,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1
2021-08-11,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-08-11,G - Longview/Tyler,B.1.617.2 DELTA (India),0,NA
2021-08-11,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-08-18,G - Longview/Tyler,B.1.1.7 ALPHA (UK),10,1
2021-08-18,G - Longview/Tyler,B.1.351 BETA (South Africa),0,NA
2021-08-18,G - Longview/Tyler,B.1.617.2 DELTA (India),0,NA
2021-08-18,G - Longview/Tyler,P.1 GAMMA (Brazil),0,NA
2021-06-21,H - Lufkin,B.1.1.7 ALPHA (UK),10,NA
