"Level","Date","Cases_Raw","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Differencing"
"Grimes",2020-04-16,2,0.571428571428571,NA,NA,0,0,1
"Grimes",2020-04-17,1,0.571428571428571,NA,NA,0,0,1
"Grimes",2020-04-18,0,0.571428571428571,NA,NA,0,0,1
"Grimes",2020-04-19,0,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-20,0,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-21,0,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-22,0,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-23,0,0.142857142857143,NA,NA,0,0,1
"Grimes",2020-04-24,3,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-25,0,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-26,0,0.428571428571429,NA,NA,0,0,1
"Grimes",2020-04-27,2,0.714285714285714,NA,NA,0,0,1
"Grimes",2020-04-28,1,0.857142857142857,NA,NA,0,0,1
"Grimes",2020-04-29,0,0.857142857142857,NA,NA,0,0,1
"Grimes",2020-04-30,3,1.28571428571429,NA,NA,0,0,1
"Grimes",2020-05-01,0,0.857142857142857,NA,NA,0,0,1
"Grimes",2020-05-02,2,1.14285714285714,NA,NA,0,0,1
"Grimes",2020-05-03,1,1.28571428571429,NA,NA,0,0,1
"Grimes",2020-05-04,0,1,NA,NA,0,0,1
"Grimes",2020-05-05,0,0.857142857142857,NA,NA,0,0,1
"Grimes",2020-05-06,3,1.28571428571429,NA,NA,0,0,1
"Grimes",2020-05-07,0,0.857142857142857,NA,NA,0,0,1
"Grimes",2020-05-08,12,2.57142857142857,NA,NA,0,0,1
"Grimes",2020-05-09,5,3,NA,NA,0,0,1
"Grimes",2020-05-10,0,2.85714285714286,NA,NA,0,0,1
"Grimes",2020-05-11,0,2.85714285714286,NA,NA,0,0,1
"Grimes",2020-05-12,0,2.85714285714286,NA,NA,0,0,1
"Grimes",2020-05-13,12,4.14285714285714,NA,NA,0,0,1
"Grimes",2020-05-14,2,4.42857142857143,NA,NA,0,0,1
"Grimes",2020-05-15,7,3.71428571428571,NA,NA,0,0,1
"Grimes",2020-05-16,2,3.28571428571429,NA,NA,0,0,1
"Grimes",2020-05-17,0,3.28571428571429,NA,NA,0,0,1
"Grimes",2020-05-18,0,3.28571428571429,NA,NA,0,0,1
"Grimes",2020-05-19,0,3.28571428571429,NA,NA,0,0,1
"Grimes",2020-05-20,24,5,NA,NA,0,0,1
"Grimes",2020-05-21,2,5,NA,NA,0,0,1
"Grimes",2020-05-22,3,4.42857142857143,NA,NA,0,0,1
"Grimes",2020-05-23,5,4.85714285714286,NA,NA,0,0,1
"Grimes",2020-05-24,0,4.85714285714286,NA,NA,0,0,1
"Grimes",2020-05-25,1,5,NA,NA,0,0,1
"Grimes",2020-05-26,4,5.57142857142857,NA,NA,0,0,1
"Grimes",2020-05-27,7,3.14285714285714,NA,NA,0,0,1
"Grimes",2020-05-28,2,3.14285714285714,NA,NA,0,0,1
"Grimes",2020-05-29,1,2.85714285714286,NA,NA,0,0,1
"Grimes",2020-05-30,7,3.14285714285714,NA,NA,0,0,1
"Grimes",2020-05-31,94,16.5714285714286,NA,NA,0,0,1
"Grimes",2020-06-01,2,16.7142857142857,NA,NA,0,0,1
"Grimes",2020-06-02,1,16.2857142857143,NA,NA,0,0,1
"Grimes",2020-06-03,8,16.4285714285714,NA,NA,0,0,1
"Grimes",2020-06-04,0,16.1428571428571,NA,NA,0,0,1
"Grimes",2020-06-05,0,16,NA,NA,0,0,1
"Grimes",2020-06-06,11,16.5714285714286,NA,NA,0,0,1
"Grimes",2020-06-07,4,3.71428571428571,NA,NA,0,0,1
"Grimes",2020-06-08,0,3.42857142857143,NA,NA,0,0,1
"Grimes",2020-06-09,4,3.85714285714286,NA,NA,0,0,1
"Grimes",2020-06-10,7,3.71428571428571,NA,NA,0,0,1
"Grimes",2020-06-11,0,3.71428571428571,NA,NA,0,0,1
"Grimes",2020-06-12,18,6.28571428571429,NA,NA,0,0,1
"Grimes",2020-06-13,1,4.85714285714286,NA,NA,0,0,1
"Grimes",2020-06-14,3,4.71428571428571,NA,NA,0,0,1
"Grimes",2020-06-15,0,4.71428571428571,NA,NA,0,0,1
"Grimes",2020-06-16,7,5.14285714285714,NA,NA,0,0,1
"Grimes",2020-06-17,6,5,NA,NA,0,0,1
"Grimes",2020-06-18,4,5.57142857142857,NA,NA,0,0,1
"Grimes",2020-06-19,0,3,NA,NA,0,0,1
"Grimes",2020-06-20,1,3,NA,NA,0,0,1
"Grimes",2020-06-21,12,4.28571428571429,NA,NA,0,0,1
