"Date","County","Age","Gender","Fully_Vaccinated","At_Least_One_Vaccinated"
2021-03-07,"Angelina","16-49 years","Female",1049,1713
2021-03-07,"Angelina","16-49 years","Male",533,932
2021-03-07,"Angelina","16-49 years","Unknown",0,1
2021-03-07,"Angelina","50-64 years","Female",1102,1967
2021-03-07,"Angelina","50-64 years","Male",691,1334
2021-03-07,"Angelina","50-64 years","Unknown",2,9
2021-03-07,"Angelina","65-79 years","Female",1389,2614
2021-03-07,"Angelina","65-79 years","Male",1159,2225
2021-03-07,"Angelina","65-79 years","Unknown",6,8
2021-03-07,"Angelina","80+ years","Female",504,983
2021-03-07,"Angelina","80+ years","Male",362,687
2021-03-07,"Angelina","80+ years","Unknown",1,1
2021-03-07,"Angelina","Unknown","Female",2,8
2021-03-07,"Angelina","Unknown","Male",1,2
2021-03-07,"Angelina","16-49 years","Female",1049,1713
2021-03-07,"Angelina","16-49 years","Male",533,932
2021-03-07,"Angelina","16-49 years","Unknown",0,1
2021-03-07,"Angelina","50-64 years","Female",1102,1967
2021-03-07,"Angelina","50-64 years","Male",691,1334
2021-03-07,"Angelina","50-64 years","Unknown",2,9
2021-03-07,"Angelina","65-79 years","Female",1389,2614
2021-03-07,"Angelina","65-79 years","Male",1159,2225
2021-03-07,"Angelina","65-79 years","Unknown",6,8
2021-03-07,"Angelina","80+ years","Female",504,983
2021-03-07,"Angelina","80+ years","Male",362,687
2021-03-07,"Angelina","80+ years","Unknown",1,1
2021-03-07,"Angelina","Unknown","Female",2,8
2021-03-07,"Angelina","Unknown","Male",1,2
2021-02-14,"Aransas","16-49 years","Female",82,NA
2021-02-14,"Aransas","50-64 years","Female",83,NA
2021-02-14,"Aransas","65-79 years","Female",92,NA
2021-02-14,"Aransas","80+ years","Female",25,NA
2021-02-14,"Aransas","Unknown","Female",0,NA
2021-02-14,"Aransas","16-49 years","Male",27,NA
2021-02-14,"Aransas","50-64 years","Male",37,NA
2021-02-14,"Aransas","65-79 years","Male",54,NA
2021-02-14,"Aransas","80+ years","Male",23,NA
2021-02-14,"Aransas","Unknown","Male",NA,NA
2021-02-14,"Aransas","16-49 years","Unknown",0,NA
2021-02-14,"Aransas","50-64 years","Unknown",NA,NA
2021-02-14,"Aransas","65-79 years","Unknown",0,NA
2021-02-14,"Aransas","80+ years","Unknown",NA,NA
2021-02-14,"Aransas","Unknown","Unknown",NA,NA
2021-02-21,"Aransas","16-49 years","Female",129,NA
2021-02-21,"Aransas","50-64 years","Female",146,NA
2021-02-21,"Aransas","65-79 years","Female",268,NA
2021-02-21,"Aransas","80+ years","Female",73,NA
2021-02-21,"Aransas","Unknown","Female",0,NA
2021-02-21,"Aransas","16-49 years","Male",45,NA
2021-02-21,"Aransas","50-64 years","Male",88,NA
2021-02-21,"Aransas","65-79 years","Male",208,NA
2021-02-21,"Aransas","80+ years","Male",71,NA
2021-02-21,"Aransas","Unknown","Male",NA,NA
2021-02-21,"Aransas","16-49 years","Unknown",0,NA
2021-02-21,"Aransas","50-64 years","Unknown",NA,NA
2021-02-21,"Aransas","65-79 years","Unknown",1,NA
2021-02-21,"Aransas","80+ years","Unknown",0,NA
2021-02-21,"Aransas","Unknown","Unknown",NA,NA
2021-02-28,"Aransas","16-49 years","Female",154,252
2021-02-28,"Aransas","50-64 years","Female",215,421
2021-02-28,"Aransas","65-79 years","Female",478,895
2021-02-28,"Aransas","80+ years","Female",129,240
2021-02-28,"Aransas","Unknown","Female",1,1
2021-02-28,"Aransas","16-49 years","Male",76,125
2021-02-28,"Aransas","50-64 years","Male",150,261
2021-02-28,"Aransas","65-79 years","Male",404,778
2021-02-28,"Aransas","80+ years","Male",129,233
2021-02-28,"Aransas","Unknown","Male",NA,NA
2021-02-28,"Aransas","16-49 years","Unknown",NA,NA
2021-02-28,"Aransas","50-64 years","Unknown",NA,NA
2021-02-28,"Aransas","65-79 years","Unknown",3,4
2021-02-28,"Aransas","80+ years","Unknown",1,2
2021-02-28,"Aransas","Unknown","Unknown",NA,NA
2021-03-07,"Aransas","16-49 years","Female",183,287
2021-03-07,"Aransas","16-49 years","Male",94,153
2021-03-07,"Aransas","50-64 years","Female",277,491
2021-03-07,"Aransas","50-64 years","Male",187,320
2021-03-07,"Aransas","65-79 years","Female",637,1051
2021-03-07,"Aransas","65-79 years","Male",531,910
2021-03-07,"Aransas","65-79 years","Unknown",3,6
2021-03-07,"Aransas","80+ years","Female",156,270
2021-03-07,"Aransas","80+ years","Male",159,278
2021-03-07,"Aransas","80+ years","Unknown",2,2
2021-03-07,"Aransas","Unknown","Female",1,1
2021-03-07,"Aransas","16-49 years","Female",183,287
2021-03-07,"Aransas","16-49 years","Male",94,153
2021-03-07,"Aransas","50-64 years","Female",277,491
2021-03-07,"Aransas","50-64 years","Male",187,320
2021-03-07,"Aransas","65-79 years","Female",637,1051
2021-03-07,"Aransas","65-79 years","Male",531,910
2021-03-07,"Aransas","65-79 years","Unknown",3,6
2021-03-07,"Aransas","80+ years","Female",156,270
2021-03-07,"Aransas","80+ years","Male",159,278
2021-03-07,"Aransas","80+ years","Unknown",2,2
2021-03-07,"Aransas","Unknown","Female",1,1
2021-02-14,"Archer","16-49 years","Female",89,NA
2021-02-14,"Archer","50-64 years","Female",58,NA
2021-02-14,"Archer","65-79 years","Female",48,NA
2021-02-14,"Archer","80+ years","Female",20,NA
2021-02-14,"Archer","16-49 years","Male",42,NA
2021-02-14,"Archer","50-64 years","Male",32,NA
2021-02-14,"Archer","65-79 years","Male",43,NA
2021-02-14,"Archer","80+ years","Male",20,NA
2021-02-14,"Archer","16-49 years","Unknown",NA,NA
2021-02-14,"Archer","50-64 years","Unknown",NA,NA
2021-02-14,"Archer","65-79 years","Unknown",NA,NA
2021-02-14,"Archer","80+ years","Unknown",NA,NA
2021-02-21,"Archer","16-49 years","Female",119,NA
2021-02-21,"Archer","50-64 years","Female",92,NA
2021-02-21,"Archer","65-79 years","Female",107,NA
2021-02-21,"Archer","80+ years","Female",38,NA
2021-02-21,"Archer","16-49 years","Male",61,NA
2021-02-21,"Archer","50-64 years","Male",56,NA
2021-02-21,"Archer","65-79 years","Male",107,NA
2021-02-21,"Archer","80+ years","Male",42,NA
2021-02-21,"Archer","16-49 years","Unknown",NA,NA
2021-02-21,"Archer","50-64 years","Unknown",NA,NA
2021-02-21,"Archer","65-79 years","Unknown",NA,NA
2021-02-21,"Archer","80+ years","Unknown",NA,NA
2021-02-28,"Archer","16-49 years","Female",143,194
2021-02-28,"Archer","50-64 years","Female",124,204
2021-02-28,"Archer","65-79 years","Female",207,312
2021-02-28,"Archer","80+ years","Female",56,89
2021-02-28,"Archer","16-49 years","Male",80,110
2021-02-28,"Archer","50-64 years","Male",85,140
2021-02-28,"Archer","65-79 years","Male",199,276
2021-02-28,"Archer","80+ years","Male",53,83
2021-02-28,"Archer","16-49 years","Unknown",NA,NA
2021-02-28,"Archer","50-64 years","Unknown",NA,NA
2021-02-28,"Archer","65-79 years","Unknown",NA,NA
2021-02-28,"Archer","80+ years","Unknown",NA,NA
2021-03-07,"Archer","16-49 years","Female",156,212
2021-03-07,"Archer","16-49 years","Male",87,124
2021-03-07,"Archer","50-64 years","Female",163,230
2021-03-07,"Archer","50-64 years","Male",116,164
2021-03-07,"Archer","65-79 years","Female",264,321
2021-03-07,"Archer","65-79 years","Male",243,292
2021-03-07,"Archer","80+ years","Female",75,95
2021-03-07,"Archer","80+ years","Male",66,91
2021-03-07,"Archer","16-49 years","Female",156,212
2021-03-07,"Archer","16-49 years","Male",87,124
2021-03-07,"Archer","50-64 years","Female",163,230
2021-03-07,"Archer","50-64 years","Male",116,164
2021-03-07,"Archer","65-79 years","Female",264,321
2021-03-07,"Archer","65-79 years","Male",243,292
2021-03-07,"Archer","80+ years","Female",75,95
2021-03-07,"Archer","80+ years","Male",66,91
2021-02-14,"Armstrong","16-49 years","Female",11,NA
2021-02-14,"Armstrong","50-64 years","Female",16,NA
2021-02-14,"Armstrong","65-79 years","Female",33,NA
2021-02-14,"Armstrong","80+ years","Female",12,NA
2021-02-14,"Armstrong","Unknown","Female",0,NA
2021-02-14,"Armstrong","16-49 years","Male",6,NA
2021-02-14,"Armstrong","50-64 years","Male",11,NA
2021-02-14,"Armstrong","65-79 years","Male",26,NA
2021-02-14,"Armstrong","80+ years","Male",6,NA
2021-02-14,"Armstrong","Unknown","Male",NA,NA
2021-02-14,"Armstrong","16-49 years","Unknown",NA,NA
2021-02-14,"Armstrong","50-64 years","Unknown",NA,NA
2021-02-14,"Armstrong","65-79 years","Unknown",1,NA
2021-02-14,"Armstrong","80+ years","Unknown",NA,NA
2021-02-14,"Armstrong","Unknown","Unknown",NA,NA
2021-02-21,"Armstrong","16-49 years","Female",15,NA
2021-02-21,"Armstrong","50-64 years","Female",23,NA
2021-02-21,"Armstrong","65-79 years","Female",67,NA
2021-02-21,"Armstrong","80+ years","Female",25,NA
2021-02-21,"Armstrong","Unknown","Female",0,NA
2021-02-21,"Armstrong","16-49 years","Male",7,NA
2021-02-21,"Armstrong","50-64 years","Male",19,NA
2021-02-21,"Armstrong","65-79 years","Male",43,NA
2021-02-21,"Armstrong","80+ years","Male",11,NA
2021-02-21,"Armstrong","Unknown","Male",NA,NA
2021-02-21,"Armstrong","16-49 years","Unknown",NA,NA
2021-02-21,"Armstrong","50-64 years","Unknown",NA,NA
2021-02-21,"Armstrong","65-79 years","Unknown",1,NA
2021-02-21,"Armstrong","80+ years","Unknown",NA,NA
2021-02-21,"Armstrong","Unknown","Unknown",NA,NA
2021-02-28,"Armstrong","16-49 years","Female",18,33
2021-02-28,"Armstrong","50-64 years","Female",28,39
2021-02-28,"Armstrong","65-79 years","Female",73,93
2021-02-28,"Armstrong","80+ years","Female",25,38
2021-02-28,"Armstrong","Unknown","Female",0,1
2021-02-28,"Armstrong","16-49 years","Male",13,20
2021-02-28,"Armstrong","50-64 years","Male",21,38
2021-02-28,"Armstrong","65-79 years","Male",51,73
2021-02-28,"Armstrong","80+ years","Male",11,19
2021-02-28,"Armstrong","Unknown","Male",NA,NA
2021-02-28,"Armstrong","16-49 years","Unknown",NA,NA
2021-02-28,"Armstrong","50-64 years","Unknown",NA,NA
2021-02-28,"Armstrong","65-79 years","Unknown",1,1
2021-02-28,"Armstrong","80+ years","Unknown",NA,NA
2021-02-28,"Armstrong","Unknown","Unknown",NA,NA
2021-03-07,"Armstrong","16-49 years","Female",22,40
2021-03-07,"Armstrong","16-49 years","Male",15,26
2021-03-07,"Armstrong","50-64 years","Female",30,51
2021-03-07,"Armstrong","50-64 years","Male",28,49
2021-03-07,"Armstrong","65-79 years","Female",79,104
2021-03-07,"Armstrong","65-79 years","Male",59,79
2021-03-07,"Armstrong","65-79 years","Unknown",1,1
2021-03-07,"Armstrong","80+ years","Female",27,41
2021-03-07,"Armstrong","80+ years","Male",12,19
2021-03-07,"Armstrong","Unknown","Female",0,1
2021-03-07,"Armstrong","16-49 years","Female",22,40
2021-03-07,"Armstrong","16-49 years","Male",15,26
2021-03-07,"Armstrong","50-64 years","Female",30,51
2021-03-07,"Armstrong","50-64 years","Male",28,49
2021-03-07,"Armstrong","65-79 years","Female",79,104
2021-03-07,"Armstrong","65-79 years","Male",59,79
2021-03-07,"Armstrong","65-79 years","Unknown",1,1
2021-03-07,"Armstrong","80+ years","Female",27,41
2021-03-07,"Armstrong","80+ years","Male",12,19
2021-03-07,"Armstrong","Unknown","Female",0,1
2021-02-14,"Atascosa","16-49 years","Female",321,NA
2021-02-14,"Atascosa","50-64 years","Female",211,NA
2021-02-14,"Atascosa","65-79 years","Female",127,NA
2021-02-14,"Atascosa","80+ years","Female",44,NA
2021-02-14,"Atascosa","Unknown","Female",0,NA
2021-02-14,"Atascosa","16-49 years","Male",133,NA
2021-02-14,"Atascosa","50-64 years","Male",111,NA
2021-02-14,"Atascosa","65-79 years","Male",104,NA
2021-02-14,"Atascosa","80+ years","Male",27,NA
2021-02-14,"Atascosa","Unknown","Male",NA,NA
2021-02-14,"Atascosa","16-49 years","Unknown",0,NA
2021-02-14,"Atascosa","50-64 years","Unknown",0,NA
2021-02-14,"Atascosa","65-79 years","Unknown",0,NA
2021-02-14,"Atascosa","80+ years","Unknown",NA,NA
2021-02-14,"Atascosa","Unknown","Unknown",NA,NA
2021-02-21,"Atascosa","16-49 years","Female",395,NA
2021-02-21,"Atascosa","50-64 years","Female",260,NA
2021-02-21,"Atascosa","65-79 years","Female",215,NA
2021-02-21,"Atascosa","80+ years","Female",62,NA
2021-02-21,"Atascosa","Unknown","Female",0,NA
2021-02-21,"Atascosa","16-49 years","Male",158,NA
2021-02-21,"Atascosa","50-64 years","Male",160,NA
2021-02-21,"Atascosa","65-79 years","Male",171,NA
2021-02-21,"Atascosa","80+ years","Male",44,NA
2021-02-21,"Atascosa","Unknown","Male",NA,NA
2021-02-21,"Atascosa","16-49 years","Unknown",1,NA
2021-02-21,"Atascosa","50-64 years","Unknown",0,NA
2021-02-21,"Atascosa","65-79 years","Unknown",NA,NA
2021-02-21,"Atascosa","80+ years","Unknown",0,NA
2021-02-21,"Atascosa","Unknown","Unknown",NA,NA
2021-02-28,"Atascosa","16-49 years","Female",504,789
2021-02-28,"Atascosa","50-64 years","Female",396,714
2021-02-28,"Atascosa","65-79 years","Female",458,903
2021-02-28,"Atascosa","80+ years","Female",114,258
2021-02-28,"Atascosa","Unknown","Female",0,3
2021-02-28,"Atascosa","16-49 years","Male",221,383
2021-02-28,"Atascosa","50-64 years","Male",251,485
2021-02-28,"Atascosa","65-79 years","Male",351,701
2021-02-28,"Atascosa","80+ years","Male",84,177
2021-02-28,"Atascosa","Unknown","Male",NA,NA
2021-02-28,"Atascosa","16-49 years","Unknown",2,3
2021-02-28,"Atascosa","50-64 years","Unknown",0,1
2021-02-28,"Atascosa","65-79 years","Unknown",NA,NA
2021-02-28,"Atascosa","80+ years","Unknown",0,1
2021-02-28,"Atascosa","Unknown","Unknown",NA,NA
2021-03-07,"Atascosa","16-49 years","Female",559,925
2021-03-07,"Atascosa","16-49 years","Male",264,459
2021-03-07,"Atascosa","16-49 years","Unknown",2,9
2021-03-07,"Atascosa","50-64 years","Female",458,859
2021-03-07,"Atascosa","50-64 years","Male",313,590
2021-03-07,"Atascosa","50-64 years","Unknown",1,14
2021-03-07,"Atascosa","65-79 years","Female",547,1079
2021-03-07,"Atascosa","65-79 years","Male",430,844
2021-03-07,"Atascosa","65-79 years","Unknown",0,7
2021-03-07,"Atascosa","80+ years","Female",148,299
2021-03-07,"Atascosa","80+ years","Male",106,206
2021-03-07,"Atascosa","80+ years","Unknown",1,1
2021-03-07,"Atascosa","Unknown","Female",0,2
2021-03-07,"Atascosa","16-49 years","Female",559,925
2021-03-07,"Atascosa","16-49 years","Male",264,459
2021-03-07,"Atascosa","16-49 years","Unknown",2,9
2021-03-07,"Atascosa","50-64 years","Female",458,859
2021-03-07,"Atascosa","50-64 years","Male",313,590
2021-03-07,"Atascosa","50-64 years","Unknown",1,14
2021-03-07,"Atascosa","65-79 years","Female",547,1079
2021-03-07,"Atascosa","65-79 years","Male",430,844
2021-03-07,"Atascosa","65-79 years","Unknown",0,7
2021-03-07,"Atascosa","80+ years","Female",148,299
2021-03-07,"Atascosa","80+ years","Male",106,206
2021-03-07,"Atascosa","80+ years","Unknown",1,1
2021-03-07,"Atascosa","Unknown","Female",0,2
2021-02-14,"Austin","16-49 years","Female",126,NA
2021-02-14,"Austin","50-64 years","Female",86,NA
2021-02-14,"Austin","65-79 years","Female",170,NA
2021-02-14,"Austin","80+ years","Female",91,NA
2021-02-14,"Austin","Unknown","Female",0,NA
2021-02-14,"Austin","16-49 years","Male",59,NA
2021-02-14,"Austin","50-64 years","Male",49,NA
2021-02-14,"Austin","65-79 years","Male",149,NA
2021-02-14,"Austin","80+ years","Male",63,NA
2021-02-14,"Austin","Unknown","Male",NA,NA
2021-02-14,"Austin","16-49 years","Unknown",NA,NA
2021-02-14,"Austin","50-64 years","Unknown",2,NA
2021-02-14,"Austin","65-79 years","Unknown",2,NA
2021-02-14,"Austin","80+ years","Unknown",1,NA
2021-02-14,"Austin","Unknown","Unknown",NA,NA
2021-02-21,"Austin","16-49 years","Female",146,NA
2021-02-21,"Austin","50-64 years","Female",124,NA
2021-02-21,"Austin","65-79 years","Female",264,NA
2021-02-21,"Austin","80+ years","Female",116,NA
2021-02-21,"Austin","Unknown","Female",0,NA
2021-02-21,"Austin","16-49 years","Male",64,NA
2021-02-21,"Austin","50-64 years","Male",70,NA
2021-02-21,"Austin","65-79 years","Male",251,NA
2021-02-21,"Austin","80+ years","Male",76,NA
2021-02-21,"Austin","Unknown","Male",NA,NA
2021-02-21,"Austin","16-49 years","Unknown",2,NA
2021-02-21,"Austin","50-64 years","Unknown",7,NA
2021-02-21,"Austin","65-79 years","Unknown",15,NA
2021-02-21,"Austin","80+ years","Unknown",1,NA
2021-02-21,"Austin","Unknown","Unknown",NA,NA
2021-02-28,"Austin","16-49 years","Female",169,436
2021-02-28,"Austin","50-64 years","Female",172,485
2021-02-28,"Austin","65-79 years","Female",436,1436
2021-02-28,"Austin","80+ years","Female",176,471
2021-02-28,"Austin","Unknown","Female",0,1
2021-02-28,"Austin","16-49 years","Male",85,212
2021-02-28,"Austin","50-64 years","Male",100,297
2021-02-28,"Austin","65-79 years","Male",387,1221
2021-02-28,"Austin","80+ years","Male",120,305
2021-02-28,"Austin","Unknown","Male",NA,NA
2021-02-28,"Austin","16-49 years","Unknown",2,2
2021-02-28,"Austin","50-64 years","Unknown",7,9
2021-02-28,"Austin","65-79 years","Unknown",15,20
2021-02-28,"Austin","80+ years","Unknown",1,2
2021-02-28,"Austin","Unknown","Unknown",NA,NA
2021-03-07,"Austin","16-49 years","Female",199,544
2021-03-07,"Austin","16-49 years","Male",101,314
2021-03-07,"Austin","16-49 years","Unknown",2,2
2021-03-07,"Austin","50-64 years","Female",214,795
2021-03-07,"Austin","50-64 years","Male",122,551
2021-03-07,"Austin","50-64 years","Unknown",7,9
2021-03-07,"Austin","65-79 years","Female",572,1597
2021-03-07,"Austin","65-79 years","Male",509,1319
2021-03-07,"Austin","65-79 years","Unknown",18,23
2021-03-07,"Austin","80+ years","Female",197,537
2021-03-07,"Austin","80+ years","Male",141,357
2021-03-07,"Austin","80+ years","Unknown",1,4
2021-03-07,"Austin","Unknown","Female",0,1
2021-03-07,"Austin","16-49 years","Female",199,544
2021-03-07,"Austin","16-49 years","Male",101,314
2021-03-07,"Austin","16-49 years","Unknown",2,2
2021-03-07,"Austin","50-64 years","Female",214,795
2021-03-07,"Austin","50-64 years","Male",122,551
