Plant,Date,Viral_Load_PCT,p_value,Trend,Date_First,Date_Last,v1_est,v2_est,Viral_Copies_Log
WHITE OAK,2020-07-20,108,,0.06,2020-07-20,2020-07-22,,,11.2802121088522
WEST DISTRICT,2020-07-20,40,,-1.73,2020-07-20,2020-07-22,,,11.7242028116951
WESTWAY,2020-07-20,61,,-0.99,2020-07-20,2020-07-22,,,10.3727327039329
METRO CENTRAL,2020-07-20,56,,-1.36,2020-07-20,2020-07-22,,,10.9428028454953
SOUTHEAST,2020-07-20,59,,-1.11,2020-07-20,2020-07-22,,,11.3733649409112
TURKEY CREEK,2020-07-20,91,,-0.22,2020-07-20,2020-07-22,,,11.4750549619688
UPPER BRAYS,2020-07-20,62,,-0.92,2020-07-20,2020-07-22,,,11.7479296313493
BELTWAY,2020-07-20,70,,-0.74,2020-07-20,2020-07-22,,,11.7336341214531
KEEGANS BAYOU,2020-07-20,49,,-1.29,2020-07-20,2020-07-22,,,12.2611739993898
CHOCOLATE BAYOU,2020-07-20,61,,-1.1,2020-07-20,2020-07-22,,,11.4802410739388
TIDWELL TIMBERS,2020-07-20,29,,-2.6,2020-07-20,2020-07-22,,,10.2062224876929
HOMESTEAD,2020-07-20,107,,-0.02,2020-07-20,2020-07-22,,,11.0455744870181
NORTHEAST,2020-07-20,93,,-0.46,2020-07-20,2020-07-22,,,11.3474733841575
KINGWOOD CENTRAL,2020-07-20,64,,-0.95,2020-07-20,2020-07-22,,,11.1492962965994
KINGWOOD WEST,2020-07-20,32,,-2.16,2020-07-20,2020-07-22,,,10.4989285282534
MUD203,2020-07-20,55,,-1.23,2020-07-20,2020-07-22,,,10.469153683634
WCID47,2020-07-20,70,,-0.81,2020-07-20,2020-07-22,,,11.5781085461463
WCID76,2020-07-20,93,,-0.49,2020-07-20,2020-07-22,,,10.6847046396556
WCID111,2020-07-20,67,,-1,2020-07-20,2020-07-22,,,11.5830780941327
FWSD23,2020-07-20,51,,-1.16,2020-07-20,2020-07-22,,,11.1483153956801
WEST LAKE,2020-07-20,,,,2020-07-20,2020-07-22,,,
z.TOTAL,2020-07-20,54,,-1.01,2020-07-20,2020-07-22,,,13.2402151099908
CEDAR BAYOU,2020-07-27,91,,-0.58,2020-07-27,2020-07-29,,,10.6088105627408
CLINTON PARK,2020-07-27,32,,-1.31,2020-07-27,2020-07-29,,,10.0019974231782
EASTHAVEN,2020-07-27,45,,-1.11,2020-07-27,2020-07-29,,,10.9892566486425
ALMEDA SIMS,2020-07-27,65,,-0.68,2020-07-27,2020-07-29,,,11.717530718228
GREENRIDGE,2020-07-27,66,,-0.56,2020-07-27,2020-07-29,,,11.3523756556921
IMPERIAL VALLEY,2020-07-27,40,,-1.16,2020-07-27,2020-07-29,,,11.1905365643787
INTERCONTINENTAL AIRPORT,2020-07-27,45,,-0.82,2020-07-27,2020-07-29,,,10.8202479270196
FOREST COVE,2020-07-27,55,,-0.86,2020-07-27,2020-07-29,,,10.0672538011487
NORTHWEST,2020-07-27,54,,-0.71,2020-07-27,2020-07-29,,,11.9892625546522
NORTHBELT,2020-07-27,42,,-1.08,2020-07-27,2020-07-29,,,11.1389044207166
NORTHGATE,2020-07-27,42,,-1.14,2020-07-27,2020-07-29,,,11.425369589956
69TH STREET,2020-07-27,58,,-0.54,2020-07-27,2020-07-29,,,12.4765042603512
PARK TEN,2020-07-27,69,,-0.35,2020-07-27,2020-07-29,,,10.6618449918567
SAGEMONT,2020-07-27,47,,-1.17,2020-07-27,2020-07-29,,,11.4778673080241
SIMS BAYOU,2020-07-27,62,,-0.67,2020-07-27,2020-07-29,,,12.2115782776237
SOUTHWEST,2020-07-27,16,,-2.02,2020-07-27,2020-07-29,,,12.1178549526385
WILLOWBROOK,2020-07-27,135,,0.18,2020-07-27,2020-07-29,,,10.9950185268675
WHITE OAK,2020-07-27,106,,-0.07,2020-07-27,2020-07-29,,,11.2723027559629
WEST DISTRICT,2020-07-27,27,,-1.51,2020-07-27,2020-07-29,,,11.5470062624547
WESTWAY,2020-07-27,47,,-1.09,2020-07-27,2020-07-29,,,10.2598832112756
METRO CENTRAL,2020-07-27,41,,-1.2,2020-07-27,2020-07-29,,,10.8110615568183
SOUTHEAST,2020-07-27,46,,-0.96,2020-07-27,2020-07-29,,,11.2644193480428
TURKEY CREEK,2020-07-27,84,,-0.29,2020-07-27,2020-07-29,,,11.4416053606536
UPPER BRAYS,2020-07-27,50,,-0.79,2020-07-27,2020-07-29,,,11.6554321649586
BELTWAY,2020-07-27,58,,-0.7,2020-07-27,2020-07-29,,,11.6511073117247
KEEGANS BAYOU,2020-07-27,35,,-1.22,2020-07-27,2020-07-29,,,12.1117921608902
CHOCOLATE BAYOU,2020-07-27,46,,-1.02,2020-07-27,2020-07-29,,,11.362911318475
TIDWELL TIMBERS,2020-07-27,17,,-2.37,2020-07-27,2020-07-29,,,9.96387403476368
HOMESTEAD,2020-07-27,102,,-0.19,2020-07-27,2020-07-29,,,11.0249444073079
NORTHEAST,2020-07-27,82,,-0.45,2020-07-27,2020-07-29,,,11.2958500996888
KINGWOOD CENTRAL,2020-07-27,51,,-0.87,2020-07-27,2020-07-29,,,11.0519584562919
KINGWOOD WEST,2020-07-27,20,,-1.9,2020-07-27,2020-07-29,,,10.2991633929214
MUD203,2020-07-27,42,,-1.17,2020-07-27,2020-07-29,,,10.3470801999059
WCID47,2020-07-27,55,,-0.91,2020-07-27,2020-07-29,,,11.4722399333335
WCID76,2020-07-27,79,,-0.69,2020-07-27,2020-07-29,,,10.6105325323473
WCID111,2020-07-27,51,,-1.01,2020-07-27,2020-07-29,,,11.466383456377
FWSD23,2020-07-27,40,,-1.02,2020-07-27,2020-07-29,,,11.0344303713855
WEST LAKE,2020-07-27,,,,2020-07-27,2020-07-29,,,
z.TOTAL,2020-07-27,42,,-0.84,2020-07-27,2020-07-29,,,13.1289154011983
CEDAR BAYOU,2020-08-03,73,,-0.94,2020-08-03,2020-08-05,,,10.5092919464002
CLINTON PARK,2020-08-03,26,,-0.91,2020-08-03,2020-08-05,,,9.91084635839506
EASTHAVEN,2020-08-03,34,,-1.09,2020-08-03,2020-08-05,,,10.8698678968368
ALMEDA SIMS,2020-08-03,54,,-0.67,2020-08-03,2020-08-05,,,11.6391915208412
GREENRIDGE,2020-08-03,56,,-0.61,2020-08-03,2020-08-05,,,11.283486632082
IMPERIAL VALLEY,2020-08-03,32,,-0.91,2020-08-03,2020-08-05,,,11.0891184901521
