"Date","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Group_Type"
2020-06-05,"80+ years",653,0.043,0,265,0.399,0,"Age"
2020-06-05,"Unknown",123,0.008,0,2,0.003,0,"Age"
2020-06-06,"<1 year",38,0.003,0,0,0,0,"Age"
2020-06-06,"1-9 years",174,0.011,0,0,0,0,"Age"
2020-06-06,"10-19 years",452,0.03,0,2,0.003,0,"Age"
2020-06-06,"20-29 years",2333,0.1537903757416,3,11,0.017,0,"Age"
2020-06-06,"30-39 years",2784,0.184,7,13,0.02,0,"Age"
2020-06-06,"40-49 years",2835,0.187,5,26,0.039,0,"Age"
2020-06-06,"50-59 years",2801,0.185,8,72,0.108,0,"Age"
2020-06-06,"60-64 years",1181,0.078,2,60,0.09,0,"Age"
2020-06-06,"65-69 years",861,0.057,1,74,0.111,0,"Age"
2020-06-06,"70-74 years",559,0.037,1,69,0.1039156626506,0,"Age"
2020-06-06,"75-79 years",374,0.0246539222149,1,70,0.105,0,"Age"
2020-06-06,"80+ years",655,0.043,2,265,0.399,0,"Age"
2020-06-06,"Unknown",123,0.008,0,2,0.003,0,"Age"
2020-06-08,"<1 year",38,0.00250494396836,0,0,0,0,"Age"
2020-06-08,"1-9 years",174,0.01147000659196,0,0,0,0,"Age"
2020-06-08,"10-19 years",452,0.02979564930784,0,2,0.00301204819277,0,"Age"
2020-06-08,"20-29 years",2333,0.1537903757416,0,11,0.01656626506024,0,"Age"
2020-06-08,"30-39 years",2784,0.18352010547133,0,13,0.01957831325301,0,"Age"
2020-06-08,"40-49 years",2835,0.18688200395517,0,26,0.03915662650602,0,"Age"
2020-06-08,"50-59 years",2801,0.18464073829927,0,72,0.10843373493976,0,"Age"
2020-06-08,"60-64 years",1181,0.07785102175346,0,60,0.09036144578313,0,"Age"
2020-06-08,"65-69 years",861,0.05675675675676,0,74,0.11144578313253,0,"Age"
2020-06-08,"70-74 years",559,0.03684904416612,0,69,0.1039156626506,0,"Age"
2020-06-08,"75-79 years",374,0.0246539222149,0,70,0.10542168674699,0,"Age"
2020-06-08,"80+ years",655,0.04317732366513,0,265,0.39909638554217,0,"Age"
2020-06-08,"Unknown",123,0.00810810810811,0,2,0.00301204819277,0,"Age"
2020-06-09,"<1 year",38,0.2504943968,0,0,0,0,"Age"
2020-06-09,"1-9 years",174,1.1470006592,0,0,0,0,"Age"
2020-06-09,"10-19 years",452,2.9795649308,0,2,0.3012048193,0,"Age"
2020-06-09,"20-29 years",2333,15.379037574,0,11,1.656626506,0,"Age"
2020-06-09,"30-39 years",2784,18.352010547,0,13,1.9578313253,0,"Age"
2020-06-09,"40-49 years",2835,18.688200396,0,26,3.9156626506,0,"Age"
2020-06-09,"50-59 years",2801,18.46407383,0,72,10.843373494,0,"Age"
2020-06-09,"60-64 years",1181,7.7851021753,0,60,9.0361445783,0,"Age"
2020-06-09,"65-69 years",861,5.6756756757,0,74,11.144578313,0,"Age"
2020-06-09,"70-74 years",559,3.6849044166,0,69,10.391566265,0,"Age"
2020-06-09,"75-79 years",374,2.4653922215,0,70,10.542168675,0,"Age"
2020-06-09,"80+ years",655,4.3177323665,0,265,39.909638554,0,"Age"
2020-06-09,"Unknown",123,0.8108108108,0,2,0.3012048193,0,"Age"
2020-06-10,"<1 year",40,0.00257848256301167,2,0,0,0,"Age"
2020-06-10,"1-9 years",177,0.0114097853413266,3,0,0,0,"Age"
2020-06-10,"10-19 years",463,0.0298459356668601,11,2,0.00301204819277108,0,"Age"
2020-06-10,"20-29 years",2417,0.15580480886998,84,11,0.016566265060241,0,"Age"
2020-06-10,"30-39 years",2853,0.183910268806807,69,13,0.019578313253012,0,"Age"
2020-06-10,"40-49 years",2897,0.18674659962612,62,26,0.0391566265060241,0,"Age"
2020-06-10,"50-59 years",2847,0.183523496422355,46,72,0.108433734939759,0,"Age"
2020-06-10,"60-64 years",1206,0.0777412492748018,25,60,0.0903614457831325,0,"Age"
2020-06-10,"65-69 years",874,0.0563398440018049,13,74,0.11144578313253,0,"Age"
2020-06-10,"70-74 years",571,0.0368078385869916,12,69,0.103915662650602,0,"Age"
2020-06-10,"75-79 years",383,0.0246889705408367,9,70,0.105421686746988,0,"Age"
2020-06-10,"80+ years",662,0.0426738864178431,7,265,0.399096385542169,0,"Age"
2020-06-10,"Unknown",123,0.00792883388126088,0,2,0.00301204819277108,0,"Age"
2020-06-11,"<1 year",40,0.00257152041144327,0,0,0,0,"Age"
2020-06-11,"1-9 years",178,0.0114432658309225,1,0,0,0,"Age"
2020-06-11,"10-19 years",465,0.029893924783028,2,2,0.00301204819277108,0,"Age"
2020-06-11,"20-29 years",2424,0.155834136933462,7,11,0.016566265060241,0,"Age"
2020-06-11,"30-39 years",2859,0.183799421407907,6,13,0.019578313253012,0,"Age"
2020-06-11,"40-49 years",2901,0.186499517839923,4,26,0.0391566265060241,0,"Age"
2020-06-11,"50-59 years",2855,0.183542269366763,8,72,0.108433734939759,0,"Age"
