"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Cases_Daily_NO_NEGATIVE","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Deaths_Daily_NO_NEGATIVE"
2020-06-02,"Age","30-39 years",2749,0.183376692682276,4,4,9,0.0181818181818182,0,0
2020-06-02,"Age","40-49 years",2806,0.187178974051097,1,1,21,0.0424242424242424,0,0
2020-06-02,"Age","50-59 years",2759,0.184043759589087,6,6,54,0.109090909090909,0,0
2020-06-02,"Age","60-64 years",1164,0.0776465879527717,3,3,45,0.0909090909090909,0,0
2020-06-02,"Age","65-69 years",846,0.0564338603161897,1,1,58,0.117171717171717,0,0
2020-06-02,"Age","70-74 years",552,0.0368220932559536,0,0,47,0.094949494949495,0,0
2020-06-02,"Age","75-79 years",367,0.0244813554799546,1,1,46,0.0929292929292929,1,1
2020-06-02,"Age","80+ years",652,0.0434927623240611,1,1,199,0.402020202020202,0,0
2020-06-02,"Age","<1 year",38,0.00253485424588086,0,0,0,0,0,0
2020-06-02,"Age","Unknown",123,0.00820492295377226,0,0,3,0.00606060606060606,0,0
2020-06-02,"Gender","Female",6760,0.450937229004069,9,9,193,0.38989898989899,1,1
2020-06-02,"Gender","Male",7948,0.530184777533187,12,12,271,0.547474747474747,0,0
2020-06-02,"Gender","Unknown",283,0.0188779934627443,0,0,31,0.0626262626262626,0,0
2020-06-02,"Race","Asian",500,0.0333533453405377,0,0,6,0.0121212121212121,0,0
2020-06-02,"Race","Black",2369,0.158028150223467,4,4,67,0.135353535353535,0,0
2020-06-02,"Race","Hispanic",5963,0.397771996531252,12,12,123,0.248484848484848,1,1
2020-06-02,"Race","Other",96,0.00640384230538323,0,0,1,0.00202020202020202,0,0
2020-06-02,"Race","Unknown",1942,0.129544393302648,0,0,115,0.232323232323232,0,0
2020-06-02,"Race","White",4121,0.274898272296711,5,5,183,0.36969696969697,0,0
2020-06-04,"Age","1-9 years",174,0.011502611224962,1,1,0,0,0,0
2020-06-04,"Age","10-19 years",452,0.029880346400476,7,7,2,0.00301204819277108,0,0
2020-06-04,"Age","20-29 years",2329,0.153963112315727,12,12,11,0.016566265060241,0,0
2020-06-04,"Age","30-39 years",2776,0.183512923910888,27,27,13,0.019578313253012,4,4
2020-06-04,"Age","40-49 years",2829,0.187016592847227,23,23,26,0.0391566265060241,5,5
2020-06-04,"Age","50-59 years",2789,0.184372314404707,30,30,72,0.108433734939759,18,18
2020-06-04,"Age","60-64 years",1176,0.0777417862100879,12,12,60,0.0903614457831325,15,15
2020-06-04,"Age","65-69 years",859,0.0567858795531169,13,13,74,0.11144578313253,16,16
2020-06-04,"Age","70-74 years",556,0.036755470351028,4,4,69,0.103915662650602,22,22
2020-06-04,"Age","75-79 years",373,0.024657896476499,6,6,70,0.105421686746988,24,24
2020-06-04,"Age","80+ years",653,0.043167845574139,1,1,265,0.399096385542169,66,66
2020-06-04,"Age","<1 year",38,0.002512064520394,0,0,0,0,0,0
2020-06-04,"Age","Unknown",123,0.00813115621074899,0,0,2,0.00301204819277108,-1,0
2020-06-04,"Gender","Female",6777,0.448006875123951,17,17,272,0.409638554216867,79,79
2020-06-04,"Gender","Male",8066,0.533218747934157,118,118,364,0.548192771084337,93,93
2020-06-04,"Gender","Unknown",284,0.018774376941892,1,1,28,0.0421686746987952,-3,0
2020-06-04,"Race","Asian",503,0.033251801414689,3,3,13,0.019578313253012,7,7
2020-06-04,"Race","Black",2404,0.158921134395452,35,35,85,0.128012048192771,18,18
2020-06-04,"Race","Hispanic",6018,0.397831691677134,55,55,171,0.257530120481928,48,48
2020-06-04,"Race","Other",97,0.00641237522311099,1,1,5,0.00753012048192771,4,4
2020-06-04,"Race","Unknown",1948,0.128776360150724,6,6,121,0.182228915662651,6,6
2020-06-04,"Race","White",4157,0.274806637138891,36,36,269,0.405120481927711,86,86
2020-06-05,"Age","1-9 years",174,0.0114927344782034,0,0,0,0,0,0
2020-06-05,"Age","10-19 years",452,0.0298546895640687,0,0,2,0.00301204819277108,0,0
2020-06-05,"Age","20-29 years",2330,0.153896961690885,1,1,11,0.016566265060241,0,0
2020-06-05,"Age","30-39 years",2777,0.183421400264201,1,1,13,0.019578313253012,0,0
2020-06-05,"Age","40-49 years",2830,0.186922060766182,1,1,26,0.0391566265060241,0,0
2020-06-05,"Age","50-59 years",2793,0.18447820343461,4,4,72,0.108433734939759,0,0
2020-06-05,"Age","60-64 years",1179,0.0778731836195509,3,3,60,0.0903614457831325,0,0
2020-06-05,"Age","65-69 years",860,0.0568031704095112,1,1,74,0.11144578313253,0,0
2020-06-05,"Age","70-74 years",558,0.0368560105680317,2,2,69,0.103915662650602,0,0
2020-06-05,"Age","75-79 years",373,0.0246367239101717,0,0,70,0.105421686746988,0,0
2020-06-05,"Age","80+ years",653,0.0431307793923382,0,0,265,0.399096385542169,0,0
2020-06-05,"Age","<1 year",38,0.00250990752972259,0,0,0,0,0,0
2020-06-05,"Age","Unknown",123,0.00812417437252312,0,0,2,0.00301204819277108,0,0
2020-06-05,"Gender","Female",6777,0.447622192866579,0,0,272,0.409638554216867,0,0
2020-06-05,"Gender","Male",8079,0.533619550858653,13,13,364,0.548192771084337,0,0
2020-06-05,"Gender","Unknown",284,0.0187582562747688,0,0,28,0.0421686746987952,0,0
2020-06-05,"Race","Asian",503,0.033223249669749,0,0,13,0.019578313253012,0,0
2020-06-05,"Race","Black",2407,0.158982826948481,3,3,85,0.128012048192771,0,0
2020-06-05,"Race","Hispanic",6023,0.39782034346103,5,5,171,0.257530120481928,0,0
2020-06-05,"Race","Other",97,0.00640686922060766,0,0,5,0.00753012048192771,0,0
2020-06-05,"Race","Unknown",1949,0.128731836195509,1,1,121,0.182228915662651,0,0
2020-06-05,"Race","White",4161,0.274834874504624,4,4,269,0.405120481927711,0,0
2020-06-06,"Age","1-9 years",174,0.0114700065919578,0,0,0,0,0,0
2020-06-06,"Age","10-19 years",452,0.0297956493078444,0,0,2,0.00301204819277108,0,0
2020-06-06,"Age","20-29 years",2333,0.153790375741595,3,3,11,0.016566265060241,0,0
2020-06-06,"Age","30-39 years",2784,0.183520105471325,7,7,13,0.019578313253012,0,0
2020-06-06,"Age","40-49 years",2835,0.186882003955175,5,5,26,0.0391566265060241,0,0
2020-06-06,"Age","50-59 years",2801,0.184640738299275,8,8,72,0.108433734939759,0,0
2020-06-06,"Age","60-64 years",1181,0.0778510217534608,2,2,60,0.0903614457831325,0,0
2020-06-06,"Age","65-69 years",861,0.0567567567567568,1,1,74,0.11144578313253,0,0
2020-06-06,"Age","70-74 years",559,0.0368490441661173,1,1,69,0.103915662650602,0,0
2020-06-06,"Age","75-79 years",374,0.0246539222148978,1,1,70,0.105421686746988,0,0
2020-06-06,"Age","80+ years",655,0.0431773236651285,2,2,265,0.399096385542169,0,0
2020-06-06,"Age","<1 year",38,0.0025049439683586,0,0,0,0,0,0
2020-06-06,"Age","Unknown",123,0.00810810810810811,0,0,2,0.00301204819277108,0,0
2020-06-06,"Gender","Female",6778,0.446802900461437,1,1,272,0.409638554216867,0,0
2020-06-06,"Gender","Male",8108,0.534475939353988,29,29,364,0.548192771084337,0,0
2020-06-06,"Gender","Unknown",284,0.0187211601845748,0,0,28,0.0421686746987952,0,0
2020-06-06,"Race","Asian",503,0.0331575477916941,0,0,13,0.019578313253012,0,0
2020-06-06,"Race","Black",2413,0.159063941990771,6,6,85,0.128012048192771,0,0
2020-06-06,"Race","Hispanic",6034,0.3977587343441,11,11,171,0.257530120481928,0,0
2020-06-06,"Race","Other",97,0.00639419907712591,0,0,5,0.00753012048192771,0,0
2020-06-06,"Race","Unknown",1949,0.12847725774555,0,0,121,0.182228915662651,0,0
2020-06-06,"Race","White",4174,0.275148319050758,13,13,269,0.405120481927711,0,0
2020-06-08,"Age","1-9 years",174,0.0114700065919578,0,0,0,0,0,0
2020-06-08,"Age","10-19 years",452,0.0297956493078444,0,0,2,0.00301204819277108,0,0
2020-06-08,"Age","20-29 years",2333,0.153790375741595,0,0,11,0.016566265060241,0,0
2020-06-08,"Age","30-39 years",2784,0.183520105471325,0,0,13,0.019578313253012,0,0
2020-06-08,"Age","40-49 years",2835,0.186882003955175,0,0,26,0.0391566265060241,0,0
2020-06-08,"Age","50-59 years",2801,0.184640738299275,0,0,72,0.108433734939759,0,0
2020-06-08,"Age","60-64 years",1181,0.0778510217534608,0,0,60,0.0903614457831325,0,0
2020-06-08,"Age","65-69 years",861,0.0567567567567568,0,0,74,0.11144578313253,0,0
2020-06-08,"Age","70-74 years",559,0.0368490441661173,0,0,69,0.103915662650602,0,0
2020-06-08,"Age","75-79 years",374,0.0246539222148978,0,0,70,0.105421686746988,0,0
2020-06-08,"Age","80+ years",655,0.0431773236651285,0,0,265,0.399096385542169,0,0
2020-06-08,"Age","<1 year",38,0.0025049439683586,0,0,0,0,0,0
2020-06-08,"Age","Unknown",123,0.00810810810810811,0,0,2,0.00301204819277108,0,0
2020-06-08,"Gender","Female",6778,0.446802900461437,0,0,272,0.409638554216867,0,0
2020-06-08,"Gender","Male",8108,0.534475939353988,0,0,364,0.548192771084337,0,0
2020-06-08,"Gender","Unknown",284,0.0187211601845748,0,0,28,0.0421686746987952,0,0
2020-06-08,"Race","Asian",503,0.0331575477916941,0,0,13,0.019578313253012,0,0
