Date,County,Location_ID,sample_location,key_plot_id,ptc_15d,detect_prop_15d,percentile
2021-08-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-31,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,224,100,
2021-09-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,45,100,
2021-09-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,45,100,
2021-09-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,45,100,
2021-09-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,45,100,
2021-09-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,45,100,
2021-09-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,45,100,
2021-09-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,45,100,
2021-09-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-35,100,
2021-09-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-71,100,
2021-09-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-71,100,
2021-09-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-71,100,
2021-09-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-71,100,
2021-09-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-71,100,
2021-09-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-71,100,
2021-09-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-39,100,
2021-09-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,25,100,
2021-09-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,25,100,
2021-09-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,25,100,
2021-10-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,25,100,
2021-10-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,25,100,
