County,Race/Ethnicity,Boosted,Date
Brazoria,Asian,40053,2022-09-06
Brazoria,Black,74165,2022-09-06
Brazoria,Hispanic,131268,2022-09-06
Brazoria,Other,142970,2022-09-06
Brazoria,Unknown,13129,2022-09-06
Brazoria,White,169980,2022-09-06
Brazos,Asian,19970,2022-09-06
Brazos,Black,21916,2022-09-06
Brazos,Hispanic,56033,2022-09-06
Brazos,Other,61263,2022-09-06
Brazos,Unknown,9291,2022-09-06
Brazos,White,137628,2022-09-06
Brewster,Asian,105,2022-09-06
Brewster,Black,87,2022-09-06
Brewster,Hispanic,5071,2022-09-06
Brewster,Other,1565,2022-09-06
Brewster,Unknown,936,2022-09-06
Brewster,White,5938,2022-09-06
Briscoe,Asian,2,2022-09-06
Briscoe,Black,35,2022-09-06
Briscoe,Hispanic,329,2022-09-06
Briscoe,Other,257,2022-09-06
Briscoe,Unknown,15,2022-09-06
Briscoe,White,1072,2022-09-06
Brooks,Asian,20,2022-09-06
Brooks,Black,13,2022-09-06
Brooks,Hispanic,36438,2022-09-06
Brooks,Other,1730,2022-09-06
Brooks,Unknown,1225,2022-09-06
Brooks,White,3371,2022-09-06
Brown,Asian,259,2022-09-06
Brown,Black,1129,2022-09-06
Brown,Hispanic,6448,2022-09-06
Brown,Other,7251,2022-09-06
Brown,Unknown,3029,2022-09-06
Brown,White,18900,2022-09-06
Burleson,Asian,133,2022-09-06
Burleson,Black,2254,2022-09-06
Burleson,Hispanic,3258,2022-09-06
Burleson,Other,2939,2022-09-06
Burleson,Unknown,1068,2022-09-06
Burleson,White,12687,2022-09-06
Burnet,Asian,584,2022-09-06
Burnet,Black,785,2022-09-06
Burnet,Hispanic,8023,2022-09-06
Burnet,Other,16883,2022-09-06
Burnet,Unknown,1826,2022-09-06
Burnet,White,38473,2022-09-06
Caldwell,Asian,262,2022-09-06
Caldwell,Black,1946,2022-09-06
Caldwell,Hispanic,23825,2022-09-06
Caldwell,Other,12861,2022-09-06
Caldwell,Unknown,4242,2022-09-06
Caldwell,White,19784,2022-09-06
Calhoun,Asian,1573,2022-09-06
Calhoun,Black,473,2022-09-06
Calhoun,Hispanic,11588,2022-09-06
Calhoun,Other,3522,2022-09-06
Calhoun,Unknown,899,2022-09-06
Calhoun,White,10732,2022-09-06
Callahan,Asian,81,2022-09-06
Callahan,Black,41,2022-09-06
Callahan,Hispanic,1024,2022-09-06
Callahan,Other,1381,2022-09-06
Callahan,Unknown,904,2022-09-06
Callahan,White,9734,2022-09-06
Cameron,Asian,2316,2022-09-06
Cameron,Black,1334,2022-09-06
Cameron,Hispanic,681828,2022-09-06
Cameron,Other,90391,2022-09-06
Cameron,Unknown,50101,2022-09-06
Cameron,White,121885,2022-09-06
Camp,Asian,125,2022-09-06
Camp,Black,2011,2022-09-06
Camp,Hispanic,2944,2022-09-06
Camp,Other,2096,2022-09-06
Camp,Unknown,356,2022-09-06
Camp,White,6904,2022-09-06
