County,Date,viral_load,source
Dallas,2023-07-05,65.97792459940904,biobot
Dallas,2023-07-12,103.60449866247912,biobot
Dallas,2023-07-19,71.19733214000408,biobot
Dallas,2023-07-26,205.49507340942705,biobot
Dallas,2023-08-02,180.8427226336429,biobot
Dallas,2023-08-09,150.3315559221794,biobot
Dallas,2023-08-16,279.6190072868064,biobot
Dallas,2023-08-23,433.99564819641006,biobot
Dallas,2023-08-30,605.2246167536676,biobot
El Paso,2022-06-29,389.91638938380135,biobot
El Paso,2022-07-06,397.2385385159205,biobot
El Paso,2022-07-13,508.21984670484767,biobot
El Paso,2022-07-20,503.2321057588235,biobot
El Paso,2022-07-27,422.3526560844172,biobot
El Paso,2022-08-03,437.2724279493179,biobot
El Paso,2022-08-10,343.8445190273377,biobot
El Paso,2022-08-17,278.6617786625298,biobot
El Paso,2022-08-24,186.86402997418543,biobot
El Paso,2022-08-31,164.69938312158118,biobot
El Paso,2022-09-07,106.3728695678205,biobot
El Paso,2022-09-14,91.0656910420861,biobot
El Paso,2022-09-28,69.59486234022516,biobot
El Paso,2022-10-05,81.60289050853642,biobot
El Paso,2022-10-12,78.30289788206622,biobot
El Paso,2022-10-19,75.5615952216755,biobot
El Paso,2022-10-26,86.51734545254304,biobot
El Paso,2022-11-02,136.73543980828475,biobot
El Paso,2022-11-09,268.5760792391258,biobot
El Paso,2022-11-16,402.306756989808,biobot
El Paso,2022-11-23,486.3491451356557,biobot
El Paso,2022-11-30,596.2537336358411,biobot
El Paso,2022-12-07,473.2231470788543,biobot
El Paso,2022-12-14,530.6734135171569,biobot
El Paso,2022-12-21,391.2950696876556,biobot
El Paso,2022-12-28,366.56143714,biobot
El Paso,2023-01-04,252.11121167216703,biobot
El Paso,2023-01-11,211.7198146542781,biobot
El Paso,2023-01-18,200.9615656766888,biobot
El Paso,2023-01-25,172.24942214972182,biobot
El Paso,2023-02-01,135.63296985218545,biobot
El Paso,2023-02-08,174.46640272038408,biobot
El Paso,2023-02-15,152.35824981845033,biobot
El Paso,2023-02-22,181.3246757762318,biobot
El Paso,2023-03-01,169.50228646417222,biobot
El Paso,2023-03-08,150.10828310375214,biobot
El Paso,2023-03-15,177.38661232954965,biobot
El Paso,2023-03-22,224.0174558250164,biobot
El Paso,2023-03-29,165.053716530755,biobot
El Paso,2023-04-05,216.92770171627816,biobot
El Paso,2023-04-12,198.9646507581192,biobot
El Paso,2023-04-19,141.5058887435497,biobot
El Paso,2023-04-26,142.0427921769404,biobot
El Paso,2023-05-03,136.7602509089669,biobot
El Paso,2023-05-10,94.23308339108608,biobot
El Paso,2023-05-17,119.56153698878146,biobot
El Paso,2023-05-24,91.25301234468212,biobot
El Paso,2023-05-31,56.04631838531125,biobot
El Paso,2023-06-07,37.093471418814566,biobot
El Paso,2023-06-14,47.1437970802053,biobot
El Paso,2023-06-21,36.12911981139073,biobot
