"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2020-06-01,"Race","Unknown",1942,0.129726118904476,115,0.232793522267206
2020-06-01,"Race","White",4116,0.274949899799599,183,0.370445344129555
2020-06-02,"Age","1-9 years",173,0.011540257487826,0,0
2020-06-02,"Age","10-19 years",445,0.0296844773530785,2,0.00404040404040404
2020-06-02,"Age","20-29 years",2317,0.154559402308051,11,0.0222222222222222
2020-06-02,"Age","30-39 years",2749,0.183376692682276,9,0.0181818181818182
2020-06-02,"Age","40-49 years",2806,0.187178974051097,21,0.0424242424242424
2020-06-02,"Age","50-59 years",2759,0.184043759589087,54,0.109090909090909
2020-06-02,"Age","60-64 years",1164,0.0776465879527717,45,0.0909090909090909
2020-06-02,"Age","65-69 years",846,0.0564338603161897,58,0.117171717171717
2020-06-02,"Age","70-74 years",552,0.0368220932559536,47,0.094949494949495
2020-06-02,"Age","75-79 years",367,0.0244813554799546,46,0.0929292929292929
2020-06-02,"Age","80+ years",652,0.0434927623240611,199,0.402020202020202
2020-06-02,"Age","<1 year",38,0.00253485424588086,0,0
2020-06-02,"Age","Unknown",123,0.00820492295377226,3,0.00606060606060606
2020-06-02,"Gender","Female",6760,0.450937229004069,193,0.38989898989899
2020-06-02,"Gender","Male",7948,0.530184777533187,271,0.547474747474747
2020-06-02,"Gender","Unknown",283,0.0188779934627443,31,0.0626262626262626
2020-06-02,"Race","Asian",500,0.0333533453405377,6,0.0121212121212121
2020-06-02,"Race","Black",2369,0.158028150223467,67,0.135353535353535
2020-06-02,"Race","Hispanic",5963,0.397771996531252,123,0.248484848484848
2020-06-02,"Race","Other",96,0.00640384230538323,1,0.00202020202020202
2020-06-02,"Race","Unknown",1942,0.129544393302648,115,0.232323232323232
2020-06-02,"Race","White",4121,0.274898272296711,183,0.36969696969697
2020-06-04,"Age","1-9 years",174,0.011502611224962,0,0
2020-06-04,"Age","10-19 years",452,0.029880346400476,2,0.00301204819277108
2020-06-04,"Age","20-29 years",2329,0.153963112315727,11,0.016566265060241
2020-06-04,"Age","30-39 years",2776,0.183512923910888,13,0.019578313253012
2020-06-04,"Age","40-49 years",2829,0.187016592847227,26,0.0391566265060241
2020-06-04,"Age","50-59 years",2789,0.184372314404707,72,0.108433734939759
2020-06-04,"Age","60-64 years",1176,0.0777417862100879,60,0.0903614457831325
2020-06-04,"Age","65-69 years",859,0.0567858795531169,74,0.11144578313253
2020-06-04,"Age","70-74 years",556,0.036755470351028,69,0.103915662650602
2020-06-04,"Age","75-79 years",373,0.024657896476499,70,0.105421686746988
2020-06-04,"Age","80+ years",653,0.043167845574139,265,0.399096385542169
2020-06-04,"Age","<1 year",38,0.002512064520394,0,0
2020-06-04,"Age","Unknown",123,0.00813115621074899,2,0.00301204819277108
2020-06-04,"Gender","Female",6777,0.448006875123951,272,0.409638554216867
2020-06-04,"Gender","Male",8066,0.533218747934157,364,0.548192771084337
2020-06-04,"Gender","Unknown",284,0.018774376941892,28,0.0421686746987952
2020-06-04,"Race","Asian",503,0.033251801414689,13,0.019578313253012
2020-06-04,"Race","Black",2404,0.158921134395452,85,0.128012048192771
2020-06-04,"Race","Hispanic",6018,0.397831691677134,171,0.257530120481928
2020-06-04,"Race","Other",97,0.00641237522311099,5,0.00753012048192771
2020-06-04,"Race","Unknown",1948,0.128776360150724,121,0.182228915662651
2020-06-04,"Race","White",4157,0.274806637138891,269,0.405120481927711
2020-06-05,"Age","1-9 years",174,0.0114927344782034,0,0
2020-06-05,"Age","10-19 years",452,0.0298546895640687,2,0.00301204819277108
