"District","LEA","County"
"Texline ISD",56902,"Dallam"
"Carrollton-Farmers
Branch ISD",57903,"Collin"
"Cedar Hill ISD",57904,"Dallas"
"Dallas ISD",57905,"Collin"
"Desoto ISD",57906,"Dallas"
"Duncanville ISD",57907,"Dallas"
"Garland ISD",57909,"Collin"
"Grand Prairie ISD",57910,"Dallas"
"Highland Park ISD",57911,"Dallas"
"Irving ISD",57912,"Dallas"
"Lancaster ISD",57913,"Dallas"
"Mesquite ISD",57914,"Dallas"
"Richardson ISD",57916,"Collin"
"Sunnyvale ISD",57919,"Dallas"
"Coppell ISD",57922,"Dallas"
"Dawson ISD",58902,"Dawson"
"Klondike ISD",58905,"Andrews"
"Lamesa ISD",58906,"Borden"
"Sands Cisd",58909,"Borden"
"Hereford ISD",59901,"Castro"
"Walcott ISD",59902,"Deaf Smith"
"Cooper ISD",60902,"Delta"
"Fannindel ISD",60914,"Delta"
"Denton ISD",61901,"Denton"
"Lewisville ISD",61902,"Collin"
"Pilot Point ISD",61903,"Collin"
"Krum ISD",61905,"Denton"
"Ponder ISD",61906,"Denton"
"Aubrey ISD",61907,"Denton"
"Sanger ISD",61908,"Cooke"
"Argyle ISD",61910,"Denton"
"Northwest ISD",61911,"Denton"
"Lake Dallas ISD",61912,"Denton"
"Little Elm ISD",61914,"Denton"
"Cuero ISD",62901,"DeWitt"
"Nordheim ISD",62902,"DeWitt"
"Yoakum ISD",62903,"DeWitt"
"Yorktown ISD",62904,"DeWitt"
"Westhoff ISD",62905,"DeWitt"
"Meyersville ISD",62906,"DeWitt"
"Spur ISD",63903,"Crosby"
"Patton Springs ISD",63906,"Cottle"
"Carrizo Springs Cisd",64903,"Dimmit"
"Clarendon ISD",65901,"Armstrong"
"Hedley ISD",65902,"Collingsworth"
"Ramirez Csd",66005,"Brooks"
"Benavides ISD",66901,"Duval"
"San Diego ISD",66902,"Duval"
"Freer ISD",66903,"Duval"
"Cisco ISD",67902,"Callahan"
"Eastland ISD",67903,"Eastland"
"Gorman ISD",67904,"Comanche"
"Ranger ISD",67907,"Eastland"
"Rising Star ISD",67908,"Brown"
"Ector County ISD",68901,"Andrews"
"Rocksprings ISD",69901,"Edwards"
"Nueces Canyon Cisd",69902,"Edwards"
"Avalon ISD",70901,"Ellis"
"Ennis ISD",70903,"Ellis"
"Ferris ISD",70905,"Dallas"
