"District","LEA","County"
"Motley County ISD",173901,"Briscoe"
"Chireno ISD",174901,"Nacogdoches"
"Cushing ISD",174902,"Cherokee"
"Garrison ISD",174903,"Nacogdoches"
"Nacogdoches ISD",174904,"Angelina"
"Woden ISD",174906,"Angelina"
"Central Heights ISD",174908,"Nacogdoches"
"Martinsville ISD",174909,"Nacogdoches"
"Etoile ISD",174910,"Angelina"
"Douglass ISD",174911,"Cherokee"
"Blooming Grove ISD",175902,"Ellis"
"Corsicana ISD",175903,"Freestone"
"Dawson ISD",175904,"Hill"
"Frost ISD",175905,"Ellis"
"Kerens ISD",175907,"Freestone"
"Mildred ISD",175910,"Navarro"
"Rice ISD",175911,"Ellis"
"Burkeville ISD",176901,"Jasper"
"Newton ISD",176902,"Jasper"
"Deweyville ISD",176903,"Jasper"
"Roscoe Collegiate ISD",177901,"Fisher"
"Sweetwater ISD",177902,"Fisher"
"Blackwell Cisd",177903,"Coke"
"Highland ISD",177905,"Coke"
"Agua Dulce ISD",178901,"Jim Wells"
"Bishop Cisd",178902,"Jim Wells"
"Calallen ISD",178903,"Nueces"
"Corpus Christi ISD",178904,"Nueces"
"Driscoll ISD",178905,"Jim Wells"
"London ISD",178906,"Kleberg"
"Port Aransas ISD",178908,"Aransas"
"Robstown ISD",178909,"Nueces"
"Tuloso-Midway ISD",178912,"Nueces"
"Banquete ISD",178913,"Jim Wells"
"Flour Bluff ISD",178914,"Kleberg"
"West Oso ISD",178915,"Nueces"
"Perryton ISD",179901,"Hansford"
"Boys Ranch ISD",180901,"Oldham"
"Vega ISD",180902,"Deaf Smith"
"Adrian ISD",180903,"Deaf Smith"
"Wildorado ISD",180904,"Deaf Smith"
"Bridge City ISD",181901,"Jefferson"
"Orangefield ISD",181905,"Jefferson"
"West Orange-Cove Cisd",181906,"Orange"
"Vidor ISD",181907,"Hardin"
"Little
Cypress-Mauriceville Cisd",181908,"Jasper"
"Gordon ISD",182901,"Erath"
"Graford ISD",182902,"Jack"
"Mineral Wells ISD",182903,"Palo Pinto"
"Santo ISD",182904,"Erath"
"Strawn ISD",182905,"Eastland"
"Palo Pinto ISD",182906,"Palo Pinto"
"Beckville ISD",183901,"Harrison"
"Carthage ISD",183902,"Harrison"
"Gary ISD",183904,"Panola"
"Poolville ISD",184901,"Jack"
"Springtown ISD",184902,"Parker"
"Weatherford ISD",184903,"Hood"
"Millsap ISD",184904,"Palo Pinto"
"Aledo ISD",184907,"Hood"
"Peaster ISD",184908,"Parker"
"Brock ISD",184909,"Hood"
"Garner ISD",184911,"Palo Pinto"
"Bovina ISD",185901,"Parmer"
"Farwell ISD",185902,"Bailey"
"Friona ISD",185903,"Castro"
"Lazbuddie ISD",185904,"Bailey"
"Buena Vista ISD",186901,"Crane"
"Fort Stockton ISD",186902,"Brewster"
"Iraan-Sheffield ISD",186903,"Crane"
"Big Sandy ISD",187901,"Hardin"
"Goodrich ISD",187903,"Polk"
"Corrigan-Camden ISD",187904,"Angelina"
"Leggett ISD",187906,"Polk"
"Livingston ISD",187907,"Liberty"
"Onalaska ISD",187910,"Polk"
"Amarillo ISD",188901,"Potter"
"River Road ISD",188902,"Potter"
"Highland Park ISD",188903,"Armstrong"
"Bushland ISD",188904,"Deaf Smith"
"Marfa ISD",189901,"Brewster"
"Presidio ISD",189902,"Hudspeth"
"Rains ISD",190903,"Hopkins"
"Canyon ISD",191901,"Armstrong"
"Reagan County ISD",192901,"Crockett"
"Leakey ISD",193902,"Bandera"
"Avery ISD",194902,"Bowie"
"Rivercrest ISD",194903,"Franklin"
"Clarksville ISD",194904,"Red River"
"Detroit ISD",194905,"Lamar"
"Pecos-Barstow-Toyah ISD",195901,"Culberson"
"Balmorhea ISD",195902,"Culberson"
"Austwell-Tivoli ISD",196901,"Aransas"
"Woodsboro ISD",196902,"Aransas"
"Refugio ISD",196903,"Aransas"
"Miami ISD",197902,"Gray"
"Bremond ISD",198901,"Falls"
"Calvert ISD",198902,"Milam"
"Franklin ISD",198903,"Brazos"
"Hearne ISD",198905,"Brazos"
"Mumford ISD",198906,"Brazos"
"Rockwall ISD",199901,"Collin"
"Royse City ISD",199902,"Collin"
"Ballinger ISD",200901,"Coleman"
"Miles ISD",200902,"Coke"
"Winters ISD",200904,"Coke"
"Olfen ISD",200906,"Concho"
"Henderson ISD",201902,"Cherokee"
"Laneville ISD",201903,"Nacogdoches"
"Leveretts Chapel ISD",201904,"Gregg"
"Mount Enterprise ISD",201907,"Nacogdoches"
"Overton ISD",201908,"Gregg"
"Tatum ISD",201910,"Gregg"
"Carlisle ISD",201913,"Cherokee"
"West Rusk County
Consolidated ISD",201914,"Rusk"
"Hemphill ISD",202903,"Newton"
"West Sabine ISD",202905,"Sabine"
"San Augustine ISD",203901,"Nacogdoches"
"Broaddus ISD",203902,"Angelina"
"Coldspring-Oakhurst Cisd",204901,"Montgomery"
"Shepherd ISD",204904,"Liberty"
"Aransas Pass ISD",205901,"Aransas"
"Gregory-Portland ISD",205902,"Aransas"
"Ingleside ISD",205903,"Nueces"
"Mathis ISD",205904,"Bee"
"Odem-Edroy ISD",205905,"Nueces"
"Sinton ISD",205906,"Aransas"
"Taft ISD",205907,"Nueces"
"San Saba ISD",206901,"Burnet"
"Richland Springs ISD",206902,"Brown"
"Cherokee ISD",206903,"Llano"
"Schleicher ISD",207901,"Concho"
"Hermleigh ISD",208901,"Fisher"
"Snyder ISD",208902,"Borden"
"Ira ISD",208903,"Howard"
"Albany ISD",209901,"Jones"
"Moran ISD",209902,"Callahan"
"Center ISD",210901,"San Augustine"
"Joaquin ISD",210902,"Panola"
"Shelbyville ISD",210903,"Sabine"
"Tenaha ISD",210904,"Panola"
"Timpson ISD",210905,"Nacogdoches"
"Excelsior ISD",210906,"Nacogdoches"
"Texhoma ISD",211901,"Hansford"
"Stratford ISD",211902,"Dallam"
"Arp ISD",212901,"Rusk"
"Bullard ISD",212902,"Anderson"
"Lindale ISD",212903,"Smith"
"Troup ISD",212904,"Cherokee"
"Tyler ISD",212905,"Henderson"
"Whitehouse ISD",212906,"Cherokee"
"Chapel Hill ISD",212909,"Gregg"
"Winona ISD",212910,"Smith"
"Glen Rose ISD",213901,"Bosque"
"Rio Grande City Cisd",214901,"Hidalgo"
"San Isidro ISD",214902,"Brooks"
"Roma ISD",214903,"Jim Hogg"
"Breckenridge ISD",215901,"Eastland"
"Sterling City ISD",216901,"Coke"
"Aspermont ISD",217901,"Dickens"
"Sonora ISD",218901,"Crockett"
"Happy ISD",219901,"Armstrong"
"Tulia ISD",219903,"Briscoe"
"Kress ISD",219905,"Briscoe"
"Arlington ISD",220901,"Dallas"
"Birdville ISD",220902,"Tarrant"
"Everman ISD",220904,"Tarrant"
"Fort Worth ISD",220905,"Parker"
"Grapevine-Colleyville ISD",220906,"Dallas"
"Keller ISD",220907,"Denton"
"Mansfield ISD",220908,"Dallas"
"Lake Worth ISD",220910,"Tarrant"
"Crowley ISD",220912,"Johnson"
"Kennedale ISD",220914,"Tarrant"
"Azle ISD",220915,"Parker"
"Hurst-Euless-Bedford ISD",220916,"Dallas"
"Castleberry ISD",220917,"Tarrant"
"Eagle Mt-Saginaw ISD",220918,"Tarrant"
"Carroll ISD",220919,"Denton"
"White Settlement ISD",220920,"Parker"
"Abilene ISD",221901,"Jones"
"Merkel ISD",221904,"Fisher"
"Trent ISD",221905,"Fisher"
"Jim Ned Cisd",221911,"Callahan"
"Wylie ISD",221912,"Callahan"
"Terrell County ISD",222901,"Brewster"
"Brownfield ISD",223901,"Cochran"
"Meadow ISD",223902,"Hockley"
"Wellman-Union Cisd",223904,"Dawson"
"Throckmorton Collegiate
ISD",224901,"Baylor"
"Woodson ISD",224902,"Shackelford"
"Mount Pleasant ISD",225902,"Camp"
"Chapel Hill ISD",225906,"Camp"
"Harts Bluff ISD",225907,"Titus"
"Christoval ISD",226901,"Irion"
"San Angelo ISD",226903,"Irion"
"Water Valley ISD",226905,"Coke"
"Wall ISD",226906,"Concho"
"Grape Creek ISD",226907,"Coke"
"Veribest ISD",226908,"Concho"
"Austin ISD",227901,"Hays"
"Pflugerville ISD",227904,"Travis"
"Manor ISD",227907,"Bastrop"
"Eanes ISD",227909,"Travis"
"Del Valle ISD",227910,"Bastrop"
"Lago Vista ISD",227912,"Travis"
"Lake Travis ISD",227913,"Hays"
"Groveton ISD",228901,"Houston"
"Trinity ISD",228903,"Houston"
"Centerville ISD",228904,"Angelina"
"Apple Springs ISD",228905,"Angelina"
"Colmesneil ISD",229901,"Angelina"
"Woodville ISD",229903,"Jasper"
"Warren ISD",229904,"Hardin"
"Spurger ISD",229905,"Jasper"
"Chester ISD",229906,"Angelina"
"Big Sandy ISD",230901,"Gregg"
"Gilmer ISD",230902,"Camp"
"Ore City ISD",230903,"Harrison"
"Union Hill ISD",230904,"Camp"
"Harmony ISD",230905,"Upshur"
"New Diana ISD",230906,"Gregg"
"Union Grove ISD",230908,"Gregg"
"Mccamey ISD",231901,"Crane"
"Rankin ISD",231902,"Crane"
"Knippa ISD",232901,"Uvalde"
"Sabinal ISD",232902,"Frio"
"Uvalde Cisd",232903,"Frio"
"Utopia ISD",232904,"Bandera"
"San Felipe-Del Rio Cisd",233901,"Edwards"
"Comstock ISD",233903,"Crockett"
"Canton ISD",234902,"Henderson"
"Edgewood ISD",234903,"Rains"
"Grand Saline ISD",234904,"Rains"
"Martins Mill ISD",234905,"Henderson"
"Van ISD",234906,"Henderson"
"Wills Point ISD",234907,"Hunt"
"Fruitvale ISD",234909,"Rains"
"Bloomington ISD",235901,"Calhoun"
"Victoria ISD",235902,"DeWitt"
"Nursery ISD",235904,"DeWitt"
"New Waverly ISD",236901,"Montgomery"
"Huntsville ISD",236902,"Grimes"
"Hempstead ISD",237902,"Austin"
"Waller ISD",237904,"Grimes"
"Royal ISD",237905,"Austin"
"Monahans-Wickett-Pyote
ISD",238902,"Crane"
"Grandfalls-Royalty ISD",238904,"Crane"
"Brenham ISD",239901,"Austin"
"Burton ISD",239903,"Austin"
"Laredo ISD",240901,"Webb"
"United ISD",240903,"Dimmit"
"Webb Cisd",240904,"Duval"
"Boling ISD",241901,"Brazoria"
"East Bernard ISD",241902,"Austin"
"El Campo ISD",241903,"Colorado"
"Wharton ISD",241904,"Matagorda"
"Louise ISD",241906,"Jackson"
"Shamrock ISD",242902,"Collingsworth"
"Wheeler ISD",242903,"Gray"
"Kelton ISD",242905,"Wheeler"
"Fort Elliott Cisd",242906,"Gray"
"Burkburnett ISD",243901,"Clay"
"Electra ISD",243902,"Archer"
"Iowa Park Cisd",243903,"Archer"
"Wichita Falls ISD",243905,"Archer"
"City View ISD",243906,"Wichita"
"Harrold ISD",244901,"Archer"
"Vernon ISD",244903,"Baylor"
"Northside ISD",244905,"Wilbarger"
"Lasara ISD",245901,"Hidalgo"
"Lyford Cisd",245902,"Cameron"
"Raymondville ISD",245903,"Hidalgo"
"San Perlita ISD",245904,"Kenedy"
"Florence ISD",246902,"Bell"
"Georgetown ISD",246904,"Williamson"
"Granger ISD",246905,"Milam"
"Hutto ISD",246906,"Travis"
"Jarrell ISD",246907,"Bell"
"Liberty Hill ISD",246908,"Burnet"
"Round Rock ISD",246909,"Travis"
"Taylor ISD",246911,"Travis"
"Thrall ISD",246912,"Lee"
"Leander ISD",246913,"Burnet"
"Coupland ISD",246914,"Bastrop"
"Floresville ISD",247901,"Atascosa"
"La Vernia ISD",247903,"Bexar"
"Poth ISD",247904,"Atascosa"
"Stockdale ISD",247906,"Guadalupe"
"Kermit ISD",248901,"Andrews"
"Wink-Loving ISD",248902,"Ector"
"Alvord ISD",249901,"Montague"
"Boyd ISD",249902,"Wise"
"Bridgeport ISD",249903,"Jack"
"Chico ISD",249904,"Jack"
"Decatur ISD",249905,"Denton"
"Paradise ISD",249906,"Wise"
"Slidell ISD",249908,"Cooke"
"Hawkins ISD",250902,"Smith"
"Mineola ISD",250903,"Smith"
"Quitman ISD",250904,"Hopkins"
"Yantis ISD",250905,"Hopkins"
"Alba-Golden ISD",250906,"Rains"
"Winnsboro ISD",250907,"Camp"
"Denver City ISD",251901,"Gaines"
"Plains ISD",251902,"Cochran"
"Graham ISD",252901,"Archer"
"Newcastle ISD",252902,"Throckmorton"
"Olney ISD",252903,"Archer"
"Zapata County ISD",253901,"Jim Hogg"
"Crystal City ISD",254901,"Dimmit"
"La Pryor ISD",254902,"Kinney"
"Pineywoods Community
Academy",3801,"Angelina"
"St Mary's Academy Charter
School",13801,"Bee"
"Richard Milburn Alter High
School (Killeen)",14801,"Bell"
"Priority Charter Schools",14803,"Bell"
"Orenda Charter School",14804,"Bell"
"Por Vida Academy",15801,"Bexar"
"George Gervin Academy",15802,"Bexar"
"New Frontiers Public
Schools Inc",15805,"Bexar"
"School Of Excellence In
Education",15806,"Bexar"
"Southwest Preparatory
School",15807,"Bexar"
"Inspire Academies",15808,"Bexar"
"Bexar County Academy",15809,"Bexar"
"Positive Solutions
Charter School",15814,"Bexar"
"Heritage Academy",15815,"Bexar"
"Jubilee Academies",15822,"Bexar"
"Lighthouse Charter
School",15825,"Bexar"
"School Of Science And
Technology",15827,"Bexar"
"Harmony Science Acad (San
Antonio)",15828,"Bexar"
"Brooks Academies Of
Texas",15830,"Bexar"
"School Of Science And
Technology Discovery",15831,"Bexar"
"Henry Ford Academy
Alameda School For Art +
Design",15833,"Bexar"
"Basis Texas",15834,"Bexar"
"Great Hearts Texas",15835,"Bexar"
"Eleanor Kolitz Hebrew
Language Academy",15836,"Bexar"
"Compass Rose Academy",15838,"Bexar"
"Promesa Academy Charter
School",15839,"Bexar"
"San Antonio Preparatory
Charter School",15840,"Bexar"
"The Gathering Place",15841,"Bexar"
"Brazos School For Inquiry
& Creativity",21803,"Brazos"
"Arrow Academy",21805,"Brazos"
"University Of Texas Rio
Grande Valley",31505,"Cameron"
"South Texas ISD",31916,"Cameron"
"Imagine International
Academy Of North Texas",43801,"Collin"
"Lone Star Language
Academy",43802,"Collin"
"Trinity Charter School",46802,"Comal"
"Pegasus School Of Liberal
Arts And Sciences",57802,"Dallas"
"Uplift Education",57803,"Dallas"
"Texans Can Academies",57804,"Dallas"
"Lumin Education",57805,"Dallas"
"Advantage Academy",57806,"Dallas"
"Life School",57807,"Dallas"
"Universal Academy",57808,"Dallas"
"Nova Academy",57809,"Dallas"
"Academy Of Dallas",57810,"Dallas"
"Trinity Basin Preparatory",57813,"Dallas"
"Academy For Academic
Excellence",57814,"Dallas"
"A W Brown Leadership
Academy",57816,"Dallas"
"Jean Massieu Academy",57819,"Dallas"
"Nova Academy Southeast",57827,"Dallas"
"Winfree Academy Charter
Schools",57828,"Dallas"
"A+ Academy",57829,"Dallas"
"Inspired Vision Academy",57830,"Dallas"
"Gateway Charter Academy",57831,"Dallas"
"Education Center
International Academy",57833,"Dallas"
"Evolution Academy
Charter School",57834,"Dallas"
"Golden Rule Charter
School",57835,"Dallas"
"St Anthony School",57836,"Dallas"
"La Academia De Estrellas",57839,"Dallas"
"Richland Collegiate High
School",57840,"Dallas"
"Cityscape Schools",57841,"Dallas"
"Manara Academy",57844,"Dallas"
"Ume Preparatory Academy",57845,"Dallas"
"Legacy Preparatory",57846,"Dallas"
"Village Tech Schools",57847,"Dallas"
"International Leadership
Of Texas (Iltexas)",57848,"Dallas"
"Pioneer Technology &
Arts Academy",57850,"Dallas"
"Bridgeway Preparatory
Academy",57851,"Dallas"
"University Of North Texas",61501,"Denton"
"North Texas Collegiate
Academy",61802,"Denton"
"Leadership Prep School",61804,"Denton"
"Trivium Academy",61805,"Denton"
"Compass Academy Charter
School",68802,"Ector"
"Utpb Stem Academy",68803,"Ector"
"Waxahachie Faith Family
Academy",70801,"Ellis"
"Burnham Wood Charter
School District",71801,"El Paso"
"Triumph Public High
Schools-El Paso",71803,"El Paso"
"El Paso Academy",71804,"El Paso"
"Harmony Science Acad (El
Paso)",71806,"El Paso"
"La Fe Preparatory School",71807,"El Paso"
"Vista Del Futuro Charter
School",71809,"El Paso"
"El Paso Leadership
Academy",71810,"El Paso"
"Premier High Schools",72801,"Erath"
"Erath Excels Academy Inc",72802,"Erath"
"Odyssey Academy Inc",84802,"Galveston"
"Ambassadors Preparatory
Academy",84804,"Galveston"
"East Texas Charter
Schools",92801,"Gregg"
"Harris County Dept Of Ed",101000,"Harris"
"Ser-Ninos Charter School",101802,"Harris"
"Aristoi Classical Academy",101803,"Harris"
"George I Sanchez Charter",101804,"Harris"
"Raul Yzaguirre Schools
For Success",101806,"Harris"
"University Of Houston
Charter School",101807,"Harris"
"Academy Of Accelerated
Learning Inc",101810,"Harris"
"Excel Academy",101811,"Harris"
"The Varnett Public School",101814,"Harris"
"Alief Montessori
Community School",101815,"Harris"
"Amigos Por Vida-Friends
For Life Pub Chtr Sch",101819,"Harris"
"Houston Heights High
School",101821,"Harris"
"Houston Gateway Academy
Inc",101828,"Harris"
"Calvin Nelms Charter
Schools",101837,"Harris"
"Southwest School",101838,"Harris"
"Two Dimensions
Preparatory Academy",101840,"Harris"
"Comquest Academy",101842,"Harris"
"Yes Prep Public Schools
Inc",101845,"Harris"
"Harmony Science Academy",101846,"Harris"
"Beatrice Mayes Institute
Charter School",101847,"Harris"
"Accelerated Intermediate
Academy",101849,"Harris"
"Promise Community School",101853,"Harris"
"Meyerpark Elementary",101855,"Harris"
"Draw Academy",101856,"Harris"
"Harmony School Of
Excellence",101858,"Harris"
"Step Charter School",101859,"Harris"
"The Rhodes School",101861,"Harris"
"Harmony School Of
Science - Houston",101862,"Harris"
"The Lawson Academy",101864,"Harris"
"The Pro-Vision Academy",101868,"Harris"
"Beta Academy",101870,"Harris"
"A+ Unlimited Potential",101871,"Harris"
"Etoile Academy Charter
School",101872,"Harris"
"Yellowstone College
Preparatory",101873,"Harris"
"Legacy School Of Sport
Sciences",101874,"Harris"
"Bloom Academy Charter
School",101875,"Harris"
"Reve Preparatory
Charter School",101876,"Harris"
"Elevate Collegiate
Charter School",101877,"Harris"
"Houston Classical
Charter School",101878,"Harris"
"Katherine Anne Porter
School",105801,"Hays"
"Texas Preparatory School",105802,"Hays"
"Ki Charter Academy",105803,"Hays"
"Horizon Montessori Public
Schools",108802,"Hidalgo"
"Triumph Public High
Schools-Rio Grande Valley",108804,"Hidalgo"
"Idea Public Schools",108807,"Hidalgo"
"Vanguard Academy",108808,"Hidalgo"
"Excellence In Leadership
Academy",108809,"Hidalgo"
"Lake Granbury Academy
Charter School",111801,"Hood"
"Texas Academy Of
Leadership In The
Humanities",123503,"Jefferson"
"Tekoa Academy Of
Accelerated Studies Stem
School",123803,"Jefferson"
"Ehrhart School",123805,"Jefferson"
"Bob Hope School",123807,"Jefferson"
"Meadowland Charter
District",130801,"Kendall"
"Texas Tech University K-12",152504,"Lubbock"
"Rise Academy",152802,"Lubbock"
"Triumph Public High
Schools-Lubbock",152803,"Lubbock"
"Betty M Condra School
For Education Innovation",152806,"Lubbock"
"Waco Charter School",161801,"McLennan"
"Rapoport Academy Public
School",161802,"McLennan"
"Harmony Science Acad
(Waco)",161807,"McLennan"
"Midland Academy Charter
School",165802,"Midland"
"Texas Serenity Academy",170801,"Montgomery"
"Stephen F Austin State
University Charter School",174801,"Nacogdoches"
"Dr M L Garza-Gonzalez
Charter School",178801,"Nueces"
"Corpus Christi Montessori
School",178807,"Nueces"
"Seashore Charter
Schools",178808,"Nueces"
"Panola Charter School",183801,"Panola"
"Crosstimbers Academy",184801,"Parker"
"Big Springs Charter
School",193801,"Real"
"Cumberland Academy",212801,"Smith"
"Ut Tyler University
Academy",212804,"Smith"
"Brazos River Charter
School",213801,"Somervell"
"Treetops School
International",220801,"Tarrant"
"Arlington Classics
Academy",220802,"Tarrant"
"Fort Worth Academy Of
Fine Arts",220809,"Tarrant"
"Westlake Academy
Charter School",220810,"Tarrant"
"East Fort Worth
Montessori Academy",220811,"Tarrant"
"Texas School Of The Arts",220814,"Tarrant"
"Chapel Hill Academy",220815,"Tarrant"
"Newman International
Academy Of Arlington",220817,"Tarrant"
"High Point Academy",220819,"Tarrant"
"Texas College
Preparatory Academies",221801,"Taylor"
"Texas Leadership Public
Schools",226801,"Tom Green"
"University Of Texas At
Austin H S",227506,"Travis"
"Texas Juvenile Justice
Department",227622,"Travis"
"Wayside Schools",227803,"Travis"
"Nyos Charter School",227804,"Travis"
"Texas Empowerment
Academy",227805,"Travis"
"University Of Texas
University Charter School",227806,"Travis"
"Chaparral Star Academy",227814,"Travis"
"Harmony Science Academy
(Austin)",227816,"Travis"
"Cedars International
Academy",227817,"Travis"
"University Of Texas
Elementary Charter
School",227819,"Travis"
"Kipp Texas Public Schools",227820,"Travis"
"Austin Discovery School",227821,"Travis"
"Promesa Public Schools",227824,"Travis"
"Austin Achieve Public
Schools",227825,"Travis"
"Montessori For All",227826,"Travis"
"The Excel Center (For
Adults)",227827,"Travis"
"Valor Public Schools",227829,"Travis"
"Texas Sch For The Blind &
Visually Impaired",227905,"Travis"
"Texas Sch For The Deaf",227906,"Travis"
"Ranch Academy",234801,"Van Zandt"
"Raven School",236801,"Walker"
"Sam Houston State
University Charter School",236802,"Walker"
"Windham School District",236903,"Walker"
"Texas A&M International
University ISD",240503,"Webb"
"Triumph Public High
Schools-Laredo",240801,"Webb"
"Meridian World School Llc",246801,"Williamson"
"Goodwater Montessori
School",246802,"Williamson"
"Cayuga ISD",1902,"Freestone"
"Elkhart ISD",1903,"Houston"
"Frankston ISD",1904,"Cherokee"
"Neches ISD",1906,"Cherokee"
"Palestine ISD",1907,"Cherokee"
"Westwood ISD",1908,"Freestone"
"Slocum ISD",1909,"Cherokee"
"Andrews ISD",2901,"Ector"
"Hudson ISD",3902,"Houston"
"Lufkin ISD",3903,"Nacogdoches"
"Huntington ISD",3904,"Nacogdoches"
"Diboll ISD",3905,"Polk"
"Zavalla ISD",3906,"Jasper"
"Central ISD",3907,"Cherokee"
"Aransas County ISD",4901,"Calhoun"
"Archer City ISD",5901,"Clay"
"Holliday ISD",5902,"Baylor"
"Windthorst ISD",5904,"Clay"
"Claude ISD",6902,"Briscoe"
"Charlotte ISD",7901,"Frio"
"Lytle ISD",7904,"Bexar"
"Pleasanton ISD",7905,"Bexar"
"Poteet ISD",7906,"Bexar"
"Bellville ISD",8901,"Colorado"
"Sealy ISD",8902,"Colorado"
"Brazos ISD",8903,"Colorado"
"Muleshoe ISD",9901,"Lamb"
"Medina ISD",10901,"Kerr"
"Bandera ISD",10902,"Bexar"
"Bastrop ISD",11901,"Caldwell"
"Elgin ISD",11902,"Lee"
"Smithville ISD",11904,"Caldwell"
"Mcdade ISD",11905,"Lee"
"Seymour ISD",12901,"Baylor"
"Beeville ISD",13901,"Goliad"
"Pawnee ISD",13902,"Karnes"
"Pettus ISD",13903,"Goliad"
"Skidmore-Tynan ISD",13905,"Live Oak"
"Bartlett ISD",14902,"Milam"
"Belton ISD",14903,"Coryell"
"Holland ISD",14905,"Milam"
"Killeen ISD",14906,"Burnet"
"Rogers ISD",14907,"Falls"
"Salado ISD",14908,"Williamson"
"Troy ISD",14910,"Falls"
"Somerset ISD",15909,"Bexar"
"East Central ISD",15911,"Guadalupe"
"Southwest ISD",15912,"Bexar"
"Northside ISD",15915,"Bexar"
"Judson ISD",15916,"Comal"
"Southside ISD",15917,"Bexar"
"Johnson City ISD",16901,"Burnet"
"Blanco ISD",16902,"Comal"
"Borden County ISD",17901,"Dawson"
"Clifton ISD",18901,"Coryell"
"Meridian ISD",18902,"Hill"
"Morgan ISD",18903,"Hill"
"Valley Mills ISD",18904,"Coryell"
"Walnut Springs ISD",18905,"Somervell"
"Iredell ISD",18906,"Erath"
"Kopperl ISD",18907,"Hill"
"Cranfills Gap ISD",18908,"Coryell"
"Dekalb ISD",19901,"Cass"
"Maud ISD",19903,"Cass"
"New Boston ISD",19905,"Cass"
"Redwater ISD",19906,"Cass"
"Liberty-Eylau ISD",19908,"Cass"
"Simms ISD",19909,"Cass"
"Alvin ISD",20901,"Fort Bend"
"Angleton ISD",20902,"Fort Bend"
"Brazosport ISD",20905,"Galveston"
"Sweeny ISD",20906,"Matagorda"
"Columbia-Brazoria ISD",20907,"Fort Bend"
"Pearland ISD",20908,"Galveston"
"Damon ISD",20910,"Fort Bend"
"College Station ISD",21901,"Burleson"
"Bryan ISD",21902,"Burleson"
"Terlingua Csd",22004,"Presidio"
"Alpine ISD",22901,"Jeff Davis"
"Marathon ISD",22902,"Pecos"
"Silverton ISD",23902,"Briscoe"
"Brooks County ISD",24901,"Duval"
"Bangs ISD",25901,"Coleman"
"Brownwood ISD",25902,"Mills"
"Blanket ISD",25904,"Comanche"
"May ISD",25905,"Comanche"
"Zephyr ISD",25906,"Comanche"
"Brookesmith ISD",25908,"Coleman"
"Caldwell ISD",26901,"Burleson"
"Somerville ISD",26902,"Lee"
"Snook ISD",26903,"Burleson"
"Burnet Cisd",27903,"Burnet"
"Marble Falls ISD",27904,"Burnet"
"Lockhart ISD",28902,"Caldwell"
"Luling ISD",28903,"Gonzales"
"Prairie Lea ISD",28906,"Guadalupe"
"Calhoun County ISD",29901,"Calhoun"
"Cross Plains ISD",30901,"Callahan"
"Clyde Cisd",30902,"Coleman"
"Baird ISD",30903,"Coleman"
"Eula ISD",30906,"Shackelford"
"Harlingen Cisd",31903,"Willacy"
"La Feria ISD",31905,"Hidalgo"
"Los Fresnos Cisd",31906,"Willacy"
"Point Isabel ISD",31909,"Willacy"
"Rio Hondo ISD",31911,"Willacy"
"Santa Maria ISD",31913,"Hidalgo"
"Santa Rosa ISD",31914,"Hidalgo"
"Pittsburg ISD",32902,"Franklin"
"Groom ISD",33901,"Carson"
"Panhandle ISD",33902,"Carson"
"White Deer ISD",33904,"Gray"
"Atlanta ISD",34901,"Cass"
"Avinger ISD",34902,"Marion"
"Hughes Springs ISD",34903,"Morris"
"Linden-Kildare Cisd",34905,"Marion"
"Mcleod ISD",34906,"Marion"
"Queen City ISD",34907,"Cass"
"Dimmitt ISD",35901,"Deaf Smith"
"Hart ISD",35902,"Hale"
"Nazareth ISD",35903,"Swisher"
"Anahuac ISD",36901,"Galveston"
"Barbers Hill ISD",36902,"Galveston"
"East Chambers ISD",36903,"Galveston"
"Alto ISD",37901,"Cherokee"
"Jacksonville ISD",37904,"Cherokee"
"Rusk ISD",37907,"Cherokee"
"New Summerfield ISD",37908,"Rusk"
"Wells ISD",37909,"Cherokee"
"Childress ISD",38901,"Cottle"
"Henrietta ISD",39902,"Clay"
"Petrolia Cisd",39903,"Wichita"
"Bellevue ISD",39904,"Montague"
"Midway ISD",39905,"Clay"
"Morton ISD",40901,"Cochran"
"Whiteface Cisd",40902,"Cochran"
"Bronte ISD",41901,"Runnels"
"Robert Lee ISD",41902,"Mitchell"
"Coleman ISD",42901,"Callahan"
"Santa Anna ISD",42903,"Coleman"
"Panther Creek Cisd",42905,"Concho"
"Anna ISD",43902,"Grayson"
"Celina ISD",43903,"Denton"
"Farmersville ISD",43904,"Hunt"
"Frisco ISD",43905,"Denton"
"Plano ISD",43910,"Dallas"
"Prosper ISD",43912,"Denton"
"Wylie ISD",43914,"Dallas"
"Blue Ridge ISD",43917,"Fannin"
"Community ISD",43918,"Hunt"
"Wellington ISD",44902,"Collingsworth"
"Columbus ISD",45902,"Colorado"
"Rice Cisd",45903,"Colorado"
"Weimar ISD",45905,"Fayette"
"New Braunfels ISD",46901,"Guadalupe"
"Comal ISD",46902,"Blanco"
"Comanche ISD",47901,"Comanche"
"De Leon ISD",47902,"Eastland"
"Gustine ISD",47903,"Hamilton"
"Sidney ISD",47905,"Comanche"
"Eden Cisd",48901,"Menard"
"Paint Rock ISD",48903,"Concho"
"Muenster ISD",49902,"Montague"
"Valley View ISD",49903,"Denton"
"Callisburg ISD",49905,"Grayson"
"Era ISD",49906,"Denton"
