"School","City","County","Deaths_Cumulative","Cases_Cumulative","Date"
"Texas Woman’s University","Denton","Denton",0,24,2020-09-25
"Lubbock Christian University","Lubbock","Lubbock",0,25,2020-09-25
"University of North Texas Health Science Center","Fort Worth","Tarrant",0,27,2020-09-25
"Trinity University","San Antonia","Bexar",0,27,2020-09-25
"University of Texas Health Science Center at Tyler","Tyler","Smith",0,28,2020-09-25
"University of Texas Permian Basin","Odessa","Ector",0,29,2020-09-25
"University of Houston-Victoria","Victoria","Victoria",0,29,2020-09-25
"University of Texas at Dallas","Dallas","Dallas",0,34,2020-09-25
"Midwestern State University","Wichita Falls","Wichita",0,35,2020-09-25
"University of Houston-Clear Lake","Houston","Harris",0,43,2020-09-25
"West Texas A&M University","Canyon","Randall",0,46,2020-09-25
"Dallas Baptist University","Dallas","Dallas",0,46,2020-09-25
"Texas A&M University-San Antonio","San Antonio","Bexar",0,49,2020-09-25
"Wayland Baptist University","Plainview","Hale",0,51,2020-09-25
"Abilene Christian University","Abilene","Taylor",0,51,2020-09-25
"University of St. Thomas","Houston","Harris",0,52,2020-09-25
"McLennan Community College","Waco","McLennan",0,59,2020-09-25
"University of Texas at Arlington","Arlington","Tarrant",0,60,2020-09-25
"Texas A&M International University","Laredo","Webb",0,66,2020-09-25
"Austin College","Sherman","Grayson",0,67,2020-09-25
"Tyler Junior College","Tyler","Smith",0,75,2020-09-25
"Angelo State University","San Angelo","Tom Green",0,77,2020-09-25
"University of Mary Hardin at Baylor","Belton","Bell",0,78,2020-09-25
"Texas A&M University-Kingsville","Kingsville","Kleberg",0,78,2020-09-25
"University of Houston-Downtown","Houston","Harris",0,82,2020-09-25
"Rice University","Houston","Harris",0,89,2020-09-25
"Texas Tech University Health Sciences Center El Paso","El Paso","El Paso",0,94,2020-09-25
"Texas A&M University-Corpus Christi","Corpus Christi","Nueces",0,101,2020-09-25
"University of Texas Rio Grande Valley","Edinburg","Hidalgo",0,111,2020-09-25
"South Texas College","McAllen","Hidalgo",0,125,2020-09-25
