"County","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
"Collingsworth","55-59",196,101,95,88,86,7,2,5,5,0,0,0,0,1,2,89,87,8,2,5,6,0,1,0,1,78,74,67,68,7,2,3,3,0,0,0,0,1,1,68,68,8,2,3,3,0,1,0,1,23,21,21,18,0,0,2,2,0,0,0,0,0,1,21,19,0,0,2,3,0,0,0,0
"Collingsworth","60-64",185,86,99,81,89,4,5,0,2,0,0,0,0,1,3,81,92,5,5,0,2,1,3,0,0,65,86,60,76,4,5,0,2,0,0,0,0,1,3,60,79,5,5,0,2,1,3,0,0,21,13,21,13,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,0,0,0,0,0
"Collingsworth","65-69",173,83,90,73,85,5,2,3,3,0,0,0,0,2,0,75,85,5,2,4,3,0,0,1,0,72,74,62,69,5,2,3,3,0,0,0,0,2,0,64,69,5,2,4,3,0,0,1,0,11,16,11,16,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0
"Collingsworth","70-74",137,63,74,60,70,2,4,1,0,0,0,0,0,0,0,60,70,2,4,1,0,0,0,0,0,57,67,54,63,2,4,1,0,0,0,0,0,0,0,54,63,2,4,1,0,0,0,0,0,6,7,6,7,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0
"Collingsworth","75-79",99,40,59,36,54,3,4,1,0,0,0,0,0,0,1,36,55,3,4,1,0,0,1,0,0,38,52,35,47,3,4,0,0,0,0,0,0,0,1,35,48,3,4,0,0,0,1,0,0,2,7,1,7,0,0,1,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0
"Collingsworth","80-84",76,35,41,34,38,1,2,0,0,0,0,0,0,0,1,34,39,1,2,0,0,0,1,0,0,35,39,34,36,1,2,0,0,0,0,0,0,0,1,34,37,1,2,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Collingsworth","85+",74,27,47,24,46,1,0,0,0,0,0,0,0,2,1,26,47,2,0,1,1,0,0,0,0,27,44,24,43,1,0,0,0,0,0,0,0,2,1,26,44,2,0,1,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Colorado","0-4",1366,683,683,548,558,107,95,6,7,3,5,2,0,17,18,565,576,120,109,7,12,6,5,2,0,377,339,271,235,94,85,1,2,3,5,0,0,8,12,279,247,100,96,2,4,4,5,0,0,306,344,277,323,13,10,5,5,0,0,2,0,9,6,286,329,20,13,5,8,2,0,2,0
"Colorado","5-9",1360,708,652,557,523,113,83,11,11,4,6,0,0,23,29,579,550,129,103,16,17,6,10,2,1,386,342,269,253,100,67,1,0,3,4,0,0,13,18,281,270,109,81,3,2,4,7,2,0,322,310,288,270,13,16,10,11,1,2,0,0,10,11,298,280,20,22,13,15,2,3,0,1
"Colorado","10-14",1299,679,620,541,470,97,101,13,12,11,15,0,0,17,22,557,492,111,115,15,18,13,15,0,2,369,340,267,230,84,93,1,2,9,10,0,0,8,5,275,235,90,98,2,2,10,10,0,0,310,280,274,240,13,8,12,10,2,5,0,0,9,17,282,257,21,17,13,16,3,5,0,2
