"Date","HHSC","ALF_Fac_Outbreak_Active","ALF_Fac_Outbreak_Recovered","ALF_Fac_Outbreak_Cumulative","ALF_Cases_Active","ALF_Recovered_Cumulative","ALF_Deaths_Cumulative","ALF_Cases_Cumulative","ALF_Discharges_Cumulative","NURSING_Fac_Outbreak_Active","NURSING_Fac_Outbreak_Recovered","NURSING_Fac_Outbreak_Cumulative","NURSING_Cases_Active","NURSING_Recovered_Cumulative","NURSING_Deaths_Cumulative","NURSING_Cases_Cumulative","NURSING_Discharges_Cumulative"
2020-08-11,"6","98","54","152","257","310","105","729",NA,"126","41","167","1097","2175","551","4588",NA
2020-08-11,"7","42","31","73","98","77","49","246",NA,"162","42","204","1687","1981","747","5160",NA
2020-08-12,"1","11","16","27","11","36","6","55",NA,"34","30","64","139","427","121","718",NA
2020-08-12,"2","14","24","38","106","27","12","159",NA,"52","45","97","461","977","262","2099",NA
2020-08-12,"3","83","68","151","117","266","130","535",NA,"102","85","187","661","1435","393","2768",NA
2020-08-12,"4","22","21","43","31","61","16","114",NA,"104","45","149","598","1144","317","2250",NA
2020-08-12,"5","53","6","59","102","105","40","247",NA,"112","13","125","599","912","276","1841",NA
2020-08-12,"6","95","57","152","241","326","102","719",NA,"123","45","168","961","2313","560","4602",NA
2020-08-12,"7","42","31","73","102","77","50","251",NA,"156","48","204","1507","2099","785","5213",NA
2020-08-13,"1","11","16","27","11","36","6","55",NA,"35","30","65","139","436","121","727",NA
2020-08-13,"2","14","24","38","106","27","12","159",NA,"54","43","97","468","997","269","2134",NA
2020-08-13,"3","78","73","151","126","272","134","555",NA,"104","84","188","664","1462","399","2806",NA
2020-08-13,"4","22","22","44","35","62","18","121",NA,"99","51","150","592","1178","324","2265",NA
2020-08-13,"5","54","5","59","109","105","40","254",NA,"115","12","127","586","990","287","1920",NA
2020-08-13,"6","92","60","152","231","333","104","726",NA,"123","45","168","944","2343","564","4658",NA
2020-08-13,"7","41","33","74","103","79","51","254",NA,"156","48","204","1470","2248","797","5344",NA
2020-08-14,"1","11","16","27","11","36","6","55",NA,"36","29","65","95","489","128","743",NA
2020-08-14,"2","14","24","38","102","27","12","160",NA,"51","46","97","467","1015","270","2185",NA
2020-08-14,"3","74","77","151","115","275","134","560",NA,"102","86","188","712","1496","403","2898",NA
2020-08-14,"4","23","21","44","33","62","18","119",NA,"99","52","151","541","1236","330","2277",NA
2020-08-14,"5","54","5","59","109","105","40","254",NA,"115","12","127","610","993","287","1947",NA
2020-08-14,"6","92","62","154","212","356","107","744",NA,"120","48","168","897","2403","562","4686",NA
2020-08-14,"7","41","33","74","99","80","50","250",NA,"156","48","204","1384","2329","813","5383",NA
2020-08-15,"1","12","16","28","14","36","6","60",NA,"36","29","65","88","497","128","744",NA
2020-08-15,"2","16","24","40","103","27","12","161",NA,"48","50","98","421","1107","275","2237",NA
2020-08-15,"3","77","78","155","116","275","136","569",NA,"101","87","188","695","1523","413","2918",NA
2020-08-15,"4","23","21","44","33","62","18","119",NA,"99","52","151","582","1252","324","2338",NA
2020-08-15,"5","56","3","59","109","126","42","277",NA,"115","12","127","614","1000","293","1965",NA
2020-08-15,"6","94","62","156","198","370","104","757",NA,"120","48","168","846","2500","571","4737",NA
2020-08-15,"7","41","33","74","91","87","54","257",NA,"156","48","204","1431","2353","817","5475",NA
2020-08-16,"1","12","16","28","14","36","6","60",NA,"36","29","65","88","497","128","744",NA
