District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
SOMERSET ISD,2022-01-30,015909,4031,NA,NA,158,16,0,5,169
NORTH EAST ISD,2022-01-30,015910,60205,NA,NA,1095,226,0,0,1321
EAST CENTRAL ISD,2022-01-30,015911,10023,NA,NA,NA,51,NA,NA,NA
SOUTHWEST ISD,2022-01-30,015912,13325,NA,NA,454,73,2,103,422
LACKLAND ISD,2022-01-30,015913,924,NA,NA,26,4,0,0,30
FT SAM HOUSTON ISD,2022-01-30,015914,1647,NA,NA,NA,NA,NA,NA,NA
NORTHSIDE ISD,2022-01-30,015915,103115,NA,NA,542,115,9,245,403
JUDSON ISD,2022-01-30,015916,24448,NA,NA,297,95,49,343,0
SOUTHSIDE ISD,2022-01-30,015917,5643,NA,NA,NA,0,NA,NA,NA
JOHNSON CITY ISD,2022-01-30,016901,693,NA,NA,NA,NA,NA,NA,NA
BLANCO ISD,2022-01-30,016902,1072,NA,NA,NA,NA,NA,NA,NA
BORDEN COUNTY ISD,2022-01-30,017901,247,NA,NA,NA,NA,NA,NA,NA
CLIFTON ISD,2022-01-30,018901,1023,NA,NA,NA,NA,NA,NA,NA
MERIDIAN ISD,2022-01-30,018902,401,NA,NA,NA,0,NA,NA,NA
MORGAN ISD,2022-01-30,018903,142,NA,NA,NA,NA,NA,NA,NA
VALLEY MILLS ISD,2022-01-30,018904,624,NA,NA,NA,1,NA,NA,NA
WALNUT SPRINGS ISD,2022-01-30,018905,183,NA,NA,NA,NA,NA,NA,NA
IREDELL ISD,2022-01-30,018906,136,NA,NA,NA,NA,NA,NA,NA
KOPPERL ISD,2022-01-30,018907,185,NA,NA,NA,0,NA,NA,NA
CRANFILLS GAP ISD,2022-01-30,018908,137,NA,NA,NA,NA,NA,NA,NA
DEKALB ISD,2022-01-30,019901,804,NA,NA,NA,1,NA,NA,NA
HOOKS ISD,2022-01-30,019902,890,NA,NA,NA,1,NA,NA,NA
MAUD ISD,2022-01-30,019903,477,NA,NA,NA,NA,NA,NA,NA
NEW BOSTON ISD,2022-01-30,019905,1209,NA,NA,NA,3,NA,NA,NA
REDWATER ISD,2022-01-30,019906,1110,NA,NA,NA,NA,NA,NA,NA
TEXARKANA ISD,2022-01-30,019907,7294,NA,NA,46,24,0,0,70
LIBERTY-EYLAU ISD,2022-01-30,019908,2191,NA,NA,12,2,0,0,14
SIMMS ISD,2022-01-30,019909,484,NA,NA,NA,NA,NA,NA,NA
MALTA ISD,2022-01-30,019910,212,NA,NA,NA,1,NA,NA,NA
RED LICK ISD,2022-01-30,019911,500,NA,NA,NA,1,NA,NA,NA
PLEASANT GROVE ISD,2022-01-30,019912,2320,NA,NA,12,3,0,1,14
HUBBARD ISD,2022-01-30,019913,72,NA,NA,NA,NA,NA,NA,NA
LEARY ISD,2022-01-30,019914,110,NA,NA,NA,NA,NA,NA,NA
ALVIN ISD,2022-01-30,020901,28285,NA,NA,278,56,0,0,334
ANGLETON ISD,2022-01-30,020902,6829,NA,NA,NA,NA,NA,NA,NA
DANBURY ISD,2022-01-30,020904,777,NA,NA,NA,NA,NA,NA,NA
BRAZOSPORT ISD,2022-01-30,020905,11654,NA,NA,0,11,0,2,9
SWEENY ISD,2022-01-30,020906,1827,NA,NA,NA,NA,NA,NA,NA
COLUMBIA-BRAZORIA ISD,2022-01-30,020907,2958,NA,NA,0,1,0,0,1
PEARLAND ISD,2022-01-30,020908,21041,NA,NA,NA,18,NA,NA,NA
DAMON ISD,2022-01-30,020910,114,NA,NA,NA,NA,NA,NA,NA
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,2022-01-30,021803,335,NA,NA,NA,NA,NA,NA,NA
ARROW ACADEMY,2022-01-30,021805,598,NA,NA,NA,1,NA,NA,NA
COLLEGE STATION ISD,2022-01-30,021901,14280,NA,NA,174,39,0,0,213
BRYAN ISD,2022-01-30,021902,16163,NA,NA,322,78,0,0,400
TERLINGUA CSD,2022-01-30,022004,107,NA,NA,NA,1,NA,NA,NA
ALPINE ISD,2022-01-30,022901,973,NA,NA,NA,0,NA,NA,NA
MARATHON ISD,2022-01-30,022902,57,NA,NA,NA,NA,NA,NA,NA
SAN VICENTE ISD,2022-01-30,022903,<10,NA,NA,NA,NA,NA,NA,NA
SILVERTON ISD,2022-01-30,023902,192,NA,NA,NA,0,NA,NA,NA
BROOKS COUNTY ISD,2022-01-30,024901,1358,NA,NA,NA,NA,NA,NA,NA
BANGS ISD,2022-01-30,025901,881,NA,NA,6,7,0,0,13
BROWNWOOD ISD,2022-01-30,025902,3525,NA,NA,NA,NA,NA,NA,NA
BLANKET ISD,2022-01-30,025904,143,NA,NA,NA,NA,NA,NA,NA
MAY ISD,2022-01-30,025905,223,NA,NA,5,3,0,0,8
ZEPHYR ISD,2022-01-30,025906,212,NA,NA,0,1,0,1,0
BROOKESMITH ISD,2022-01-30,025908,193,NA,NA,NA,NA,NA,NA,NA
EARLY ISD,2022-01-30,025909,1151,NA,NA,NA,NA,NA,NA,NA
CALDWELL ISD,2022-01-30,026901,1836,NA,NA,NA,NA,NA,NA,NA
SOMERVILLE ISD,2022-01-30,026902,555,NA,NA,6,2,0,0,8
SNOOK ISD,2022-01-30,026903,530,NA,NA,NA,1,NA,NA,NA
BURNET CISD,2022-01-30,027903,3311,NA,NA,NA,NA,NA,NA,NA
MARBLE FALLS ISD,2022-01-30,027904,4054,NA,NA,NA,8,NA,NA,NA
LOCKHART ISD,2022-01-30,028902,6224,NA,NA,NA,NA,NA,NA,NA
LULING ISD,2022-01-30,028903,1469,NA,NA,11,4,0,6,9
PRAIRIE LEA ISD,2022-01-30,028906,190,NA,NA,NA,4,NA,NA,NA
CALHOUN COUNTY ISD,2022-01-30,029901,3610,NA,NA,75,10,0,0,85
CROSS PLAINS ISD,2022-01-30,030901,381,NA,NA,NA,NA,NA,NA,NA
CLYDE CISD,2022-01-30,030902,1445,NA,NA,NA,3,NA,NA,NA
BAIRD ISD,2022-01-30,030903,296,NA,NA,0,1,0,1,0
EULA ISD,2022-01-30,030906,469,NA,NA,NA,0,NA,NA,NA
UNIVERSITY OF TEXAS RIO GRANDE VALLEY,2022-01-30,031505,0,NA,NA,NA,NA,NA,NA,NA
BROWNSVILLE ISD,2022-01-30,031901,38617,NA,NA,600,47,0,0,647
HARLINGEN CISD,2022-01-30,031903,17116,NA,NA,NA,NA,NA,NA,NA
LA FERIA ISD,2022-01-30,031905,2938,NA,NA,NA,NA,NA,NA,NA
LOS FRESNOS CISD,2022-01-30,031906,10385,NA,NA,NA,21,NA,NA,NA
POINT ISABEL ISD,2022-01-30,031909,2140,NA,NA,NA,NA,NA,NA,NA
RIO HONDO ISD,2022-01-30,031911,1632,NA,NA,NA,3,NA,NA,NA
SAN BENITO CISD,2022-01-30,031912,9290,NA,NA,NA,NA,NA,NA,NA
SANTA MARIA ISD,2022-01-30,031913,540,NA,NA,NA,NA,NA,NA,NA
SANTA ROSA ISD,2022-01-30,031914,855,NA,NA,NA,2,NA,NA,NA
SOUTH TEXAS ISD,2022-01-30,031916,4281,NA,NA,33,7,0,6,34
PITTSBURG ISD,2022-01-30,032902,2447,NA,NA,NA,NA,NA,NA,NA
GROOM ISD,2022-01-30,033901,147,NA,NA,NA,NA,NA,NA,NA
PANHANDLE ISD,2022-01-30,033902,664,NA,NA,NA,NA,NA,NA,NA
WHITE DEER ISD,2022-01-30,033904,344,NA,NA,NA,NA,NA,NA,NA
ATLANTA ISD,2022-01-30,034901,1940,NA,NA,21,1,0,4,18
AVINGER ISD,2022-01-30,034902,140,NA,NA,NA,NA,NA,NA,NA
HUGHES SPRINGS ISD,2022-01-30,034903,1153,NA,NA,16,4,0,3,17
LINDEN-KILDARE CISD,2022-01-30,034905,639,NA,NA,NA,NA,NA,NA,NA
MCLEOD ISD,2022-01-30,034906,418,NA,NA,5,0,0,1,4
QUEEN CITY ISD,2022-01-30,034907,942,NA,NA,12,2,0,0,14
BLOOMBURG ISD,2022-01-30,034909,246,NA,NA,6,1,0,0,7
DIMMITT ISD,2022-01-30,035901,1160,NA,NA,NA,4,NA,NA,NA
HART ISD,2022-01-30,035902,210,NA,NA,NA,NA,NA,NA,NA
"NAZARETH ISD",2022-01-30,035903,250,NA,NA,NA,NA,NA,NA,NA
ANAHUAC ISD,2022-01-30,036901,1401,NA,NA,9,1,0,10,0
BARBERS HILL ISD,2022-01-30,036902,6823,NA,NA,NA,13,NA,NA,NA
EAST CHAMBERS ISD,2022-01-30,036903,1551,NA,NA,NA,NA,NA,NA,NA
ALTO ISD,2022-01-30,037901,589,NA,NA,6,5,0,0,11
JACKSONVILLE ISD,2022-01-30,037904,4764,NA,NA,22,16,0,0,38
RUSK ISD,2022-01-30,037907,2031,NA,NA,NA,1,NA,NA,NA
NEW SUMMERFIELD ISD,2022-01-30,037908,545,NA,NA,NA,NA,NA,NA,NA
WELLS ISD,2022-01-30,037909,266,NA,NA,NA,NA,NA,NA,NA
CHILDRESS ISD,2022-01-30,038901,1026,NA,NA,NA,NA,NA,NA,NA
HENRIETTA ISD,2022-01-30,039902,951,NA,NA,6,0,0,6,0
PETROLIA CISD,2022-01-30,039903,462,NA,NA,NA,NA,NA,NA,NA
BELLEVUE ISD,2022-01-30,039904,158,NA,NA,NA,NA,NA,NA,NA
MIDWAY ISD,2022-01-30,039905,135,NA,NA,NA,NA,NA,NA,NA
MORTON ISD,2022-01-30,040901,369,NA,NA,8,3,0,1,10
WHITEFACE CISD,2022-01-30,040902,313,NA,NA,NA,NA,NA,NA,NA
BRONTE ISD,2022-01-30,041901,243,NA,NA,NA,NA,NA,NA,NA
ROBERT LEE ISD,2022-01-30,041902,265,NA,NA,NA,NA,NA,NA,NA
COLEMAN ISD,2022-01-30,042901,816,NA,NA,NA,NA,NA,NA,NA
SANTA ANNA ISD,2022-01-30,042903,262,NA,NA,NA,NA,NA,NA,NA
PANTHER CREEK CISD,2022-01-30,042905,165,NA,NA,NA,NA,NA,NA,NA
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,2022-01-30,043801,1388,NA,NA,25,0,0,0,25
LONE STAR LANGUAGE ACADEMY,2022-01-30,043802,161,NA,NA,NA,NA,NA,NA,NA
ALLEN ISD,2022-01-30,043901,21642,NA,NA,321,50,0,0,371
ANNA ISD,2022-01-30,043902,4463,NA,NA,NA,NA,NA,NA,NA
CELINA ISD,2022-01-30,043903,3353,NA,NA,NA,NA,NA,NA,NA
FARMERSVILLE ISD,2022-01-30,043904,2018,NA,NA,NA,NA,NA,NA,NA
FRISCO ISD,2022-01-30,043905,64027,NA,NA,808,91,94,7,798
MCKINNEY ISD,2022-01-30,043907,23581,NA,NA,NA,NA,NA,NA,NA
MELISSA ISD,2022-01-30,043908,5039,NA,NA,25,2,0,3,24
PLANO ISD,2022-01-30,043910,49896,NA,NA,510,104,0,0,614
PRINCETON ISD,2022-01-30,043911,6768,NA,NA,33,7,0,0,40
PROSPER ISD,2022-01-30,043912,21697,NA,NA,261,45,0,0,306
WYLIE ISD,2022-01-30,043914,18311,NA,NA,335,67,0,0,402
BLUE RIDGE ISD,2022-01-30,043917,962,NA,NA,7,0,0,0,7
COMMUNITY ISD,2022-01-30,043918,3320,NA,NA,73,10,0,0,83
LOVEJOY ISD,2022-01-30,043919,4366,NA,NA,NA,NA,NA,NA,NA
WELLINGTON ISD,2022-01-30,044902,551,NA,NA,NA,NA,NA,NA,NA
COLUMBUS ISD,2022-01-30,045902,1597,NA,NA,NA,NA,NA,NA,NA
RICE CISD,2022-01-30,045903,1240,NA,NA,16,4,0,0,20
WEIMAR ISD,2022-01-30,045905,685,NA,NA,10,0,0,7,3
TRINITY CHARTER SCHOOL,2022-01-30,046802,336,NA,NA,NA,NA,NA,NA,NA
NEW BRAUNFELS ISD,2022-01-30,046901,9720,NA,NA,NA,NA,NA,NA,NA
COMAL ISD,2022-01-30,046902,27478,NA,NA,371,85,45,167,244
COMANCHE ISD,2022-01-30,047901,1328,NA,NA,10,2,0,0,12
DE LEON ISD,2022-01-30,047902,758,NA,NA,NA,NA,NA,NA,NA
GUSTINE ISD,2022-01-30,047903,147,NA,NA,0,1,0,0,1
SIDNEY ISD,2022-01-30,047905,128,NA,NA,NA,NA,NA,NA,NA
EDEN CISD,2022-01-30,048901,217,NA,NA,NA,NA,NA,NA,NA
PAINT ROCK ISD,2022-01-30,048903,230,NA,NA,NA,0,NA,NA,NA
GAINESVILLE ISD,2022-01-30,049901,3161,NA,NA,NA,NA,NA,NA,NA
MUENSTER ISD,2022-01-30,049902,466,NA,NA,NA,NA,NA,NA,NA
VALLEY VIEW ISD,2022-01-30,049903,945,NA,NA,NA,0,NA,NA,NA
CALLISBURG ISD,2022-01-30,049905,1148,NA,NA,6,0,0,0,6
ERA ISD,2022-01-30,049906,495,NA,NA,NA,NA,NA,NA,NA
LINDSAY ISD,2022-01-30,049907,488,NA,NA,NA,NA,NA,NA,NA
WALNUT BEND ISD,2022-01-30,049908,61,NA,NA,NA,NA,NA,NA,NA
SIVELLS BEND ISD,2022-01-30,049909,70,NA,NA,NA,NA,NA,NA,NA
EVANT ISD,2022-01-30,050901,211,NA,NA,NA,0,NA,NA,NA
GATESVILLE ISD,2022-01-30,050902,2751,NA,NA,60,11,1,34,36
OGLESBY ISD,2022-01-30,050904,199,NA,NA,NA,NA,NA,NA,NA
JONESBORO ISD,2022-01-30,050909,342,NA,NA,NA,NA,NA,NA,NA
COPPERAS COVE ISD,2022-01-30,050910,8132,NA,NA,121,34,12,42,101
PADUCAH ISD,2022-01-30,051901,162,NA,NA,NA,0,NA,NA,NA
CRANE ISD,2022-01-30,052901,1158,NA,NA,5,3,0,2,6
CROCKETT COUNTY CONSOLIDATED CSD,2022-01-30,053001,733,NA,NA,NA,NA,NA,NA,NA
CROSBYTON CISD,2022-01-30,054901,331,NA,NA,NA,NA,NA,NA,NA
LORENZO ISD,2022-01-30,054902,239,NA,NA,NA,NA,NA,NA,NA
RALLS ISD,2022-01-30,054903,479,NA,NA,NA,1,NA,NA,NA
CULBERSON COUNTY-ALLAMOORE ISD,2022-01-30,055901,375,NA,NA,0,2,1,1,0
DALHART ISD,2022-01-30,056901,1732,NA,NA,NA,NA,NA,NA,NA
TEXLINE ISD,2022-01-30,056902,220,NA,NA,NA,NA,NA,NA,NA
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,2022-01-30,057802,451,NA,NA,NA,NA,NA,NA,NA
UPLIFT EDUCATION,2022-01-30,057803,20316,NA,NA,NA,NA,NA,NA,NA
TEXANS CAN ACADEMIES,2022-01-30,057804,5381,NA,NA,38,5,2,0,41
LUMIN EDUCATION,2022-01-30,057805,255,NA,NA,NA,0,NA,NA,NA
ADVANTAGE ACADEMY,2022-01-30,057806,1149,NA,NA,6,1,0,0,7
LIFE SCHOOL,2022-01-30,057807,5617,NA,NA,NA,NA,NA,NA,NA
UNIVERSAL ACADEMY,2022-01-30,057808,2164,NA,NA,NA,NA,NA,NA,NA
NOVA ACADEMY,2022-01-30,057809,120,NA,NA,NA,NA,NA,NA,NA
ACADEMY OF DALLAS,2022-01-30,057810,252,NA,NA,NA,0,NA,NA,NA
TRINITY BASIN PREPARATORY,2022-01-30,057813,4298,NA,NA,29,11,0,0,40
ACADEMY FOR ACADEMIC EXCELLENCE,2022-01-30,057814,323,NA,NA,NA,NA,NA,NA,NA
A W BROWN LEADERSHIP ACADEMY,2022-01-30,057816,1090,NA,NA,NA,NA,NA,NA,NA
JEAN MASSIEU ACADEMY,2022-01-30,057819,204,NA,NA,NA,NA,NA,NA,NA
NOVA ACADEMY SOUTHEAST,2022-01-30,057827,559,NA,NA,NA,NA,NA,NA,NA
WINFREE ACADEMY CHARTER SCHOOLS,2022-01-30,057828,1162,NA,NA,8,1,0,9,0
A+ ACADEMY,2022-01-30,057829,1446,NA,NA,6,2,0,0,8
INSPIRED VISION ACADEMY,2022-01-30,057830,1284,NA,NA,NA,2,NA,NA,NA
GATEWAY CHARTER ACADEMY,2022-01-30,057831,656,NA,NA,NA,NA,NA,NA,NA
EDUCATION CENTER INTERNATIONAL ACADEMY,2022-01-30,057833,518,NA,NA,NA,NA,NA,NA,NA
EVOLUTION ACADEMY CHARTER SCHOOL,2022-01-30,057834,614,NA,NA,NA,NA,NA,NA,NA
GOLDEN RULE CHARTER SCHOOL,2022-01-30,057835,1581,NA,NA,NA,NA,NA,NA,NA
ST ANTHONY SCHOOL,2022-01-30,057836,318,NA,NA,NA,NA,NA,NA,NA
LA ACADEMIA DE ESTRELLAS,2022-01-30,057839,1002,NA,NA,15,0,0,0,15
RICHLAND COLLEGIATE HIGH SCHOOL,2022-01-30,057840,333,NA,NA,NA,0,NA,NA,NA
CITYSCAPE SCHOOLS,2022-01-30,057841,31,NA,NA,NA,NA,NA,NA,NA
MANARA ACADEMY,2022-01-30,057844,552,NA,NA,NA,NA,NA,NA,NA
UME PREPARATORY ACADEMY,2022-01-30,057845,1379,NA,NA,16,1,0,0,17
LEGACY PREPARATORY,2022-01-30,057846,1497,NA,NA,NA,2,NA,NA,NA
VILLAGE TECH SCHOOLS,2022-01-30,057847,1239,NA,NA,NA,NA,NA,NA,NA
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),2022-01-30,057848,20674,NA,NA,212,34,0,0,246
PIONEER TECHNOLOGY & ARTS ACADEMY,2022-01-30,057850,54,NA,NA,NA,NA,NA,NA,NA
BRIDGEWAY PREPARATORY ACADEMY,2022-01-30,057851,93,NA,NA,NA,NA,NA,NA,NA
CARROLLTON-FARMERS BRANCH ISD,2022-01-30,057903,25101,NA,NA,NA,NA,NA,NA,NA
CEDAR HILL ISD,2022-01-30,057904,7131,NA,NA,29,11,0,1,39
DALLAS ISD,2022-01-30,057905,134360,NA,NA,NA,NA,NA,NA,NA
DESOTO ISD,2022-01-30,057906,7491,NA,NA,NA,NA,NA,NA,NA
DUNCANVILLE ISD,2022-01-30,057907,11868,NA,NA,68,21,0,89,0
GARLAND ISD,2022-01-30,057909,54062,NA,NA,241,39,43,236,1
GRAND PRAIRIE ISD,2022-01-30,057910,27630,NA,NA,235,48,0,0,283
HIGHLAND PARK ISD,2022-01-30,057911,6644,NA,NA,NA,NA,NA,NA,NA
IRVING ISD,2022-01-30,057912,32533,NA,NA,309,71,24,31,325
LANCASTER ISD,2022-01-30,057913,7175,NA,NA,23,4,0,0,27
MESQUITE ISD,2022-01-30,057914,38748,NA,NA,487,92,9,206,364
RICHARDSON ISD,2022-01-30,057916,37863,NA,NA,390,62,1,0,451
SUNNYVALE ISD,2022-01-30,057919,2123,NA,NA,30,8,0,38,0
COPPELL ISD,2022-01-30,057922,13275,NA,NA,NA,21,NA,NA,NA
DAWSON ISD,2022-01-30,058902,157,NA,NA,NA,NA,NA,NA,NA
KLONDIKE ISD,2022-01-30,058905,259,NA,NA,NA,0,NA,NA,NA
LAMESA ISD,2022-01-30,058906,1636,NA,NA,NA,NA,NA,NA,NA
SANDS CISD,2022-01-30,058909,249,NA,NA,NA,NA,NA,NA,NA
HEREFORD ISD,2022-01-30,059901,3962,NA,NA,35,12,0,47,0
WALCOTT ISD,2022-01-30,059902,154,NA,NA,NA,NA,NA,NA,NA
COOPER ISD,2022-01-30,060902,851,NA,NA,NA,0,NA,NA,NA
FANNINDEL ISD,2022-01-30,060914,145,NA,NA,NA,NA,NA,NA,NA
UNIVERSITY OF NORTH TEXAS,2022-01-30,061501,0,NA,NA,NA,NA,NA,NA,NA
NORTH TEXAS COLLEGIATE ACADEMY,2022-01-30,061802,704,NA,NA,NA,NA,NA,NA,NA
LEADERSHIP PREP SCHOOL,2022-01-30,061804,1301,NA,NA,NA,1,NA,NA,NA
TRIVIUM ACADEMY,2022-01-30,061805,567,NA,NA,5,0,0,2,3
DENTON ISD,2022-01-30,061901,32273,NA,NA,300,69,7,5,357
