County,Race/Ethnicity,Vaccination_Type,At_Least_One_Vaccinated,Fully_Vaccinated,Boosted,Doses_Administered,Population_Total
Harris,Hispanic,all,1360219,1128205,2900092,379576,2097602
Harris,Other,all,727685,658083,1916744,366800,387639
Harris,Unknown,all,118828,76959,205829,17903,
Harris,White,all,736954,654531,1777377,305408,1308339
Harrison,Asian,all,201,182,463,84,482
Harrison,Black,all,5349,4759,12659,2128,13885
Harrison,Hispanic,all,3727,3223,7697,803,9917
Harrison,Other,all,5138,4755,13652,2505,5612
Harrison,Unknown,all,1320,948,2311,168,
Harrison,White,all,14827,13252,34102,5400,43397
Hartley,Asian,all,10,8,22,3,37
Hartley,Black,all,120,115,312,80,380
Hartley,Hispanic,all,1137,839,2148,230,1557
Hartley,Other,all,511,442,1258,284,258
Hartley,Unknown,all,330,247,625,48,
Hartley,White,all,1188,1028,2826,513,3356
Haskell,Asian,all,22,20,52,8,51
Haskell,Black,all,52,45,103,8,233
Haskell,Hispanic,all,507,402,1010,121,1571
Haskell,Other,all,560,481,1491,295,589
Haskell,Unknown,all,110,94,210,8,
Haskell,White,all,1311,1164,2941,420,3419
Hays,Asian,all,3084,2522,7145,1238,4527
Hays,Black,all,4415,3784,9808,1416,10139
Hays,Hispanic,all,54041,44472,121244,18039,103795
Hays,Other,all,37050,33268,102108,19701,25022
Hays,Unknown,all,12329,9082,22604,1913,
Hays,White,all,67570,59344,165990,28741,131600
Hemphill,Asian,all,10,8,18,3,38
Hemphill,Black,all,2,1,2,0,17
Hemphill,Hispanic,all,524,455,1024,167,1141
Hemphill,Other,all,286,256,786,163,209
Hemphill,Unknown,all,98,74,183,18,
Hemphill,White,all,951,860,2110,367,2008
Henderson,Asian,all,278,239,623,98,586
Henderson,Black,all,1803,1584,4318,716,5118
Henderson,Hispanic,all,5169,4392,11211,1391,11977
Henderson,Other,all,6347,5793,16918,3235,7469
Henderson,Unknown,all,1524,1054,2488,125,
Henderson,White,all,23784,21101,58139,9911,63967
Hidalgo,Asian,all,3125,2454,6916,1166,8122
Hidalgo,Black,all,1521,1248,3287,475,4414
Hidalgo,Hispanic,all,850123,575504,1694224,224160,815469
Hidalgo,Other,all,81075,60834,182955,31117,21775
Hidalgo,Unknown,all,131261,19771,155044,4337,
Hidalgo,White,all,107481,83432,228212,32738,50033
Hill,Asian,all,127,108,276,37,215
Hill,Black,all,744,617,1647,265,2146
Hill,Hispanic,all,3093,2523,6347,765,8223
Hill,Other,all,2432,2200,6266,1219,2997
Hill,Unknown,all,1115,816,2010,162,
Hill,White,all,10282,9166,24378,4299,25107
Hockley,Asian,all,35,30,72,9,78
Hockley,Black,all,249,214,544,73,764
Hockley,Hispanic,all,5137,4466,11274,1592,10751
Hockley,Other,all,1375,1187,3290,551,1408
Hockley,Unknown,all,674,505,1158,79,
Hockley,White,all,4156,3766,9733,1614,9470
Hood,Asian,all,226,197,508,67,531
Hood,Black,all,171,149,385,53,854
Hood,Hispanic,all,3462,3023,7907,1050,8619
Hood,Other,all,7882,7324,23145,4672,4540
Hood,Unknown,all,609,431,1105,83,
Hood,White,all,21681,19495,53438,8833,52908
Hopkins,Asian,all,158,134,368,68,253
Hopkins,Black,all,947,821,2262,382,2542
Hopkins,Hispanic,all,2855,2493,5998,652,6791
Hopkins,Other,all,3587,3282,9198,1614,3170
Hopkins,Unknown,all,619,449,1015,44,
Hopkins,White,all,9099,8060,21140,3305,26773
Houston,Asian,all,110,79,210,23,164
Houston,Black,all,2471,2245,6170,1198,5376
Houston,Hispanic,all,1302,1042,2702,354,2835
Houston,Other,all,1506,1340,3728,684,1381
Houston,Unknown,all,439,302,758,47,
Houston,White,all,5397,4910,13111,2327,13466
Howard,Asian,all,137,102,272,38,374
Howard,Black,all,267,220,533,68,2040
Howard,Hispanic,all,4874,4206,8924,688,15347
Howard,Other,all,3856,3515,9351,1531,3280
Howard,Unknown,all,752,588,1565,198,
Howard,White,all,4900,4204,10463,1385,15652
Hudspeth,Asian,all,22,17,42,2,40
Hudspeth,Black,all,49,38,99,10,113
Hudspeth,Hispanic,all,3097,2619,7134,1214,2558
Hudspeth,Other,all,168,137,376,55,480
Hudspeth,Unknown,all,167,113,329,42,
Hudspeth,White,all,815,736,1294,119,497
Hunt,Asian,all,635,537,1370,209,1431
Hunt,Black,all,2874,2490,6403,892,8017
Hunt,Hispanic,all,9305,7743,19159,2102,20140
Hunt,Other,all,6941,6326,18072,3058,10191
Hunt,Unknown,all,1757,1331,3100,185,
Hunt,White,all,27799,25039,65953,10471,70963
Hutchinson,Asian,all,46,38,109,20,134
Hutchinson,Black,all,132,114,303,44,487
Hutchinson,Hispanic,all,1766,1504,3870,527,5085
Hutchinson,Other,all,1308,1146,3123,471,2304
Hutchinson,Unknown,all,682,535,1327,91,
Hutchinson,White,all,4610,4101,11156,1855,14112
Irion,Asian,all,1,1,2,0,11
Irion,Black,all,7,6,16,2,21
Irion,Hispanic,all,164,142,381,62,408
Irion,Other,all,177,162,435,80,158
Irion,Unknown,all,25,21,47,3,
Irion,White,all,381,335,897,148,1070
Jack,Asian,all,19,18,44,7,47
Jack,Black,all,213,184,503,93,367
Jack,Hispanic,all,620,526,1276,160,1582
Jack,Other,all,530,448,1296,242,475
Jack,Unknown,all,217,174,405,25,
Jack,White,all,2592,2346,5836,884,6580
Jackson,Asian,all,63,54,131,20,170
Jackson,Black,all,342,303,822,135,888
Jackson,Hispanic,all,1710,1495,3684,465,5158
Jackson,Other,all,1306,1178,3243,562,1160
Jackson,Unknown,all,956,805,1743,84,
Jackson,White,all,3183,2937,7810,1370,8661
Jasper,Asian,all,75,68,186,32,204
Jasper,Black,all,2283,2022,5525,985,5174
Jasper,Hispanic,all,980,841,2069,242,2404
Jasper,Other,all,2085,1867,5187,887,2232
Jasper,Unknown,all,1822,1527,3970,584,
Jasper,White,all,8018,7243,18884,3113,24463
Jeff Davis,Asian,all,5,5,10,1,34
Jeff Davis,Black,all,1,,1,0,16
Jeff Davis,Hispanic,all,453,399,1078,173,602
Jeff Davis,Other,all,150,135,451,90,195
Jeff Davis,Unknown,all,90,68,199,27,
Jeff Davis,White,all,634,582,1691,320,1231
Jefferson,Asian,all,9185,7974,18134,2957,9715
Jefferson,Black,all,35714,31369,89461,15050,84434
Jefferson,Hispanic,all,26635,22322,56914,6463,58645
Jefferson,Other,all,28250,25556,73293,12512,19118
Jefferson,Unknown,all,6519,5102,13464,1699,
Jefferson,White,all,40138,35636,96511,15520,96444
Jim Hogg,Asian,all,11,6,20,2,27
Jim Hogg,Black,all,4,2,6,0,35
Jim Hogg,Hispanic,all,2996,2346,6828,952,4455
Jim Hogg,Other,all,459,412,1376,266,210
Jim Hogg,Unknown,all,79,50,141,7,
Jim Hogg,White,all,436,369,1059,173,247
Jim Wells,Asian,all,77,60,169,29,189
Jim Wells,Black,all,63,55,140,18,283
Jim Wells,Hispanic,all,17953,15189,43493,7277,31264
Jim Wells,Other,all,2712,2375,7248,1351,1791
Jim Wells,Unknown,all,1083,731,1935,145,
Jim Wells,White,all,5985,5063,14085,2262,6790
Johnson,Asian,all,1005,891,2331,402,1960
Johnson,Black,all,3613,3157,8236,1231,8511
Johnson,Hispanic,all,18708,15707,40434,5258,45243
Johnson,Other,all,17964,16156,46173,8086,17217
Johnson,Unknown,all,2872,2045,4987,288,
Johnson,White,all,50747,45449,120740,18991,126560
Jones,Asian,all,68,56,155,28,100
Jones,Black,all,912,835,2032,442,2347
Jones,Hispanic,all,1918,1410,3637,432,5689
Jones,Other,all,2371,1844,4916,840,1607
Jones,Unknown,all,513,388,991,81,
Jones,White,all,4754,4311,10943,1855,11422
Karnes,Asian,all,48,41,104,18,73
Karnes,Black,all,624,589,1635,328,1177
Karnes,Hispanic,all,4243,3549,8047,1005,8458
Karnes,Other,all,1854,1675,4751,928,755
Karnes,Unknown,all,408,342,881,136,
Karnes,White,all,2883,2657,6786,1174,4934
Kaufman,Asian,all,1474,1256,3378,568,2540
Kaufman,Black,all,11185,9795,25700,3820,25966
Kaufman,Hispanic,all,20052,16738,42464,5091,40839
Kaufman,Other,all,12773,11461,32502,5489,14304
Kaufman,Unknown,all,4339,3310,8188,635,
Kaufman,White,all,35879,32157,85117,13664,84780
Kendall,Asian,all,341,293,803,147,645
Kendall,Black,all,267,219,625,101,605
Kendall,Hispanic,all,6002,4965,13251,1974,11979
Kendall,Other,all,9362,8512,25873,5145,3833
Kendall,Unknown,all,1122,781,1942,131,
Kendall,White,all,17968,15840,43476,7497,32633
Kenedy,Asian,all,1,1,2,0,2
Kenedy,Black,all,2,2,4,0,9
Kenedy,Hispanic,all,172,153,412,75,240
Kenedy,Other,all,19,15,52,12,38
Kenedy,Unknown,all,31,26,67,8,
Kenedy,White,all,24,21,64,11,74
Kent,Black,all,1,1,2,0,5
Kent,Hispanic,all,29,25,67,11,155
Kent,Other,all,24,20,64,9,102
Kent,Unknown,all,12,12,24,1,
Kent,White,all,258,233,613,102,567
Kerr,Asian,all,276,236,613,97,595
Kerr,Black,all,260,221,583,91,784
Kerr,Hispanic,all,4743,3915,10008,1260,15231
Kerr,Other,all,7461,6715,20440,3970,4282
Kerr,Unknown,all,1233,946,2563,312,
Kerr,White,all,16503,14465,40093,6965,35570
Kimble,Asian,all,11,11,32,9,41
Kimble,Black,all,6,5,13,2,45
Kimble,Hispanic,all,237,205,590,115,1064
Kimble,Other,all,305,280,872,195,242
Kimble,Unknown,all,42,28,71,3,
Kimble,White,all,1508,1336,3600,610,3146
King,Asian,all,1,,1,0,0
King,Hispanic,all,16,14,31,4,46
King,Other,all,6,6,17,5,29
King,Unknown,all,2,1,2,0,
King,White,all,35,29,68,9,197
Kinney,Asian,all,7,7,17,3,9
Kinney,Black,all,16,13,40,8,53
Kinney,Hispanic,all,1076,929,2364,334,1929
Kinney,Other,all,304,272,842,173,376
Kinney,Unknown,all,72,47,128,12,
Kinney,White,all,739,631,1744,279,1045
Kleberg,Asian,all,434,356,934,129,675
Kleberg,Black,all,337,273,719,94,962
Kleberg,Hispanic,all,14289,12287,34749,5936,22620
Kleberg,Other,all,2559,2252,6836,1318,2098
Kleberg,Unknown,all,1340,984,2601,252,
Kleberg,White,all,3971,3398,9384,1571,6012
Knox,Asian,all,11,10,25,5,16
Knox,Black,all,44,35,88,11,187
Knox,Hispanic,all,396,342,799,85,1174
Knox,Other,all,424,392,1069,208,402
Knox,Unknown,all,66,59,137,14,
Knox,White,all,673,612,1498,203,1883
La Salle,Asian,all,14,13,37,8,21
La Salle,Black,all,189,178,505,120,88
La Salle,Hispanic,all,3547,2945,7387,1116,5769
La Salle,Other,all,617,542,1596,325,294
La Salle,Unknown,all,716,609,1509,130,
La Salle,White,all,622,570,1617,329,733
Lamar,Asian,all,237,197,532,91,383
Lamar,Black,all,2305,2000,5319,892,6577
Lamar,Hispanic,all,1567,1328,3187,324,4617
Lamar,Other,all,3556,3243,9161,1590,6663
Lamar,Unknown,all,1387,1172,3161,495,
Lamar,White,all,13173,11798,31209,5131,36336
Lamb,Asian,all,5,5,13,3,39
Lamb,Black,all,235,203,694,139,451
Lamb,Hispanic,all,2960,2557,6658,1042,7420
Lamb,Other,all,786,680,1939,357,1118
Lamb,Unknown,all,556,476,1202,135,
Lamb,White,all,1969,1739,5102,968,4811
Lampasas,Asian,all,121,95,266,46,265
Lampasas,Black,all,334,255,694,88,877
Lampasas,Hispanic,all,1613,1388,3602,537,4557
Lampasas,Other,all,2325,2109,6039,1128,2819
Lampasas,Unknown,all,603,459,1049,70,
Lampasas,White,all,6753,5985,16070,2693,15737
Lavaca,Asian,all,64,53,136,19,105
Lavaca,Black,all,414,381,960,173,1181
Lavaca,Hispanic,all,1483,1317,3214,476,4166
Lavaca,Other,all,1067,988,2758,504,1136
Lavaca,Unknown,all,589,444,1119,114,
Lavaca,White,all,6450,6057,15652,2843,14834
Lee,Asian,all,23,19,58,12,82
Lee,Black,all,743,667,1807,300,1737
Lee,Hispanic,all,1927,1636,3924,471,4480
Lee,Other,all,1606,1423,4306,833,1239
Lee,Unknown,all,566,374,934,62,
Lee,White,all,4615,4177,11270,1912,11093
Leon,Asian,all,79,65,178,29,124
Leon,Black,all,467,406,1050,189,1037
Leon,Hispanic,all,963,818,1968,233,2574
Leon,Other,all,1373,1243,3433,630,1094
Leon,Unknown,all,190,130,304,14,
Leon,White,all,4935,4381,11158,1882,11931
Liberty,Asian,all,336,291,739,117,603
Liberty,Black,all,3347,2970,7962,1362,8324
Liberty,Hispanic,all,17442,14369,35568,3754,33436
Liberty,Other,all,7938,6974,19279,3184,7412
Liberty,Unknown,all,2005,1417,3473,184,
Liberty,White,all,17306,15297,39103,5828,53639
Limestone,Asian,all,98,85,216,34,205
Limestone,Black,all,1270,1122,2883,426,3647
Limestone,Hispanic,all,1867,1592,3568,395,5173
Limestone,Other,all,2432,2201,5937,1050,1917
Limestone,Unknown,all,393,293,635,51,
Limestone,White,all,4739,4182,10963,1871,12624
Lipscomb,Asian,all,5,5,10,0,21
Lipscomb,Hispanic,all,324,286,674,72,1048
Lipscomb,Other,all,137,123,350,67,415
Lipscomb,Unknown,all,75,61,149,16,
Lipscomb,White,all,536,486,1262,204,1728
Live Oak,Asian,all,20,15,42,7,94
Live Oak,Black,all,16,13,28,1,502
Live Oak,Hispanic,all,1694,1522,4208,707,4701
Live Oak,Other,all,740,678,1998,371,680
Live Oak,Unknown,all,281,216,545,43,
Live Oak,White,all,1924,1720,4587,741,5884
Llano,Asian,all,75,60,167,31,135
Llano,Black,all,51,44,117,21,245
Llano,Hispanic,all,1083,901,2318,295,2672
Llano,Other,all,2159,2030,6521,1342,1462
Llano,Unknown,all,475,357,863,66,
Llano,White,all,9076,8319,24192,4656,18509
Loving,Hispanic,all,8,5,16,3,12
Loving,Other,all,4,4,10,2,0
Loving,Unknown,all,1,1,2,0,
Loving,White,all,30,22,57,3,43
Lubbock,Asian,all,4384,3729,10067,1756,6929
Lubbock,Black,all,7687,6556,16888,2387,22180
Lubbock,Hispanic,all,51692,44774,114656,15993,117397
Lubbock,Other,all,32825,29637,84778,15365,25603
Lubbock,Unknown,all,6858,5155,12887,880,
Lubbock,White,all,70414,63084,167617,27213,162209
Lynn,Asian,all,8,4,16,4,11
Lynn,Black,all,28,27,73,11,120
Lynn,Hispanic,all,1147,987,2575,386,2548
Lynn,Other,all,369,331,892,162,514
Lynn,Unknown,all,154,119,341,49,
Lynn,White,all,1024,924,2331,355,2920
Madison,Asian,all,58,51,138,31,139
Madison,Black,all,1268,1159,3074,615,2602
Madison,Hispanic,all,1396,1115,2825,365,3399
Madison,Other,all,1384,1220,3373,644,1121
Madison,Unknown,all,186,121,286,20,
Madison,White,all,3003,2711,6884,1159,7303
Marion,Asian,all,20,14,43,8,89
Marion,Black,all,846,773,2045,339,1941
Marion,Hispanic,all,190,157,406,51,465
Marion,Other,all,860,804,2355,475,1103
Marion,Unknown,all,141,99,244,15,
Marion,White,all,2543,2311,5852,937,6802
Martin,Asian,all,4,3,9,2,29
Martin,Black,all,16,14,33,5,106
Martin,Hispanic,all,854,699,1775,224,2542
Martin,Other,all,237,209,556,88,426
Martin,Unknown,all,234,161,421,32,
Martin,White,all,827,710,1803,266,2452
Mason,Asian,all,2,2,6,2,9
Mason,Black,all,6,4,12,2,20
Mason,Hispanic,all,504,450,1260,217,1007
Mason,Other,all,401,391,1251,267,230
Mason,Unknown,all,49,35,89,7,
Mason,White,all,1392,1293,3753,688,2856
Matagorda,Asian,all,508,435,1134,171,594
Matagorda,Black,all,1388,1216,3366,553,3631
Matagorda,Hispanic,all,6907,5837,14852,1873,16373
Matagorda,Other,all,4697,4061,11667,2027,2911
Matagorda,Unknown,all,583,394,990,44,
Matagorda,White,all,6470,5762,14990,2349,15206
Maverick,Asian,all,53,40,119,19,294
Maverick,Black,all,54,46,104,7,242
Maverick,Hispanic,all,63573,45422,127634,17661,55153
Maverick,Other,all,6312,4967,14000,2219,2374
Maverick,Unknown,all,37658,1961,39791,379,
Maverick,White,all,9403,6473,17777,2033,1556
McCulloch,Asian,all,23,17,49,8,45
McCulloch,Black,all,39,37,111,20,165
McCulloch,Hispanic,all,842,758,2028,335,2469
McCulloch,Other,all,253,230,682,135,586
McCulloch,Unknown,all,127,92,234,22,
McCulloch,White,all,2233,2025,5465,960,4715
McLennan,Asian,all,3058,2581,6894,1151,4375
McLennan,Black,all,14509,12541,32294,4760,36416
McLennan,Hispanic,all,31797,27486,68857,9401,72713
McLennan,Other,all,27256,24623,70022,12445,23759
McLennan,Unknown,all,4149,2824,7166,371,
McLennan,White,all,74049,65828,175224,29180,143886
McMullen,Black,all,2,2,4,0,16
McMullen,Hispanic,all,117,105,260,42,271
McMullen,Other,all,72,68,179,35,76
McMullen,Unknown,all,12,9,23,2,
McMullen,White,all,162,147,366,62,312
Medina,Asian,all,155,131,355,61,319
Medina,Black,all,723,645,1708,307,1576
Medina,Hispanic,all,11205,9638,25788,4067,27767
Medina,Other,all,8009,7133,20428,3836,3807
Medina,Unknown,all,1456,1014,2661,228,
Medina,White,all,11284,10208,27229,4786,21507
Menard,Asian,all,2,2,4,0,8
Menard,Black,all,9,7,23,2,38
Menard,Hispanic,all,381,343,940,184,709
Menard,Other,all,118,107,314,63,134
Menard,Unknown,all,25,16,42,2,
Menard,White,all,704,659,1711,324,1197
Midland,Asian,all,1980,1672,4386,629,3610
Midland,Black,all,3996,3435,8835,1185,10646
Midland,Hispanic,all,36617,30646,77768,9228,80882
Midland,Other,all,12909,11430,31040,4957,12583
Midland,Unknown,all,3123,2145,5431,228,
Midland,White,all,31690,28122,72225,10275,69933
Milam,Asian,all,84,69,203,36,203
Milam,Black,all,856,745,1961,288,2096
Milam,Hispanic,all,2705,2381,6075,841,6911
Milam,Other,all,2165,1980,5844,1114,1865
Milam,Unknown,all,540,425,1047,88,
Milam,White,all,6595,6078,16764,2944,15431
Mills,Asian,all,11,11,29,9,22
Mills,Black,all,7,6,16,2,51
Mills,Hispanic,all,320,287,709,89,873
Mills,Other,all,192,179,484,90,323
Mills,Unknown,all,166,126,333,38,
Mills,White,all,1684,1547,4330,812,3458
Mitchell,Asian,all,22,21,59,17,49
Mitchell,Black,all,274,257,638,154,855
Mitchell,Hispanic,all,911,816,2147,376,3698
Mitchell,Other,all,636,575,1553,330,857
Mitchell,Unknown,all,238,207,592,103,
Mitchell,White,all,1401,1276,3367,612,4301
Montague,Asian,all,44,41,103,18,75
Montague,Black,all,19,16,40,6,183
Montague,Hispanic,all,978,812,2115,304,2408
Montague,Other,all,1097,995,2815,491,1641
Montague,Unknown,all,500,383,917,65,
Montague,White,all,5729,4992,13260,2150,17236
Montgomery,Asian,all,12325,10534,28956,4987,21918
Montgomery,Black,all,17216,14853,39034,5892,39186
Montgomery,Hispanic,all,104351,85112,218784,27286,171096
Montgomery,Other,all,94326,84841,246552,45359,53259
Montgomery,Unknown,all,15106,9939,24247,1205,
Montgomery,White,all,172653,153286,408466,65451,403350
Moore,Asian,all,242,147,424,33,998
Moore,Black,all,187,104,306,19,862
Moore,Hispanic,all,7124,5656,14616,1646,12472
Moore,Other,all,1635,1260,3465,423,1466
Moore,Unknown,all,900,554,1558,98,
Moore,White,all,2556,2128,5674,785,6426
Morris,Asian,all,26,20,46,6,82
Morris,Black,all,1267,1093,2978,498,2620
Morris,Hispanic,all,669,557,1389,171,1386
Morris,Other,all,802,727,2082,378,1334
Morris,Unknown,all,314,192,547,55,
Morris,White,all,3425,3082,8130,1381,7526
Motley,Black,all,4,3,9,2,30
Motley,Hispanic,all,58,35,110,15,218
Motley,Other,all,141,109,323,50,67
Motley,Unknown,all,10,7,18,2,
Motley,White,all,257,185,559,92,797
Nacogdoches,Asian,all,475,416,1114,209,772
Nacogdoches,Black,all,4839,4099,10681,1679,11155
Nacogdoches,Hispanic,all,6637,5495,13498,1627,13401
Nacogdoches,Other,all,4183,3821,10932,1978,5242
Nacogdoches,Unknown,all,1645,1207,2941,182,
Nacogdoches,White,all,16979,15069,39468,6935,37967
Navarro,Asian,all,226,192,518,83,347
Navarro,Black,all,2179,1935,5215,871,6486
Navarro,Hispanic,all,6001,5191,12994,1582,16220
Navarro,Other,all,6300,5614,15827,2662,5611
Navarro,Unknown,all,1474,1133,2934,286,
Navarro,White,all,11200,9987,27092,4465,28575
Newton,Asian,all,19,17,43,5,66
Newton,Black,all,835,754,2052,349,2293
Newton,Hispanic,all,90,79,199,27,579
Newton,Other,all,411,381,1051,180,1163
Newton,Unknown,all,430,342,929,143,
Newton,White,all,1993,1809,4733,775,8942
Nolan,Asian,all,52,43,110,17,95
Nolan,Black,all,213,193,472,83,651
Nolan,Hispanic,all,2194,1995,4850,841,5808
Nolan,Other,all,690,619,1701,317,1292
Nolan,Unknown,all,282,207,499,42,
Nolan,White,all,3719,3443,8729,1638,7748
Nueces,Asian,all,4460,3781,8864,1328,7375
Nueces,Black,all,4453,3746,9715,1393,11925
Nueces,Hispanic,all,125953,108038,295821,47800,230318
Nueces,Other,all,45627,40942,126274,25189,24205
Nueces,Unknown,all,7794,5720,14215,861,
Nueces,White,all,59364,51555,139395,22489,98793
Ochiltree,Asian,all,18,16,36,2,43
Ochiltree,Black,all,7,6,13,1,58
Ochiltree,Hispanic,all,2234,1927,4438,346,5534
Ochiltree,Other,all,495,436,1175,188,669
Ochiltree,Unknown,all,230,201,441,11,
Ochiltree,White,all,1347,1215,2962,377,3990
Oldham,Asian,all,22,18,51,9,34
Oldham,Black,all,9,6,16,1,57
Oldham,Hispanic,all,140,111,289,43,317
Oldham,Other,all,116,103,284,48,185
Oldham,Unknown,all,49,41,97,7,
Oldham,White,all,544,481,1270,201,1268
Orange,Asian,all,597,503,1287,181,945
Orange,Black,all,2651,2282,6056,967,7470
Orange,Hispanic,all,2674,2218,5640,653,7843
Orange,Other,all,7269,6540,18275,3014,5636
Orange,Unknown,all,1576,1123,2802,211,
Orange,White,all,20684,18134,47492,7123,66755
Palo Pinto,Asian,all,121,101,273,43,268
Palo Pinto,Black,all,205,171,472,72,651
Palo Pinto,Hispanic,all,2390,2068,5198,698,6027
Palo Pinto,Other,all,2120,1957,5775,1057,2242
Palo Pinto,Unknown,all,308,221,528,36,
Palo Pinto,White,all,7492,6766,17839,2897,21149
Panola,Asian,all,55,53,132,24,135
Panola,Black,all,1421,1256,3252,543,3489
Panola,Hispanic,all,825,726,1734,202,2158
Panola,Other,all,1759,1596,4321,723,1933
Panola,Unknown,all,297,207,498,25,
Panola,White,all,5379,4771,12180,1897,16446
Parker,Asian,all,666,567,1515,247,1131
Parker,Black,all,780,676,1744,240,2471
Parker,Hispanic,all,9245,8018,20861,2899,21986
Parker,Other,all,13037,12061,34982,6437,12593
Parker,Unknown,all,2855,2275,5221,456,
Parker,White,all,48756,43639,114010,17406,127473
Parmer,Asian,all,11,10,24,3,69
Parmer,Black,all,15,13,34,8,109
Parmer,Hispanic,all,2102,1805,4508,700,6436
Parmer,Other,all,200,173,466,79,694
Parmer,Unknown,all,1241,1132,3048,521,
Parmer,White,all,898,793,2108,351,3118
Pecos,Asian,all,104,101,276,62,170
Pecos,Black,all,335,316,781,177,647
Pecos,Hispanic,all,6749,5873,15604,2607,10583
Pecos,Other,all,1113,963,2497,468,957
Pecos,Unknown,all,886,715,1713,242,
Pecos,White,all,1847,1683,4428,825,3529
Polk,Asian,all,184,149,409,75,423
Polk,Black,all,2540,2298,6243,1188,4754
Polk,Hispanic,all,2981,2484,6312,825,8119
Polk,Other,all,4171,3791,11135,2125,4614
Polk,Unknown,all,1115,728,1859,98,
Polk,White,all,15429,13582,37909,6693,36912
Potter,Asian,all,2397,2009,5670,917,5697
Potter,Black,all,4138,3485,9277,1461,11703
Potter,Hispanic,all,22116,18278,47238,5757,46761
Potter,Other,all,10124,8801,24500,3896,11010
Potter,Unknown,all,1824,1168,3125,188,
Potter,White,all,23467,20727,57186,9472,49819
Presidio,Asian,all,22,18,45,5,95
Presidio,Black,all,10,9,19,0,76
Presidio,Hispanic,all,6442,5118,14628,2436,5147
Presidio,Other,all,661,444,1516,299,450
Presidio,Unknown,all,245,158,437,40,
Presidio,White,all,956,831,2252,425,750
Rains,Asian,all,29,25,72,14,114
Rains,Black,all,95,77,211,27,321
Rains,Hispanic,all,454,393,958,105,1256
Rains,Other,all,878,828,2455,473,1084
Rains,Unknown,all,180,125,303,12,
Rains,White,all,3729,3382,9062,1502,10445
Randall,Asian,all,1388,1150,3234,550,2598
Randall,Black,all,1554,1305,3343,444,4847
Randall,Hispanic,all,13187,11328,28912,3814,35806
Randall,Other,all,10390,9424,26671,4589,12164
Randall,Unknown,all,2684,1957,4963,378,
Randall,White,all,43741,39140,105810,17428,97459
Reagan,Asian,all,5,3,8,0,11
Reagan,Black,all,12,11,28,6,92
Reagan,Hispanic,all,1030,885,2022,200,2360
Reagan,Other,all,414,383,913,152,435
Reagan,Unknown,all,101,84,208,22,
Reagan,White,all,243,210,519,68,740
Real,Asian,all,1,1,3,1,11
Real,Black,all,9,9,21,3,43
Real,Hispanic,all,379,314,898,156,826
Real,Other,all,405,391,1204,257,293
Real,Unknown,all,50,28,81,8,
Real,White,all,1101,974,2625,407,1858
Red River,Asian,all,30,25,62,9,44
Red River,Black,all,591,516,1124,120,1796
Red River,Hispanic,all,364,317,832,125,908
Red River,Other,all,1480,1329,3768,676,1100
Red River,Unknown,all,383,326,810,91,
Red River,White,all,2698,2375,5952,909,8444
Reeves,Asian,all,80,73,205,40,212
Reeves,Black,all,79,58,173,23,705
Reeves,Hispanic,all,29194,11944,44275,2758,10918
Reeves,Other,all,457,410,1181,226,873
Reeves,Unknown,all,1840,1391,4011,651,
Reeves,White,all,691,579,1540,217,2496
Refugio,Asian,all,10,7,20,3,52
Refugio,Black,all,201,184,513,97,377
Refugio,Hispanic,all,1793,1629,4467,765,3512
Refugio,Other,all,447,409,1248,238,496
Refugio,Unknown,all,360,303,821,136,
Refugio,White,all,1445,1297,3617,658,2703
Roberts,Hispanic,all,17,15,37,5,93
Roberts,Other,all,38,32,86,11,77
Roberts,Unknown,all,20,15,38,3,
Roberts,White,all,226,207,532,89,678
Robertson,Asian,all,77,64,164,26,143
Robertson,Black,all,1377,1222,3178,554,3200
Robertson,Hispanic,all,1658,1428,3564,473,3852
Robertson,Other,all,1419,1290,3689,681,1350
Robertson,Unknown,all,256,163,408,18,
Robertson,White,all,4245,3807,9759,1635,9456
Rockwall,Asian,all,2231,1928,5208,858,3762
Rockwall,Black,all,4923,4278,11330,1684,9829
Rockwall,Hispanic,all,12569,10487,27016,3558,23454
Rockwall,Other,all,12611,11486,33953,6250,10565
Rockwall,Unknown,all,2466,1758,4342,232,
Rockwall,White,all,38595,34251,91416,14681,76395
Runnels,Asian,all,19,18,42,5,90
Runnels,Black,all,63,55,139,21,215
Runnels,Hispanic,all,1489,1329,3275,486,3568
Runnels,Other,all,391,361,1008,178,734
Runnels,Unknown,all,301,243,562,50,
Runnels,White,all,2818,2622,6723,1171,5906
Rusk,Asian,all,136,116,304,48,301
Rusk,Black,all,3778,3397,8758,1497,8931
Rusk,Hispanic,all,3892,3348,8267,1026,9597
Rusk,Other,all,4464,3960,10944,1866,4161
Rusk,Unknown,all,734,541,1274,69,
Rusk,White,all,12607,11257,29054,4705,32820
Sabine,Asian,all,17,15,35,6,52
Sabine,Black,all,259,226,628,112,676
Sabine,Hispanic,all,110,88,246,38,492
Sabine,Other,all,576,533,1467,268,937
Sabine,Unknown,all,383,328,847,129,
Sabine,White,all,3066,2717,7433,1302,8511
San Augustine,Asian,all,11,10,24,3,28
San Augustine,Black,all,1001,880,2445,417,1686
San Augustine,Hispanic,all,269,214,576,76,630
San Augustine,Other,all,472,415,1230,237,548
San Augustine,Unknown,all,166,124,309,26,
San Augustine,White,all,2201,1960,5354,912,5434
