County,Race/Ethnicity,Vaccination_Type,At_Least_One_Vaccinated,Fully_Vaccinated,Boosted,Doses_Administered,Population_Total
Cochran,Asian,all,3,3,6,2,12
Cochran,Black,all,28,24,56,7,101
Cochran,Hispanic,all,703,603,1448,191,1506
Cochran,Other,all,92,82,224,44,253
Cochran,Unknown,all,116,97,230,21,
Cochran,White,all,346,310,741,112,843
Coke,Asian,all,1,1,2,0,5
Coke,Black,all,4,4,8,0,26
Coke,Hispanic,all,235,202,538,88,749
Coke,Other,all,241,219,640,124,312
Coke,Unknown,all,44,33,96,16,
Coke,White,all,942,853,2248,404,2449
Coleman,Asian,all,22,16,57,10,84
Coleman,Black,all,33,29,70,10,241
Coleman,Hispanic,all,350,311,804,128,1442
Coleman,Other,all,336,293,780,129,708
Coleman,Unknown,all,1157,1007,2578,374,
Coleman,White,all,1630,1502,3988,757,5793
Collin,Asian,all,141361,120876,338669,62018,192738
Collin,Black,all,58547,51236,136518,21027,122788
Collin,Hispanic,all,117628,98756,260618,37131,175799
Collin,Other,all,178736,164560,497217,98698,117213
Collin,Unknown,all,26528,18324,46810,2926,
Collin,White,all,300074,269937,748294,128611,585279
Collingsworth,Asian,all,4,4,12,3,4
Collingsworth,Black,all,35,28,73,11,142
Collingsworth,Hispanic,all,249,193,472,56,919
Collingsworth,Other,all,79,67,204,37,286
Collingsworth,Unknown,all,65,49,131,14,
Collingsworth,White,all,702,640,1782,382,1461
Colorado,Asian,all,77,67,184,35,121
Colorado,Black,all,1135,1018,2790,521,2294
Colorado,Hispanic,all,3050,2630,6623,925,6644
Colorado,Other,all,1619,1468,4456,879,1796
Colorado,Unknown,all,950,796,1946,259,
Colorado,White,all,6112,5527,15367,2857,11174
Comal,Asian,all,1331,1131,3047,494,2346
Comal,Black,all,2026,1658,4694,758,4771
Comal,Hispanic,all,22730,19137,50681,7268,51079
Comal,Other,all,29332,26701,80889,15656,15277
Comal,Unknown,all,4102,2932,7347,572,
Comal,White,all,53522,47439,128444,21585,113316
Comanche,Asian,all,16,13,38,8,79
Comanche,Black,all,17,8,29,2,92
Comanche,Hispanic,all,1609,1440,3461,491,4049
Comanche,Other,all,559,498,1402,242,942
Comanche,Unknown,all,1147,1022,2654,397,
Comanche,White,all,3737,3425,9245,1710,9308
Concho,Asian,all,7,5,13,1,62
Concho,Black,all,27,16,48,5,40
Concho,Hispanic,all,560,424,1104,156,1139
Concho,Other,all,147,134,378,82,189
Concho,Unknown,all,141,124,313,49,
Concho,White,all,774,706,1822,342,2048
Cooke,Asian,all,200,161,459,82,415
Cooke,Black,all,394,322,875,136,1414
Cooke,Hispanic,all,3348,2616,6673,709,8197
Cooke,Other,all,2456,2138,6147,1056,3486
Cooke,Unknown,all,1129,907,2084,170,
Cooke,White,all,11625,9995,27323,4577,31126
Coryell,Asian,all,684,548,1499,232,1709
Coryell,Black,all,4994,4299,11614,1887,14163
Coryell,Hispanic,all,4362,3674,9694,1339,16888
Coryell,Other,all,8017,7070,20079,3471,14357
Coryell,Unknown,all,1493,981,2647,176,
Coryell,White,all,19026,16871,44909,7285,47269
Cottle,Black,all,14,13,33,6,147
Cottle,Hispanic,all,127,111,310,54,347
Cottle,Other,all,103,94,246,34,133
Cottle,Unknown,all,17,14,28,1,
Cottle,White,all,330,290,735,124,855
Crane,Asian,all,8,8,20,3,24
Crane,Black,all,13,11,24,2,132
Crane,Hispanic,all,1411,1067,2870,337,3135
Crane,Other,all,236,192,533,82,333
Crane,Unknown,all,79,54,139,6,
Crane,White,all,553,448,1165,149,1308
Crockett,Asian,all,17,15,48,13,31
Crockett,Black,all,6,5,12,2,27
Crockett,Hispanic,all,1090,935,2485,411,2072
Crockett,Other,all,257,213,616,107,257
Crockett,Unknown,all,43,32,83,6,
Crockett,White,all,520,451,1227,211,897
Crosby,Asian,all,6,6,14,3,15
Crosby,Black,all,41,36,89,14,162
Crosby,Hispanic,all,1350,1215,3146,491,2931
Crosby,Other,all,358,318,922,177,499
Crosby,Unknown,all,119,90,233,24,
Crosby,White,all,1029,928,2514,430,1920
Culberson,Asian,all,34,27,75,13,42
Culberson,Black,all,5,4,10,1,32
Culberson,Hispanic,all,942,816,2224,395,1593
Culberson,Other,all,72,65,175,32,286
Culberson,Unknown,all,64,55,145,17,
Culberson,White,all,241,203,533,82,476
Dallam,Asian,all,16,13,37,6,62
Dallam,Black,all,63,36,105,6,134
Dallam,Hispanic,all,2130,1541,4135,470,3415
Dallam,Other,all,337,257,714,106,609
Dallam,Unknown,all,625,396,1087,67,
Dallam,White,all,1104,903,2427,357,3421
Dallas,Asian,all,126804,109620,300482,53883,175776
Dallas,Black,all,254695,220096,586409,88788,589545
Dallas,Hispanic,all,692173,577271,1478085,187586,1070078
Dallas,Other,all,324801,289243,875988,163657,213074
Dallas,Unknown,all,54226,35542,92318,4753,
Dallas,White,all,433498,385146,1098244,198900,704128
Dawson,Asian,all,22,20,49,5,100
Dawson,Black,all,418,388,868,114,718
Dawson,Hispanic,all,2056,1759,4485,617,7368
Dawson,Other,all,960,837,2108,314,988
Dawson,Unknown,all,154,126,322,40,
Dawson,White,all,1588,1393,3441,484,4052
Deaf Smith,Asian,all,36,30,83,17,94
Deaf Smith,Black,all,37,30,91,14,197
Deaf Smith,Hispanic,all,6146,5337,13279,1858,13967
Deaf Smith,Other,all,541,450,1223,170,1168
Deaf Smith,Unknown,all,691,558,1448,179,
Deaf Smith,White,all,1838,1671,4619,802,3895
Delta,Asian,all,17,12,33,5,41
Delta,Black,all,126,112,282,37,351
Delta,Hispanic,all,160,127,334,37,538
Delta,Other,all,360,335,900,147,823
