Public Health Region (PHR),County Name,Age Group,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,Date,County,People Vaccinated with at Least One Dose
2/3,NA,80+ years,1594,NA,562,2021-03-08,Navarro,1032
2/3,NA,Unknown,5,NA,1,2021-03-08,Navarro,4
2/3,NA,16-49 years,597,NA,227,2021-03-08,Nolan,370
2/3,NA,50-64 years,799,NA,299,2021-03-08,Nolan,500
2/3,NA,65-79 years,1721,NA,745,2021-03-08,Nolan,976
2/3,NA,80+ years,605,NA,254,2021-03-08,Nolan,352
2/3,NA,16-49 years,757,NA,222,2021-03-08,Palo Pinto,536
2/3,NA,50-64 years,1112,NA,284,2021-03-08,Palo Pinto,828
2/3,NA,65-79 years,2153,NA,531,2021-03-08,Palo Pinto,1623
2/3,NA,80+ years,623,NA,153,2021-03-08,Palo Pinto,470
2/3,NA,Unknown,7,NA,2,2021-03-08,Palo Pinto,5
2/3,NA,16-49 years,7301,NA,3023,2021-03-08,Parker,4279
2/3,NA,50-64 years,6998,NA,2702,2021-03-08,Parker,4297
2/3,NA,65-79 years,12002,NA,4778,2021-03-08,Parker,7227
2/3,NA,80+ years,3452,NA,1373,2021-03-08,Parker,2079
2/3,NA,Unknown,10,NA,2,2021-03-08,Parker,8
2/3,NA,16-49 years,7125,NA,2580,2021-03-08,Rockwall,4552
2/3,NA,50-64 years,6246,NA,2059,2021-03-08,Rockwall,4189
2/3,NA,65-79 years,9997,NA,3769,2021-03-08,Rockwall,6229
2/3,NA,80+ years,2383,NA,899,2021-03-08,Rockwall,1484
2/3,NA,Unknown,8,NA,2,2021-03-08,Rockwall,6
2/3,NA,16-49 years,516,NA,191,2021-03-08,Runnels,325
2/3,NA,50-64 years,643,NA,199,2021-03-08,Runnels,444
2/3,NA,65-79 years,1204,NA,481,2021-03-08,Runnels,723
2/3,NA,80+ years,474,NA,183,2021-03-08,Runnels,291
2/3,NA,Unknown,1,NA,0,2021-03-08,Runnels,1
2/3,NA,16-49 years,930,NA,343,2021-03-08,Scurry,587
2/3,NA,50-64 years,1142,NA,401,2021-03-08,Scurry,741
2/3,NA,65-79 years,1550,NA,620,2021-03-08,Scurry,930
2/3,NA,80+ years,677,NA,281,2021-03-08,Scurry,396
2/3,NA,Unknown,7,NA,1,2021-03-08,Scurry,6
2/3,NA,16-49 years,94,NA,31,2021-03-08,Shackelford,63
2/3,NA,50-64 years,133,NA,29,2021-03-08,Shackelford,104
2/3,NA,65-79 years,325,NA,84,2021-03-08,Shackelford,241
2/3,NA,80+ years,104,NA,26,2021-03-08,Shackelford,78
2/3,NA,16-49 years,490,NA,170,2021-03-08,Somervell,320
2/3,NA,50-64 years,568,NA,171,2021-03-08,Somervell,397
2/3,NA,65-79 years,1144,NA,414,2021-03-08,Somervell,730
2/3,NA,80+ years,326,NA,117,2021-03-08,Somervell,209
2/3,NA,Unknown,1,NA,0,2021-03-08,Somervell,1
2/3,NA,16-49 years,231,NA,74,2021-03-08,Stephens,160
2/3,NA,50-64 years,299,NA,76,2021-03-08,Stephens,224
2/3,NA,65-79 years,607,NA,141,2021-03-08,Stephens,468
2/3,NA,80+ years,263,NA,54,2021-03-08,Stephens,209
2/3,NA,16-49 years,67,NA,22,2021-03-08,Stonewall,45
2/3,NA,50-64 years,79,NA,21,2021-03-08,Stonewall,58
2/3,NA,65-79 years,198,NA,62,2021-03-08,Stonewall,136
2/3,NA,80+ years,100,NA,34,2021-03-08,Stonewall,66
2/3,NA,Unknown,1,NA,0,2021-03-08,Stonewall,1
2/3,NA,16-49 years,136840,NA,54751,2021-03-08,Tarrant,82164
2/3,NA,50-64 years,113143,NA,44499,2021-03-08,Tarrant,68710
2/3,NA,65-79 years,143417,NA,59407,2021-03-08,Tarrant,84038
2/3,NA,80+ years,37565,NA,14858,2021-03-08,Tarrant,22713
2/3,NA,Unknown,145,NA,30,2021-03-08,Tarrant,115
2/3,NA,16-49 years,11903,NA,4471,2021-03-08,Taylor,7433
2/3,NA,50-64 years,9595,NA,3329,2021-03-08,Taylor,6267
2/3,NA,65-79 years,12130,NA,4126,2021-03-08,Taylor,8004
2/3,NA,80+ years,4557,NA,1578,2021-03-08,Taylor,2979
2/3,NA,Unknown,15,NA,5,2021-03-08,Taylor,10
2/3,NA,16-49 years,163,NA,68,2021-03-08,Throckmorton,95
2/3,NA,50-64 years,205,NA,88,2021-03-08,Throckmorton,117
2/3,NA,65-79 years,254,NA,111,2021-03-08,Throckmorton,143
2/3,NA,80+ years,154,NA,70,2021-03-08,Throckmorton,84
2/3,NA,16-49 years,7611,NA,3027,2021-03-08,Wichita,4585
2/3,NA,50-64 years,8372,NA,3223,2021-03-08,Wichita,5150
2/3,NA,65-79 years,13286,NA,5651,2021-03-08,Wichita,7637
2/3,NA,80+ years,4714,NA,1919,2021-03-08,Wichita,2795
2/3,NA,Unknown,13,NA,4,2021-03-08,Wichita,9
2/3,NA,16-49 years,1372,NA,541,2021-03-08,Wilbarger,831
2/3,NA,50-64 years,1207,NA,414,2021-03-08,Wilbarger,793
2/3,NA,65-79 years,1819,NA,725,2021-03-08,Wilbarger,1094
2/3,NA,80+ years,571,NA,245,2021-03-08,Wilbarger,326
2/3,NA,Unknown,6,NA,1,2021-03-08,Wilbarger,5
2/3,NA,16-49 years,2476,NA,875,2021-03-08,Wise,1602
2/3,NA,50-64 years,2903,NA,849,2021-03-08,Wise,2059
2/3,NA,65-79 years,5414,NA,1814,2021-03-08,Wise,3603
2/3,NA,80+ years,1579,NA,530,2021-03-08,Wise,1050
2/3,NA,Unknown,3,NA,0,2021-03-08,Wise,3
2/3,NA,16-49 years,637,NA,244,2021-03-08,Young,397
2/3,NA,50-64 years,841,NA,248,2021-03-08,Young,594
2/3,NA,65-79 years,1878,NA,616,2021-03-08,Young,1263
2/3,NA,80+ years,719,NA,228,2021-03-08,Young,491
2/3,NA,Unknown,3,NA,0,2021-03-08,Young,3
4/5N,NA,16-49 years,990,NA,384,2021-03-08,Anderson,606
4/5N,NA,50-64 years,1314,NA,495,2021-03-08,Anderson,819
4/5N,NA,65-79 years,2653,NA,1015,2021-03-08,Anderson,1638
4/5N,NA,80+ years,822,NA,309,2021-03-08,Anderson,513
4/5N,NA,Unknown,1,NA,0,2021-03-08,Anderson,1
4/5N,NA,16-49 years,4227,NA,1582,2021-03-08,Angelina,2646
4/5N,NA,50-64 years,5105,NA,1795,2021-03-08,Angelina,3310
4/5N,NA,65-79 years,7401,NA,2554,2021-03-08,Angelina,4847
4/5N,NA,80+ years,2538,NA,867,2021-03-08,Angelina,1671
4/5N,NA,Unknown,13,NA,3,2021-03-08,Angelina,10
4/5N,NA,16-49 years,2796,NA,1060,2021-03-08,Bowie,1736
4/5N,NA,50-64 years,2926,NA,1061,2021-03-08,Bowie,1865
4/5N,NA,65-79 years,4379,NA,1458,2021-03-08,Bowie,2921
4/5N,NA,80+ years,1766,NA,632,2021-03-08,Bowie,1134
4/5N,NA,Unknown,10,NA,2,2021-03-08,Bowie,8
4/5N,NA,16-49 years,406,NA,161,2021-03-08,Camp,245
4/5N,NA,50-64 years,429,NA,142,2021-03-08,Camp,287
4/5N,NA,65-79 years,880,NA,307,2021-03-08,Camp,575
4/5N,NA,80+ years,296,NA,87,2021-03-08,Camp,209
4/5N,NA,16-49 years,488,NA,181,2021-03-08,Cass,307
4/5N,NA,50-64 years,656,NA,231,2021-03-08,Cass,425
4/5N,NA,65-79 years,1098,NA,326,2021-03-08,Cass,772
4/5N,NA,80+ years,331,NA,76,2021-03-08,Cass,255
4/5N,NA,Unknown,2,NA,1,2021-03-08,Cass,1
4/5N,NA,16-49 years,1773,NA,758,2021-03-08,Cherokee,1015
4/5N,NA,50-64 years,2001,NA,815,2021-03-08,Cherokee,1186
4/5N,NA,65-79 years,3512,NA,1315,2021-03-08,Cherokee,2197
4/5N,NA,80+ years,1055,NA,393,2021-03-08,Cherokee,663
4/5N,NA,Unknown,11,NA,1,2021-03-08,Cherokee,10
4/5N,NA,16-49 years,160,NA,66,2021-03-08,Delta,94
4/5N,NA,50-64 years,203,NA,72,2021-03-08,Delta,131
4/5N,NA,65-79 years,490,NA,160,2021-03-08,Delta,330
4/5N,NA,80+ years,161,NA,58,2021-03-08,Delta,103
4/5N,NA,16-49 years,223,NA,80,2021-03-08,Franklin,143
4/5N,NA,50-64 years,397,NA,132,2021-03-08,Franklin,265
4/5N,NA,65-79 years,864,NA,283,2021-03-08,Franklin,581
4/5N,NA,80+ years,347,NA,125,2021-03-08,Franklin,222
4/5N,NA,16-49 years,5763,NA,2158,2021-03-08,Gregg,3605
4/5N,NA,50-64 years,6008,NA,2032,2021-03-08,Gregg,3976
4/5N,NA,65-79 years,8920,NA,2820,2021-03-08,Gregg,6101
4/5N,NA,80+ years,3351,NA,1057,2021-03-08,Gregg,2294
4/5N,NA,Unknown,21,NA,3,2021-03-08,Gregg,18
4/5N,NA,16-49 years,1942,NA,649,2021-03-08,Harrison,1293
4/5N,NA,50-64 years,2521,NA,774,2021-03-08,Harrison,1747
4/5N,NA,65-79 years,3955,NA,1281,2021-03-08,Harrison,2675
4/5N,NA,80+ years,1180,NA,385,2021-03-08,Harrison,795
4/5N,NA,Unknown,4,NA,0,2021-03-08,Harrison,4
4/5N,NA,16-49 years,1957,NA,753,2021-03-08,Henderson,1206
4/5N,NA,50-64 years,3098,NA,1120,2021-03-08,Henderson,1978
4/5N,NA,65-79 years,6409,NA,2316,2021-03-08,Henderson,4093
4/5N,NA,80+ years,2006,NA,718,2021-03-08,Henderson,1288
4/5N,NA,Unknown,3,NA,1,2021-03-08,Henderson,2
4/5N,NA,16-49 years,1111,NA,462,2021-03-08,Hopkins,649
4/5N,NA,50-64 years,1351,NA,550,2021-03-08,Hopkins,803
4/5N,NA,65-79 years,2481,NA,950,2021-03-08,Hopkins,1532
4/5N,NA,80+ years,1035,NA,413,2021-03-08,Hopkins,623
4/5N,NA,Unknown,3,NA,0,2021-03-08,Hopkins,3
4/5N,NA,16-49 years,441,NA,159,2021-03-08,Houston,283
4/5N,NA,50-64 years,708,NA,233,2021-03-08,Houston,475
4/5N,NA,65-79 years,1629,NA,555,2021-03-08,Houston,1074
4/5N,NA,80+ years,604,NA,174,2021-03-08,Houston,430
4/5N,NA,Unknown,1,NA,0,2021-03-08,Houston,1
4/5N,NA,16-49 years,1140,NA,375,2021-03-08,Jasper,765
4/5N,NA,50-64 years,2372,NA,786,2021-03-08,Jasper,1586
4/5N,NA,65-79 years,4266,NA,1684,2021-03-08,Jasper,2583
4/5N,NA,80+ years,1424,NA,561,2021-03-08,Jasper,863
4/5N,NA,Unknown,5,NA,1,2021-03-08,Jasper,4
4/5N,NA,16-49 years,2158,NA,768,2021-03-08,Lamar,1391
4/5N,NA,50-64 years,3394,NA,1023,2021-03-08,Lamar,2371
4/5N,NA,65-79 years,5134,NA,1676,2021-03-08,Lamar,3458
4/5N,NA,80+ years,1821,NA,592,2021-03-08,Lamar,1229
4/5N,NA,Unknown,5,NA,0,2021-03-08,Lamar,5
4/5N,NA,16-49 years,283,NA,82,2021-03-08,Marion,201
4/5N,NA,50-64 years,413,NA,102,2021-03-08,Marion,311
4/5N,NA,65-79 years,613,NA,165,2021-03-08,Marion,448
4/5N,NA,80+ years,244,NA,75,2021-03-08,Marion,169
4/5N,NA,16-49 years,278,NA,100,2021-03-08,Morris,179
4/5N,NA,50-64 years,381,NA,131,2021-03-08,Morris,250
4/5N,NA,65-79 years,699,NA,190,2021-03-08,Morris,509
4/5N,NA,80+ years,269,NA,70,2021-03-08,Morris,199
4/5N,NA,Unknown,2,NA,1,2021-03-08,Morris,1
4/5N,NA,16-49 years,3413,NA,1319,2021-03-08,Nacogdoches,2096
4/5N,NA,50-64 years,3800,NA,1255,2021-03-08,Nacogdoches,2545
4/5N,NA,65-79 years,6236,NA,2251,2021-03-08,Nacogdoches,3989
4/5N,NA,80+ years,1861,NA,655,2021-03-08,Nacogdoches,1206
4/5N,NA,Unknown,8,NA,0,2021-03-08,Nacogdoches,8
4/5N,NA,16-49 years,354,NA,103,2021-03-08,Newton,251
4/5N,NA,50-64 years,705,NA,235,2021-03-08,Newton,470
4/5N,NA,65-79 years,1195,NA,468,2021-03-08,Newton,727
4/5N,NA,80+ years,356,NA,140,2021-03-08,Newton,216
4/5N,NA,16-49 years,460,NA,158,2021-03-08,Panola,302
4/5N,NA,50-64 years,604,NA,203,2021-03-08,Panola,402
4/5N,NA,65-79 years,1270,NA,431,2021-03-08,Panola,840
4/5N,NA,80+ years,502,NA,172,2021-03-08,Panola,330
4/5N,NA,Unknown,2,NA,0,2021-03-08,Panola,2
4/5N,NA,16-49 years,1181,NA,415,2021-03-08,Polk,766
4/5N,NA,50-64 years,1949,NA,586,2021-03-08,Polk,1363
4/5N,NA,65-79 years,4872,NA,1634,2021-03-08,Polk,3239
4/5N,NA,80+ years,1492,NA,487,2021-03-08,Polk,1005
4/5N,NA,Unknown,9,NA,2,2021-03-08,Polk,7
4/5N,NA,16-49 years,212,NA,87,2021-03-08,Rains,125
4/5N,NA,50-64 years,370,NA,132,2021-03-08,Rains,238
4/5N,NA,65-79 years,968,NA,327,2021-03-08,Rains,643
4/5N,NA,80+ years,231,NA,72,2021-03-08,Rains,159
4/5N,NA,16-49 years,355,NA,134,2021-03-08,Red River,221
4/5N,NA,50-64 years,698,NA,243,2021-03-08,Red River,455
4/5N,NA,65-79 years,1526,NA,577,2021-03-08,Red River,949
4/5N,NA,80+ years,486,NA,195,2021-03-08,Red River,291
4/5N,NA,Unknown,1,NA,0,2021-03-08,Red River,1
4/5N,NA,16-49 years,1134,NA,430,2021-03-08,Rusk,704
4/5N,NA,50-64 years,1766,NA,623,2021-03-08,Rusk,1144
4/5N,NA,65-79 years,2950,NA,920,2021-03-08,Rusk,2030
4/5N,NA,80+ years,988,NA,284,2021-03-08,Rusk,704
4/5N,NA,16-49 years,206,NA,67,2021-03-08,Sabine,139
4/5N,NA,50-64 years,636,NA,186,2021-03-08,Sabine,450
4/5N,NA,65-79 years,1542,NA,577,2021-03-08,Sabine,965
4/5N,NA,80+ years,564,NA,219,2021-03-08,Sabine,345
4/5N,NA,16-49 years,226,NA,66,2021-03-08,San Augustine,160
4/5N,NA,50-64 years,485,NA,126,2021-03-08,San Augustine,359
4/5N,NA,65-79 years,969,NA,283,2021-03-08,San Augustine,686
4/5N,NA,80+ years,399,NA,123,2021-03-08,San Augustine,276
4/5N,NA,Unknown,6,NA,0,2021-03-08,San Augustine,6
4/5N,NA,16-49 years,437,NA,170,2021-03-08,San Jacinto,268
4/5N,NA,50-64 years,856,NA,313,2021-03-08,San Jacinto,543
4/5N,NA,65-79 years,2284,NA,911,2021-03-08,San Jacinto,1373
4/5N,NA,80+ years,614,NA,246,2021-03-08,San Jacinto,369
4/5N,NA,Unknown,3,NA,1,2021-03-08,San Jacinto,2
4/5N,NA,16-49 years,537,NA,144,2021-03-08,Shelby,394
4/5N,NA,50-64 years,882,NA,198,2021-03-08,Shelby,684
4/5N,NA,65-79 years,1520,NA,404,2021-03-08,Shelby,1117
4/5N,NA,80+ years,640,NA,209,2021-03-08,Shelby,431
4/5N,NA,Unknown,4,NA,0,2021-03-08,Shelby,4
4/5N,NA,16-49 years,13153,NA,5468,2021-03-08,Smith,7688
4/5N,NA,50-64 years,12721,NA,5097,2021-03-08,Smith,7625
4/5N,NA,65-79 years,20826,NA,8345,2021-03-08,Smith,12482
4/5N,NA,80+ years,7545,NA,2907,2021-03-08,Smith,4640
4/5N,NA,Unknown,15,NA,1,2021-03-08,Smith,14
4/5N,NA,16-49 years,1069,NA,418,2021-03-08,Titus,651
4/5N,NA,50-64 years,1090,NA,367,2021-03-08,Titus,723
4/5N,NA,65-79 years,1517,NA,431,2021-03-08,Titus,1086
4/5N,NA,80+ years,568,NA,153,2021-03-08,Titus,415
4/5N,NA,Unknown,2,NA,0,2021-03-08,Titus,2
4/5N,NA,16-49 years,406,NA,166,2021-03-08,Trinity,240
4/5N,NA,50-64 years,783,NA,335,2021-03-08,Trinity,448
4/5N,NA,65-79 years,1795,NA,782,2021-03-08,Trinity,1013
4/5N,NA,80+ years,610,NA,266,2021-03-08,Trinity,344
4/5N,NA,16-49 years,462,NA,138,2021-03-08,Tyler,324
4/5N,NA,50-64 years,967,NA,309,2021-03-08,Tyler,658
4/5N,NA,65-79 years,2431,NA,953,2021-03-08,Tyler,1478
4/5N,NA,80+ years,818,NA,331,2021-03-08,Tyler,488
4/5N,NA,Unknown,3,NA,0,2021-03-08,Tyler,3
4/5N,NA,16-49 years,1104,NA,448,2021-03-08,Upshur,656
4/5N,NA,50-64 years,1363,NA,488,2021-03-08,Upshur,875
4/5N,NA,65-79 years,2149,NA,661,2021-03-08,Upshur,1489
4/5N,NA,80+ years,683,NA,202,2021-03-08,Upshur,481
4/5N,NA,Unknown,3,NA,0,2021-03-08,Upshur,3
4/5N,NA,16-49 years,1429,NA,544,2021-03-08,Van Zandt,885
4/5N,NA,50-64 years,1928,NA,681,2021-03-08,Van Zandt,1248
4/5N,NA,65-79 years,3749,NA,1290,2021-03-08,Van Zandt,2464
4/5N,NA,80+ years,1391,NA,489,2021-03-08,Van Zandt,902
4/5N,NA,Unknown,1,NA,0,2021-03-08,Van Zandt,1
4/5N,NA,16-49 years,915,NA,374,2021-03-08,Wood,541
4/5N,NA,50-64 years,1642,NA,605,2021-03-08,Wood,1040
4/5N,NA,65-79 years,4629,NA,1674,2021-03-08,Wood,2959
4/5N,NA,80+ years,1540,NA,540,2021-03-08,Wood,1001
4/5N,NA,Unknown,4,NA,2,2021-03-08,Wood,2
6/5S,NA,16-49 years,1162,NA,302,2021-03-08,Austin,860
6/5S,NA,50-64 years,1698,NA,343,2021-03-08,Austin,1355
6/5S,NA,65-79 years,4036,NA,1099,2021-03-08,Austin,2939
6/5S,NA,80+ years,1237,NA,339,2021-03-08,Austin,898
6/5S,NA,Unknown,1,NA,0,2021-03-08,Austin,1
6/5S,NA,16-49 years,27419,NA,10479,2021-03-08,Brazoria,16964
6/5S,NA,50-64 years,21129,NA,7180,2021-03-08,Brazoria,13958
6/5S,NA,65-79 years,29744,NA,11863,2021-03-08,Brazoria,17884
6/5S,NA,80+ years,8414,NA,3460,2021-03-08,Brazoria,4955
6/5S,NA,Unknown,18,NA,2,2021-03-08,Brazoria,16
6/5S,NA,16-49 years,1757,NA,603,2021-03-08,Chambers,1154
6/5S,NA,50-64 years,1591,NA,512,2021-03-08,Chambers,1079
6/5S,NA,65-79 years,3028,NA,1117,2021-03-08,Chambers,1911
6/5S,NA,80+ years,808,NA,343,2021-03-08,Chambers,465
6/5S,NA,Unknown,3,NA,1,2021-03-08,Chambers,2
6/5S,NA,16-49 years,770,NA,291,2021-03-08,Colorado,479
6/5S,NA,50-64 years,1241,NA,410,2021-03-08,Colorado,831
6/5S,NA,65-79 years,2829,NA,1068,2021-03-08,Colorado,1762
6/5S,NA,80+ years,969,NA,376,2021-03-08,Colorado,593
6/5S,NA,Unknown,1,NA,0,2021-03-08,Colorado,1
6/5S,NA,16-49 years,74559,NA,28393,2021-03-08,Fort Bend,46249
6/5S,NA,50-64 years,55967,NA,20662,2021-03-08,Fort Bend,35351
6/5S,NA,65-79 years,87975,NA,38404,2021-03-08,Fort Bend,49575
6/5S,NA,80+ years,17716,NA,7548,2021-03-08,Fort Bend,10174
6/5S,NA,Unknown,67,NA,9,2021-03-08,Fort Bend,58
6/5S,NA,16-49 years,27759,NA,10730,2021-03-08,Galveston,17052
6/5S,NA,50-64 years,24431,NA,8345,2021-03-08,Galveston,16098
6/5S,NA,65-79 years,38734,NA,15903,2021-03-08,Galveston,22833
6/5S,NA,80+ years,10488,NA,4408,2021-03-08,Galveston,6080
6/5S,NA,Unknown,25,NA,5,2021-03-08,Galveston,20
6/5S,NA,16-49 years,2288,NA,670,2021-03-08,Hardin,1618
6/5S,NA,50-64 years,2895,NA,765,2021-03-08,Hardin,2130
6/5S,NA,65-79 years,4955,NA,1475,2021-03-08,Hardin,3480
6/5S,NA,80+ years,1724,NA,559,2021-03-08,Hardin,1165
6/5S,NA,Unknown,20,NA,2,2021-03-08,Hardin,18
6/5S,NA,16-49 years,317676,NA,112365,2021-03-08,Harris,205785
6/5S,NA,50-64 years,236759,NA,72296,2021-03-08,Harris,164706
6/5S,NA,65-79 years,343654,NA,123674,2021-03-08,Harris,220050
6/5S,NA,80+ years,91660,NA,34808,2021-03-08,Harris,56865
6/5S,NA,Unknown,290,NA,44,2021-03-08,Harris,246
6/5S,NA,16-49 years,10797,NA,3137,2021-03-08,Jefferson,7663
6/5S,NA,50-64 years,14140,NA,3926,2021-03-08,Jefferson,10217
6/5S,NA,65-79 years,17225,NA,4929,2021-03-08,Jefferson,12298
6/5S,NA,80+ years,5890,NA,1722,2021-03-08,Jefferson,4168
6/5S,NA,Unknown,34,NA,0,2021-03-08,Jefferson,34
6/5S,NA,16-49 years,1583,NA,609,2021-03-08,Liberty,975
6/5S,NA,50-64 years,2055,NA,725,2021-03-08,Liberty,1332
6/5S,NA,65-79 years,4539,NA,1748,2021-03-08,Liberty,2791
6/5S,NA,80+ years,1290,NA,540,2021-03-08,Liberty,750
6/5S,NA,Unknown,4,NA,1,2021-03-08,Liberty,3
6/5S,NA,16-49 years,999,NA,375,2021-03-08,Matagorda,625
6/5S,NA,50-64 years,1207,NA,389,2021-03-08,Matagorda,818
6/5S,NA,65-79 years,2003,NA,668,2021-03-08,Matagorda,1335
6/5S,NA,80+ years,592,NA,200,2021-03-08,Matagorda,392
6/5S,NA,16-49 years,27898,NA,10422,2021-03-08,Montgomery,17494
6/5S,NA,50-64 years,22081,NA,7055,2021-03-08,Montgomery,15033
6/5S,NA,65-79 years,52628,NA,21712,2021-03-08,Montgomery,30919
6/5S,NA,80+ years,12505,NA,5020,2021-03-08,Montgomery,7485
6/5S,NA,Unknown,27,NA,3,2021-03-08,Montgomery,24
6/5S,NA,16-49 years,2321,NA,664,2021-03-08,Orange,1659
6/5S,NA,50-64 years,3074,NA,790,2021-03-08,Orange,2286
6/5S,NA,65-79 years,5265,NA,1324,2021-03-08,Orange,3944
6/5S,NA,80+ years,1693,NA,454,2021-03-08,Orange,1239
6/5S,NA,Unknown,9,NA,0,2021-03-08,Orange,9
6/5S,NA,16-49 years,2143,NA,746,2021-03-08,Walker,1399
6/5S,NA,50-64 years,2196,NA,654,2021-03-08,Walker,1543
6/5S,NA,65-79 years,3961,NA,1250,2021-03-08,Walker,2711
6/5S,NA,80+ years,1361,NA,446,2021-03-08,Walker,915
6/5S,NA,Unknown,4,NA,1,2021-03-08,Walker,3
6/5S,NA,16-49 years,1539,NA,565,2021-03-08,Waller,976
6/5S,NA,50-64 years,1730,NA,567,2021-03-08,Waller,1164
6/5S,NA,65-79 years,3420,NA,1345,2021-03-08,Waller,2075
6/5S,NA,80+ years,852,NA,343,2021-03-08,Waller,509
6/5S,NA,Unknown,1,NA,0,2021-03-08,Waller,1
6/5S,NA,16-49 years,1359,NA,547,2021-03-08,Wharton,815
6/5S,NA,50-64 years,1434,NA,504,2021-03-08,Wharton,933
6/5S,NA,65-79 years,2599,NA,955,2021-03-08,Wharton,1652
6/5S,NA,80+ years,911,NA,339,2021-03-08,Wharton,573
7,NA,16-49 years,3378,NA,1136,2021-03-08,Bastrop,2246
7,NA,50-64 years,3230,NA,956,2021-03-08,Bastrop,2275
7,NA,65-79 years,4247,NA,1191,2021-03-08,Bastrop,3057
7,NA,80+ years,949,NA,274,2021-03-08,Bastrop,675
7,NA,Unknown,5,NA,0,2021-03-08,Bastrop,5
7,NA,16-49 years,16752,NA,6683,2021-03-08,Bell,10080
7,NA,50-64 years,11647,NA,4492,2021-03-08,Bell,7169
7,NA,65-79 years,17039,NA,6186,2021-03-08,Bell,10863
7,NA,80+ years,5639,NA,2127,2021-03-08,Bell,3516
7,NA,Unknown,18,NA,1,2021-03-08,Bell,17
7,NA,16-49 years,318,NA,112,2021-03-08,Blanco,207
7,NA,50-64 years,579,NA,186,2021-03-08,Blanco,393
7,NA,65-79 years,1629,NA,491,2021-03-08,Blanco,1138
7,NA,80+ years,342,NA,103,2021-03-08,Blanco,239
7,NA,Unknown,3,NA,0,2021-03-08,Blanco,3
7,NA,16-49 years,608,NA,226,2021-03-08,Bosque,382
7,NA,50-64 years,894,NA,305,2021-03-08,Bosque,589
7,NA,65-79 years,2243,NA,807,2021-03-08,Bosque,1438
7,NA,80+ years,825,NA,301,2021-03-08,Bosque,524
7,NA,Unknown,1,NA,0,2021-03-08,Bosque,1
7,NA,16-49 years,14377,NA,4560,2021-03-08,Brazos,9821
7,NA,50-64 years,8932,NA,2669,2021-03-08,Brazos,6264
7,NA,65-79 years,14393,NA,4609,2021-03-08,Brazos,9785
7,NA,80+ years,5217,NA,1782,2021-03-08,Brazos,3435
7,NA,Unknown,22,NA,1,2021-03-08,Brazos,21
7,NA,16-49 years,605,NA,208,2021-03-08,Burleson,397
7,NA,50-64 years,922,NA,244,2021-03-08,Burleson,679
7,NA,65-79 years,1620,NA,398,2021-03-08,Burleson,1223
7,NA,80+ years,538,NA,139,2021-03-08,Burleson,402
7,NA,Unknown,4,NA,0,2021-03-08,Burleson,4
7,NA,16-49 years,1274,NA,502,2021-03-08,Burnet,774
7,NA,50-64 years,1543,NA,527,2021-03-08,Burnet,1017
7,NA,65-79 years,4238,NA,1235,2021-03-08,Burnet,3006
7,NA,80+ years,1625,NA,521,2021-03-08,Burnet,1104
7,NA,Unknown,1,NA,0,2021-03-08,Burnet,1
7,NA,16-49 years,1725,NA,602,2021-03-08,Caldwell,1124
7,NA,50-64 years,1671,NA,501,2021-03-08,Caldwell,1170
7,NA,65-79 years,2446,NA,703,2021-03-08,Caldwell,1743
7,NA,80+ years,770,NA,249,2021-03-08,Caldwell,521
7,NA,Unknown,5,NA,1,2021-03-08,Caldwell,4
7,NA,16-49 years,2508,NA,972,2021-03-08,Coryell,1536
7,NA,50-64 years,2401,NA,909,2021-03-08,Coryell,1492
7,NA,65-79 years,3581,NA,1392,2021-03-08,Coryell,2189
7,NA,80+ years,1293,NA,514,2021-03-08,Coryell,779
7,NA,Unknown,12,NA,0,2021-03-08,Coryell,12
7,NA,16-49 years,607,NA,228,2021-03-08,Falls,380
7,NA,50-64 years,895,NA,336,2021-03-08,Falls,561
7,NA,65-79 years,1511,NA,610,2021-03-08,Falls,902
7,NA,80+ years,489,NA,201,2021-03-08,Falls,288
7,NA,Unknown,2,NA,1,2021-03-08,Falls,1
7,NA,16-49 years,770,NA,266,2021-03-08,Fayette,504
7,NA,50-64 years,1086,NA,312,2021-03-08,Fayette,775
7,NA,65-79 years,2696,NA,723,2021-03-08,Fayette,1973
7,NA,80+ years,913,NA,255,2021-03-08,Fayette,658
7,NA,Unknown,2,NA,0,2021-03-08,Fayette,2
7,NA,16-49 years,366,NA,123,2021-03-08,Freestone,244
7,NA,50-64 years,607,NA,210,2021-03-08,Freestone,407
7,NA,65-79 years,1209,NA,421,2021-03-08,Freestone,811
7,NA,80+ years,351,NA,98,2021-03-08,Freestone,260
7,NA,Unknown,2,NA,1,2021-03-08,Freestone,2
7,NA,16-49 years,863,NA,308,2021-03-08,Grimes,555
7,NA,50-64 years,1141,NA,307,2021-03-08,Grimes,834
7,NA,65-79 years,2207,NA,631,2021-03-08,Grimes,1576
7,NA,80+ years,615,NA,204,2021-03-08,Grimes,411
7,NA,Unknown,3,NA,0,2021-03-08,Grimes,3
7,NA,16-49 years,363,NA,126,2021-03-08,Hamilton,237
7,NA,50-64 years,380,NA,140,2021-03-08,Hamilton,240
7,NA,65-79 years,893,NA,291,2021-03-08,Hamilton,602
7,NA,80+ years,438,NA,123,2021-03-08,Hamilton,315
7,NA,16-49 years,16120,NA,5585,2021-03-08,Hays,10547
