"County","Date","TPR_CMS","Tests"
"Hale",2020-08-26,0.03,NA
"Hall",2020-08-26,NA,NA
"Hamilton",2020-08-26,0,NA
"Hansford",2020-08-26,NA,NA
"Hardeman",2020-08-26,NA,NA
"Hardin",2020-08-26,0.117,NA
"Harris",2020-08-26,0.078,NA
"Harrison",2020-08-26,0.076,NA
"Hartley",2020-08-26,NA,NA
"Haskell",2020-08-26,NA,NA
"Hays",2020-08-26,0.077,NA
"Hemphill",2020-08-26,0.089,NA
"Henderson",2020-08-26,0.165,NA
"Hidalgo",2020-08-26,0.194,NA
"Hill",2020-08-26,0.102,NA
"Hockley",2020-08-26,0,NA
"Hood",2020-08-26,0.071,NA
"Hopkins",2020-08-26,0.051,NA
"Houston",2020-08-26,0.204,NA
"Howard",2020-08-26,0.328,NA
"Hudspeth",2020-08-26,0,NA
"Hunt",2020-08-26,0.078,NA
"Hutchinson",2020-08-26,0.069,NA
"Irion",2020-08-26,0.182,NA
"Jack",2020-08-26,0.176,NA
"Jackson",2020-08-26,0.261,NA
"Jasper",2020-08-26,0.144,NA
"Jeff Davis",2020-08-26,NA,NA
"Jefferson",2020-08-26,0.108,NA
"Jim Hogg",2020-08-26,0.125,NA
"Jim Wells",2020-08-26,0.199,NA
"Johnson",2020-08-26,0.089,NA
"Jones",2020-08-26,0.167,NA
"Karnes",2020-08-26,0.197,NA
"Kaufman",2020-08-26,0.044,NA
"Kendall",2020-08-26,0.029,NA
"Kenedy",2020-08-26,NA,NA
"Kent",2020-08-26,NA,NA
"Kerr",2020-08-26,0.033,NA
"Kimble",2020-08-26,0,NA
"King",2020-08-26,NA,NA
"Kinney",2020-08-26,NA,NA
"Kleberg",2020-08-26,0.099,NA
"Knox",2020-08-26,NA,NA
"La Salle",2020-08-26,0.071,NA
"Lamar",2020-08-26,0.107,NA
"Lamb",2020-08-26,0.111,NA
"Lampasas",2020-08-26,0.041,NA
"Lavaca",2020-08-26,0.131,NA
"Lee",2020-08-26,0.146,NA
"Leon",2020-08-26,0.113,NA
"Liberty",2020-08-26,0.297,NA
"Limestone",2020-08-26,0.159,NA
"Lipscomb",2020-08-26,NA,NA
"Live Oak",2020-08-26,0.063,NA
"Llano",2020-08-26,0.041,NA
"Loving",2020-08-26,NA,NA
"Lubbock",2020-08-26,0.056,NA
"Lynn",2020-08-26,NA,NA
"Madison",2020-08-26,0.12,NA
"Marion",2020-08-26,0.038,NA
"Martin",2020-08-26,0.308,NA
"Mason",2020-08-26,0.192,NA
"Matagorda",2020-08-26,0.087,NA
"Maverick",2020-08-26,0.271,NA
"McCulloch",2020-08-26,0.182,NA
"McLennan",2020-08-26,0.132,NA
"McMullen",2020-08-26,NA,NA
"Medina",2020-08-26,0.159,NA
"Menard",2020-08-26,0.062,NA
"Midland",2020-08-26,0.059,NA
"Milam",2020-08-26,0.087,NA
"Mills",2020-08-26,NA,NA
"Mitchell",2020-08-26,NA,NA
"Montague",2020-08-26,0.106,NA
"Montgomery",2020-08-26,0.081,NA
"Moore",2020-08-26,0.058,NA
"Morris",2020-08-26,0.014,NA
"Motley",2020-08-26,NA,NA
"Nacogdoches",2020-08-26,0.206,NA
"Navarro",2020-08-26,0.2,NA
"Newton",2020-08-26,0.115,NA
"Nolan",2020-08-26,0.467,NA
"Nueces",2020-08-26,0.11,NA
"Ochiltree",2020-08-26,NA,NA
"Oldham",2020-08-26,NA,NA
"Orange",2020-08-26,0.071,NA
"Palo Pinto",2020-08-26,0.137,NA
"Panola",2020-08-26,0.053,NA
"Parker",2020-08-26,0.087,NA
"Parmer",2020-08-26,0.048,NA
"Pecos",2020-08-26,0.093,NA
"Polk",2020-08-26,0.077,NA
"Potter",2020-08-26,0.089,NA
"Presidio",2020-08-26,0.021,NA
"Rains",2020-08-26,0.125,NA
"Randall",2020-08-26,0.106,NA
"Reagan",2020-08-26,0.071,NA
"Real",2020-08-26,NA,NA
"Red River",2020-08-26,0.008,NA
"Reeves",2020-08-26,0.059,NA
"Refugio",2020-08-26,0.243,NA
"Roberts",2020-08-26,NA,NA
"Robertson",2020-08-26,0.096,NA
"Rockwall",2020-08-26,0.059,NA
"Runnels",2020-08-26,0.123,NA
"Rusk",2020-08-26,0.256,NA
"Sabine",2020-08-26,0.029,NA
"San Augustine",2020-08-26,0.357,NA
"San Jacinto",2020-08-26,0.081,NA
"San Patricio",2020-08-26,0.188,NA
"San Saba",2020-08-26,0.105,NA
"Schleicher",2020-08-26,NA,NA
"Scurry",2020-08-26,NA,NA
"Shackelford",2020-08-26,NA,NA
"Shelby",2020-08-26,0.212,NA
"Sherman",2020-08-26,NA,NA
"Smith",2020-08-26,0.184,NA
"Somervell",2020-08-26,0.091,NA
"Starr",2020-08-26,0.172,NA
"Stephens",2020-08-26,0.182,NA
"Sterling",2020-08-26,NA,NA
"Stonewall",2020-08-26,NA,NA
"Sutton",2020-08-26,0.172,NA
"Swisher",2020-08-26,0.206,NA
"Tarrant",2020-08-26,0.086,NA
"Taylor",2020-08-26,0.118,NA
"Terrell",2020-08-26,NA,NA
"Terry",2020-08-26,0.167,NA
"Throckmorton",2020-08-26,NA,NA
"Titus",2020-08-26,0.037,NA
"Tom Green",2020-08-26,0.147,NA
"Travis",2020-08-26,0.063,NA
"Trinity",2020-08-26,0.104,NA
"Tyler",2020-08-26,0.343,NA
"Upshur",2020-08-26,0.142,NA
"Upton",2020-08-26,0.071,NA
"Uvalde",2020-08-26,0.231,NA
"Val Verde",2020-08-26,0.289,NA
"Van Zandt",2020-08-26,0.067,NA
"Victoria",2020-08-26,0.19,NA
"Walker",2020-08-26,0.147,NA
"Waller",2020-08-26,0.086,NA
"Ward",2020-08-26,0.062,NA
"Washington",2020-08-26,0.021,NA
"Webb",2020-08-26,0.183,NA
"Wharton",2020-08-26,0.089,NA
"Wheeler",2020-08-26,0.05,NA
"Wichita",2020-08-26,0.047,NA
"Wilbarger",2020-08-26,0.205,NA
"Willacy",2020-08-26,0.226,NA
"Williamson",2020-08-26,0.057,NA
"Wilson",2020-08-26,0.101,NA
"Winkler",2020-08-26,NA,NA
"Wise",2020-08-26,0.044,NA
"Wood",2020-08-26,0.254,NA
"Yoakum",2020-08-26,NA,NA
"Young",2020-08-26,0.048,NA
"Zapata",2020-08-26,0.164,NA
"Zavala",2020-08-26,0.351,NA
"Anderson",2020-09-02,0.284,NA
"Andrews",2020-09-02,0.214,NA
"Angelina",2020-09-02,0.093,NA
"Aransas",2020-09-02,0.111,NA
"Archer",2020-09-02,0.133,NA
"Armstrong",2020-09-02,NA,NA
"Atascosa",2020-09-02,0.118,NA
"Austin",2020-09-02,0.081,NA
"Bailey",2020-09-02,NA,NA
"Bandera",2020-09-02,0.053,NA
"Bastrop",2020-09-02,0.065,NA
"Baylor",2020-09-02,NA,NA
"Bee",2020-09-02,0.243,NA
"Bell",2020-09-02,0.069,NA
"Bexar",2020-09-02,0.112,NA
"Blanco",2020-09-02,0.067,NA
"Borden",2020-09-02,NA,NA
"Bosque",2020-09-02,0.143,NA
"Bowie",2020-09-02,0.156,NA
"Brazoria",2020-09-02,0.059,NA
"Brazos",2020-09-02,0.08,NA
"Brewster",2020-09-02,0.05,NA
"Briscoe",2020-09-02,NA,NA
"Brooks",2020-09-02,0.081,NA
"Brown",2020-09-02,0.124,NA
"Burleson",2020-09-02,0.038,NA
"Burnet",2020-09-02,0.206,NA
"Caldwell",2020-09-02,0.104,NA
"Calhoun",2020-09-02,0.159,NA
"Callahan",2020-09-02,0,NA
"Cameron",2020-09-02,0.194,NA
"Camp",2020-09-02,0.074,NA
"Carson",2020-09-02,0,NA
"Cass",2020-09-02,0.058,NA
"Castro",2020-09-02,0.312,NA
"Chambers",2020-09-02,0.102,NA
"Cherokee",2020-09-02,0.117,NA
"Childress",2020-09-02,0.091,NA
"Clay",2020-09-02,0,NA
"Cochran",2020-09-02,NA,NA
"Coke",2020-09-02,0.114,NA
"Coleman",2020-09-02,0.061,NA
"Collin",2020-09-02,0.052,NA
"Collingsworth",2020-09-02,0.2,NA
"Colorado",2020-09-02,0.173,NA
"Comal",2020-09-02,0.076,NA
"Comanche",2020-09-02,0.231,NA
"Concho",2020-09-02,0.345,NA
"Cooke",2020-09-02,0.106,NA
"Coryell",2020-09-02,0.211,NA
"Cottle",2020-09-02,NA,NA
"Crane",2020-09-02,0.037,NA
"Crockett",2020-09-02,NA,NA
"Crosby",2020-09-02,0,NA
"Culberson",2020-09-02,0.48,NA
"Dallam",2020-09-02,NA,NA
"Dallas",2020-09-02,0.102,NA
"Dawson",2020-09-02,0.031,NA
"DeWitt",2020-09-02,0.297,NA
"Deaf Smith",2020-09-02,0.077,NA
"Delta",2020-09-02,0.118,NA
"Denton",2020-09-02,0.069,NA
"Dickens",2020-09-02,NA,NA
"Dimmit",2020-09-02,0.158,NA
"Donley",2020-09-02,0.077,NA
"Duval",2020-09-02,0.193,NA
"Eastland",2020-09-02,0.293,NA
"Ector",2020-09-02,0.159,NA
"Edwards",2020-09-02,NA,NA
"El Paso",2020-09-02,0.064,NA
"Ellis",2020-09-02,0.087,NA
"Erath",2020-09-02,0.145,NA
"Falls",2020-09-02,0.278,NA
"Fannin",2020-09-02,0.109,NA
"Fayette",2020-09-02,0.101,NA
"Fisher",2020-09-02,NA,NA
