"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Andrews ISD",2020-11-08,2901,"4145",3389,0,3,11,8,0,22,0,4,14,37,37,0,91,1
"Angleton ISD",2020-11-08,20902,"6811",3554,NA,NA,NA,NA,NA,NA,NA,9,7,9,21,14,32,0
"Anna ISD",2020-11-08,43902,"3930",2838,2,0,2,1,0,1,4,2,0,7,5,0,2,12
"Anson ISD",2020-11-08,127901,"716",659,NA,NA,NA,NA,NA,NA,NA,0,2,0,5,0,4,3
"Anthony ISD",2020-11-08,71906,"796",397,0,0,0,3,0,3,0,7,5,12,6,1,27,2
"Anton ISD",2020-11-08,110901,"188",155,0,0,2,0,0,1,1,1,1,4,3,1,7,1
"Apple Springs ISD",2020-11-08,228905,"195",188,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1
"Aquilla ISD",2020-11-08,109912,"326",293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aransas County ISD",2020-11-08,4901,"2994",1746,2,0,1,0,0,0,3,4,1,6,1,0,1,11
"Aransas Pass ISD",2020-11-08,205901,"1622",903,0,0,1,0,0,1,0,1,0,2,2,0,5,0
"Archer City ISD",2020-11-08,5901,"512",477,0,0,1,0,0,1,0,0,0,2,2,0,3,1
"Argyle ISD",2020-11-08,61910,"3725",3017,0,0,8,1,0,1,8,6,6,28,18,0,22,36
"Aristoi Classical Academy",2020-11-08,101803,"1073",608,0,0,2,1,0,2,1,0,0,3,2,0,2,3
"Arlington Classics Academy",2020-11-08,220802,"1564",679,1,1,0,1,0,0,3,2,2,0,4,0,5,3
"Arlington ISD",2020-11-08,220901,"56626",14138,12,6,16,29,0,0,63,49,31,76,171,6,0,321
"Arp ISD",2020-11-08,212901,"871",790,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,0,3,3
"Arrow Academy",2020-11-08,21805,"686",214,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"Aspermont ISD",2020-11-08,217901,"210",203,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Athens ISD",2020-11-08,107901,"3007",1596,3,6,6,5,0,0,20,5,11,19,22,0,7,50
"Atlanta ISD",2020-11-08,34901,"1840",1634,0,0,3,3,0,4,2,3,2,25,24,0,25,29
"Aubrey ISD",2020-11-08,61907,"2642",2002,0,1,2,0,0,1,2,0,1,7,3,1,5,5
"Austin Achieve Public Schools",2020-11-08,227825,"2168",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Discovery School",2020-11-08,227821,"436",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin ISD",2020-11-08,227901,"74909",321,4,1,1,0,2,0,4,10,9,15,35,2,1,66
"Austwell-Tivoli ISD",2020-11-08,196901,"138",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avalon ISD",2020-11-08,70901,"325",281,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,3,0
"Avery ISD",2020-11-08,194902,"325",225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avinger ISD",2020-11-08,34902,"140",116,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Axtell ISD",2020-11-08,161918,"764",692,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,0,7,1
"Azle ISD",2020-11-08,220915,"6672",4745,1,2,5,6,0,1,13,10,9,37,22,5,23,50
"Baird ISD",2020-11-08,30903,"268",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ballinger ISD",2020-11-08,200901,"861",754,0,1,2,0,0,2,1,3,4,8,4,2,16,1
"Balmorhea ISD",2020-11-08,195902,"162",141,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bandera ISD",2020-11-08,10902,"2160",1731,0,2,2,1,0,2,3,0,3,3,3,2,3,4
"Bangs ISD",2020-11-08,25901,"840",799,1,0,0,1,0,0,2,1,2,10,7,0,0,20
"Banquete ISD",2020-11-08,178913,"951",362,0,0,0,1,0,1,0,1,0,6,5,1,11,0
"Barbers Hill ISD",2020-11-08,36902,"6417",5802,0,0,6,1,0,7,0,7,2,30,22,0,61,0
"Bartlett ISD",2020-11-08,14902,"369",315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basis Texas",2020-11-08,15834,"3070",101,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,1,6
"Bastrop ISD",2020-11-08,11901,"10342",5277,0,1,6,4,0,9,2,3,5,13,11,0,24,8
"Bay City ISD",2020-11-08,158901,"3407",2715,NA,NA,NA,NA,NA,NA,NA,3,3,8,1,0,5,10
"Beatrice Mayes Institute Charter School",2020-11-08,101847,"475",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beaumont ISD",2020-11-08,123910,"17184",3369,1,1,0,5,6,1,0,4,4,10,49,41,17,9
"Beckville ISD",2020-11-08,183901,"663",645,NA,NA,NA,NA,NA,NA,NA,0,1,3,7,1,5,5
"Beeville ISD",2020-11-08,13901,"3098",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellevue ISD",2020-11-08,39904,"136",128,0,0,0,1,0,1,0,0,0,1,1,0,2,0
"Bells ISD",2020-11-08,91901,"875",814,1,0,2,2,1,0,4,1,0,5,7,2,2,9
"Bellville ISD",2020-11-08,8901,"2223",2017,NA,NA,NA,NA,NA,NA,NA,0,0,3,5,0,3,5
"Belton ISD",2020-11-08,14903,"12381",7693,NA,NA,NA,NA,NA,NA,NA,9,6,31,16,0,15,47
"Ben Bolt-Palito Blanco ISD",2020-11-08,125902,"523",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benavides ISD",2020-11-08,66901,"246",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin ISD",2020-11-08,138904,"131",93,0,0,1,1,0,0,2,0,0,4,2,0,1,5
"Beta Academy",2020-11-08,101870,"1168",511,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,0,5,0
"Betty M Condra School For Education Innovation",2020-11-08,152806,"137",115,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Bexar County Academy",2020-11-08,15809,"262",122,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Big Sandy ISD",2020-11-08,187901,"501",465,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,0,9,0
"Big Sandy ISD",2020-11-08,230901,"666",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Spring ISD",2020-11-08,114901,"3909",3028,0,5,0,3,0,0,8,7,7,46,48,3,7,98
"Big Springs Charter School",2020-11-08,193801,"213",182,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,1,1,1
"Birdville ISD",2020-11-08,220902,"22174",12571,7,13,13,0,0,0,33,24,39,108,7,0,0,178
"Bishop Cisd",2020-11-08,178902,"1556",492,NA,NA,NA,NA,NA,NA,NA,0,0,2,5,0,0,7
"Blackwell Cisd",2020-11-08,177903,"161",157,NA,NA,NA,NA,NA,NA,NA,1,0,2,2,0,1,4
"Blanco ISD",2020-11-08,16902,"1028",917,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,3,0
"Bland ISD",2020-11-08,116915,"819",645,0,0,1,1,0,2,0,2,0,6,2,0,8,2
"Blanket ISD",2020-11-08,25904,"173",146,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Bloom Academy Charter School",2020-11-08,101875,"86",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bloomburg ISD",2020-11-08,34909,"251",251,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,0,8,1
"Blooming Grove ISD",2020-11-08,175902,"942",805,0,0,5,0,0,0,5,1,1,8,2,0,6,6
"Bloomington ISD",2020-11-08,235901,"767",458,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,0,3,4
"Blue Ridge ISD",2020-11-08,43917,"896",812,0,0,1,0,0,0,1,3,1,7,10,0,3,18
"Bluff Dale ISD",2020-11-08,72904,"220",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blum ISD",2020-11-08,109913,"358",352,0,0,0,1,0,1,0,1,0,2,2,3,1,1
"Bob Hope School",2020-11-08,123807,"2074",557,0,5,1,1,0,7,0,3,5,1,5,0,14,0
"Boerne ISD",2020-11-08,130901,"9511",6938,1,3,5,7,0,7,9,4,4,38,29,1,32,42
"Boles ISD",2020-11-08,116916,"513",452,NA,NA,NA,NA,NA,NA,NA,0,0,6,10,5,4,7
"Boling ISD",2020-11-08,241901,"1105",932,1,0,0,0,0,1,0,1,0,4,1,0,6,0
"Bonham ISD",2020-11-08,74903,"1781",1551,0,0,1,0,0,1,0,4,3,10,0,0,17,0
"Booker ISD",2020-11-08,148901,"362",354,NA,NA,NA,NA,NA,NA,NA,1,0,8,2,2,4,5
"Borden County ISD",2020-11-08,17901,"231",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borger ISD",2020-11-08,117901,"2470",2130,2,4,14,8,0,6,22,9,7,57,66,14,22,103
"Bosqueville ISD",2020-11-08,161923,"734",586,1,1,1,0,0,3,0,1,2,4,0,0,5,2
"Bovina ISD",2020-11-08,185901,"468",419,1,0,0,1,0,1,1,1,0,5,7,0,9,4
"Bowie ISD",2020-11-08,169901,"1676",1564,0,2,5,8,0,1,14,0,4,22,23,0,2,47
"Boyd ISD",2020-11-08,249902,"1268",1132,0,0,0,1,0,0,1,0,1,9,5,0,0,15
"Boys Ranch ISD",2020-11-08,180901,"223",153,NA,NA,NA,NA,NA,NA,NA,0,0,11,5,1,11,4
"Brackett ISD",2020-11-08,136901,"529",411,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1
"Brady ISD",2020-11-08,160901,"991",910,0,0,1,1,0,2,0,0,1,7,10,1,16,1
"Brazos ISD",2020-11-08,8903,"781",690,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,0,6
"Brazos River Charter School",2020-11-08,213801,"180",178,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,2,1
"Brazos School For Inquiry & Creativity",2020-11-08,21803,"341",251,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Brazosport ISD",2020-11-08,20905,"11397",6978,NA,NA,NA,NA,NA,NA,NA,15,5,25,16,0,61,0
"Breckenridge ISD",2020-11-08,215901,"1448",1293,0,0,1,0,0,0,1,2,1,17,17,0,21,16
"Bremond ISD",2020-11-08,198901,"473",449,NA,NA,NA,NA,NA,NA,NA,1,2,10,2,3,9,3
"Brenham ISD",2020-11-08,239901,"4918",3998,2,0,4,2,0,4,4,3,3,6,7,0,6,13
"Bridge City ISD",2020-11-08,181901,"3014",2715,1,1,3,2,0,7,0,2,1,12,7,1,21,0
"Bridgeport ISD",2020-11-08,249903,"2172",1655,2,0,4,3,0,0,9,2,1,7,5,0,5,10
"Bridgeway Preparatory Academy",2020-11-08,57851,"101",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broaddus ISD",2020-11-08,203902,"372",289,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,2,1
"Brock ISD",2020-11-08,184909,"1769",1762,0,0,1,1,0,0,2,1,0,20,9,0,7,23
"Bronte ISD",2020-11-08,41901,"245",233,0,2,0,3,0,0,5,4,2,1,5,0,1,11
"Brookeland ISD",2020-11-08,121902,"367",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brookesmith ISD",2020-11-08,25908,"168",131,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"Brooks Academies Of Texas",2020-11-08,15830,"3047",846,1,0,2,5,0,3,5,1,1,3,9,0,9,5
"Brooks County ISD",2020-11-08,24901,"1438",628,NA,NA,NA,NA,NA,NA,NA,7,2,9,2,0,20,0
"Brownfield ISD",2020-11-08,223901,"1643",1341,NA,NA,NA,NA,NA,NA,NA,3,4,5,5,0,16,1
"Brownsboro ISD",2020-11-08,107902,"2612",2126,0,0,1,0,0,0,1,1,2,14,17,0,8,26
"Brownsville ISD",2020-11-08,31901,"40121",283,0,2,4,5,0,8,3,23,15,40,139,65,113,39
"Brownwood ISD",2020-11-08,25902,"3437",2951,2,1,9,10,0,3,19,9,2,41,24,1,37,38
"Bruceville-Eddy ISD",2020-11-08,161919,"616",469,0,0,1,1,0,0,2,0,0,6,2,0,0,8
"Bryan ISD",2020-11-08,21902,"15715",11141,2,1,3,20,0,0,26,21,12,54,65,0,0,152
"Bryson ISD",2020-11-08,119901,"255",253,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Buckholts ISD",2020-11-08,166907,"145",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buena Vista ISD",2020-11-08,186901,"245",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buffalo ISD",2020-11-08,145901,"930",892,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,0,2,2
"Bullard ISD",2020-11-08,212902,"2676",2478,0,0,10,7,0,4,13,11,5,40,53,7,25,77
"Buna ISD",2020-11-08,121903,"1483",1338,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,0,0,4
"Burkburnett ISD",2020-11-08,243901,"3167",2618,NA,NA,NA,NA,NA,NA,NA,0,4,21,6,0,16,15
"Burkeville ISD",2020-11-08,176901,"272",237,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Burleson ISD",2020-11-08,126902,"12467",7513,6,4,10,12,1,30,1,17,14,73,53,17,124,16
"Burnet Cisd",2020-11-08,27903,"3081",2475,0,0,2,5,0,2,5,2,3,4,17,0,18,8
"Burnham Wood Charter School District",2020-11-08,71801,"1263",498,2,1,1,1,0,3,2,3,4,5,8,0,12,8
"Burton ISD",2020-11-08,239903,"486",458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bushland ISD",2020-11-08,188904,"1449",1385,0,1,4,1,0,0,6,3,2,24,14,0,0,43
"Bynum ISD",2020-11-08,109902,"190",172,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"Caddo Mills ISD",2020-11-08,116901,"1995",1764,0,3,2,1,0,6,0,1,6,13,8,0,28,0
"Calallen ISD",2020-11-08,178903,"3941",2199,NA,NA,NA,NA,NA,NA,NA,3,2,2,14,3,18,0
"Caldwell ISD",2020-11-08,26901,"1720",1384,NA,NA,NA,NA,NA,NA,NA,3,2,26,11,1,7,34
"Calhoun County ISD",2020-11-08,29901,"3563",2869,0,0,1,1,0,2,0,2,2,17,20,2,39,0
"Callisburg ISD",2020-11-08,49905,"1116",972,0,0,2,2,0,2,2,0,2,9,9,0,5,15
"Calvert ISD",2020-11-08,198902,"142",131,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Calvin Nelms Charter Schools",2020-11-08,101837,"303",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameron ISD",2020-11-08,166901,"1620",1461,NA,NA,NA,NA,NA,NA,NA,1,2,6,6,0,14,1
"Campbell ISD",2020-11-08,116910,"294",251,0,0,0,1,0,1,0,0,0,2,4,0,6,0
"Canadian ISD",2020-11-08,106901,"879",808,0,1,8,4,0,8,5,8,5,21,10,0,14,30
"Canton ISD",2020-11-08,234902,"2185",1969,1,1,6,3,0,2,9,5,6,16,7,0,2,32
"Canutillo ISD",2020-11-08,71907,"6007",973,NA,NA,NA,NA,NA,NA,NA,0,1,3,3,0,7,0
"Canyon ISD",2020-11-08,191901,"10323",9380,7,5,35,28,0,5,70,25,32,131,113,0,19,282
"Carlisle ISD",2020-11-08,201913,"625",560,NA,NA,NA,NA,NA,NA,NA,0,0,5,3,0,3,5
"Carrizo Springs Cisd",2020-11-08,64903,"2065",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carroll ISD",2020-11-08,220919,"8297",4343,0,0,3,0,0,0,3,3,1,20,6,0,7,23
"Carrollton-Farmers Branch ISD",2020-11-08,57903,"24701",10283,2,0,3,16,3,2,16,34,29,65,71,3,7,189
"Carthage ISD",2020-11-08,183902,"2643",2356,NA,NA,NA,NA,NA,NA,NA,3,1,25,15,3,7,34
"Castleberry ISD",2020-11-08,220917,"3633",1914,0,2,3,9,0,14,0,2,4,34,20,7,52,1
"Cayuga ISD",2020-11-08,1902,"544",415,1,1,3,3,0,4,4,6,1,15,10,2,20,10
"Cedar Hill ISD",2020-11-08,57904,"7290",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedars International Academy",2020-11-08,227817,"495",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celeste ISD",2020-11-08,116902,"494",453,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Celina ISD",2020-11-08,43903,"2973",2360,NA,NA,NA,NA,NA,NA,NA,4,14,58,24,2,58,40
"Center ISD",2020-11-08,210901,"2432",2232,0,0,0,3,0,0,3,3,3,26,17,0,7,42
"Center Point ISD",2020-11-08,133901,"544",498,NA,NA,NA,NA,NA,NA,NA,0,0,8,1,0,0,9
"Centerville ISD",2020-11-08,145902,"635",581,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,4,0
"Centerville ISD",2020-11-08,228904,"134",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Heights ISD",2020-11-08,174908,"1135",1004,0,0,0,1,0,0,1,1,2,1,5,0,3,6
"Central ISD",2020-11-08,3907,"1439",1203,NA,NA,NA,NA,NA,NA,NA,2,0,2,5,0,9,0
"Channelview ISD",2020-11-08,101905,"9214",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Channing ISD",2020-11-08,103901,"171",166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaparral Star Academy",2020-11-08,227814,"371",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chapel Hill Academy",2020-11-08,220815,"771",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chapel Hill ISD",2020-11-08,212909,"3393",2189,NA,NA,NA,NA,NA,NA,NA,5,11,32,22,0,6,64
"Chapel Hill ISD",2020-11-08,225906,"996",804,1,0,5,1,2,0,5,2,0,9,3,3,4,7
"Charlotte ISD",2020-11-08,7901,"413",317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherokee ISD",2020-11-08,206903,"131",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chester ISD",2020-11-08,229906,"201",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chico ISD",2020-11-08,249904,"590",531,NA,NA,NA,NA,NA,NA,NA,2,0,4,1,1,6,0
"Childress ISD",2020-11-08,38901,"1006",937,0,1,0,0,0,1,0,1,2,7,2,0,12,0
"Chillicothe ISD",2020-11-08,99902,"205",204,0,0,3,0,0,3,0,3,1,4,2,0,5,5
"Chilton ISD",2020-11-08,73901,"519",477,NA,NA,NA,NA,NA,NA,NA,2,1,15,9,2,14,11
"China Spring ISD",2020-11-08,161920,"2869",2456,3,2,0,4,0,4,5,8,4,21,14,0,31,16
"Chireno ISD",2020-11-08,174901,"374",310,1,0,0,0,0,0,1,2,0,10,9,5,6,10
"Chisum ISD",2020-11-08,139905,"NR",NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,13,0,25,0
"Christoval ISD",2020-11-08,226901,"568",530,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Cisco ISD",2020-11-08,67902,"845",776,NA,NA,NA,NA,NA,NA,NA,0,0,11,8,0,13,6
"City View ISD",2020-11-08,243906,"1051",867,NA,NA,NA,NA,NA,NA,NA,1,6,3,2,0,4,8
"Cityscape Schools",2020-11-08,57841,"1208",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarendon ISD",2020-11-08,65901,"446",441,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,3,10,0
"Clarksville ISD",2020-11-08,194904,"480",292,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,0,9,1
"Claude ISD",2020-11-08,6902,"318",308,0,0,2,0,0,0,2,0,0,2,4,0,1,5
"Clear Creek ISD",2020-11-08,84910,"40663",26658,NA,NA,NA,NA,NA,NA,NA,21,13,54,30,13,58,47
"Cleburne ISD",2020-11-08,126903,"6833",5308,1,1,6,3,0,0,11,8,9,33,27,0,7,70
"Cleveland ISD",2020-11-08,146901,"8475",3724,1,1,3,7,0,12,0,3,2,12,17,0,34,0
"Clifton ISD",2020-11-08,18901,"962",871,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,0,4,4
"Clint ISD",2020-11-08,71901,"10687",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clyde Cisd",2020-11-08,30902,"1395",1255,0,2,3,1,0,0,6,0,2,5,2,0,0,9
"Coahoma ISD",2020-11-08,114902,"1092",899,1,0,0,1,0,0,2,1,1,5,11,0,14,4
"Coldspring-Oakhurst Cisd",2020-11-08,204901,"1554",1041,1,0,2,2,0,1,4,4,0,3,4,0,1,10
"Coleman ISD",2020-11-08,42901,"843",776,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,4,2
"College Station ISD",2020-11-08,21901,"13642",10161,NA,NA,NA,NA,NA,NA,NA,20,10,33,38,0,3,98
"Collinsville ISD",2020-11-08,91902,"549",482,0,0,0,1,0,0,1,0,0,13,7,2,3,15
"Colmesneil ISD",2020-11-08,229901,"456",439,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Colorado ISD",2020-11-08,168901,"896",807,NA,NA,NA,NA,NA,NA,NA,0,1,4,1,0,1,5
"Columbia-Brazoria ISD",2020-11-08,20907,"2841",1969,0,1,0,0,0,1,0,5,4,7,0,0,16,0
"Columbus ISD",2020-11-08,45902,"1510",1075,0,0,1,0,0,0,1,0,1,1,4,0,4,2
"Comal ISD",2020-11-08,46902,"25214",15285,2,4,21,10,2,35,0,19,12,90,37,3,109,46
