"District","Date","County","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Skidmore-Tynan ISD",2020-09-20,"Bee,Live Oak,Refugio,San Patricio",13905,805,462,NA,NA,NA,NA,NA,NA,NA,0,0,8,10,0,0,18
"Richard Milburn Alter High
School (Killeen)",2020-09-20,"Bell",14801,1924,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Priority Charter Schools",2020-09-20,"Bell",14803,784,527,0,0,1,1,0,2,0,0,0,2,1,0,3,0
"Orenda Charter School",2020-09-20,"Bell",14804,1819,886,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"Academy ISD",2020-09-20,"Bell",14901,1749,1432,0,0,1,0,0,0,1,0,0,3,2,0,0,5
"Bartlett ISD",2020-09-20,"Bell,Milam,Williamson",14902,369,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belton ISD",2020-09-20,"Bell,Coryell",14903,12381,7693,3,1,7,2,0,4,9,7,4,19,11,0,15,26
"Holland ISD",2020-09-20,"Bell,Milam",14905,650,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Killeen ISD",2020-09-20,"Bell,Burnet,Coryell,Williamson",14906,42894,24284,5,3,16,9,0,0,33,19,16,39,71,0,5,140
"Rogers ISD",2020-09-20,"Bell,Falls,Milam",14907,883,823,0,0,2,0,0,1,1,0,0,2,2,0,3,1
"Salado ISD",2020-09-20,"Bell,Williamson",14908,2114,1784,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,2,1
"Temple ISD",2020-09-20,"Bell",14909,8290,5491,1,0,5,1,0,0,7,1,3,29,10,0,2,41
"Troy ISD",2020-09-20,"Bell,Falls,McLennan",14910,1475,1277,0,1,0,0,0,1,0,2,1,0,2,0,2,3
"Por Vida Academy",2020-09-20,"Bexar",15801,134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Gervin Academy",2020-09-20,"Bexar",15802,871,207,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"New Frontiers Public
Schools Inc",2020-09-20,"Bexar",15805,493,87,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"School Of Excellence In
Education",2020-09-20,"Bexar",15806,367,123,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2
"Southwest Preparatory
School",2020-09-20,"Bexar",15807,844,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inspire Academies",2020-09-20,"Bexar",15808,577,359,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bexar County Academy",2020-09-20,"Bexar",15809,262,122,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Positive Solutions Charter
School",2020-09-20,"Bexar",15814,104,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heritage Academy",2020-09-20,"Bexar",15815,614,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jubilee Academies",2020-09-20,"Bexar",15822,6308,2279,NA,NA,NA,NA,NA,NA,NA,2,0,1,9,3,9,0
"Lighthouse Public Schools",2020-09-20,"Bexar",15825,276,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"School Of Science And
Technology",2020-09-20,"Bexar",15827,3330,803,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,2,1
"Harmony Science Acad (San
Antonio)",2020-09-20,"Bexar",15828,4442,342,0,1,0,0,1,0,0,1,2,7,5,1,14,0
"Brooks Academies Of Texas",2020-09-20,"Bexar",15830,3047,846,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,2,0
"School Of Science And
Technology Discovery",2020-09-20,"Bexar",15831,4804,1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry Ford Academy
Alameda School For Art +
Design",2020-09-20,"Bexar",15833,102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basis Texas",2020-09-20,"Bexar",15834,3070,101,0,0,0,4,0,0,4,1,0,0,4,0,1,4
"Great Hearts Texas",2020-09-20,"Bexar",15835,6670,3681,0,0,1,1,0,1,1,4,2,1,4,0,6,5
"Eleanor Kolitz Hebrew
Language Academy",2020-09-20,"Bexar",15836,466,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Compass Rose Academy",2020-09-20,"Bexar",15838,1134,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Promesa Academy Charter
School",2020-09-20,"Bexar",15839,198,63,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"San Antonio Preparatory
Charter School",2020-09-20,"Bexar",15840,209,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Gathering Place",2020-09-20,"Bexar",15841,350,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alamo Heights ISD",2020-09-20,"Bexar",15901,4507,2782,0,1,0,0,0,1,0,3,3,2,5,2,11,0
"Harlandale ISD",2020-09-20,"Bexar",15904,12437,1756,0,1,3,1,0,5,0,0,1,11,9,1,19,1
"Edgewood ISD",2020-09-20,"Bexar",15905,8974,2123,0,0,0,1,0,0,1,1,1,0,11,0,5,8
"Randolph Field ISD",2020-09-20,"Bexar",15906,1420,953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Antonio ISD",2020-09-20,"Bexar",15907,45664,10533,4,2,1,4,0,8,3,13,5,5,33,0,53,3
"South San Antonio ISD",2020-09-20,"Bexar",15908,8195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somerset ISD",2020-09-20,"Atascosa,Bexar",15909,4050,1892,0,0,0,2,0,0,2,1,2,2,6,0,3,8
"North East ISD",2020-09-20,"Bexar",15910,60091,10618,NA,NA,NA,NA,NA,NA,NA,7,6,20,24,0,8,49
"East Central ISD",2020-09-20,"Bexar,Guadalupe,Wilson",15911,9621,3023,0,0,1,0,0,0,1,0,3,3,10,0,14,2
"Southwest ISD",2020-09-20,"Atascosa,Bexar,Medina",15912,13348,3505,0,1,3,2,0,4,2,3,1,3,9,0,7,9
"Lackland ISD",2020-09-20,"Bexar",15913,874,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ft Sam Houston ISD",2020-09-20,"Bexar",15914,1494,456,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Northside ISD",2020-09-20,"Bandera,Bexar,Medina",15915,103238,18216,5,2,12,9,1,16,11,15,5,39,71,6,81,43
"Judson ISD",2020-09-20,"Bexar,Comal,Guadalupe",15916,23282,7698,0,0,2,3,0,5,0,4,1,6,7,0,18,0
"Southside ISD",2020-09-20,"Atascosa,Bexar,Wilson",15917,5546,739,1,0,2,0,0,3,0,1,0,2,4,1,6,0
"Johnson City ISD",2020-09-20,"Blanco,Burnet,Gillespie,Hays,Llano,Travis",16901,820,587,NA,NA,NA,NA,NA,NA,NA,0,1,3,1,0,0,5
"Blanco ISD",2020-09-20,"Blanco,Comal,Gillespie,Hays,Kendall",16902,1028,917,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Borden County ISD",2020-09-20,"Borden,Dawson,Garza,Howard,Lynn,Mitchell,Scurry",17901,231,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clifton ISD",2020-09-20,"Bosque,Coryell,Hill",18901,962,871,0,1,0,0,0,1,0,1,3,3,0,0,4,3
"Meridian ISD",2020-09-20,"Bosque,Hill",18902,406,386,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"Morgan ISD",2020-09-20,"Bosque,Hill",18903,137,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valley Mills ISD",2020-09-20,"Bosque,Coryell,Hill,McLennan",18904,653,544,NA,NA,NA,NA,NA,NA,NA,0,1,3,1,0,3,2
"Walnut Springs ISD",2020-09-20,"Bosque,Somervell",18905,173,149,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Iredell ISD",2020-09-20,"Bosque,Erath,Hamilton,Somervell",18906,148,137,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Kopperl ISD",2020-09-20,"Bosque,Hill,Johnson,Somervell",18907,168,137,NA,NA,NA,NA,NA,NA,NA,0,1,8,6,0,1,14
"Cranfills Gap ISD",2020-09-20,"Bosque,Coryell,Hamilton",18908,131,120,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,4,1,9
"Dekalb ISD",2020-09-20,"Bowie,Cass,Morris,Red River",19901,770,705,0,0,1,2,0,2,1,0,2,12,14,1,7,20
"Hooks ISD",2020-09-20,"Bowie",19902,870,764,0,0,2,2,0,1,3,2,0,5,5,0,5,7
"Maud ISD",2020-09-20,"Bowie,Cass",19903,473,408,NA,NA,NA,NA,NA,NA,NA,0,1,4,3,0,1,7
"New Boston ISD",2020-09-20,"Bowie,Cass",19905,1188,948,0,0,1,0,0,1,0,0,2,14,7,0,13,10
"Redwater ISD",2020-09-20,"Bowie,Cass",19906,NA,NA,0,0,1,1,0,2,0,0,0,4,2,0,6,0
"Texarkana ISD",2020-09-20,"Bowie",19907,7570,5046,1,0,0,10,0,1,10,11,13,26,52,0,1,101
"Liberty-Eylau ISD",2020-09-20,"Bowie,Cass",19908,2310,1710,2,1,2,8,1,2,10,6,1,11,24,1,6,35
"Simms ISD",2020-09-20,"Bowie,Cass",19909,487,464,NA,NA,NA,NA,NA,NA,NA,0,0,3,4,0,4,3
"Malta ISD",2020-09-20,"Bowie",19910,219,217,1,0,0,0,0,1,0,2,0,0,0,0,2,0
"Red Lick ISD",2020-09-20,"Bowie",19911,517,483,NA,NA,NA,NA,NA,NA,NA,0,4,0,2,0,3,3
"Pleasant Grove ISD",2020-09-20,"Bowie",19912,2246,1945,0,0,7,8,0,5,10,1,6,21,13,0,27,14
"Hubbard ISD",2020-09-20,"Bowie",19913,78,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leary ISD",2020-09-20,"Bowie",19914,108,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alvin ISD",2020-09-20,"Brazoria,Fort Bend,Galveston,Harris",20901,26817,14563,0,1,10,5,0,16,0,4,8,37,20,0,69,0
"Angleton ISD",2020-09-20,"Brazoria,Fort Bend,Galveston",20902,6811,3554,NA,NA,NA,NA,NA,NA,NA,7,7,6,18,14,24,0
"Danbury ISD",2020-09-20,"Brazoria",20904,740,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazosport ISD",2020-09-20,"Brazoria,Galveston",20905,11397,6978,1,0,3,2,0,6,0,14,5,19,14,0,52,0
"Sweeny ISD",2020-09-20,"Brazoria,Matagorda",20906,1833,1280,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Columbia-Brazoria ISD",2020-09-20,"Brazoria,Fort Bend,Matagorda,Wharton",20907,2841,1969,NA,NA,NA,NA,NA,NA,NA,1,1,4,0,0,6,0
"Pearland ISD",2020-09-20,"Brazoria,Galveston,Harris",20908,20991,10416,0,2,11,4,3,4,10,5,3,27,11,3,6,37
"Damon ISD",2020-09-20,"Brazoria,Fort Bend,Wharton",20910,111,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazos School For Inquiry
& Creativity",2020-09-20,"Brazos",21803,341,251,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Arrow Academy",2020-09-20,"Brazos",21805,686,214,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"College Station ISD",2020-09-20,"Brazos,Burleson,Grimes",21901,13642,10161,2,1,4,3,0,0,10,14,8,27,31,0,0,80
"Bryan ISD",2020-09-20,"Brazos,Burleson,Grimes,Leon,Madison,Robertson",21902,15715,11141,2,3,13,4,0,0,22,17,8,37,36,0,0,98
"Terlingua Csd",2020-09-20,"Brewster,Presidio",22004,100,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alpine ISD",2020-09-20,"Brewster,Jeff Davis,Pecos,Presidio",22901,906,798,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Marathon ISD",2020-09-20,"Brewster,Pecos,Terrell",22902,59,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Vicente ISD",2020-09-20,"Brewster",22903,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silverton ISD",2020-09-20,"Armstrong,Briscoe,Floyd,Swisher",23902,181,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brooks County ISD",2020-09-20,"Brooks,Duval,Hidalgo,Jim Hogg,Jim Wells,Kenedy,Kleberg,Starr",24901,1438,628,NA,NA,NA,NA,NA,NA,NA,6,1,9,2,0,18,0
"Bangs ISD",2020-09-20,"Brown,Coleman",25901,840,799,NA,NA,NA,NA,NA,NA,NA,0,2,10,5,0,0,17
"Brownwood ISD",2020-09-20,"Brown,Mills",25902,3437,2951,0,0,5,0,0,2,3,7,1,24,11,0,30,13
"Blanket ISD",2020-09-20,"Brown,Comanche",25904,173,146,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"May ISD",2020-09-20,"Brown,Comanche,Eastland",25905,252,242,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,3,0
"Zephyr ISD",2020-09-20,"Brown,Comanche,Mills",25906,206,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brookesmith ISD",2020-09-20,"Brown,Coleman,McCulloch,Mills,San Saba",25908,168,131,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"Early ISD",2020-09-20,"Brown",25909,1158,1064,NA,NA,NA,NA,NA,NA,NA,1,0,4,1,0,2,4
"Caldwell ISD",2020-09-20,"Brazos,Burleson,Lee,Milam,Robertson",26901,1720,1384,NA,NA,NA,NA,NA,NA,NA,0,1,17,6,0,1,23
"Somerville ISD",2020-09-20,"Burleson,Lee,Washington",26902,538,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snook ISD",2020-09-20,"Brazos,Burleson,Washington",26903,500,438,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,1,0,2
"Burnet Cisd",2020-09-20,"Bell,Burnet,Lampasas,Llano,San Saba,Travis,Williamson",27903,3081,2475,0,0,0,1,0,1,0,1,2,2,3,0,8,0
"Marble Falls ISD",2020-09-20,"Blanco,Burnet,Llano,Travis",27904,4094,3373,0,1,1,2,0,4,0,4,3,6,8,0,15,6
"Lockhart ISD",2020-09-20,"Bastrop,Caldwell,Hays,Travis",28902,5998,1857,NA,NA,NA,NA,NA,NA,NA,2,0,3,3,0,5,3
"Luling ISD",2020-09-20,"Caldwell,Gonzales,Guadalupe",28903,1353,968,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,0,7,1
"Prairie Lea ISD",2020-09-20,"Caldwell,Guadalupe",28906,179,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calhoun County ISD",2020-09-20,"Aransas,Calhoun,Jackson,Matagorda,Refugio,Victoria",29901,3563,2869,0,1,0,0,0,1,0,2,2,16,19,2,37,0
"Cross Plains ISD",2020-09-20,"Brown,Callahan,Coleman,Eastland",30901,363,355,0,1,0,0,0,1,0,1,1,1,0,0,3,0
"Clyde Cisd",2020-09-20,"Callahan,Coleman,Jones,Shackelford,Taylor",30902,1395,1255,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2
"Baird ISD",2020-09-20,"Callahan,Coleman,Eastland,Shackelford",30903,268,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eula ISD",2020-09-20,"Callahan,Shackelford,Taylor",30906,459,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of Texas Rio
Grande Valley",2020-09-20,"Cameron",31505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brownsville ISD",2020-09-20,"Cameron",31901,40121,283,5,3,3,3,1,11,2,19,12,24,129,65,91,28
"Harlingen Cisd",2020-09-20,"Cameron,Willacy",31903,17806,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Feria ISD",2020-09-20,"Cameron,Hidalgo",31905,3078,921,NA,NA,NA,NA,NA,NA,NA,0,0,0,15,2,13,0
"Los Fresnos Cisd",2020-09-20,"Cameron,Willacy",31906,10398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Point Isabel ISD",2020-09-20,"Cameron,Willacy",31909,2064,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio Hondo ISD",2020-09-20,"Cameron,Willacy",31911,2127,404,0,0,0,1,1,0,0,0,0,0,4,2,2,0
"San Benito Cisd",2020-09-20,"Cameron",31912,9719,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Maria ISD",2020-09-20,"Cameron,Hidalgo",31913,572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Rosa ISD",2020-09-20,"Cameron,Hidalgo",31914,911,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Texas ISD",2020-09-20,"Cameron",31916,4208,79,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,2,1
"Pittsburg ISD",2020-09-20,"Camp,Franklin,Morris,Titus,Upshur,Wood",32902,2395,2059,0,0,0,2,0,1,1,3,0,11,10,1,8,15
"Groom ISD",2020-09-20,"Armstrong,Carson,Donley,Gray",33901,141,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panhandle ISD",2020-09-20,"Armstrong,Carson,Hutchinson,Moore,Potter,Randall",33902,681,676,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"White Deer ISD",2020-09-20,"Carson,Gray,Hutchinson,Roberts",33904,352,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlanta ISD",2020-09-20,"Bowie,Cass",34901,1840,1634,0,0,1,3,0,2,2,3,2,18,19,0,16,26
"Avinger ISD",2020-09-20,"Cass,Marion,Morris",34902,140,116,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"Hughes Springs ISD",2020-09-20,"Cass,Morris",34903,1118,1083,0,0,1,1,1,1,0,1,0,5,5,2,7,2
"Linden-Kildare Cisd",2020-09-20,"Cass,Marion",34905,628,570,0,0,1,0,0,0,1,1,0,6,7,0,3,11
"Mcleod ISD",2020-09-20,"Cass,Marion",34906,407,381,NA,NA,NA,NA,NA,NA,NA,0,2,9,8,1,15,3
"Queen City ISD",2020-09-20,"Bowie,Cass",34907,952,874,0,0,11,3,0,2,12,1,0,25,27,2,12,39
"Bloomburg ISD",2020-09-20,"Cass",34909,251,251,0,0,1,1,0,1,1,0,1,3,3,0,6,1
"Dimmitt ISD",2020-09-20,"Castro,Deaf Smith,Parmer,Randall",35901,1200,1125,0,0,0,2,0,0,2,0,2,8,6,0,2,14
"Hart ISD",2020-09-20,"Castro,Hale,Lamb,Swisher",35902,201,185,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,2,0
"Nazareth ISD",2020-09-20,"Castro,Swisher",35903,249,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anahuac ISD",2020-09-20,"Chambers,Galveston,Liberty",36901,1320,1138,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Barbers Hill ISD",2020-09-20,"Chambers,Galveston,Harris,Liberty",36902,6417,5802,2,0,4,8,0,14,0,5,2,16,19,0,42,0
"East Chambers ISD",2020-09-20,"Chambers,Galveston,Jefferson,Liberty",36903,1500,1040,NA,NA,NA,NA,NA,NA,NA,3,3,7,13,7,7,12
"Alto ISD",2020-09-20,"Anderson,Cherokee,Houston,Nacogdoches",37901,636,527,NA,NA,NA,NA,NA,NA,NA,0,2,8,3,0,1,12
"Jacksonville ISD",2020-09-20,"Anderson,Cherokee",37904,4749,3910,1,2,3,4,0,2,8,11,8,41,34,3,47,44
