"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Anton ISD",2020-11-01,110901,"188",155,0,1,0,2,0,3,0,1,1,2,3,1,6,0
"Apple Springs ISD",2020-11-01,228905,"195",188,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1
"Aquilla ISD",2020-11-01,109912,"326",293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aransas County ISD",2020-11-01,4901,"2994",1746,1,0,0,0,0,0,1,2,1,5,1,0,1,8
"Aransas Pass ISD",2020-11-01,205901,"1622",903,1,0,0,1,0,2,0,1,0,1,2,0,4,0
"Archer City ISD",2020-11-01,5901,"512",477,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,0,2,1
"Argyle ISD",2020-11-01,61910,"3725",3017,2,1,5,3,0,6,5,6,6,18,17,0,20,27
"Aristoi Classical Academy",2020-11-01,101803,"1073",608,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,2
"Arlington Classics Academy",2020-11-01,220802,"1564",679,0,0,0,1,0,1,0,1,1,0,3,0,5,0
"Arlington ISD",2020-11-01,220901,"56626",14138,10,10,15,18,1,0,52,37,25,60,142,6,0,258
"Arp ISD",2020-11-01,212901,"871",790,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,0,3,3
"Arrow Academy",2020-11-01,21805,"686",214,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"Aspermont ISD",2020-11-01,217901,"210",203,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Athens ISD",2020-11-01,107901,"3007",1596,1,2,5,4,0,1,11,2,5,13,17,0,7,30
"Atlanta ISD",2020-11-01,34901,"1840",1634,0,0,4,1,0,5,0,3,2,22,21,0,21,27
"Aubrey ISD",2020-11-01,61907,"2642",2002,NA,NA,NA,NA,NA,NA,NA,0,0,5,3,1,4,3
"Austin Achieve Public Schools",2020-11-01,227825,"2168",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Discovery School",2020-11-01,227821,"436",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin ISD",2020-11-01,227901,"74909",321,3,1,0,2,0,0,6,6,4,11,30,0,1,50
"Austwell-Tivoli ISD",2020-11-01,196901,"138",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avalon ISD",2020-11-01,70901,"325",281,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,3,0
"Avery ISD",2020-11-01,194902,"325",225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avinger ISD",2020-11-01,34902,"140",116,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Axtell ISD",2020-11-01,161918,"764",692,0,0,1,0,0,1,0,1,1,4,2,0,7,1
"Azle ISD",2020-11-01,220915,"6672",4745,1,2,0,2,0,2,3,9,7,32,16,5,22,37
"Baird ISD",2020-11-01,30903,"268",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ballinger ISD",2020-11-01,200901,"861",754,NA,NA,NA,NA,NA,NA,NA,3,3,5,3,2,12,0
"Balmorhea ISD",2020-11-01,195902,"162",141,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bandera ISD",2020-11-01,10902,"2160",1731,0,1,0,1,2,0,0,0,1,1,2,2,1,1
"Bangs ISD",2020-11-01,25901,"840",799,NA,NA,NA,NA,NA,NA,NA,0,2,10,6,0,0,18
"Banquete ISD",2020-11-01,178913,"951",362,0,0,2,0,0,2,0,1,0,5,4,0,10,0
"Barbers Hill ISD",2020-11-01,36902,"6417",5802,1,0,4,1,0,6,0,7,2,24,21,0,54,0
"Bartlett ISD",2020-11-01,14902,"369",315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basis Texas",2020-11-01,15834,"3070",101,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,0,1,6
"Bastrop ISD",2020-11-01,11901,"10342",5277,1,0,0,1,0,1,1,3,4,7,7,0,15,6
"Bay City ISD",2020-11-01,158901,"3407",2715,0,0,3,0,0,0,3,3,3,8,1,0,5,10
"Beatrice Mayes Institute Charter School",2020-11-01,101847,"475",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beaumont ISD",2020-11-01,123910,"17184",3369,0,3,1,4,6,1,1,3,3,10,44,35,16,9
"Beckville ISD",2020-11-01,183901,"663",645,0,0,1,0,0,0,1,0,1,3,7,1,5,5
"Beeville ISD",2020-11-01,13901,"3098",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellevue ISD",2020-11-01,39904,"136",128,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bells ISD",2020-11-01,91901,"875",814,0,0,1,0,0,0,1,0,0,3,5,1,2,5
"Bellville ISD",2020-11-01,8901,"2223",2017,0,0,1,0,0,0,1,0,0,3,5,0,3,5
"Belton ISD",2020-11-01,14903,"12381",7693,2,1,8,4,0,0,15,9,6,31,16,0,15,47
"Ben Bolt-Palito Blanco ISD",2020-11-01,125902,"523",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benavides ISD",2020-11-01,66901,"246",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin ISD",2020-11-01,138904,"131",93,0,0,1,0,0,1,0,0,0,3,1,0,1,3
"Beta Academy",2020-11-01,101870,"1168",511,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,0,5,0
"Betty M Condra School For Education Innovation",2020-11-01,152806,"137",115,0,0,0,2,0,2,0,0,0,0,2,0,2,0
"Bexar County Academy",2020-11-01,15809,"262",122,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Big Sandy ISD",2020-11-01,187901,"501",465,NA,NA,NA,NA,NA,NA,NA,2,0,1,3,0,6,0
"Big Sandy ISD",2020-11-01,230901,"666",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Spring ISD",2020-11-01,114901,"3909",3028,1,0,2,5,0,0,8,6,2,43,43,3,7,84
"Big Springs Charter School",2020-11-01,193801,"213",182,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,1,1,1
"Birdville ISD",2020-11-01,220902,"22174",12571,NA,NA,NA,NA,NA,NA,NA,15,25,85,7,0,0,132
"Bishop Cisd",2020-11-01,178902,"1556",492,NA,NA,NA,NA,NA,NA,NA,0,0,2,5,0,0,7
"Blackwell Cisd",2020-11-01,177903,"161",157,NA,NA,NA,NA,NA,NA,NA,1,0,2,2,0,1,4
"Blanco ISD",2020-11-01,16902,"1028",917,0,0,0,1,0,1,0,0,0,0,3,0,3,0
"Bland ISD",2020-11-01,116915,"819",645,NA,NA,NA,NA,NA,NA,NA,2,0,5,1,0,6,2
"Blanket ISD",2020-11-01,25904,"173",146,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Bloom Academy Charter School",2020-11-01,101875,"86",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bloomburg ISD",2020-11-01,34909,"251",251,NA,NA,NA,NA,NA,NA,NA,0,1,3,3,0,6,1
"Blooming Grove ISD",2020-11-01,175902,"942",805,0,0,1,0,0,1,0,1,1,3,2,0,6,1
"Bloomington ISD",2020-11-01,235901,"767",458,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,0,3,4
"Blue Ridge ISD",2020-11-01,43917,"896",812,0,1,1,0,0,1,1,3,1,6,10,0,3,17
"Bluff Dale ISD",2020-11-01,72904,"220",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blum ISD",2020-11-01,109913,"358",352,NA,NA,NA,NA,NA,NA,NA,1,0,2,1,3,0,1
"Bob Hope School",2020-11-01,123807,"2074",557,2,0,0,3,0,5,0,3,0,0,3,0,6,0
"Boerne ISD",2020-11-01,130901,"9511",6938,0,0,4,2,0,1,5,2,1,33,19,1,23,31
"Boles ISD",2020-11-01,116916,"513",452,0,0,0,1,0,1,0,0,0,6,10,5,4,7
"Boling ISD",2020-11-01,241901,"1105",932,NA,NA,NA,NA,NA,NA,NA,0,0,4,1,0,5,0
"Bonham ISD",2020-11-01,74903,"1781",1551,NA,NA,NA,NA,NA,NA,NA,4,3,9,0,0,16,0
"Booker ISD",2020-11-01,148901,"362",354,NA,NA,NA,NA,NA,NA,NA,1,0,8,2,2,4,5
"Borden County ISD",2020-11-01,17901,"231",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borger ISD",2020-11-01,117901,"2470",2130,1,0,4,9,0,1,13,7,3,41,58,14,16,79
"Bosqueville ISD",2020-11-01,161923,"734",586,0,0,2,0,0,1,1,0,1,3,0,0,2,2
"Bovina ISD",2020-11-01,185901,"468",419,0,0,1,3,0,4,0,0,0,5,6,0,8,3
"Bowie ISD",2020-11-01,169901,"1676",1564,0,0,6,1,0,0,7,0,2,17,15,0,1,33
"Boyd ISD",2020-11-01,249902,"1268",1132,NA,NA,NA,NA,NA,NA,NA,0,1,9,4,0,0,14
"Boys Ranch ISD",2020-11-01,180901,"223",153,NA,NA,NA,NA,NA,NA,NA,0,0,11,5,1,11,4
"Brackett ISD",2020-11-01,136901,"529",411,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1
"Brady ISD",2020-11-01,160901,"991",910,NA,NA,NA,NA,NA,NA,NA,0,1,6,9,1,14,1
"Brazos ISD",2020-11-01,8903,"781",690,0,0,3,2,0,0,5,0,0,3,3,0,0,6
"Brazos River Charter School",2020-11-01,213801,"180",178,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,2,1
"Brazos School For Inquiry & Creativity",2020-11-01,21803,"341",251,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Brazosport ISD",2020-11-01,20905,"11397",6978,1,0,3,0,0,4,0,15,5,25,15,0,60,0
"Breckenridge ISD",2020-11-01,215901,"1448",1293,1,0,4,5,0,5,5,2,1,16,17,0,21,15
"Bremond ISD",2020-11-01,198901,"473",449,NA,NA,NA,NA,NA,NA,NA,1,2,10,2,3,9,3
"Brenham ISD",2020-11-01,239901,"4918",3998,0,0,1,0,0,0,1,1,3,2,5,0,2,9
"Bridge City ISD",2020-11-01,181901,"3014",2715,NA,NA,NA,NA,NA,NA,NA,1,0,7,5,0,13,0
"Bridgeport ISD",2020-11-01,249903,"2172",1655,0,0,1,2,0,3,0,0,1,3,2,0,5,1
"Bridgeway Preparatory Academy",2020-11-01,57851,"101",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broaddus ISD",2020-11-01,203902,"372",289,0,0,1,0,0,1,0,0,0,2,1,0,2,1
"Brock ISD",2020-11-01,184909,"1769",1762,0,0,0,2,0,0,2,1,0,19,8,0,7,21
"Bronte ISD",2020-11-01,41901,"245",233,1,0,0,1,0,1,1,4,0,1,2,0,1,6
"Brookeland ISD",2020-11-01,121902,"367",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brookesmith ISD",2020-11-01,25908,"168",131,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"Brooks Academies Of Texas",2020-11-01,15830,"3047",846,0,0,1,3,0,4,0,0,1,1,4,0,6,0
"Brooks County ISD",2020-11-01,24901,"1438",628,NA,NA,NA,NA,NA,NA,NA,7,2,9,2,0,20,0
"Brownfield ISD",2020-11-01,223901,"1643",1341,NA,NA,NA,NA,NA,NA,NA,3,4,5,5,0,16,1
"Brownsboro ISD",2020-11-01,107902,"2612",2126,0,0,1,5,0,4,2,1,2,13,17,0,8,25
"Brownsville ISD",2020-11-01,31901,"40121",283,1,0,5,2,0,2,6,23,13,36,134,65,105,36
"Brownwood ISD",2020-11-01,25902,"3437",2951,NA,NA,NA,NA,NA,NA,NA,7,1,27,12,0,32,15
"Bruceville-Eddy ISD",2020-11-01,161919,"616",469,NA,NA,NA,NA,NA,NA,NA,0,0,5,1,0,0,6
"Bryan ISD",2020-11-01,21902,"15715",11141,0,2,3,5,0,0,10,19,11,51,45,0,0,126
"Bryson ISD",2020-11-01,119901,"255",253,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Buckholts ISD",2020-11-01,166907,"145",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buena Vista ISD",2020-11-01,186901,"245",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buffalo ISD",2020-11-01,145901,"930",892,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,0,2,2
"Bullard ISD",2020-11-01,212902,"2676",2478,NA,NA,NA,NA,NA,NA,NA,9,5,27,45,7,17,62
"Buna ISD",2020-11-01,121903,"1483",1338,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,0,0,4
"Burkburnett ISD",2020-11-01,243901,"3167",2618,0,1,4,3,0,2,6,0,4,21,6,0,16,15
"Burkeville ISD",2020-11-01,176901,"272",237,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"Burleson ISD",2020-11-01,126902,"12467",7513,1,2,6,6,0,14,1,11,10,63,41,16,94,15
"Burnet Cisd",2020-11-01,27903,"3081",2475,0,0,0,3,0,2,1,2,3,2,12,0,16,3
"Burnham Wood Charter School District",2020-11-01,71801,"1263",498,0,0,2,5,0,3,4,1,3,4,7,0,9,6
"Burton ISD",2020-11-01,239903,"486",458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bushland ISD",2020-11-01,188904,"1449",1385,0,0,0,1,0,0,1,3,1,20,13,0,0,37
"Bynum ISD",2020-11-01,109902,"190",172,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"Caddo Mills ISD",2020-11-01,116901,"1995",1764,NA,NA,NA,NA,NA,NA,NA,1,2,9,6,0,18,0
"Calallen ISD",2020-11-01,178903,"3941",2199,NA,NA,NA,NA,NA,NA,NA,3,2,2,14,3,18,0
"Caldwell ISD",2020-11-01,26901,"1720",1384,1,0,1,1,1,2,0,3,2,26,11,1,7,34
"Calhoun County ISD",2020-11-01,29901,"3563",2869,NA,NA,NA,NA,NA,NA,NA,2,2,16,19,2,37,0
"Callisburg ISD",2020-11-01,49905,"1116",972,NA,NA,NA,NA,NA,NA,NA,0,2,7,6,0,3,12
"Calvert ISD",2020-11-01,198902,"142",131,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Calvin Nelms Charter Schools",2020-11-01,101837,"303",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameron ISD",2020-11-01,166901,"1620",1461,NA,NA,NA,NA,NA,NA,NA,1,2,6,5,0,13,1
"Campbell ISD",2020-11-01,116910,"294",251,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,0,5,0
"Canadian ISD",2020-11-01,106901,"879",808,3,0,3,0,0,2,4,8,4,13,6,0,6,25
"Canton ISD",2020-11-01,234902,"2185",1969,1,3,4,4,0,0,12,4,5,10,4,0,0,23
"Canutillo ISD",2020-11-01,71907,"6007",973,NA,NA,NA,NA,NA,NA,NA,0,1,3,3,0,7,0
"Canyon ISD",2020-11-01,191901,"10323",9380,4,6,16,16,0,4,38,18,27,96,85,0,14,212
"Carlisle ISD",2020-11-01,201913,"625",560,NA,NA,NA,NA,NA,NA,NA,0,0,5,3,0,3,5
"Carrizo Springs Cisd",2020-11-01,64903,"2065",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carroll ISD",2020-11-01,220919,"8297",4343,0,0,1,0,0,0,1,3,1,17,6,0,7,20
"Carrollton-Farmers Branch ISD",2020-11-01,57903,"24701",10283,6,7,14,4,0,1,30,32,29,62,55,0,5,173
"Carthage ISD",2020-11-01,183902,"2643",2356,NA,NA,NA,NA,NA,NA,NA,3,1,25,15,3,7,34
"Castleberry ISD",2020-11-01,220917,"3633",1914,1,0,1,2,0,4,0,2,2,31,11,7,38,1
"Cayuga ISD",2020-11-01,1902,"544",415,NA,NA,NA,NA,NA,NA,NA,3,0,12,6,0,15,6
"Cedar Hill ISD",2020-11-01,57904,"7290",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedars International Academy",2020-11-01,227817,"495",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celeste ISD",2020-11-01,116902,"494",453,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Celina ISD",2020-11-01,43903,"2973",2360,NA,NA,NA,NA,NA,NA,NA,4,14,58,24,2,58,40
"Center ISD",2020-11-01,210901,"2432",2232,1,1,1,0,0,0,3,3,3,26,14,0,7,39
"Center Point ISD",2020-11-01,133901,"544",498,NA,NA,NA,NA,NA,NA,NA,0,0,8,1,0,0,9
"Centerville ISD",2020-11-01,145902,"635",581,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,4,0
"Centerville ISD",2020-11-01,228904,"134",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Heights ISD",2020-11-01,174908,"1135",1004,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,0,3,5
"Central ISD",2020-11-01,3907,"1439",1203,NA,NA,NA,NA,NA,NA,NA,2,0,2,5,0,9,0
"Channelview ISD",2020-11-01,101905,"9214",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Channing ISD",2020-11-01,103901,"171",166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaparral Star Academy",2020-11-01,227814,"371",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chapel Hill Academy",2020-11-01,220815,"771",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chapel Hill ISD",2020-11-01,212909,"3393",2189,0,3,4,1,0,1,7,5,11,32,22,0,6,64
"Chapel Hill ISD",2020-11-01,225906,"996",804,0,0,1,1,1,1,0,1,0,4,2,1,4,2
"Charlotte ISD",2020-11-01,7901,"413",317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherokee ISD",2020-11-01,206903,"131",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chester ISD",2020-11-01,229906,"201",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chico ISD",2020-11-01,249904,"590",531,1,0,2,0,1,2,0,2,0,4,1,1,6,0
"Childress ISD",2020-11-01,38901,"1006",937,1,1,0,1,0,3,0,1,1,7,2,0,11,0
"Chillicothe ISD",2020-11-01,99902,"205",204,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,0,2,5
"Chilton ISD",2020-11-01,73901,"519",477,0,0,2,1,0,3,0,2,1,15,9,2,14,11
"China Spring ISD",2020-11-01,161920,"2869",2456,NA,NA,NA,NA,NA,NA,NA,5,2,18,8,0,23,10
"Chireno ISD",2020-11-01,174901,"374",310,NA,NA,NA,NA,NA,NA,NA,1,0,10,9,5,6,9
"Chisum ISD",2020-11-01,139905,"NR",NA,0,1,3,1,0,5,0,2,1,9,13,0,25,0
"Christoval ISD",2020-11-01,226901,"568",530,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Cisco ISD",2020-11-01,67902,"845",776,NA,NA,NA,NA,NA,NA,NA,0,0,11,8,0,13,6
"City View ISD",2020-11-01,243906,"1051",867,0,2,1,1,0,2,2,1,6,3,2,0,4,8
"Cityscape Schools",2020-11-01,57841,"1208",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarendon ISD",2020-11-01,65901,"446",441,1,0,2,1,0,4,0,4,2,4,3,3,10,0
"Clarksville ISD",2020-11-01,194904,"480",292,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,0,9,1
"Claude ISD",2020-11-01,6902,"318",308,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,1,3
"Clear Creek ISD",2020-11-01,84910,"40663",26658,1,4,10,5,1,10,9,21,13,54,30,13,58,47
"Cleburne ISD",2020-11-01,126903,"6833",5308,4,2,6,5,0,3,14,7,8,27,24,0,7,59
"Cleveland ISD",2020-11-01,146901,"8475",3724,0,0,2,2,0,4,0,2,1,9,10,0,22,0
"Clifton ISD",2020-11-01,18901,"962",871,0,0,0,1,0,0,1,1,3,3,1,0,4,4
"Clint ISD",2020-11-01,71901,"10687",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clyde Cisd",2020-11-01,30902,"1395",1255,0,0,0,1,0,0,1,0,0,2,1,0,0,3
"Coahoma ISD",2020-11-01,114902,"1092",899,0,0,0,1,0,1,0,0,1,5,10,0,14,2
"Coldspring-Oakhurst Cisd",2020-11-01,204901,"1554",1041,2,0,0,1,0,0,3,3,0,1,2,0,0,6
"Coleman ISD",2020-11-01,42901,"843",776,0,0,0,2,0,1,1,0,0,3,3,0,4,2
"College Station ISD",2020-11-01,21901,"13642",10161,3,1,4,2,0,0,10,20,10,33,38,0,3,98
"Collinsville ISD",2020-11-01,91902,"549",482,0,0,2,0,1,0,1,0,0,13,6,2,3,14
"Colmesneil ISD",2020-11-01,229901,"456",439,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Colorado ISD",2020-11-01,168901,"896",807,NA,NA,NA,NA,NA,NA,NA,0,1,4,1,0,1,5
"Columbia-Brazoria ISD",2020-11-01,20907,"2841",1969,2,2,1,0,0,5,0,5,3,6,0,0,14,0
"Columbus ISD",2020-11-01,45902,"1510",1075,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,0,4,1
