District,Date,County,LEA,Total_Enrollment,Approximate_Enrollment,Cases_Weekly_GRADE_EE_3,Cases_Weekly_GRADE_4_6,Cases_Weekly_GRADE_7_12,Cases_Weekly_Staff,Infections_Weekly_On_Campus,Infections_Weekly_Off_Campus,Infections_Weekly_Unknown,Cases_Cumulative_GRADE_EE_3,Cases_Cumulative_GRADE_4_6,Cases_Cumulative_GRADE_7_12,Cases_Cumulative_Staff,Infections_Cumulative_On_Campus,Infections_Cumulative_Off_Campus,Infections_Cumulative_Unknown
Morgan ISD,10/4/20,"Bosque,Hill",18903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valley Mills ISD,10/4/20,"Bosque,Coryell,Hill,McLennan",18904,621,123.63,0,0,1,0,0,0,1,0,0,1,1,0,1,1
Walnut Springs ISD,10/4/20,"Bosque,Somervell",18905,171,136.8,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
Iredell ISD,10/4/20,"Bosque,Erath,Hamilton,Somervell",18906,150,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kopperl ISD,10/4/20,"Bosque,Hill,Johnson,Somervell",18907,175,148.75,NA,NA,NA,NA,NA,NA,NA,0,1,8,6,0,1,14
Cranfills Gap ISD,10/4/20,"Bosque,Coryell,Hamilton",18908,129,126.42,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,4,0,9
Dekalb ISD,10/4/20,"Bowie,Cass,Morris,Red River",19901,781,679.32,0,0,1,2,0,0,3,0,2,11,9,1,4,17
Hooks ISD,10/4/20,Bowie,19902,854,734.93,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,0
Maud ISD,10/4/20,"Bowie,Cass",19903,471,447.45,0,0,1,0,0,0,1,0,1,4,3,0,1,7
New Boston ISD,10/4/20,"Bowie,Cass",19905,1165,901.71,0,0,0,2,0,0,2,0,2,13,7,0,12,10
Redwater ISD,10/4/20,"Bowie,Cass",19906,1119,1041.9,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,4,0
Texarkana ISD,10/4/20,Bowie,19907,6714,3878.34,2,1,1,6,0,0,10,9,11,23,38,0,0,81
Liberty-Eylau ISD,10/4/20,"Bowie,Cass",19908,2309,1486.3,0,0,0,6,0,1,5,1,0,4,10,0,3,12
Simms ISD,10/4/20,"Bowie,Cass",19909,157,130.31,0,0,0,1,0,0,1,0,0,1,3,0,2,2
Malta ISD,10/4/20,Bowie,19910,219,216.81,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
Red Lick ISD,10/4/20,Bowie,19911,505,448.41,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,0,3,0
Pleasant Grove ISD,10/4/20,Bowie,19912,2194,1783.12,0,0,1,0,0,0,1,1,4,9,4,0,17,1
Hubbard ISD,10/4/20,Bowie,19913,77,70.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leary ISD,10/4/20,Bowie,19914,108,87.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin ISD,10/4/20,"Brazoria,Fort Bend,Galveston,Harris",20901,26475,4287.61,0,2,4,5,0,11,0,3,4,7,10,0,24,0
Angleton ISD,10/4/20,"Brazoria,Fort Bend,Galveston",20902,6857,479.89,0,0,1,1,0,2,0,7,5,6,16,10,24,0
Danbury ISD,10/4/20,Brazoria,20904,741,23.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazosport ISD,10/4/20,"Brazoria,Galveston",20905,11399,7185.29,0,0,2,1,0,3,0,12,5,14,9,0,40,0
