"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Alvin ISD",2020-11-15,20901,"26997",17048,2,4,11,8,0,25,0,8,23,67,44,0,142,0
"Alvord ISD",2020-11-15,249901,"711",667,0,0,0,1,0,0,1,2,3,12,16,8,4,21
"Amarillo ISD",2020-11-15,188901,"31402",26649,25,41,109,74,1,73,175,103,154,521,467,12,566,667
"Ambassadors Preparatory Academy",2020-11-15,84804,"246",175,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Amherst ISD",2020-11-15,140901,"133",133,0,0,1,0,0,0,1,0,0,3,0,0,2,1
"Amigos Por Vida-Friends For Life Pub Chtr Sch",2020-11-15,101819,"479",341,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,3,1
"Anahuac ISD",2020-11-15,36901,"1322",1196,NA,NA,NA,NA,NA,NA,NA,1,0,3,2,0,5,1
"Anderson-Shiro Cisd",2020-11-15,93901,"881",868,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,3,3
"Andrews ISD",2020-11-15,2901,"4149",3654,0,1,7,9,0,17,0,4,15,44,46,0,108,1
"Angleton ISD",2020-11-15,20902,"6853",5167,3,2,3,4,3,9,0,13,9,20,25,17,50,0
"Anna ISD",2020-11-15,43902,"3980",3106,2,1,3,0,0,0,6,4,1,12,6,0,2,21
"Anson ISD",2020-11-15,127901,"711",675,0,0,2,1,0,3,0,0,2,2,6,0,7,3
"Anthony ISD",2020-11-15,71906,"787",270,0,0,0,2,0,2,0,7,5,12,8,1,29,2
"Anton ISD",2020-11-15,110901,"184",155,0,1,0,0,0,1,0,1,2,4,3,1,8,1
"Apple Springs ISD",2020-11-15,228905,"207",207,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1
"Aquilla ISD",2020-11-15,109912,"319",295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aransas County ISD",2020-11-15,4901,"3010",2273,NA,NA,NA,NA,NA,NA,NA,4,1,6,1,0,1,11
"Aransas Pass ISD",2020-11-15,205901,"1641",1267,0,1,1,0,0,2,0,1,1,3,2,0,7,0
"Archer City ISD",2020-11-15,5901,"502",488,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,3,1
"Argyle ISD",2020-11-15,61910,"3751",3235,0,1,9,5,2,2,11,6,7,38,23,2,25,47
"Aristoi Classical Academy",2020-11-15,101803,"1073",820,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,0,2,3
"Arlington Classics Academy",2020-11-15,220802,"1541",828,0,0,0,1,1,0,0,2,2,0,5,1,5,3
"Arlington ISD",2020-11-15,220901,"56995",21754,15,20,37,56,4,0,124,64,52,113,228,10,0,447
"Arp ISD",2020-11-15,212901,"874",858,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,0,3,3
"Arrow Academy",2020-11-15,21805,"686",438,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
"Aspermont ISD",2020-11-15,217901,"215",213,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Athens ISD",2020-11-15,107901,"3019",2781,2,3,2,5,0,0,12,7,14,21,27,0,7,62
"Atlanta ISD",2020-11-15,34901,"1846",1657,2,5,8,2,0,11,6,5,7,33,26,0,36,35
"Aubrey ISD",2020-11-15,61907,"2642",2251,0,0,0,1,0,0,1,0,1,7,4,1,5,6
"Austin Achieve Public Schools",2020-11-15,227825,"2150",373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Discovery School",2020-11-15,227821,"433",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin ISD",2020-11-15,227901,"75028",17872,NA,NA,NA,NA,NA,NA,NA,14,11,24,50,3,1,95
"Austwell-Tivoli ISD",2020-11-15,196901,"137",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avalon ISD",2020-11-15,70901,"332",291,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,3,0
"Avery ISD",2020-11-15,194902,"322",320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avinger ISD",2020-11-15,34902,"136",126,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Axtell ISD",2020-11-15,161918,"772",752,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,0,8,1
"Azle ISD",2020-11-15,220915,"6590",4855,4,2,6,6,1,2,15,14,11,43,28,6,25,65
"Baird ISD",2020-11-15,30903,"263",247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ballinger ISD",2020-11-15,200901,"856",647,0,0,2,6,0,4,4,3,4,10,10,2,20,5
"Balmorhea ISD",2020-11-15,195902,"150",136,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bandera ISD",2020-11-15,10902,"2216",1959,1,2,1,0,0,4,0,1,6,7,3,2,10,5
"Bangs ISD",2020-11-15,25901,"836",802,0,0,1,1,0,0,2,1,2,11,8,0,0,22
"Banquete ISD",2020-11-15,178913,"847",512,0,0,2,0,0,2,0,1,0,8,5,1,13,0
"Barbers Hill ISD",2020-11-15,36902,"6438",5866,0,1,9,2,0,12,0,7,3,39,24,0,73,0
"Bartlett ISD",2020-11-15,14902,"380",348,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Basis Texas",2020-11-15,15834,"3050",850,0,0,0,2,0,0,2,1,0,0,8,0,1,8
"Bastrop ISD",2020-11-15,11901,"11441",7055,1,0,4,2,0,3,4,4,5,17,13,0,27,12
"Bay City ISD",2020-11-15,158901,"3557",2747,0,0,2,7,0,0,9,3,3,11,8,0,5,20
"Beatrice Mayes Institute Charter School",2020-11-15,101847,"471",154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beaumont ISD",2020-11-15,123910,"17174",8333,4,1,3,8,13,3,0,8,5,14,62,59,21,9
"Beckville ISD",2020-11-15,183901,"663",645,1,0,0,0,0,0,1,1,1,3,7,1,5,6
"Beeville ISD",2020-11-15,13901,"3151",2015,0,0,10,3,0,1,12,0,1,12,4,0,5,12
"Bellevue ISD",2020-11-15,39904,"145",140,0,0,1,1,0,2,0,0,0,2,2,0,4,0
"Bells ISD",2020-11-15,91901,"872",824,2,0,2,0,0,1,3,3,0,7,7,2,3,12
"Bellville ISD",2020-11-15,8901,"2238",2147,0,1,2,0,0,1,2,0,1,5,5,0,4,7
"Belton ISD",2020-11-15,14903,"12609",9746,2,1,6,10,0,11,8,12,8,45,30,0,31,64
"Ben Bolt-Palito Blanco ISD",2020-11-15,125902,"520",187,NA,NA,NA,NA,NA,NA,NA,0,2,9,4,2,5,8
"Benavides ISD",2020-11-15,66901,"247",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin ISD",2020-11-15,138904,"131",127,NA,NA,NA,NA,NA,NA,NA,0,0,4,2,0,1,5
"Beta Academy",2020-11-15,101870,"1198",783,1,0,0,0,0,1,0,3,1,2,0,0,6,0
"Betty M Condra School For Education Innovation",2020-11-15,152806,"146",114,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,0,2,5
"Bexar County Academy",2020-11-15,15809,"274",175,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Big Sandy ISD",2020-11-15,187901,"526",494,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,0,9,0
"Big Sandy ISD",2020-11-15,230901,"642",584,NA,NA,NA,NA,NA,NA,NA,0,2,7,4,0,4,9
"Big Spring ISD",2020-11-15,114901,"3739",3299,5,1,4,2,0,0,12,13,9,52,53,3,7,117
"Big Springs Charter School",2020-11-15,193801,"235",211,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,1,1,1
"Birdville ISD",2020-11-15,220902,"21661",14397,15,13,16,0,0,0,44,39,52,124,7,0,0,222
"Bishop Cisd",2020-11-15,178902,"1550",556,NA,NA,NA,NA,NA,NA,NA,1,0,3,5,0,0,9
"Blackwell Cisd",2020-11-15,177903,"155",152,NA,NA,NA,NA,NA,NA,NA,1,0,2,2,0,1,4
"Blanco ISD",2020-11-15,16902,"1009",996,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,0,4,1
"Bland ISD",2020-11-15,116915,"709",589,2,0,0,0,0,2,0,4,0,6,2,0,10,2
"Blanket ISD",2020-11-15,25904,"142",140,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Bloom Academy Charter School",2020-11-15,101875,"83",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bloomburg ISD",2020-11-15,34909,"250",248,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,0,8,1
"Blooming Grove ISD",2020-11-15,175902,"897",881,0,0,3,0,1,2,0,1,1,11,2,1,8,6
"Bloomington ISD",2020-11-15,235901,"899",702,0,0,0,2,0,0,2,2,1,2,4,0,3,6
"Blue Ridge ISD",2020-11-15,43917,"864",791,NA,NA,NA,NA,NA,NA,NA,4,1,7,10,0,3,19
"Bluff Dale ISD",2020-11-15,72904,"226",222,0,0,2,0,0,1,1,0,0,2,0,0,1,1
"Blum ISD",2020-11-15,109913,"362",357,NA,NA,NA,NA,NA,NA,NA,1,0,2,2,3,1,1
"Bob Hope School",2020-11-15,123807,"2339",1135,NA,NA,NA,NA,NA,NA,NA,3,5,1,5,0,14,0
"Boerne ISD",2020-11-15,130901,"9617",7749,0,1,8,6,0,9,6,4,5,50,36,1,41,53
"Boles ISD",2020-11-15,116916,"497",433,NA,NA,NA,NA,NA,NA,NA,0,0,6,10,5,4,7
"Boling ISD",2020-11-15,241901,"1096",942,NA,NA,NA,NA,NA,NA,NA,1,0,4,1,0,6,0
"Bonham ISD",2020-11-15,74903,"1796",1624,1,0,1,0,0,2,0,5,3,11,0,0,19,0
"Booker ISD",2020-11-15,148901,"362",341,0,0,0,3,3,0,0,1,0,8,6,5,4,6
"Borden County ISD",2020-11-15,17901,"231",231,NA,NA,NA,NA,NA,NA,NA,0,1,1,3,0,2,3
"Borger ISD",2020-11-15,117901,"2470",2092,1,2,11,5,0,3,16,10,9,69,71,14,25,120
"Bosqueville ISD",2020-11-15,161923,"730",664,NA,NA,NA,NA,NA,NA,NA,1,2,4,0,0,5,2
"Bovina ISD",2020-11-15,185901,"465",429,1,0,0,5,0,1,5,2,0,5,12,0,10,9
"Bowie ISD",2020-11-15,169901,"1693",1576,1,2,8,13,0,0,24,1,6,30,36,0,2,71
"Boyd ISD",2020-11-15,249902,"1265",1105,0,0,3,1,0,1,3,0,1,12,6,0,1,18
"Boys Ranch ISD",2020-11-15,180901,"207",204,0,0,3,1,0,4,0,0,0,16,6,1,17,4
"Brackett ISD",2020-11-15,136901,"515",427,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1
"Brady ISD",2020-11-15,160901,"990",906,NA,NA,NA,NA,NA,NA,NA,0,1,7,10,1,16,1
"Brazos ISD",2020-11-15,8903,"794",647,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,0,6
"Brazos River Charter School",2020-11-15,213801,"211",204,0,0,3,0,0,3,0,0,0,5,2,0,6,1
"Brazos School For Inquiry & Creativity",2020-11-15,21803,"326",326,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,2,1
"Brazosport ISD",2020-11-15,20905,"11471",8732,2,2,15,0,2,16,1,17,7,40,16,2,77,1
"Breckenridge ISD",2020-11-15,215901,"1407",1317,1,0,1,1,0,3,0,3,1,18,18,0,24,16
"Bremond ISD",2020-11-15,198901,"495",490,1,1,0,1,1,2,0,2,3,10,4,4,11,4
"Brenham ISD",2020-11-15,239901,"5001",4403,1,1,4,2,0,1,7,4,4,10,9,0,7,20
"Bridge City ISD",2020-11-15,181901,"3029",2764,1,0,13,1,0,15,0,3,1,25,9,1,37,0
"Bridgeport ISD",2020-11-15,249903,"1959",1753,1,0,8,7,0,6,10,3,1,15,12,0,11,20
"Bridgeway Preparatory Academy",2020-11-15,57851,"104",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broaddus ISD",2020-11-15,203902,"351",336,0,0,1,0,0,1,0,0,1,3,1,0,3,2
"Brock ISD",2020-11-15,184909,"1765",1587,3,3,2,2,0,4,6,4,3,22,11,0,11,29
"Bronte ISD",2020-11-15,41901,"227",203,NA,NA,NA,NA,NA,NA,NA,4,2,1,5,0,1,11
"Brookeland ISD",2020-11-15,121902,"362",348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brookesmith ISD",2020-11-15,25908,"156",144,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"Brooks Academies Of Texas",2020-11-15,15830,"3091",907,0,0,0,3,0,2,1,1,1,3,12,0,11,6
"Brooks County ISD",2020-11-15,24901,"1431",674,NA,NA,NA,NA,NA,NA,NA,7,2,9,2,0,20,0
"Brownfield ISD",2020-11-15,223901,"1640",1369,1,1,0,1,0,3,0,4,5,5,8,0,21,1
"Brownsboro ISD",2020-11-15,107902,"2591",2406,1,0,1,8,0,0,10,2,2,15,25,0,8,36
"Brownsville ISD",2020-11-15,31901,"40510",993,4,4,7,14,3,14,12,28,20,47,155,68,129,53
"Brownwood ISD",2020-11-15,25902,"3439",3088,NA,NA,NA,NA,NA,NA,NA,9,2,41,24,1,37,38
"Bruceville-Eddy ISD",2020-11-15,161919,"614",514,0,1,4,0,0,0,5,0,1,10,2,0,0,13
"Bryan ISD",2020-11-15,21902,"15866",11463,4,4,15,24,0,0,47,25,16,69,89,0,0,199
"Bryson ISD",2020-11-15,119901,"260",254,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Buckholts ISD",2020-11-15,166907,"141",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buena Vista ISD",2020-11-15,186901,"241",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buffalo ISD",2020-11-15,145901,"947",916,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,0,2,2
"Bullard ISD",2020-11-15,212902,"2653",2540,0,4,21,11,1,8,27,12,9,72,69,8,38,116
"Buna ISD",2020-11-15,121903,"1485",1366,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,0,0,4
"Burkburnett ISD",2020-11-15,243901,"3196",2670,0,0,3,1,0,0,4,0,4,24,7,0,16,19
"Burkeville ISD",2020-11-15,176901,"269",256,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Burleson ISD",2020-11-15,126902,"12568",8282,2,6,15,14,0,36,1,19,20,88,67,17,160,17
"Burnet Cisd",2020-11-15,27903,"3103",2272,0,1,1,4,0,4,2,2,4,5,21,0,22,10
"Burnham Wood Charter School District",2020-11-15,71801,"1243",348,1,0,1,2,0,4,0,4,4,6,10,0,16,8
"Burton ISD",2020-11-15,239903,"479",470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bushland ISD",2020-11-15,188904,"1447",1346,1,2,8,9,0,0,20,4,4,32,23,0,0,63
"Bynum ISD",2020-11-15,109902,"195",188,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"Caddo Mills ISD",2020-11-15,116901,"1992",1788,0,0,4,3,0,7,0,1,6,18,11,0,36,0
"Calallen ISD",2020-11-15,178903,"3967",3035,NA,NA,NA,NA,NA,NA,NA,4,2,4,16,3,23,0
"Caldwell ISD",2020-11-15,26901,"1707",1549,NA,NA,NA,NA,NA,NA,NA,3,2,26,11,1,7,34
"Calhoun County ISD",2020-11-15,29901,"3685",3240,0,0,3,0,0,3,0,2,2,20,20,2,42,0
"Callisburg ISD",2020-11-15,49905,"1136",942,1,0,1,0,1,1,0,1,2,10,9,1,6,15
"Calvert ISD",2020-11-15,198902,"143",131,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Calvin Nelms Charter Schools",2020-11-15,101837,"300",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameron ISD",2020-11-15,166901,"1631",1496,NA,NA,NA,NA,NA,NA,NA,1,2,6,6,0,14,1
"Campbell ISD",2020-11-15,116910,"287",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canadian ISD",2020-11-15,106901,"877",814,2,1,3,3,0,7,2,10,6,24,13,0,21,32
"Canton ISD",2020-11-15,234902,"2134",2110,3,5,14,1,0,0,23,8,11,30,8,0,2,55
"Canutillo ISD",2020-11-15,71907,"5991",423,NA,NA,NA,NA,NA,NA,NA,0,1,3,3,0,7,0
"Canyon ISD",2020-11-15,191901,"1142",128,14,11,66,24,0,2,113,39,43,197,138,0,21,396
"Carlisle ISD",2020-11-15,201913,"567",564,NA,NA,NA,NA,NA,NA,NA,0,0,5,3,0,3,5
"Carrizo Springs Cisd",2020-11-15,64903,"2063",320,0,0,0,1,0,1,0,1,0,2,12,0,15,0
"Carroll ISD",2020-11-15,220919,"8328",5130,4,6,10,11,3,5,23,7,7,31,17,3,12,47
"Carrollton-Farmers Branch ISD",2020-11-15,57903,"24848",12774,2,11,29,26,0,2,66,36,42,105,113,3,10,283
"Carthage ISD",2020-11-15,183902,"2653",2417,0,0,0,2,0,1,1,3,1,26,19,3,9,37
"Castleberry ISD",2020-11-15,220917,"3633",1829,2,0,7,6,1,14,0,4,4,41,26,8,66,1
"Cayuga ISD",2020-11-15,1902,"535",489,0,0,4,7,4,1,6,6,1,19,17,6,21,16
"Cedar Hill ISD",2020-11-15,57904,"7273",3700,NA,NA,NA,NA,NA,NA,NA,6,11,19,15,2,26,23
"Cedars International Academy",2020-11-15,227817,"497",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celeste ISD",2020-11-15,116902,"494",479,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Celina ISD",2020-11-15,43903,"2959",2537,NA,NA,NA,NA,NA,NA,NA,4,14,58,24,2,58,40
"Center ISD",2020-11-15,210901,"2492",2488,0,2,3,6,0,0,11,3,5,29,23,0,7,53
"Center Point ISD",2020-11-15,133901,"534",439,NA,NA,NA,NA,NA,NA,NA,0,0,8,1,0,0,9
"Centerville ISD",2020-11-15,145902,"640",612,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,4,0
"Centerville ISD",2020-11-15,228904,"139",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Heights ISD",2020-11-15,174908,"1119",1059,1,0,1,1,0,1,2,2,2,2,6,0,4,8
"Central ISD",2020-11-15,3907,"1443",1322,NA,NA,NA,NA,NA,NA,NA,2,0,2,5,0,9,0
"Channelview ISD",2020-11-15,101905,"9292",4859,0,2,0,5,0,7,0,2,4,10,22,6,30,2
"Channing ISD",2020-11-15,103901,"168",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaparral Star Academy",2020-11-15,227814,"367",97,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"Chapel Hill Academy",2020-11-15,220815,"763",382,0,0,0,1,0,1,0,0,0,0,4,0,1,3
"Chapel Hill ISD",2020-11-15,212909,"3428",2609,0,0,8,2,0,0,10,5,11,40,24,0,6,74
"Chapel Hill ISD",2020-11-15,225906,"993",849,0,0,3,1,1,0,3,2,0,12,4,4,4,10
"Charlotte ISD",2020-11-15,7901,"412",350,0,0,5,0,1,4,0,0,0,5,0,1,4,0
"Cherokee ISD",2020-11-15,206903,"131",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chester ISD",2020-11-15,229906,"211",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chico ISD",2020-11-15,249904,"585",517,3,3,14,5,1,14,10,6,3,18,6,2,21,10
"Childress ISD",2020-11-15,38901,"997",953,NA,NA,NA,NA,NA,NA,NA,1,2,7,2,0,12,0
"Chillicothe ISD",2020-11-15,99902,"207",206,NA,NA,NA,NA,NA,NA,NA,3,1,4,2,0,5,5
"Chilton ISD",2020-11-15,73901,"523",482,0,0,0,1,0,1,0,2,1,15,10,2,15,11
"China Spring ISD",2020-11-15,161920,"2873",2467,4,1,3,5,0,3,10,12,5,24,19,0,34,26
"Chireno ISD",2020-11-15,174901,"394",369,NA,NA,NA,NA,NA,NA,NA,2,0,10,9,5,6,10
"Chisum ISD",2020-11-15,139905,"1062",1012,4,0,3,0,0,7,0,6,1,12,13,0,32,0
"Christoval ISD",2020-11-15,226901,"566",542,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Cisco ISD",2020-11-15,67902,"840",799,NA,NA,NA,NA,NA,NA,NA,0,0,11,9,0,13,7
"City View ISD",2020-11-15,243906,"1022",977,2,1,1,1,0,0,5,3,7,4,3,0,4,13
"Cityscape Schools",2020-11-15,57841,"1212",618,NA,NA,NA,NA,NA,NA,NA,3,1,0,6,0,7,3
"Clarendon ISD",2020-11-15,65901,"441",435,0,0,1,0,0,1,0,5,2,7,4,3,15,0
"Clarksville ISD",2020-11-15,194904,"473",344,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,0,9,1
"Claude ISD",2020-11-15,6902,"316",269,NA,NA,NA,NA,NA,NA,NA,0,0,2,4,0,1,5
"Clear Creek ISD",2020-11-15,84910,"40724",30427,0,0,0,1,1,0,0,27,17,63,38,14,64,67
"Cleburne ISD",2020-11-15,126903,"6895",5904,5,3,23,15,0,0,46,13,12,57,42,0,7,117
"Cleveland ISD",2020-11-15,146901,"8844",6285,1,0,10,6,0,15,2,4,2,22,23,0,49,2
"Clifton ISD",2020-11-15,18901,"962",866,0,1,0,0,0,1,0,1,4,3,1,0,5,4
"Clint ISD",2020-11-15,71901,"10679",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clyde Cisd",2020-11-15,30902,"1395",1269,0,0,2,4,0,0,6,0,2,7,6,0,0,15
"Coahoma ISD",2020-11-15,114902,"1096",961,2,1,1,5,0,0,9,3,2,6,16,0,14,13
"Coldspring-Oakhurst Cisd",2020-11-15,204901,"1530",1232,0,0,1,1,0,0,2,4,0,4,5,0,1,12
"Coleman ISD",2020-11-15,42901,"842",781,0,0,2,8,0,2,8,0,0,5,11,0,6,10
"College Station ISD",2020-11-15,21901,"13669",11041,10,4,24,11,0,0,49,36,16,71,62,0,3,182
"Collinsville ISD",2020-11-15,91902,"539",472,0,0,2,0,0,0,2,0,0,15,7,2,3,17
"Colmesneil ISD",2020-11-15,229901,"435",420,0,0,0,1,0,1,0,0,0,0,2,0,2,0
"Colorado ISD",2020-11-15,168901,"901",822,NA,NA,NA,NA,NA,NA,NA,0,1,4,1,0,1,5
"Columbia-Brazoria ISD",2020-11-15,20907,"2874",2211,0,2,0,2,2,2,0,5,6,7,2,2,18,0
"Columbus ISD",2020-11-15,45902,"1526",1417,NA,NA,NA,NA,NA,NA,NA,0,1,1,4,0,4,2
"Comal ISD",2020-11-15,46902,"25550",19447,7,6,49,12,0,74,0,26,18,139,49,3,183,46
"Comanche ISD",2020-11-15,47901,"1317",1223,3,0,0,1,0,2,2,5,2,13,15,1,31,3
"Comfort ISD",2020-11-15,130902,"1064",958,0,1,1,1,0,0,3,2,1,2,4,1,3,5
"Commerce ISD",2020-11-15,116903,"1460",1173,1,1,0,0,0,0,2,3,3,17,10,5,11,17
"Community ISD",2020-11-15,43918,"2752",1983,1,2,2,2,0,7,0,1,14,29,22,2,33,31
"Como-Pickton Cisd",2020-11-15,112908,"702",700,NA,NA,NA,NA,NA,NA,NA,0,5,19,6,13,8,9
