"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Westwood ISD",2020-12-13,1908,"1352",1185,NA,NA,373,330,NA,NA,NA,NA,NA,12,6,2,4,12
"Westwood ISD",2020-12-13,1908,"1352",1185,NA,NA,434,364,NA,NA,NA,NA,NA,19,0,1,9,9
"Westwood ISD Total",2020-12-13,1908,"1352",1185,NA,NA,1352,1185,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
"Slocum ISD",2020-12-13,1909,"364",335,NA,NA,243,225,NA,2,NA,NA,NA,NA,9,NA,NA,NA
"Slocum ISD",2020-12-13,1909,"364",335,NA,NA,121,110,NA,0,NA,NA,NA,NA,2,NA,NA,NA
"Slocum ISD Total",2020-12-13,1909,"364",335,NA,NA,364,335,NA,2,NA,NA,NA,13,11,0,5,19
"Andrews ISD",2020-12-13,2901,"4149",3654,NA,NA,710,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews ISD",2020-12-13,2901,"4149",3654,NA,NA,56,21,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Andrews ISD",2020-12-13,2901,"4149",3654,NA,NA,651,559,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Andrews ISD",2020-12-13,2901,"4149",3654,NA,NA,578,513,NA,NA,NA,NA,NA,6,0,0,6,0
"Andrews ISD",2020-12-13,2901,"4149",3654,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,49,0,62,1
"Andrews ISD",2020-12-13,2901,"4149",3654,NA,NA,991,881,NA,NA,NA,NA,NA,21,0,0,21,0
"Andrews ISD",2020-12-13,2901,"4149",3654,NA,NA,1163,1034,NA,NA,NA,NA,NA,35,0,0,35,0
"Andrews ISD Total",2020-12-13,2901,"4149",3654,NA,NA,4149,3654,NA,NA,NA,NA,NA,80,49,0,128,1
"Pineywoods Community Academy",2020-12-13,3801,"996",757,NA,NA,236,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pineywoods Community Academy",2020-12-13,3801,"996",757,NA,NA,261,174,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Pineywoods Community Academy",2020-12-13,3801,"996",757,NA,NA,499,418,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Pineywoods Community Academy",2020-12-13,3801,"996",757,NA,NA,NA,NA,1,1,0,2,0,1,4,0,3,2
"Pineywoods Community Academy Total",2020-12-13,3801,"996",757,NA,NA,996,757,1,1,0,2,0,NA,7,NA,NA,NA
"Hudson ISD",2020-12-13,3902,"2783",2526,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hudson ISD",2020-12-13,3902,"2783",2526,NA,NA,619,585,0,3,0,1,2,5,6,0,8,3
"Hudson ISD",2020-12-13,3902,"2783",2526,NA,NA,676,620,0,1,0,0,1,7,6,0,10,3
"Hudson ISD",2020-12-13,3902,"2783",2526,NA,NA,664,628,0,1,0,1,0,9,1,0,8,2
"Hudson ISD",2020-12-13,3902,"2783",2526,NA,NA,810,679,NA,NA,NA,NA,NA,25,4,0,25,4
"Hudson ISD Total",2020-12-13,3902,"2783",2526,NA,NA,2783,2526,0,5,0,2,3,46,17,0,51,12
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,53,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,115,108,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,264,235,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,226,200,NA,0,NA,NA,NA,NA,3,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,270,227,NA,0,NA,NA,NA,NA,2,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,209,175,NA,0,NA,NA,NA,NA,4,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,253,214,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,253,228,NA,1,NA,NA,NA,NA,3,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,508,458,NA,0,NA,NA,NA,NA,6,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,267,223,NA,0,NA,NA,NA,NA,5,NA,NA,NA
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,6,6,NA,NA,NA,NA,NA,0,2,0,0,2
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,404,349,NA,0,NA,NA,NA,5,2,1,2,4
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,412,371,NA,2,NA,NA,NA,6,3,0,2,7
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,382,284,NA,0,NA,NA,NA,9,1,0,5,5
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,NA,NA,0,7,0,0,7,11,18,2,6,21
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,1690,1310,12,4,1,3,12,39,13,1,21,30
"Lufkin ISD",2020-12-13,3903,"7467",6179,NA,NA,2148,1737,8,0,0,0,8,54,19,1,19,53
"Lufkin ISD Total",2020-12-13,3903,"7467",6179,NA,NA,7467,6179,34,14,1,7,40,146,83,5,82,142
"Huntington ISD",2020-12-13,3904,"1573",1556,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huntington ISD",2020-12-13,3904,"1573",1556,NA,NA,226,226,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Huntington ISD",2020-12-13,3904,"1573",1556,NA,NA,476,474,NA,NA,NA,NA,NA,0,2,0,2,0
"Huntington ISD",2020-12-13,3904,"1573",1556,NA,NA,394,389,0,1,0,1,0,0,2,0,2,0
"Huntington ISD",2020-12-13,3904,"1573",1556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Huntington ISD",2020-12-13,3904,"1573",1556,NA,NA,469,459,NA,1,NA,NA,NA,5,2,0,6,1
"Huntington ISD Total",2020-12-13,3904,"1573",1556,NA,NA,1573,1556,NA,2,NA,NA,NA,7,13,0,19,1
"Diboll ISD",2020-12-13,3905,"1675",1524,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diboll ISD",2020-12-13,3905,"1675",1524,NA,NA,341,311,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Diboll ISD",2020-12-13,3905,"1675",1524,NA,NA,117,108,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Diboll ISD",2020-12-13,3905,"1675",1524,NA,NA,315,299,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Diboll ISD",2020-12-13,3905,"1675",1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,2,6
"Diboll ISD",2020-12-13,3905,"1675",1524,NA,NA,400,375,NA,NA,NA,NA,NA,7,2,0,4,5
"Diboll ISD",2020-12-13,3905,"1675",1524,NA,NA,499,429,NA,NA,NA,NA,NA,33,4,3,13,21
"Diboll ISD Total",2020-12-13,3905,"1675",1524,NA,NA,1675,1524,NA,NA,NA,NA,NA,47,19,3,21,42
"Zavalla ISD",2020-12-13,3906,"305",299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zavalla ISD",2020-12-13,3906,"305",299,NA,NA,157,151,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Zavalla ISD",2020-12-13,3906,"305",299,NA,NA,148,148,NA,NA,NA,NA,NA,0,1,1,0,0
"Zavalla ISD",2020-12-13,3906,"305",299,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,1
"Zavalla ISD Total",2020-12-13,3906,"305",299,NA,NA,305,299,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Central ISD",2020-12-13,3907,"1443",1322,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central ISD",2020-12-13,3907,"1443",1322,NA,NA,391,339,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Central ISD",2020-12-13,3907,"1443",1322,NA,NA,615,581,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Central ISD",2020-12-13,3907,"1443",1322,NA,NA,435,400,NA,2,NA,NA,NA,NA,5,NA,NA,NA
"Central ISD Total",2020-12-13,3907,"1443",1322,NA,NA,1443,1322,NA,2,NA,NA,NA,NA,10,NA,NA,NA
"Aransas County ISD",2020-12-13,4901,"3010",2273,NA,NA,709,560,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aransas County ISD",2020-12-13,4901,"3010",2273,NA,NA,675,524,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aransas County ISD",2020-12-13,4901,"3010",2273,NA,NA,704,569,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aransas County ISD",2020-12-13,4901,"3010",2273,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
"Aransas County ISD",2020-12-13,4901,"3010",2273,NA,NA,922,620,NA,NA,NA,NA,NA,9,0,0,0,9
"Aransas County ISD Total",2020-12-13,4901,"3010",2273,NA,NA,3010,2273,NA,NA,NA,NA,NA,22,2,0,2,22
"Archer City ISD",2020-12-13,5901,"502",488,NA,NA,263,256,NA,NA,NA,NA,NA,0,2,0,2,0
"Archer City ISD",2020-12-13,5901,"502",488,NA,NA,239,232,NA,1,NA,NA,NA,12,2,0,5,9
"Archer City ISD Total",2020-12-13,5901,"502",488,NA,NA,502,488,NA,1,NA,NA,NA,12,4,0,7,9
"Holliday ISD",2020-12-13,5902,"1042",978,NA,NA,260,248,NA,0,NA,NA,NA,NA,3,NA,NA,NA
"Holliday ISD",2020-12-13,5902,"1042",978,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
"Holliday ISD",2020-12-13,5902,"1042",978,NA,NA,458,418,NA,NA,NA,NA,NA,9,3,0,0,12
"Holliday ISD",2020-12-13,5902,"1042",978,NA,NA,324,312,6,2,1,0,7,11,3,1,4,9
"Holliday ISD Total",2020-12-13,5902,"1042",978,NA,NA,1042,978,NA,2,NA,NA,NA,NA,10,NA,NA,NA
"Windthorst ISD",2020-12-13,5904,"434",422,NA,NA,117,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Windthorst ISD",2020-12-13,5904,"434",422,NA,NA,100,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Windthorst ISD",2020-12-13,5904,"434",422,NA,NA,217,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Windthorst ISD",2020-12-13,5904,"434",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,3,1,13
"Windthorst ISD Total",2020-12-13,5904,"434",422,NA,NA,434,422,NA,NA,NA,NA,NA,8,9,3,1,13
"Claude ISD",2020-12-13,6902,"316",269,NA,NA,316,269,6,1,0,0,7,22,9,0,5,26
"Claude ISD Total",2020-12-13,6902,"316",269,NA,NA,316,269,6,1,0,0,7,22,9,0,5,26
"Charlotte ISD",2020-12-13,7901,"412",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlotte ISD",2020-12-13,7901,"412",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlotte ISD",2020-12-13,7901,"412",350,NA,NA,182,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlotte ISD",2020-12-13,7901,"412",350,NA,NA,125,105,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"Charlotte ISD",2020-12-13,7901,"412",350,NA,NA,105,85,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Charlotte ISD",2020-12-13,7901,"412",350,NA,NA,NA,NA,0,1,0,0,1,0,1,0,0,1
"Charlotte ISD Total",2020-12-13,7901,"412",350,NA,NA,412,350,NA,1,NA,NA,NA,NA,2,NA,NA,NA
"Jourdanton ISD",2020-12-13,7902,"1562",1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD",2020-12-13,7902,"1562",1326,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD",2020-12-13,7902,"1562",1326,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD",2020-12-13,7902,"1562",1326,NA,NA,764,667,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Jourdanton ISD",2020-12-13,7902,"1562",1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Jourdanton ISD",2020-12-13,7902,"1562",1326,NA,NA,430,354,NA,0,NA,NA,NA,5,4,0,8,1
"Jourdanton ISD",2020-12-13,7902,"1562",1326,NA,NA,361,298,0,1,0,0,1,6,3,1,6,2
"Jourdanton ISD Total",2020-12-13,7902,"1562",1326,NA,NA,1562,1326,NA,1,NA,NA,NA,19,8,2,21,4
"Lytle ISD",2020-12-13,7904,"1766",1191,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lytle ISD",2020-12-13,7904,"1766",1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lytle ISD",2020-12-13,7904,"1766",1191,NA,NA,523,380,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lytle ISD",2020-12-13,7904,"1766",1191,NA,NA,332,271,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Lytle ISD",2020-12-13,7904,"1766",1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,6
"Lytle ISD",2020-12-13,7904,"1766",1191,NA,NA,425,287,NA,0,NA,NA,NA,9,1,0,10,0
"Lytle ISD",2020-12-13,7904,"1766",1191,NA,NA,479,249,NA,1,NA,NA,NA,25,4,0,24,5
"Lytle ISD Total",2020-12-13,7904,"1766",1191,NA,NA,1766,1191,11,1,0,11,1,43,14,0,40,17
"Pleasanton ISD",2020-12-13,7905,"3433",2757,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleasanton ISD",2020-12-13,7905,"3433",2757,NA,NA,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleasanton ISD",2020-12-13,7905,"3433",2757,NA,NA,658,551,NA,1,NA,NA,NA,NA,5,NA,NA,NA
"Pleasanton ISD",2020-12-13,7905,"3433",2757,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2
"Pleasanton ISD",2020-12-13,7905,"3433",2757,NA,NA,821,644,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"Pleasanton ISD",2020-12-13,7905,"3433",2757,NA,NA,969,787,NA,0,NA,NA,NA,9,2,0,11,0
"Pleasanton ISD",2020-12-13,7905,"3433",2757,NA,NA,964,762,6,2,0,8,0,19,4,0,22,1
"Pleasanton ISD Total",2020-12-13,7905,"3433",2757,NA,NA,3433,2757,NA,3,NA,NA,NA,40,14,0,51,3
"Poteet ISD",2020-12-13,7906,"1603",1022,NA,NA,462,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-12-13,7906,"1603",1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-12-13,7906,"1603",1022,NA,NA,371,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-12-13,7906,"1603",1022,NA,NA,510,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-12-13,7906,"1603",1022,NA,NA,260,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteet ISD",2020-12-13,7906,"1603",1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,7,0
"Poteet ISD Total",2020-12-13,7906,"1603",1022,NA,NA,1603,1022,NA,NA,NA,NA,NA,6,1,0,7,0
"Bellville ISD",2020-12-13,8901,"2238",2147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellville ISD",2020-12-13,8901,"2238",2147,NA,NA,541,523,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Bellville ISD",2020-12-13,8901,"2238",2147,NA,NA,292,283,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Bellville ISD",2020-12-13,8901,"2238",2147,NA,NA,512,487,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"Bellville ISD",2020-12-13,8901,"2238",2147,NA,NA,151,150,NA,NA,NA,NA,NA,0,2,0,2,0
"Bellville ISD",2020-12-13,8901,"2238",2147,NA,NA,NA,NA,0,3,0,0,3,2,10,0,3,9
"Bellville ISD",2020-12-13,8901,"2238",2147,NA,NA,742,704,9,3,0,0,12,25,5,2,7,21
"Bellville ISD Total",2020-12-13,8901,"2238",2147,NA,NA,2238,2147,NA,6,NA,NA,NA,38,22,3,23,34
"Sealy ISD",2020-12-13,8902,"2816",2522,NA,NA,675,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sealy ISD",2020-12-13,8902,"2816",2522,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,2
"Sealy ISD",2020-12-13,8902,"2816",2522,NA,NA,640,592,NA,2,NA,NA,NA,8,5,0,8,5
"Sealy ISD",2020-12-13,8902,"2816",2522,NA,NA,682,603,NA,0,NA,NA,NA,9,2,0,5,6
"Sealy ISD",2020-12-13,8902,"2816",2522,NA,NA,819,717,NA,0,NA,NA,NA,10,5,0,10,5
"Sealy ISD Total",2020-12-13,8902,"2816",2522,NA,NA,2816,2522,NA,2,NA,NA,NA,27,15,0,24,18
"Brazos ISD",2020-12-13,8903,"794",647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazos ISD",2020-12-13,8903,"794",647,NA,NA,209,179,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Brazos ISD",2020-12-13,8903,"794",647,NA,NA,332,292,NA,4,NA,NA,NA,11,4,0,12,3
"Brazos ISD",2020-12-13,8903,"794",647,NA,NA,253,176,NA,0,NA,NA,NA,15,5,0,6,14
"Brazos ISD Total",2020-12-13,8903,"794",647,NA,NA,794,647,NA,4,NA,NA,NA,NA,9,NA,NA,NA
"Muleshoe ISD",2020-12-13,9901,"1336",1277,NA,NA,345,333,NA,2,NA,NA,NA,NA,8,NA,NA,NA
"Muleshoe ISD",2020-12-13,9901,"1336",1277,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,9,1
"Muleshoe ISD",2020-12-13,9901,"1336",1277,NA,NA,303,297,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Muleshoe ISD",2020-12-13,9901,"1336",1277,NA,NA,327,308,NA,NA,NA,NA,NA,16,8,2,22,0
"Muleshoe ISD",2020-12-13,9901,"1336",1277,NA,NA,361,339,NA,0,NA,NA,NA,52,6,0,58,0
"Muleshoe ISD Total",2020-12-13,9901,"1336",1277,NA,NA,1336,1277,NA,2,NA,NA,NA,78,38,2,113,1
"Medina ISD",2020-12-13,10901,"281",274,NA,NA,281,274,NA,NA,NA,NA,NA,0,2,0,2,0
"Medina ISD Total",2020-12-13,10901,"281",274,NA,NA,281,274,NA,NA,NA,NA,NA,0,2,0,2,0
"Bandera ISD",2020-12-13,10902,"2216",1959,NA,NA,561,490,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Bandera ISD",2020-12-13,10902,"2216",1959,NA,NA,459,416,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Bandera ISD",2020-12-13,10902,"2216",1959,NA,NA,537,484,NA,NA,NA,NA,NA,9,3,2,8,2
"Bandera ISD",2020-12-13,10902,"2216",1959,NA,NA,659,569,NA,NA,NA,NA,NA,14,3,0,7,10
"Bandera ISD Total",2020-12-13,10902,"2216",1959,NA,NA,2216,1959,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,235,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,140,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,663,476,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,983,531,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,920,524,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,717,528,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,749,494,NA,4,NA,NA,NA,NA,6,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,840,493,NA,0,NA,NA,NA,NA,4,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,801,505,0,1,0,1,0,NA,2,NA,NA,NA
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,643,475,NA,NA,NA,NA,NA,0,1,0,1,0
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,1,3
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,630,418,0,2,0,0,2,0,4,0,0,4
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,862,524,NA,0,NA,NA,NA,6,0,0,4,2
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,1754,1027,0,3,0,1,2,7,3,0,6,4
"Bastrop ISD",2020-12-13,11901,"11441",7055,NA,NA,1504,922,NA,1,NA,NA,NA,14,5,1,8,10
"Bastrop ISD Total",2020-12-13,11901,"11441",7055,NA,NA,11441,7055,7,11,1,7,10,45,33,1,44,33
"Elgin ISD",2020-12-13,11902,"4640",2317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elgin ISD",2020-12-13,11902,"4640",2317,NA,NA,48,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elgin ISD",2020-12-13,11902,"4640",2317,NA,NA,597,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elgin ISD",2020-12-13,11902,"4640",2317,NA,NA,1380,534,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Elgin ISD",2020-12-13,11902,"4640",2317,NA,NA,760,353,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Elgin ISD",2020-12-13,11902,"4640",2317,NA,NA,653,344,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Elgin ISD",2020-12-13,11902,"4640",2317,NA,NA,675,389,NA,1,NA,NA,NA,NA,4,NA,NA,NA
