"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Academy For Academic Excellence",2020-12-06,57814,"321",126,NA,NA,74,54,NA,0,NA,NA,NA,NA,2,NA,NA,NA
"Academy For Academic Excellence",2020-12-06,57814,"321",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,8,0,0
"Academy For Academic Excellence Total",2020-12-06,57814,"321",126,NA,NA,321,126,NA,0,NA,NA,NA,NA,3,NA,NA,NA
"Academy ISD",2020-12-06,14901,"1727",1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy ISD",2020-12-06,14901,"1727",1549,NA,NA,423,385,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Academy ISD",2020-12-06,14901,"1727",1549,NA,NA,385,359,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Academy ISD",2020-12-06,14901,"1727",1549,NA,NA,431,394,NA,2,NA,NA,NA,NA,2,NA,NA,NA
"Academy ISD",2020-12-06,14901,"1727",1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
"Academy ISD",2020-12-06,14901,"1727",1549,NA,NA,488,411,NA,NA,NA,NA,NA,5,5,0,0,10
"Academy ISD Total",2020-12-06,14901,"1727",1549,NA,NA,1727,1549,NA,2,NA,NA,NA,11,10,0,0,21
"Academy Of Accelerated Learning Inc",2020-12-06,101810,"852",342,NA,NA,852,342,NA,NA,NA,NA,NA,0,2,0,2,0
"Academy Of Accelerated Learning Inc Total",2020-12-06,101810,"852",342,NA,NA,852,342,NA,NA,NA,NA,NA,0,2,0,2,0
"Academy Of Dallas",2020-12-06,57810,"341",148,NA,NA,341,148,NA,NA,NA,NA,NA,0,3,0,2,1
"Academy Of Dallas Total",2020-12-06,57810,"341",148,NA,NA,341,148,NA,NA,NA,NA,NA,0,3,0,2,1
"Accelerated Intermediate Academy",2020-12-06,101849,"233",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy",2020-12-06,101849,"233",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy",2020-12-06,101849,"233",85,NA,NA,233,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy",2020-12-06,101849,"233",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy Total",2020-12-06,101849,"233",85,NA,NA,233,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian ISD",2020-12-06,180903,"122",120,NA,NA,122,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian ISD Total",2020-12-06,180903,"122",120,NA,NA,122,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advantage Academy",2020-12-06,57806,"1208",472,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,3,4
"Advantage Academy",2020-12-06,57806,"1208",472,NA,NA,1208,472,NA,2,NA,NA,NA,10,5,1,8,6
"Advantage Academy Total",2020-12-06,57806,"1208",472,NA,NA,1208,472,NA,2,NA,NA,NA,12,10,1,11,10
"Agua Dulce ISD",2020-12-06,178901,"445",311,NA,NA,264,203,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Agua Dulce ISD",2020-12-06,178901,"445",311,NA,NA,181,108,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Agua Dulce ISD",2020-12-06,178901,"445",311,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,0,8
"Agua Dulce ISD Total",2020-12-06,178901,"445",311,NA,NA,445,311,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Alamo Heights ISD",2020-12-06,15901,"4778",3519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alamo Heights ISD",2020-12-06,15901,"4778",3519,NA,NA,382,294,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Alamo Heights ISD",2020-12-06,15901,"4778",3519,NA,NA,NA,NA,0,1,0,0,1,0,2,0,1,1
"Alamo Heights ISD",2020-12-06,15901,"4778",3519,NA,NA,751,565,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Alamo Heights ISD",2020-12-06,15901,"4778",3519,NA,NA,1119,787,5,1,0,6,0,12,5,1,16,0
"Alamo Heights ISD",2020-12-06,15901,"4778",3519,NA,NA,857,646,NA,1,NA,NA,NA,14,5,1,18,0
"Alamo Heights ISD",2020-12-06,15901,"4778",3519,NA,NA,1669,1227,6,2,1,6,1,22,7,4,24,1
"Alamo Heights ISD Total",2020-12-06,15901,"4778",3519,NA,NA,4778,3519,16,5,1,18,2,54,19,6,65,2
"Alba-Golden ISD",2020-12-06,250906,"853",815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alba-Golden ISD",2020-12-06,250906,"853",815,NA,NA,415,409,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Alba-Golden ISD",2020-12-06,250906,"853",815,NA,NA,438,406,0,1,0,0,1,7,4,0,0,11
"Alba-Golden ISD Total",2020-12-06,250906,"853",815,NA,NA,853,815,0,1,0,0,1,NA,5,NA,NA,NA
"Albany ISD",2020-12-06,209901,"503",485,NA,NA,275,262,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Albany ISD",2020-12-06,209901,"503",485,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,2
"Albany ISD",2020-12-06,209901,"503",485,NA,NA,228,223,NA,NA,NA,NA,NA,14,4,0,1,17
"Albany ISD Total",2020-12-06,209901,"503",485,NA,NA,503,485,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,616,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,554,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,185,50,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,253,119,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,908,313,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1185,489,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1258,507,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,427,164,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,561,285,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,537,294,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,418,182,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,439,214,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,574,256,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,455,269,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,483,269,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,579,324,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,656,323,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,723,280,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,603,276,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,845,347,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,668,377,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,610,333,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,642,329,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,609,301,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,717,379,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,2664,1006,NA,2,NA,NA,NA,NA,12,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1338,534,NA,1,NA,NA,NA,NA,5,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1221,559,NA,1,NA,NA,NA,NA,9,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1440,581,NA,1,NA,NA,NA,NA,5,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,101,36,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,651,308,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,461,218,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,844,386,NA,3,NA,NA,NA,NA,4,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,622,314,NA,2,NA,NA,NA,NA,4,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,796,333,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,606,241,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,497,256,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,502,214,0,2,0,0,2,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,994,409,0,3,0,0,3,NA,4,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1156,470,0,1,0,0,1,NA,3,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1091,450,0,1,0,0,1,NA,4,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,778,328,0,1,0,0,1,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,434,214,0,2,0,0,2,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,544,243,0,1,0,0,1,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,609,320,0,2,0,0,2,NA,4,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,710,305,0,2,0,0,2,NA,7,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,433,250,0,1,0,0,1,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,332,193,0,1,0,0,1,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,610,266,0,1,0,0,1,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,503,272,0,1,0,0,1,NA,4,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,672,344,0,1,0,0,1,NA,2,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,563,297,0,2,0,0,2,NA,4,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,705,457,0,1,0,0,1,NA,1,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,610,357,0,3,0,0,3,NA,7,NA,NA,NA
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,420,80,NA,NA,NA,NA,NA,0,1,0,0,1
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1075,375,NA,NA,NA,NA,NA,0,3,0,0,3
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,514,241,NA,NA,NA,NA,NA,0,2,0,0,2
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,581,334,NA,NA,NA,NA,NA,0,1,0,0,1
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,744,372,NA,NA,NA,NA,NA,0,4,0,0,4
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1234,521,0,1,0,0,1,0,5,0,0,5
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,739,407,0,3,0,0,3,0,3,0,0,3
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,393,222,0,2,0,0,2,0,3,0,0,3
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,770,345,0,3,0,0,3,0,5,0,0,5
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,531,323,0,1,0,0,1,0,2,0,0,2
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,550,263,0,1,0,0,1,0,1,0,0,1
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,491,237,0,4,0,0,4,0,6,0,0,6
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,372,167,0,1,0,0,1,0,1,0,0,1
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,501,199,0,3,0,0,3,0,3,0,0,3
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,681,362,0,2,0,0,2,0,6,0,0,6
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1139,461,NA,1,NA,NA,NA,5,3,0,0,8
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,795,286,NA,0,NA,NA,NA,6,1,0,0,7
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,3303,1364,NA,3,NA,NA,NA,6,8,0,1,13
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,1356,536,NA,1,NA,NA,NA,6,2,1,1,6
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,2792,986,NA,4,NA,NA,NA,7,12,0,0,19
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,2863,1017,NA,1,NA,NA,NA,9,9,0,0,18
"Aldine ISD",2020-12-06,101902,"63449",27915,NA,NA,3610,1377,NA,0,NA,NA,NA,9,6,0,1,14
"Aldine ISD Total",2020-12-06,101902,"63449",27915,NA,NA,63449,27915,40,68,0,0,108,158,217,1,3,371
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,644,591,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,568,511,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,668,595,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,693,621,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,541,514,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,1,7,9
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,575,543,NA,NA,NA,NA,NA,5,0,0,0,5
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,1089,996,NA,NA,NA,NA,NA,9,0,0,5,4
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,510,477,NA,NA,NA,NA,NA,20,0,0,14,6
"Aledo ISD",2020-12-06,184907,"6716",6100,NA,NA,1428,1252,NA,NA,NA,NA,NA,50,2,0,30,22
"Aledo ISD Total",2020-12-06,184907,"6716",6100,NA,NA,6716,6100,NA,NA,NA,NA,NA,101,18,1,60,58
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,403,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,741,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,444,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,216,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,510,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,1276,0,0,1,0,1,0,NA,3,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,323,0,0,1,0,1,0,NA,3,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,212,0,0,1,0,1,0,NA,1,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,506,0,0,1,0,1,0,NA,2,NA,NA,NA
"Alice ISD",2020-12-06,125901,"4671",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,5,2
"Alice ISD Total",2020-12-06,125901,"4671",0,NA,NA,4671,0,0,4,0,4,0,NA,23,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,402,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,1228,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,674,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,599,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,776,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,529,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,643,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,672,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-12-06,101903,"43233",14447,NA,NA,972,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
