"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Lufkin ISD Total",2020-11-22,3903,"7467",6179,NA,NA,7467,6179,NA,NA,NA,NA,NA,72,29,4,36,61
"Huntington ISD",2020-11-22,3904,"1573",1556,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huntington ISD",2020-11-22,3904,"1573",1556,NA,NA,469,459,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Huntington ISD",2020-11-22,3904,"1573",1556,NA,NA,226,226,0,1,0,1,0,NA,2,NA,NA,NA
"Huntington ISD",2020-11-22,3904,"1573",1556,NA,NA,394,389,NA,NA,NA,NA,NA,0,1,0,1,0
"Huntington ISD",2020-11-22,3904,"1573",1556,NA,NA,476,474,NA,NA,NA,NA,NA,0,2,0,2,0
"Huntington ISD",2020-11-22,3904,"1573",1556,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2,0
"Huntington ISD Total",2020-11-22,3904,"1573",1556,NA,NA,1573,1556,0,1,0,1,0,5,6,0,11,0
"Diboll ISD",2020-11-22,3905,"1675",1524,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diboll ISD",2020-11-22,3905,"1675",1524,NA,NA,400,375,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Diboll ISD",2020-11-22,3905,"1675",1524,NA,NA,341,311,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Diboll ISD",2020-11-22,3905,"1675",1524,NA,NA,117,108,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Diboll ISD",2020-11-22,3905,"1675",1524,NA,NA,315,299,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Diboll ISD",2020-11-22,3905,"1675",1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,2,4
"Diboll ISD",2020-11-22,3905,"1675",1524,NA,NA,499,429,NA,NA,NA,NA,NA,8,0,0,4,4
"Diboll ISD Total",2020-11-22,3905,"1675",1524,NA,NA,1675,1524,NA,NA,NA,NA,NA,15,8,0,8,15
"Zavalla ISD",2020-11-22,3906,"305",299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zavalla ISD",2020-11-22,3906,"305",299,NA,NA,157,151,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Zavalla ISD",2020-11-22,3906,"305",299,NA,NA,148,148,NA,NA,NA,NA,NA,0,1,1,0,0
"Zavalla ISD",2020-11-22,3906,"305",299,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,1
"Zavalla ISD Total",2020-11-22,3906,"305",299,NA,NA,305,299,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Central ISD",2020-11-22,3907,"1443",1322,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central ISD",2020-11-22,3907,"1443",1322,NA,NA,391,339,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Central ISD",2020-11-22,3907,"1443",1322,NA,NA,435,400,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Central ISD",2020-11-22,3907,"1443",1322,NA,NA,615,581,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Central ISD Total",2020-11-22,3907,"1443",1322,NA,NA,1443,1322,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"Aransas County ISD",2020-11-22,4901,"3010",2273,NA,NA,709,560,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aransas County ISD",2020-11-22,4901,"3010",2273,NA,NA,675,524,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Aransas County ISD",2020-11-22,4901,"3010",2273,NA,NA,704,569,NA,NA,NA,NA,NA,5,1,0,2,4
"Aransas County ISD",2020-11-22,4901,"3010",2273,NA,NA,922,620,NA,0,NA,NA,NA,8,0,0,0,8
"Aransas County ISD Total",2020-11-22,4901,"3010",2273,NA,NA,3010,2273,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"Archer City ISD",2020-11-22,5901,"502",488,NA,NA,239,232,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Archer City ISD",2020-11-22,5901,"502",488,NA,NA,263,256,NA,NA,NA,NA,NA,0,2,0,2,0
"Archer City ISD Total",2020-11-22,5901,"502",488,NA,NA,502,488,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Holliday ISD",2020-11-22,5902,"1042",978,NA,NA,324,312,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Holliday ISD",2020-11-22,5902,"1042",978,NA,NA,260,248,NA,NA,NA,NA,NA,0,3,0,2,1
"Holliday ISD",2020-11-22,5902,"1042",978,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
"Holliday ISD",2020-11-22,5902,"1042",978,NA,NA,458,418,NA,NA,NA,NA,NA,9,3,0,0,12
"Holliday ISD Total",2020-11-22,5902,"1042",978,NA,NA,1042,978,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"Windthorst ISD",2020-11-22,5904,"434",422,NA,NA,117,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Windthorst ISD",2020-11-22,5904,"434",422,NA,NA,100,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
