County,County2,Date,sample_location,key_plot_id,population_served,normalized_levels_15d,normalized_levels_pct_difference_15d,pct_samples_with_detectable_levels_15d
Bexar,,2022-08-05,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.4,103.0,100.0
Bexar,,2022-08-06,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,71.4,53.0,100.0
Bexar,,2022-08-06,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,81.4,0.0,100.0
Bexar,,2022-08-06,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.4,103.0,100.0
Bexar,,2022-08-07,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,66.0,-1.0,100.0
Bexar,,2022-08-07,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,74.8,-29.0,100.0
Bexar,,2022-08-07,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,85.6,67.0,100.0
Bexar,,2022-08-08,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,66.0,18.0,100.0
Bexar,,2022-08-08,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,74.8,-21.0,100.0
Bexar,,2022-08-08,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,85.6,0.0,100.0
Bexar,,2022-08-09,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,59.2,-16.0,100.0
Bexar,,2022-08-09,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,74.4,7.0,100.0
Bexar,,2022-08-09,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,90.4,-15.0,100.0
Bexar,,2022-08-10,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,59.2,-60.0,100.0
Bexar,,2022-08-10,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,74.4,3.0,100.0
Bexar,,2022-08-10,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,90.4,-36.0,100.0
Bexar,,2022-08-11,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,59.2,-60.0,100.0
Bexar,,2022-08-11,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,74.4,3.0,100.0
Bexar,,2022-08-11,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,90.4,-36.0,100.0
Bexar,,2022-08-12,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,59.2,-60.0,100.0
Bexar,,2022-08-12,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,74.4,3.0,100.0
Bexar,,2022-08-12,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,90.4,-36.0,100.0
Bexar,,2022-08-13,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,59.2,-60.0,100.0
Bexar,,2022-08-13,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,74.4,3.0,100.0
Bexar,,2022-08-13,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,90.4,-36.0,100.0
