County,Date,normalized_levels_15d,normalized_levels_pct_difference_15d,pct_samples_with_detectable_levels_15d
Dallas,2022-09-13,68.36661876396128,-49.463886820551004,100.0
Dallas,2022-09-14,66.57428816083396,-50.411764705882355,100.0
Dallas,2022-09-15,66.81665599404319,-50.99627699180938,100.0
Dallas,2022-09-16,66.76349143708116,-50.79374534623976,100.0
Dallas,2022-09-17,66.76349143708116,-51.166046165301566,100.0
Dallas,2022-09-18,66.7519962769918,-50.127326880119135,100.0
Dallas,2022-09-19,63.879918838421446,-41.899478778853315,100.0
Dallas,2022-09-20,64.00193373045421,-42.20253164556962,100.0
Dallas,2022-09-21,63.64028071481757,8375.069247952346,100.0
Dallas,2022-09-22,63.373122114668654,8375.280714817573,100.0
Dallas,2022-09-23,62.7987364110201,8374.982874162322,100.0
Dallas,2022-09-24,62.7987364110201,8373.84884586746,100.0
Dallas,2022-09-25,44.62669173492181,-29.130305286671632,100.0
Dallas,2022-09-26,44.79683320923306,-43.75130305286672,100.0
Dallas,2022-09-27,41.26802010424423,-48.13402829486225,100.0
Dallas,2022-09-28,39.19780416976917,33.17572598659717,100.0
Dallas,2022-09-29,39.079113179448996,39.70141474311244,100.0
Dallas,2022-09-30,38.73868131049888,38.70067014147431,100.0
Dallas,2022-10-01,38.73868131049888,38.328369322412506,100.0
Dallas,2022-10-02,28.636781087118393,-20.217423678332093,100.0
Dallas,2022-10-03,27.85100297840655,-16.5204765450484,100.0
Dallas,2022-10-04,26.55681310498883,-21.476545048399107,100.0
Dallas,2022-10-05,26.40789277736411,-20.262844378257633,100.0
Dallas,2022-10-06,26.3089374534624,-20.04988830975428,100.0
Dallas,2022-10-07,26.14936932241251,-19.134028294862247,100.0
Dallas,2022-10-08,26.14936932241251,-19.35740878629933,100.0
Dallas,2022-10-09,24.31563440059568,-36.79225614296352,100.0
Dallas,2022-10-10,24.06165078183172,-19.235294117647058,100.0
Dallas,2022-10-11,22.619211466865227,-12.067014147431124,100.0
Dallas,2022-10-12,23.47952419955324,9.159344750558452,100.0
Dallas,2022-10-13,23.657629932985852,23.0409530900968,100.0
Dallas,2022-10-14,23.62568652271035,21.986597170513775,100.0
Dallas,2022-10-15,23.62568652271035,21.614296351451973,100.0
Dallas,2022-10-16,23.43671109456441,18.263588979895754,100.0
Dallas,2022-10-17,24.064335815338794,4.6530156366344,100.0
Dallas,2022-10-18,22.749494053064957,-5.738334858188472,100.0
Dallas,2022-10-19,24.318538346984365,27.156366344005956,100.0
Dallas,2022-10-20,24.298733432613552,27.300074460163813,100.0
Dallas,2022-10-21,24.288085629188384,27.949367088607595,100.0
Dallas,2022-10-22,24.288085629188384,28.023827252419956,100.0
Dallas,2022-10-23,23.136708860759494,2.154132539091586,100.0
Dallas,2022-10-24,22.43335815338794,-22.624720774385704,100.0
Dallas,2022-10-25,26.357485480268057,18.33879374534624,100.0
Dallas,2022-10-26,26.57557930007446,54.25986597170514,100.0
Dallas,2022-10-27,26.733880119136263,56.28145941921072,100.0
Dallas,2022-10-28,26.6594199553239,56.638123603871925,100.0
Dallas,2022-10-29,26.6594199553239,56.638123603871925,100.0
Dallas,2022-10-30,26.964852568875653,26.609084139985107,100.0
Dallas,2022-10-31,26.986073715562174,37.187639612807146,100.0
Dallas,2022-11-01,30.699256142963513,73.22040208488458,100.0
Dallas,2022-11-02,30.68332166790767,159.15264333581533,100.0
Dallas,2022-11-03,30.772374534623975,185.15562174236783,100.0
Dallas,2022-11-04,31.07021518987342,185.37900223380493,100.0
Dallas,2022-11-05,31.07021518987342,185.602382725242,100.0
Dallas,2022-11-06,31.606328369322412,44.20253164556962,100.0
Dallas,2022-11-07,30.438867460908416,-27.79523454951601,100.0
Dallas,2022-11-08,32.32586075949367,-26.236038719285183,100.0
Dallas,2022-11-09,33.00665003723008,-25.07669396872673,100.0
Dallas,2022-11-10,33.24901787043932,-32.65524944154877,100.0
Dallas,2022-11-11,33.49369396872673,-31.883097542814593,100.0
Dallas,2022-11-12,33.49369396872673,-31.808637379002235,100.0
Dallas,2022-11-13,31.321318689501116,-29.601638123603873,100.0
Dallas,2022-11-14,32.86904765450484,-24.107222635889798,100.0
Dallas,2022-11-15,35.56078257632167,0.8049143708116158,100.0
Dallas,2022-11-16,35.935689501116904,117.22784810126582,100.0
Dallas,2022-11-17,36.18955249441549,156.71779597915116,100.0
Dallas,2022-11-18,36.39171183916605,156.5204765450484,100.0
Dallas,2022-11-19,36.39171183916605,156.59493670886076,100.0
Dallas,2022-11-20,38.302405807892775,166.403574087863,100.0
Dallas,2022-11-21,38.49920402084884,124.44527177959792,100.0
Dallas,2022-11-22,40.78369173492182,55.10647803425167,100.0
Dallas,2022-11-23,40.68793596425912,92.48548026805659,100.0
Dallas,2022-11-24,40.68793596425912,79.90171258376769,100.0
Dallas,2022-11-25,41.09210573343261,80.04542069992554,100.0
Dallas,2022-11-26,41.09210573343261,80.04542069992554,100.0
Dallas,2022-11-27,48.66053611317945,95.41176470588235,100.0
Dallas,2022-11-28,52.8276991809382,87.13626209977662,100.0
Dallas,2022-11-29,60.60134028294862,127.34475055845122,100.0
Dallas,2022-11-30,61.43344,176.88,100.0
Dallas,2022-12-01,61.38036559940432,182.37006701414742,100.0
Dallas,2022-12-02,62.02921146686523,181.88533134772896,100.0
Dallas,2022-12-03,62.02921146686523,181.9597915115413,100.0
Dallas,2022-12-04,64.21459419210723,69.44527177959792,100.0
Dallas,2022-12-05,64.77840655249442,60.85107967237528,100.0
Dallas,2022-12-06,65.07845793000745,17.489203276247206,100.0
Dallas,2022-12-07,67.60206180193596,-31.484735666418466,100.0
