Date,zipcode,population_served,positivity_rate,viral_load_log10,viral_load_pct_vs_baseline
2020-11-02,77401,19283,0.0290640449854704,12.4144726903812,31
2020-11-09,77401,19283,0.0326504931778257,12.5377828926433,41
2020-11-16,77401,19283,0.0376394721030342,12.6787915690725,57
2020-11-23,77401,19283,0.0438314242899274,12.8150056084414,78
2020-11-30,77401,19283,0.0509266274051708,12.9239318995229,100
2020-12-07,77401,19283,0.0586253591154298,12.9830773310894,115
2020-12-14,77401,19283,0.0666278970873702,12.9766345229348,113
2020-12-21,77401,19283,0.0746345189876573,12.9191639844464,99
2020-12-28,77401,19283,0.0822741292206017,12.8338440069783,82
2021-01-04,77401,19283,0.0888901391410938,12.74385345916,66
2021-01-11,77401,19283,0.093754586841669,12.6723712096209,56
2021-01-18,77401,19283,0.0961395104148628,12.6422173293019,52
2021-01-25,77401,19283,0.0953169479532107,12.6600275371129,55
2021-02-01,77401,19283,0.090558937549248,12.7100198365606,61
2021-02-08,77401,19283,0.0815435847601938,12.7747651287035,71
2021-02-15,77401,19283,0.0695732650020015,12.8368343146005,82
2021-02-22,77401,19283,0.0563564211553082,12.8787982953103,90
2021-03-01,77401,19283,0.043601496100751,12.883510538301,91
2021-03-08,77401,19283,0.033016932718967,12.8474660100255,84
2021-03-15,77401,19283,0.0263111738905932,12.7865918248881,73
2021-03-22,77401,19283,0.0246016168133884,12.7183014333009,63
2021-03-29,77401,19283,0.0266414759535984,12.6600082856761,55
2021-04-05,77401,19283,0.0305929200945906,12.6291258324259,51
2021-04-12,77401,19283,0.0346181180197325,12.6380113492293,52
2021-04-19,77401,19283,0.0368792385123917,12.6737467392171,56
2021-04-26,77401,19283,0.0355384503559356,12.7155320976497,62
2021-05-03,77401,19283,0.0294182690623777,12.742564931026,66
2021-05-10,77401,19283,0.0199825970583156,12.734042745845,65
2021-05-17,77401,19283,0.009355683498993,12.6695303619466,56
2021-05-24,77401,19283,-0.0003382224603462,12.5490411873297,42
2021-05-31,77401,19283,-0.0069748716644586,12.4034018904632,30
2021-06-07,77401,19283,-0.0084300149581005,12.2659892661029,22
2021-06-14,77401,19283,-0.0032680341604749,12.1701801090045,18
2021-06-21,77401,19283,0.007192165011428,12.1493512139241,17
2021-06-28,77401,19283,0.0209430458661714,12.228794368337,20
2021-07-05,77401,19283,0.0359770717123183,12.3907017524574,29
2021-07-12,77401,19283,0.0502867058584319,12.602961484195,48
2021-07-19,77401,19283,0.0618644116130752,12.8334522515045,82
2021-07-26,77401,19283,0.0692035816748122,13.0500527423411,134
2021-08-02,77401,19283,0.0728013263022105,13.2208705183531,199
2021-08-09,77401,19283,0.0736556851438384,13.3288529363386,255
2021-08-16,77401,19283,0.0727646978482644,13.3806094340072,287
2021-08-23,77401,19283,0.0711264040640568,13.3848640882861,290
2021-08-30,77401,19283,0.069738843439784,13.3503409761023,268
2021-09-06,77401,19283,0.069231419789415,13.2857641743832,231
2021-09-13,77401,19283,0.0687589935885205,13.1996059730042,189
2021-09-20,77401,19283,0.0671077894780716,13.0989066855238,150
2021-09-27,77401,19283,0.0630640320990397,12.9902010828745,117
2021-10-04,77401,19283,0.0554139460923959,12.8800233603474,91
2021-10-11,77401,19283,0.0429437560991116,12.7749077132337,71
2021-10-18,77401,19283,0.0253618241360053,12.6813849210526,57
2021-10-25,77401,19283,0.0060650617232854,12.6046706330421,48
2021-11-01,77401,19283,-0.0106274822429919,12.546682953159,42
2021-11-08,77401,19283,-0.0203967588667709,12.5088314554745,39
2021-11-15,77401,19283,-0.0189237192519957,12.49252571406,37
2021-11-22,77401,19283,-0.0018893145026103,12.4991753029867,38
2021-11-29,77401,19283,0.033060516040252,12.529094050183,40
2021-12-06,77401,19283,0.080419880086703,12.5720252525381,45
2021-12-13,77401,19283,0.132717897109665,12.6117980015376,49
2021-12-20,77401,19283,0.18248368658206,12.632176537046,51
2021-12-27,77401,19283,0.222246367976811,12.6169250989281,50
2022-01-03,77401,19283,0.24453506076684,12.5498235843406,42
2022-01-10,77401,19283,0.244139544519431,12.4234427001153,32
2022-01-17,77401,19283,0.224892239179312,12.2537742564726,21
2022-01-24,77401,19283,0.192886224785572,12.0606680387759,14
2022-01-31,77401,19283,0.1542145813773,11.8639738323887,9
2022-02-07,77401,19283,0.114970388993587,11.6835414226743,6
2022-02-14,77401,19283,0.0812467276735207,11.5384012795688,4
2022-02-21,77401,19283,0.0578165246792324,11.4390784451375,3
2022-02-28,77401,19283,0.0441720961650194,11.3910586868106,3
2022-03-07,77401,19283,0.03848560550822,11.3997618008906,3
2022-03-14,77401,19283,0.038929216086173,11.4706075836803,4
2022-03-21,77401,19283,0.043675091276217,11.609007841227,5
2022-03-28,77401,19283,0.0508953944556905,11.8133571382852,8
2022-04-04,77401,19283,0.0591648171967128,12.0621733312368,14
2022-04-11,77401,19283,0.0686681638505243,12.3304793179681,26
