"TSA","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"D - Big Country",2020-06-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-20,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D - Big Country",2020-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E - Greater Dallas-Fort Worth",2020-06-03,NA,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-04,NA,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-05,NA,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-06,NA,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-07,NA,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-08,NA,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-09,483.285714285714,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-10,493.714285714286,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-11,508.714285714286,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-12,522.285714285714,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-13,572.285714285714,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-14,588.428571428571,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-15,598.285714285714,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-16,597.714285714286,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-17,623.714285714286,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-18,661,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-19,695.714285714286,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-20,684.714285714286,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-21,724,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-22,797.571428571429,NA,NA,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-23,821.747252747267,798.32878173658,845.165723757953,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-24,845.923076923105,812.804357609751,879.041796236459,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-25,870.098901098943,829.536919472855,910.660882725031,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-26,894.274725274781,847.437783253408,941.111667296154,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-27,918.450549450619,866.085256341616,970.815842559622,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-28,942.626373626457,885.263069094116,999.989678158799,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-29,966.802197802295,904.842747422643,1028.76164818195,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-06-30,990.978021978133,924.740583351426,1057.21546060484,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-07-01,1015.15384615397,944.898433121912,1085.40925918603,0,0,0,0,1,1,0
"E - Greater Dallas-Fort Worth",2020-07-02,1039.32967032981,965.273962617415,1113.3853780422,0,0,0,0,1,1,0
"F - Northeast Texas",2020-06-03,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-04,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-05,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-06,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-07,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-09,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-11,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-13,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-16,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-19,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
