"Metro_Area","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"Metro",2020-06-18,2305.42857142857,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-19,2483.14285714286,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-20,2773.85714285714,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-21,3053.57142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-22,3317.57142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-23,3633.72572663657,3584.2655810544,3683.18587221874,1,2,0,0,1,2,0
"Metro",2020-06-24,3944.23850112916,3868.54598733478,4019.93101492355,1,2,0,0,1,2,0
"Metro",2020-06-25,4252.22432267085,4137.85687234679,4366.59177299492,1,2,0,0,1,2,0
"Metro",2020-06-26,4559.0782706798,4390.83007336787,4727.32646799174,1,2,0,0,1,2,0
"Metro",2020-06-27,4865.42522955243,4629.63367923598,5101.21677986889,1,2,0,0,1,2,0
"Metro",2020-06-28,5171.54509769724,4856.56191718262,5486.52827821186,1,2,0,0,1,2,0
"Metro",2020-06-29,5477.56324729432,5073.35097003746,5881.77552455118,1,2,0,0,1,2,0
"Metro",2020-06-30,5783.53583508863,5281.24599927183,6285.82567090543,1,2,0,0,1,2,0
"Metro",2020-07-01,6089.48801482641,5481.15089754398,6697.82513210884,1,2,0,0,1,2,0
"Metro",2020-07-02,6395.43105338131,5673.7419406148,7117.12016614783,1,2,0,0,1,2,0
"Non-Metro",2020-05-01,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-02,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-03,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-04,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-05,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-06,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-07,118.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-08,115,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-09,109.714285714286,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-10,112.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-11,109.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-12,109.142857142857,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-13,124,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-14,129,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-15,132.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-16,139.285714285714,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-17,129.714285714286,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-18,135.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-19,137.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-20,140.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-21,136.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-22,134.142857142857,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-23,135,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-24,131.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-25,129.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-26,119.142857142857,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-27,141,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-28,186,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-29,191.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-30,205.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-05-31,314.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-01,312.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-02,352,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-03,342.714285714286,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-04,314.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-05,312.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-06,301.285714285714,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-07,190.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-08,186.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-09,160.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-10,152.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-11,138.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-12,144.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-13,155.142857142857,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-14,160,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-15,164.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-16,296.714285714286,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-17,299.285714285714,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-18,318.285714285714,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-19,336.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-20,344.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-21,353.714285714286,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-22,379,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-23,379,344.822037611786,413.177962388214,0,0,0,0,1,1,0
"Non-Metro",2020-06-24,379,330.665062056311,427.334937943689,0,0,0,0,1,1,0
"Non-Metro",2020-06-25,379,319.802032644436,438.197967355564,0,0,0,0,1,1,0
"Non-Metro",2020-06-26,379,310.644075223573,447.355924776427,0,0,0,0,1,1,0
"Non-Metro",2020-06-27,379,302.575752767523,455.424247232477,0,0,0,0,1,1,0
"Non-Metro",2020-06-28,379,295.281431700841,462.718568299159,0,0,0,0,1,1,0
"Non-Metro",2020-06-29,379,288.573611201867,469.426388798133,0,0,0,0,1,1,0
"Non-Metro",2020-06-30,379,282.330124112621,475.669875887379,0,0,0,0,1,1,0
"Non-Metro",2020-07-01,379,276.466112835359,481.533887164641,0,0,0,0,1,1,0
"Non-Metro",2020-07-02,379,270.919793069677,487.080206930323,0,0,0,0,1,1,0
