County,Date,cases_cumulative,deaths_cumulative
Travis,2020-07-25,19401,241
Travis,2020-07-26,19480,241
Travis,2020-07-27,19720,252
Travis,2020-07-28,19952,255
Travis,2020-07-29,20187,264
Travis,2020-07-30,20465,266
Travis,2020-07-31,20745,274
Travis,2020-08-01,20967,276
Travis,2020-08-02,21214,279
Travis,2020-08-03,21549,285
Travis,2020-08-04,21822,287
Travis,2020-08-05,22024,287
Travis,2020-08-06,22256,288
Travis,2020-08-07,22480,295
Travis,2020-08-08,22602,298
Travis,2020-08-09,22724,298
Travis,2020-08-10,22953,303
Travis,2020-08-11,23249,307
Travis,2020-08-12,23421,313
Travis,2020-08-13,23718,328
Travis,2020-08-14,23870,332
Travis,2020-08-15,24008,335
Travis,2020-08-16,24144,335
Travis,2020-08-17,24409,335
Travis,2020-08-18,24759,337
Travis,2020-08-19,25062,346
Travis,2020-08-20,25353,346
Travis,2020-08-21,25559,353
Travis,2020-08-22,25640,357
Travis,2020-08-23,25736,357
Travis,2020-08-24,25890,362
Travis,2020-08-25,26017,366
Travis,2020-08-26,26117,371
Travis,2020-08-27,26239,374
Travis,2020-08-28,26307,377
Travis,2020-08-29,26316,380
Travis,2020-08-30,26434,380
Travis,2020-08-31,26516,385
Travis,2020-09-01,26563,385
Travis,2020-09-02,26622,388
Travis,2020-09-03,26726,389
Travis,2020-09-04,26854,393
Travis,2020-09-05,26931,394
Travis,2020-09-06,26969,394
Travis,2020-09-07,27038,395
Travis,2020-09-08,27124,399
Travis,2020-09-09,27206,399
Travis,2020-09-10,27424,402
Travis,2020-09-11,27525,402
Travis,2020-09-12,27578,403
Travis,2020-09-13,27701,403
Travis,2020-09-14,27776,407
Travis,2020-09-15,27961,412
Travis,2020-09-16,28103,413
Travis,2020-09-17,28212,413
Travis,2020-09-18,28375,414
Travis,2020-09-19,28438,414
Travis,2020-09-20,28441,414
Travis,2020-09-21,28596,415
Travis,2020-09-22,28643,415
Travis,2020-09-23,28745,417
Travis,2020-09-24,28904,417
Travis,2020-09-25,29073,420
Travis,2020-09-26,29130,422
Travis,2020-09-27,29252,426
Travis,2020-09-28,29343,426
Travis,2020-09-29,29421,426
Travis,2020-09-30,29514,427
Travis,2020-10-01,29576,429
Travis,2020-10-02,29647,429
Travis,2020-10-03,29750,429
Travis,2020-10-04,29799,429
Travis,2020-10-05,29857,430
Travis,2020-10-06,29952,434
Travis,2020-10-07,29997,436
Travis,2020-10-08,30075,437
Travis,2020-10-09,30165,441
Travis,2020-10-10,30199,441
Travis,2020-10-11,30265,441
Travis,2020-10-12,30398,442
Travis,2020-10-13,0,442
Travis,2020-10-14,30601,442
Travis,2020-10-15,30688,442
Travis,2020-10-16,30797,443
Travis,2020-10-17,30908,445
Travis,2020-10-18,30956,445
Travis,2020-10-19,31053,446
Travis,2020-10-20,31159,448
Travis,2020-10-21,31228,448
Travis,2020-10-22,31327,448
Travis,2020-10-23,31411,448
Travis,2020-10-24,31493,449
Travis,2020-10-25,31551,449
Travis,2020-10-26,31653,449
Travis,2020-10-27,31775,449
Travis,2020-10-28,31851,449
Travis,2020-10-29,31943,450
Travis,2020-10-30,32024,451
Travis,2020-10-31,32143,452
Travis,2020-11-01,32220,452
Travis,2020-11-02,32303,454
Travis,2020-11-03,32451,456
Travis,2020-11-04,32605,456
Travis,2020-11-05,32748,456
Travis,2020-11-06,32928,457
Travis,2020-11-07,33016,457
Travis,2020-11-08,33168,457
Travis,2020-11-09,33382,457
