"TSA","Date","Rt","lower","upper"
"T - Laredo",2020-04-23,0.929326479849633,0.417910447761194,1.46268656716418
"T - Laredo",2020-04-24,0.913693211805603,0.358974358974359,1.43589743589744
"T - Laredo",2020-04-25,0.852291373739937,0.32183908045977,1.28735632183908
"T - Laredo",2020-04-26,0.827348439712283,0.28,1.30666666666667
"T - Laredo",2020-04-27,0.822269729760834,0.313432835820896,1.25373134328358
"T - Laredo",2020-04-28,0.792268584773017,0.304347826086957,1.21992753623188
"T - Laredo",2020-04-29,0.798610300293914,0.245614035087719,1.35087719298246
"T - Laredo",2020-04-30,0.781867287322256,0.241379310344828,1.32758620689655
"T - Laredo",2020-05-01,0.813172322395458,0.159090909090909,1.43181818181818
"T - Laredo",2020-05-02,0.907903877576602,0.21875,1.75
"T - Laredo",2020-05-03,0.927835550584662,0.297872340425532,1.63829787234043
"T - Laredo",2020-05-04,0.94411404291239,0.291666666666667,1.60416666666667
"T - Laredo",2020-05-05,0.949242785242763,0.28,1.5435
"T - Laredo",2020-05-06,0.948282018696002,0.274509803921569,1.50980392156863
"T - Laredo",2020-05-07,0.939575481878264,0.269230769230769,1.61538461538462
"T - Laredo",2020-05-08,0.93608857786518,0.274509803921569,1.64705882352941
"T - Laredo",2020-05-09,0.893774615930893,0.371875,1.5
"T - Laredo",2020-05-10,0.883409636719454,0.285714285714286,1.42857142857143
"T - Laredo",2020-05-11,0.893226369744048,0.318181818181818,1.59090909090909
"T - Laredo",2020-05-12,0.916387817523797,0.170731707317073,1.70731707317073
"T - Laredo",2020-05-13,0.910916879494043,0.318181818181818,1.59090909090909
"T - Laredo",2020-05-14,0.96358900285121,0.2,1.8
"T - Laredo",2020-05-15,1.01020010756561,0.189189189189189,1.7027027027027
"T - Laredo",2020-05-16,0.993330113683949,0.304347826086957,1.67391304347826
"T - Laredo",2020-05-17,0.993223318047436,0.318181818181818,1.75
"T - Laredo",2020-05-18,1.00217311653341,0.325581395348837,1.7906976744186
"T - Laredo",2020-05-19,1.01774141220554,0.325581395348837,1.62790697674419
"T - Laredo",2020-05-20,0.986635849079043,0.28,1.54
"T - Laredo",2020-05-21,0.916353163446499,0.254545454545455,1.52727272727273
"T - Laredo",2020-05-22,0.858158167196262,0.274509803921569,1.37254901960784
"T - Laredo",2020-05-23,0.901394873159137,0.205882352941177,1.64705882352941
"T - Laredo",2020-05-24,0.935899327299839,0.2,1.8
"T - Laredo",2020-05-25,0.927451528735087,0.175,1.575
"T - Laredo",2020-05-26,0.922200412209007,0.184210526315789,1.65789473684211
"T - Laredo",2020-05-27,0.979261535940211,0.241379310344828,1.93103448275862
"T - Laredo",2020-05-28,1.07129555527027,0.269230769230769,2.15384615384615
"T - Laredo",2020-05-29,1.09648141087654,0.2,2
"T - Laredo",2020-05-30,1.09105798032334,0.358974358974359,1.97435897435897
"T - Laredo",2020-05-31,1.11594506738158,0.388888888888889,1.94444444444444
"T - Laredo",2020-06-01,1.17595686206411,0.424242424242424,2.12121212121212
"T - Laredo",2020-06-02,1.2100432777347,0.378378378378378,2.08108108108108
"T - Laredo",2020-06-03,1.29270833264769,0.411764705882353,2.26470588235294
"T - Laredo",2020-06-04,1.30447591163439,0.477272727272727,2.06818181818182
"T - Laredo",2020-06-05,1.36669599265619,0.5,2.16666666666667
"T - Laredo",2020-06-06,1.33191020338705,0.625,2
"T - Laredo",2020-06-07,1.36681856081595,0.686274509803922,2.19607843137255
"T - Laredo",2020-06-08,1.44916459066417,0.571428571428572,2.28571428571429
"T - Laredo",2020-06-09,1.50387349456953,0.711864406779661,2.25423728813559
"T - Laredo",2020-06-10,1.43731038594768,0.843373493975904,2.02409638554217
"T - Laredo",2020-06-11,1.39418373482808,0.795454545454546,1.90909090909091
"T - Laredo",2020-06-12,1.37417353514395,0.853611111111111,2.02222222222222
"T - Laredo",2020-06-13,1.41087454170664,0.833333333333333,2.08333333333333
"T - Laredo",2020-06-14,1.47561182264341,0.833333333333333,2.16666666666667
"T - Laredo",2020-06-15,1.58693580841915,0.916666666666667,2.25
"T - Laredo",2020-06-16,1.58607909885822,1.09917355371901,2.1404958677686
"T - Laredo",2020-06-17,1.60764616379593,1.09701492537313,2.08955223880597
"T - Laredo",2020-06-18,1.56576498635145,1.13953488372093,1.99418604651163
"T - Laredo",2020-06-19,1.4752590952799,1.05662807560398,1.81607950494435
"T - Laredo",2020-06-20,1.42722953878934,1.04530175296631,1.80552120966907
"T - Laredo",2020-06-21,1.42762538599623,1.0406276411212,1.82898191469787
"T - Laredo",2020-06-22,1.34984026310853,1.03622898606879,1.66807592879366
"T - Laredo",2020-06-23,1.35599775934467,1.00017114774158,1.69473444478435
"T - Laredo",2020-06-24,1.35856123932445,0.992764025271462,1.69814899059592
"T - Laredo",2020-06-25,1.40851291876926,1.06672316980008,1.75052007351808
"T - Laredo",2020-06-26,1.48714904141442,1.11405929967494,1.85676549945823
"T - Laredo",2020-06-27,1.48038355807541,1.18366529746605,1.77549794619907
"T - Laredo",2020-06-28,1.47424366855407,1.17892266349225,1.73370979925331
"T - Laredo",2020-06-29,1.35744094609779,1.13111335710148,1.58098798776685
"T - Laredo",2020-06-30,1.27547967485936,1.04849245375244,1.49255984592995
"T - Laredo",2020-07-01,1.24020976996805,1.02646582299409,1.44465560273243
"T - Laredo",2020-07-02,1.20554839470092,0.96851006511849,1.41674862963114
"T - Laredo",2020-07-03,1.15489511040485,0.951505750593869,1.35929392941981
"T - Laredo",2020-07-04,1.1410680882515,0.932806309283167,1.34469480948612
"T - Laredo",2020-07-05,1.11949418286049,0.908538343144331,1.33889861094954
"T - Laredo",2020-07-06,1.20288342260873,0.94262509229886,1.46269410873961
"T - Laredo",2020-07-07,1.27259968010331,1.00779514627872,1.53360130955457
"T - Laredo",2020-07-08,1.30173439722535,1.06562724993462,1.53107363496354
"T - Laredo",2020-07-09,1.36026879098184,1.11816245573035,1.59216610544213
"T - Laredo",2020-07-10,1.3568753788304,1.14032876701506,1.53654469453725
"T - Laredo",2020-07-11,1.35513581806606,1.15064212621033,1.54894132374467
"T - Laredo",2020-07-12,1.32396082126319,1.15467763265446,1.5064337326684
"T - Laredo",2020-07-13,1.26909327687061,1.10892023895726,1.42688959406071
"T - Laredo",2020-07-14,1.23627626158511,1.08259115247637,1.39301096311784
"T - Laredo",2020-07-15,1.18766668068607,1.0348118459761,1.34343994039002
"T - Laredo",2020-07-16,1.12040300164009,0.976118517452833,1.24553283814635
"T - Laredo",2020-07-17,1.08102495295907,0.930843800495647,1.21770761322701
"T - Laredo",2020-07-18,1.05733991475716,0.923084381246228,1.19029301792277
"T - Laredo",2020-07-19,1.04512088871716,0.899660676032899,1.18906201237915
"T - Laredo",2020-07-20,1.04847161869946,0.895607458749243,1.1921127957359
"T - Laredo",2020-07-21,1.03271196062205,0.884441773775567,1.18136151211451
"T - Laredo",2020-07-22,1.04671888432385,0.891430101192303,1.19571550692978
"T - Laredo",2020-07-23,1.05629478694751,0.890816147006406,1.20602801440867
"T - Laredo",2020-07-24,1.06357379824785,0.906342735276501,1.22679963096355
"T - Laredo",2020-07-25,1.04996984411394,0.900171591190676,1.20675177079909
"T - Laredo",2020-07-26,1.02928742245593,0.883397717886527,1.17346861032688
"T - Laredo",2020-07-27,1.03323479345814,0.885308668382125,1.20017046178689
"T - Laredo",2020-07-28,1.08727851250409,0.902528427218325,1.26353979810566
"T - Laredo",2020-07-29,1.11453766926611,0.951207215062488,1.2956098274127
"T - Laredo",2020-07-30,1.11188882311083,0.931196171260858,1.28768235769355
"T - Laredo",2020-07-31,1.13485344463853,0.937480845623266,1.32373214500873
"T - Laredo",2020-08-01,1.14642430988224,0.96860259081216,1.33565199364624
"T - Laredo",2020-08-02,1.15380861419556,0.949410372744511,1.3671509367521
"T - Laredo",2020-08-03,1.21629342552435,0.94186140572137,1.46511774223324
"T - Laredo",2020-08-04,NA,NA,NA
"U - Corpus Christi",2020-03-22,4.9633105399303,0,14
"U - Corpus Christi",2020-03-23,5.31569684361051,0,14
"U - Corpus Christi",2020-03-24,6.74067299595219,0,14
"U - Corpus Christi",2020-03-25,2.91123140791949,0.7,4.9
"U - Corpus Christi",2020-03-26,2.19067048856374,0.466666666666667,3.73333333333333
"U - Corpus Christi",2020-03-27,1.83066993916727,0.368421052631579,2.94736842105263
"U - Corpus Christi",2020-03-28,1.64517310850136,0.333333333333333,3
"U - Corpus Christi",2020-03-29,1.55483940500229,0.318181818181818,2.54545454545455
"U - Corpus Christi",2020-03-30,1.52612448148835,0.304347826086957,2.73913043478261
"U - Corpus Christi",2020-03-31,1.35190646026032,0.4375,2.1875
"U - Corpus Christi",2020-04-01,1.32263379603903,0.25,2.25
"U - Corpus Christi",2020-04-02,1.27285447710306,0.451612903225806,2.03225806451613
"U - Corpus Christi",2020-04-03,1.27374014475589,0.233333333333333,2.1
"U - Corpus Christi",2020-04-04,1.20413465714095,0.378378378378378,1.89189189189189
"U - Corpus Christi",2020-04-05,1.1235615624415,0.35,1.75
"U - Corpus Christi",2020-04-06,1.07005662110711,0.358974358974359,1.7948717948718
"U - Corpus Christi",2020-04-07,1.06110785328286,0.194444444444444,1.75
"U - Corpus Christi",2020-04-08,0.971138443014948,0.318181818181818,1.59090909090909
"U - Corpus Christi",2020-04-09,0.921017230831902,0.175,1.575
"U - Corpus Christi",2020-04-10,0.85727302976861,0.175,1.575
"U - Corpus Christi",2020-04-11,0.852187851784034,0.21875,1.53125
"U - Corpus Christi",2020-04-12,0.8448409244468,0,1.58064516129032
"U - Corpus Christi",2020-04-13,0.826292876610147,0,1.58064516129032
"U - Corpus Christi",2020-04-14,0.777682890166885,0,1.53125
"U - Corpus Christi",2020-04-15,0.797542589934332,0,1.82608695652174
"U - Corpus Christi",2020-04-16,0.855129477847724,0,1.84210526315789
"U - Corpus Christi",2020-04-17,0.856109234022968,0,1.75
"U - Corpus Christi",2020-04-18,0.836646755113321,0,1.68
"U - Corpus Christi",2020-04-19,0.829581475677178,0,1.52173913043478
"U - Corpus Christi",2020-04-20,0.803797468278652,0,1.52173913043478
"U - Corpus Christi",2020-04-21,0.853606169817514,0,1.76093749999999
"U - Corpus Christi",2020-04-22,0.8890190307539,0,2.05882352941177
"U - Corpus Christi",2020-04-23,0.868811851319084,0,1.75
"U - Corpus Christi",2020-04-24,0.945737932668018,0,2.15384615384615
"U - Corpus Christi",2020-04-25,0.996204465317891,0,2.33333333333333
"U - Corpus Christi",2020-04-26,1.05423300857124,0,2.33333333333333
"U - Corpus Christi",2020-04-27,1.11009909915435,0,2.1875
"U - Corpus Christi",2020-04-28,1.05839947282434,0,1.90909090909091
"U - Corpus Christi",2020-04-29,1.09636655794047,0,2.47058823529412
"U - Corpus Christi",2020-04-30,1.17791479348514,0,2.33333333333333
"U - Corpus Christi",2020-05-01,1.24274156201943,0,2.47058823529412
"U - Corpus Christi",2020-05-02,1.2513345825898,0.333333333333333,2.33333333333333
"U - Corpus Christi",2020-05-03,1.28040566749115,0.333333333333333,2.66666666666667
"U - Corpus Christi",2020-05-04,1.31123916576209,0.318181818181818,2.54545454545455
"U - Corpus Christi",2020-05-05,1.36647656053303,0.318181818181818,2.54545454545455
"U - Corpus Christi",2020-05-06,1.41973871338146,0.291666666666667,2.625
"U - Corpus Christi",2020-05-07,1.44499778305174,0.5,2.5
"U - Corpus Christi",2020-05-08,1.46519596049286,0.451612903225806,2.48387096774194
"U - Corpus Christi",2020-05-09,1.50053708218112,0.631060606060606,2.54545454545455
"U - Corpus Christi",2020-05-10,1.5442004540857,0.583333333333333,2.52777777777778
"U - Corpus Christi",2020-05-11,1.6123655021581,0.717948717948718,2.51282051282051
"U - Corpus Christi",2020-05-12,1.6485993909215,0.714285714285714,2.43214285714285
"U - Corpus Christi",2020-05-13,1.51316094735748,0.84,2.14666666666667
"U - Corpus Christi",2020-05-14,1.42070165319559,0.833333333333333,2
"U - Corpus Christi",2020-05-15,1.26220587421092,0.726415094339623,1.71698113207547
"U - Corpus Christi",2020-05-16,1.09305198277371,0.640208333333334,1.51666666666667
"U - Corpus Christi",2020-05-17,0.967123849894958,0.533898305084746,1.30508474576271
"U - Corpus Christi",2020-05-18,0.856111073055642,0.426086956521739,1.21739130434783
"U - Corpus Christi",2020-05-19,0.759560739442347,0.327102803738318,1.11214953271028
"U - Corpus Christi",2020-05-20,0.708283579377087,0.238636363636364,1.11363636363636
"U - Corpus Christi",2020-05-21,0.624284475077348,0.159090909090909,1.03409090909091
"U - Corpus Christi",2020-05-22,0.585185109616251,0.107692307692308,0.969230769230769
"U - Corpus Christi",2020-05-23,0.609953362037304,0,1.19512195121951
"U - Corpus Christi",2020-05-24,0.620218556283259,0,1.19512195121951
"U - Corpus Christi",2020-05-25,0.621247769881719,0,1.07692307692308
"U - Corpus Christi",2020-05-26,0.632741954290433,0,1.27272727272727
"U - Corpus Christi",2020-05-27,0.652284622771799,0,1.25
"U - Corpus Christi",2020-05-28,0.714748099262584,0,1.84210526315789
"U - Corpus Christi",2020-05-29,0.808320988997525,0,1.86666666666667
"U - Corpus Christi",2020-05-30,0.916774180908004,0,2.33333333333333
"U - Corpus Christi",2020-05-31,1.0145933097608,0,1.95416666666666
"U - Corpus Christi",2020-06-01,1.12121151102166,0,2.21052631578947
"U - Corpus Christi",2020-06-02,1.2186682885563,0,2.22727272727273
"U - Corpus Christi",2020-06-03,1.28076189388863,0.259259259259259,2.33333333333333
"U - Corpus Christi",2020-06-04,1.37697076094612,0.259259259259259,2.59259259259259
"U - Corpus Christi",2020-06-05,1.39077891603799,0.567567567567568,2.27027027027027
"U - Corpus Christi",2020-06-06,1.34769042467317,0.466666666666667,2.17777777777778
