"PHR","Date","Rt","lower","upper"
"1 - Lubbock PHR",2020-07-05,1.13588704550572,0.998573466476462,1.28316690442225
"1 - Lubbock PHR",2020-07-06,1.17384259251972,1.03568773234201,1.30644981412639
"1 - Lubbock PHR",2020-07-07,1.12434595072951,1.00345423143351,1.24122049510651
"1 - Lubbock PHR",2020-07-08,1.09584676974495,0.975981253661394,1.21382542472173
"1 - Lubbock PHR",2020-07-09,1.08341420821122,0.956834532374101,1.20454136690648
"1 - Lubbock PHR",2020-07-10,1.08818563072542,0.958256599140577,1.21608348680172
"1 - Lubbock PHR",2020-07-11,1.07007277902231,0.953730292792793,1.18637387387387
"1 - Lubbock PHR",2020-07-12,1.02838654697643,0.922395833333334,1.14123697916667
"1 - Lubbock PHR",2020-07-13,0.967836363097596,0.8715,1.071
"1 - Lubbock PHR",2020-07-14,0.967889439155242,0.850665054413543,1.08766626360339
"1 - Lubbock PHR",2020-07-15,0.986719963385088,0.861889250814332,1.09902280130293
"1 - Lubbock PHR",2020-07-16,0.994342092575075,0.869482976040353,1.11675598991173
"1 - Lubbock PHR",2020-07-17,1.00218092261037,0.873896595208071,1.12988650693569
"1 - Lubbock PHR",2020-07-18,1.00898971812806,0.884746558197747,1.13892365456821
"1 - Lubbock PHR",2020-07-19,1.00924282929865,0.888888888888889,1.12393162393162
"1 - Lubbock PHR",2020-07-20,1.01354761585097,0.892703862660944,1.13733905579399
"1 - Lubbock PHR",2020-07-21,1.01554456383771,0.882247899159664,1.14285714285714
"1 - Lubbock PHR",2020-07-22,0.98221683690311,0.872061213434453,1.08829902491874
"1 - Lubbock PHR",2020-07-23,0.968321046549118,0.845933562428408,1.08247422680412
"1 - Lubbock PHR",2020-07-24,0.94462149286976,0.829103214890017,1.05019740552736
"1 - Lubbock PHR",2020-07-25,0.933653102101769,0.819593787335723,1.04540023894863
"1 - Lubbock PHR",2020-07-26,0.938302396580212,0.813537675606641,1.05491698595147
"1 - Lubbock PHR",2020-07-27,0.936446617701444,0.815706143128562,1.0463426219126
"1 - Lubbock PHR",2020-07-28,0.927972495547212,0.81057268722467,1.0352422907489
"1 - Lubbock PHR",2020-07-29,0.918515563054372,0.802176696542894,1.03521126760563
"1 - Lubbock PHR",2020-07-30,0.918568430530517,0.803392977717758,1.03983794733288
"1 - Lubbock PHR",2020-07-31,0.92546913387217,0.797906403940887,1.04433497536946
"1 - Lubbock PHR",2020-08-01,0.926687035308623,0.80126404494382,1.04717345505618
"1 - Lubbock PHR",2020-08-02,0.930003166019644,0.805755395683453,1.05264388489209
"1 - Lubbock PHR",2020-08-03,0.939562946758965,0.80789277736411,1.05820923306031
"1 - Lubbock PHR",2020-08-04,0.942245689217405,0.81047197640118,1.05825958702065
"1 - Lubbock PHR",2020-08-05,0.953759561627376,0.821319018404908,1.08972392638037
"1 - Lubbock PHR",2020-08-06,0.965007329077526,0.823212913143736,1.09761721752498
"1 - Lubbock PHR",2020-08-07,0.963385386977888,0.834814814814815,1.09925925925926
"1 - Lubbock PHR",2020-08-08,0.964643238730187,0.832204665161776,1.10082768999248
"1 - Lubbock PHR",2020-08-09,0.975180748238209,0.821308711058535,1.09870436843592
"1 - Lubbock PHR",2020-08-10,0.988769192637166,0.86350373316132,1.12418410543643
"1 - Lubbock PHR",2020-08-11,0.953764643622726,0.834413274772297,1.07024109437955
"1 - Lubbock PHR",2020-08-12,0.94079276530968,0.810393081374471,1.06380713916949
"1 - Lubbock PHR",2020-08-13,0.929442423245328,0.802058902660472,1.05561300737249
"1 - Lubbock PHR",2020-08-14,0.928622500200005,0.796621548386722,1.06216206451563
"1 - Lubbock PHR",2020-08-15,0.915593169157137,0.792090531003656,1.02456910185323
"1 - Lubbock PHR",2020-08-16,0.88719664164703,0.762485934432205,1.00994926946249
"1 - Lubbock PHR",2020-08-17,0.849850624105574,0.736088154204987,0.967561589839805
"1 - Lubbock PHR",2020-08-18,0.888158862882762,0.737659838103564,1.03129142414479
"1 - Lubbock PHR",2020-08-19,0.883644340410836,0.744301509484747,1.02576006349158
"1 - Lubbock PHR",2020-08-20,0.884863547344503,0.747613616082285,1.03210375317554
"1 - Lubbock PHR",2020-08-21,0.907810035029136,0.755602944324445,1.06673356845804
"1 - Lubbock PHR",2020-08-22,0.939381453743142,0.786631945806447,1.09057562585691
"1 - Lubbock PHR",2020-08-23,0.969636490222248,0.817122724219763,1.13618969272462
"1 - Lubbock PHR",2020-08-24,0.994638823177906,0.838656604153655,1.16649509486827
"1 - Lubbock PHR",2020-08-25,1.00225366852199,0.841781321251073,1.16833442001226
"1 - Lubbock PHR",2020-08-26,1.04745189626993,0.875551485325546,1.21420819191373
"1 - Lubbock PHR",2020-08-27,1.10343265946019,0.934488968989073,1.30995328688647
"1 - Lubbock PHR",2020-08-28,1.12542307228169,0.958730472511714,1.30009662560301
"1 - Lubbock PHR",2020-08-29,1.16479489740894,0.997912499453811,1.33794194371215
"1 - Lubbock PHR",2020-08-30,1.19453987108372,1.02220298546684,1.36754183190834
"1 - Lubbock PHR",2020-08-31,1.23082414842834,1.07290058448626,1.39477075983214
"1 - Lubbock PHR",2020-09-01,1.28167617426837,1.12644340880621,1.46540209895429
"1 - Lubbock PHR",2020-09-02,1.29438382061366,1.14154352727948,1.44212222132687
"1 - Lubbock PHR",2020-09-03,1.2672066561372,1.13724966343202,1.39613576567671
"1 - Lubbock PHR",2020-09-04,1.22360933793111,1.08934114450362,1.34637553186534
"1 - Lubbock PHR",2020-09-05,1.15281890907511,1.03968360275792,1.26098505047261
