"Metro_Area","Date","Rt","lower","upper"
"Metro",2020-04-17,0.967205429108396,0.902621006313373,1.02857279510235
"Metro",2020-04-18,0.967914659662942,0.900883595850941,1.03399923165578
"Metro",2020-04-19,0.981868500282582,0.916059870550162,1.04631877022654
"Metro",2020-04-20,0.988059525621618,0.921308225966303,1.05034687809713
"Metro",2020-04-21,0.994121316137922,0.921272365805169,1.05765407554672
"Metro",2020-04-22,0.998313812727994,0.929685328568593,1.06730196545563
"Metro",2020-04-23,1.00914823264379,0.942444580028473,1.07630160667073
"Metro",2020-04-24,1.02584375828801,0.949348769898698,1.09551374819103
"Metro",2020-04-25,1.04065229066245,0.970636215334421,1.11341252039152
"Metro",2020-04-26,1.0517063432512,0.985801915020946,1.1212846598843
"Metro",2020-04-27,1.06273604783347,0.99290780141844,1.13498325453113
"Metro",2020-04-28,1.07294180076752,1.00542740841248,1.1438263229308
"Metro",2020-04-29,1.08706452346972,1.01580265947196,1.15343515128156
"Metro",2020-04-30,1.10159231886453,1.03240758204451,1.17370803470389
"Metro",2020-05-01,1.11072388014566,1.03759942154736,1.18058568329718
"Metro",2020-05-02,1.11014616486993,1.04553357314149,1.1798860911271
"Metro",2020-05-03,1.10826979141781,1.04389027431421,1.17073981712386
"Metro",2020-05-04,1.10436685809622,1.04093951612903,1.16744758064516
"Metro",2020-05-05,1.09827115493947,1.03993496317192,1.165048581727
"Metro",2020-05-06,1.09300910064121,1.02979631053036,1.15680245964643
"Metro",2020-05-07,1.08506218967588,1.02947805900854,1.14592631421297
"Metro",2020-05-08,1.07752261898683,1.01355350553506,1.13653136531365
"Metro",2020-05-09,1.07531090008399,1.0177304964539,1.13566415484634
"Metro",2020-05-10,1.08100279302307,1.01751263376932,1.14134958382878
"Metro",2020-05-11,1.08079588576942,1.02409547738693,1.14070351758794
"Metro",2020-05-12,1.080588413782,1.02052139037433,1.1368104418801
"Metro",2020-05-13,1.07734963700317,1.01951427790682,1.13430796556907
"Metro",2020-05-14,1.06623106653318,1.00905036726128,1.12198321091291
"Metro",2020-05-15,1.05770232156745,1.00233039875712,1.11563632832729
"Metro",2020-05-16,1.02966674949981,0.974468537414966,1.07823129251701
"Metro",2020-05-17,1.01091372599176,0.957146395838494,1.06378498885311
"Metro",2020-05-18,0.998164051761207,0.940539604583806,1.0560382823322
"Metro",2020-05-19,0.983100783069913,0.930324422690763,1.03669051204819
"Metro",2020-05-20,0.963767309712398,0.913462742642455,1.01603005635567
"Metro",2020-05-21,0.956309485869406,0.904235727440147,1.01107274401473
"Metro",2020-05-22,0.941731206027052,0.889166776359089,0.99697248914045
"Metro",2020-05-23,0.953365484265294,0.896723078256437,1.01129626554072
"Metro",2020-05-24,0.955943919157889,0.895770333496668,1.01711890491646
"Metro",2020-05-25,0.964463537186496,0.903233495421288,1.02429625995911
"Metro",2020-05-26,0.992480416266077,0.931593298225114,1.05606642465545
"Metro",2020-05-27,1.03174582915542,0.965234356046932,1.09164815787927
"Metro",2020-05-28,1.05119035514041,0.98709631469136,1.11185128129315
"Metro",2020-05-29,1.08209349276904,1.0161064794559,1.15139172332405
