County,Plant_Name,Date,viral_load_log10,viral_load,viral_load_pct
Harris,ALMEDA SIMS,2020-10-26,11.9615842746468,915343864109.4003,113.0
Harris,ALMEDA SIMS,2020-11-02,11.9742669575536,942468746959.4716,117.0
Harris,ALMEDA SIMS,2020-11-09,12.0001450024417,1000333936204.991,124.0
Harris,ALMEDA SIMS,2020-11-16,12.0513231736174,1125442143057.1104,139.0
Harris,ALMEDA SIMS,2020-11-23,12.1237670017061,1329740822752.393,164.0
Harris,ALMEDA SIMS,2020-11-30,12.2094072089126,1619597914655.8423,200.0
Harris,ALMEDA SIMS,2020-12-07,12.3001745174416,1996064254806.0205,247.0
Harris,ALMEDA SIMS,2020-12-14,12.3880017445609,2443440367974.0215,302.0
Harris,ALMEDA SIMS,2020-12-21,12.4648706724153,2916558369262.795,361.0
Harris,ALMEDA SIMS,2020-12-28,12.5228124844323,3332824801324.869,412.0
Harris,ALMEDA SIMS,2021-01-04,12.5538605463856,3579814694302.8354,443.0
Harris,ALMEDA SIMS,2021-01-11,12.5500482240489,3548527898913.2744,439.0
Harris,ALMEDA SIMS,2021-01-18,12.5070358722258,3213925994275.756,397.0
Harris,ALMEDA SIMS,2021-01-25,12.43499180184,2722649912236.5938,337.0
Harris,ALMEDA SIMS,2021-02-01,12.347711312845,2226954341059.959,275.0
Harris,ALMEDA SIMS,2021-02-08,12.2589897051944,1815472627090.9722,224.0
Harris,ALMEDA SIMS,2021-02-15,12.1825836132391,1522592244168.456,188.0
Harris,ALMEDA SIMS,2021-02-22,12.1269676407003,1339576871779.5637,166.0
Harris,ALMEDA SIMS,2021-03-01,12.0900161390349,1230314490296.2505,152.0
Harris,ALMEDA SIMS,2021-03-08,12.0683364652365,1170405799858.6477,145.0
Harris,ALMEDA SIMS,2021-03-15,12.0585359762985,1144289667117.491,141.0
Harris,ALMEDA SIMS,2021-03-22,12.0571491962119,1140641572814.676,141.0
Harris,ALMEDA SIMS,2021-03-29,12.0599044442201,1147901026425.0686,142.0
Harris,ALMEDA SIMS,2021-04-05,12.0620285048106,1153528966924.1213,143.0
Harris,ALMEDA SIMS,2021-04-12,12.0587406007295,1144828943580.8784,142.0
Harris,ALMEDA SIMS,2021-04-19,12.0452619924312,1109844137780.8552,137.0
Harris,ALMEDA SIMS,2021-04-26,12.0183753434769,1043218652351.4741,129.0
Harris,ALMEDA SIMS,2021-05-03,11.9792091068634,953255032828.303,118.0
Harris,ALMEDA SIMS,2021-05-10,11.929641791335,850436303936.4117,105.0
Harris,ALMEDA SIMS,2021-05-17,11.8715519056358,743963974043.1055,92.0
Harris,ALMEDA SIMS,2021-05-24,11.8077356145272,642296587350.3789,79.0
Harris,ALMEDA SIMS,2021-05-31,11.7502187959247,562624702008.6465,70.0
Harris,ALMEDA SIMS,2021-06-07,11.7163634059836,520431297346.4322,64.0
Harris,ALMEDA SIMS,2021-06-14,11.7235962621021,529171275914.6018,65.0
Harris,ALMEDA SIMS,2021-06-21,11.7893219752899,615633118877.1744,76.0
Harris,ALMEDA SIMS,2021-06-28,11.9209676790437,833619142913.7815,103.0
Harris,ALMEDA SIMS,2021-07-05,12.100285625823,1259753651369.3118,156.0
Harris,ALMEDA SIMS,2021-07-12,12.3049548287738,2018156443118.2104,250.0
Harris,ALMEDA SIMS,2021-07-19,12.5126543010425,3255774377760.5376,403.0
Harris,ALMEDA SIMS,2021-07-26,12.7017832952626,5032494341722.345,622.0
Harris,ALMEDA SIMS,2021-08-02,12.8573404961051,7200132624715.414,890.0
Harris,ALMEDA SIMS,2021-08-09,12.9678680504316,9286841863379.666,1148.0
Harris,ALMEDA SIMS,2021-08-16,13.0219420207018,10518214439015.602,1300.0
Harris,ALMEDA SIMS,2021-08-23,13.0081730060299,10189972360771.25,1260.0
Harris,ALMEDA SIMS,2021-08-30,12.9252076181892,8417974739460.067,1041.0
Harris,ALMEDA SIMS,2021-09-06,12.795591826051,6245853969677.819,772.0
Harris,ALMEDA SIMS,2021-09-13,12.6453526971603,4419291990900.774,546.0
Harris,ALMEDA SIMS,2021-09-20,12.5005172990625,3166046572671.5356,391.0
Harris,ALMEDA SIMS,2021-09-27,12.3854650560525,2429209976490.5884,300.0
Harris,ALMEDA SIMS,2021-10-04,12.3016898751629,2003041167228.0598,248.0
Harris,ALMEDA SIMS,2021-10-11,12.2339309989501,1713685014250.9243,212.0
Harris,ALMEDA SIMS,2021-10-18,12.1665436948478,1467383714578.389,181.0
Harris,ALMEDA SIMS,2021-10-25,12.0838851625372,1213068044924.673,150.0
Harris,ALMEDA SIMS,2021-11-01,11.9803674437537,955800918990.6542,118.0
Harris,ALMEDA SIMS,2021-11-08,11.883897084016,765415202826.3068,95.0
Harris,ALMEDA SIMS,2021-11-15,11.8293464516628,675066336617.6881,83.0
Harris,ALMEDA SIMS,2021-11-22,11.8515879150328,710538991163.671,88.0
Harris,ALMEDA SIMS,2021-11-29,11.9813862878964,958045836602.9207,118.0
Harris,ALMEDA SIMS,2021-12-06,12.1980383456111,1577750569509.6465,195.0
Harris,ALMEDA SIMS,2021-12-13,12.4457806270086,2791133613786.4795,345.0
Harris,ALMEDA SIMS,2021-12-20,12.6681760391581,4657748548379.462,576.0
Harris,ALMEDA SIMS,2021-12-27,12.8087976942616,6438692644881.706,796.0
Harris,ALMEDA SIMS,2022-01-03,12.83020393115,6764005174290.937,836.0
Harris,ALMEDA SIMS,2022-01-10,12.7533115168199,5666455947776.699,701.0
Harris,ALMEDA SIMS,2022-01-17,12.6102136460463,4075807330270.055,504.0
Harris,ALMEDA SIMS,2022-01-24,12.433003513604,2710213558438.5537,335.0
Harris,ALMEDA SIMS,2022-01-31,12.2522413276644,1787480561634.9429,221.0
Harris,ALMEDA SIMS,2022-02-07,12.0810992005848,1205311223454.069,149.0
Harris,ALMEDA SIMS,2022-02-14,11.9217333003347,835090033053.9554,103.0
Harris,ALMEDA SIMS,2022-02-21,11.776125069305,597207247187.6335,74.0
Harris,ALMEDA SIMS,2022-02-28,11.6462573003427,442850664160.4354,55.0
Harris,ALMEDA SIMS,2022-03-07,11.5353198385432,343020312730.6908,42.0
Harris,ALMEDA SIMS,2022-03-14,11.4499290905823,281792279744.6309,35.0
Harris,ALMEDA SIMS,2022-03-21,11.3973053614396,249634934491.2397,31.0
Harris,ALMEDA SIMS,2022-03-28,11.3846689560944,242476109992.23682,30.0
Harris,ALMEDA SIMS,2022-04-04,11.4182240702189,261953418404.6303,32.0
Harris,ALMEDA SIMS,2022-04-11,11.4937098998772,311680692321.44727,39.0
Harris,ALMEDA SIMS,2022-04-18,11.6007031746121,398752275698.68567,49.0
Harris,ALMEDA SIMS,2022-04-25,11.9312182020227,853528843713.9813,106.0
Harris,ALMEDA SIMS,2022-05-02,11.5854551422686,384995046970.1678,48.0
Harris,ALMEDA SIMS,2022-05-09,11.47322903,297323358599.5141,37.0
Harris,ALMEDA SIMS,2022-05-16,11.71914575,523776187312.343,65.0
Harris,ALMEDA SIMS,2022-05-23,12.22748622,1688442285000.3525,209.0
Harris,ALMEDA SIMS,2022-05-30,12.4001821222173,2512940016759.9463,311.0
Harris,ALMEDA SIMS,2022-06-06,12.58576374,3852687110946.529,476.0
Harris,ALMEDA SIMS,2022-06-13,12.52900438,3380682457161.4365,418.0
Harris,ALMEDA SIMS,2022-06-20,12.56809728,3699110288986.8467,457.0
Harris,ALMEDA SIMS,2022-06-27,12.68046067,4791380598788.597,592.0
Harris,ALMEDA SIMS,2022-07-04,12.6767643,4750773223296.31,587.0
Harris,ALMEDA SIMS,2022-07-11,12.6667931,4642940305952.592,574.0
Harris,ALMEDA SIMS,2022-07-18,12.50597009,3206048515314.3457,396.0
Harris,ALMEDA SIMS,2022-07-25,12.35688371,2274488314901.101,281.0
Harris,ALMEDA SIMS,2022-07-25,12.35688371,2274488314901.101,281.0
Harris,ALMEDA SIMS,2022-08-01,12.73329489,5411216248562.467,669.0
Harris,ALMEDA SIMS,2022-08-08,12.78741113,6129303549257.14,758.0
Harris,ALMEDA SIMS,2022-08-15,12.71218341,5154462804176.481,637.0
Harris,ALMEDA SIMS,2022-08-22,12.73423137,5422897178246.573,670.0
Harris,ALMEDA SIMS,2022-08-29,12.68111428,4798597020306.353,593.0
Harris,ALMEDA SIMS,2022-09-05,12.40857525,2561977138202.027,317.0
Harris,ALMEDA SIMS,2022-09-12,12.27848067,1898806326306.9995,235.0
Harris,ALMEDA SIMS,2022-09-19,12.14282849,1389403824540.2366,172.0
Harris,ALMEDA SIMS,2022-09-26,12.04358581,1105568891441.6536,137.0
Harris,ALMEDA SIMS,2022-10-03,11.79015211,616810999753.2406,76.0
Harris,ALMEDA SIMS,2022-10-10,11.50220168,317834970706.9146,39.0
Harris,ALMEDA SIMS,2022-10-17,11.6446693,441234334946.2192,55.0
Harris,ALMEDA SIMS,2022-10-24,11.9865795633686,969570879798.7708,120.0
