County,Date,cases_daily,deaths_daily
Potter,2021-01-21,53,
Potter,2021-01-22,42,
Potter,2021-01-23,40,
Potter,2021-01-24,13,
Potter,2021-01-25,17,
Potter,2021-01-26,50,
Potter,2021-01-27,32,
Potter,2021-01-28,30,
Potter,2021-01-29,31,
Potter,2021-01-30,16,
Potter,2021-01-31,18,
Potter,2021-02-01,8,
Potter,2021-02-02,34,24
Potter,2021-02-03,7,
Potter,2021-02-04,31,
Potter,2021-02-05,16,
Potter,2021-02-06,19,
Potter,2021-02-07,4,
Potter,2021-02-08,7,
Potter,2021-02-09,26,
Potter,2021-02-10,11,
Potter,2021-02-11,27,
Potter,2021-02-12,12,
Potter,2021-02-13,5,
Potter,2021-02-14,1,
Potter,2021-02-15,3,
Potter,2021-02-16,11,
Potter,2021-02-17,14,
Potter,2021-02-18,5,
Potter,2021-02-19,18,
Potter,2021-02-20,10,
Potter,2021-02-21,6,
Potter,2021-02-22,5,
Potter,2021-02-23,12,
Potter,2021-02-24,13,
Potter,2021-02-25,9,
Potter,2021-02-26,8,
Potter,2021-02-27,10,
Potter,2021-02-28,3,
Potter,2021-03-01,3,
Potter,2021-03-02,7,11
Potter,2021-03-03,10,
Potter,2021-03-04,4,
Potter,2021-03-05,1,
Potter,2021-03-06,8,
Potter,2021-03-07,4,
Potter,2021-03-08,3,
Potter,2021-03-09,7,
Potter,2021-03-10,5,
Potter,2021-03-11,2,
Potter,2021-03-12,3,
Potter,2021-03-13,2,
Potter,2021-03-14,3,
Potter,2021-03-15,4,
Potter,2021-03-16,3,
Potter,2021-03-17,7,
Potter,2021-03-18,1,
Potter,2021-03-19,1,
Potter,2021-03-20,2,
Potter,2021-03-21,5,
Potter,2021-03-22,2,
Potter,2021-03-23,1,
Potter,2021-03-24,4,
Potter,2021-03-25,5,
Potter,2021-03-26,8,
Potter,2021-03-27,2,
Potter,2021-03-29,2,
Potter,2021-03-30,7,
Potter,2021-03-31,5,
Potter,2021-04-01,6,
Potter,2021-04-02,4,3
Potter,2021-04-03,6,
Potter,2021-04-04,1,
Potter,2021-04-06,6,
Potter,2021-04-07,5,
Potter,2021-04-08,10,
Potter,2021-04-09,7,
Potter,2021-04-10,7,
Potter,2021-04-11,6,
Potter,2021-04-12,3,
Potter,2021-04-13,8,
Potter,2021-04-14,6,
Potter,2021-04-15,5,
Potter,2021-04-16,11,
Potter,2021-04-17,5,
Potter,2021-04-18,3,
Potter,2021-04-19,2,
Potter,2021-04-20,7,
Potter,2021-04-21,12,
Potter,2021-04-22,6,
Potter,2021-04-23,7,
Potter,2021-04-24,15,
Potter,2021-04-25,6,
Potter,2021-04-26,8,
Potter,2021-04-27,12,
Potter,2021-04-28,7,
Potter,2021-04-29,10,
Potter,2021-04-30,8,
Potter,2021-05-01,11,
Potter,2021-05-02,2,5
Potter,2021-05-03,11,
Potter,2021-05-04,8,
Potter,2021-05-05,17,
Potter,2021-05-06,11,
Potter,2021-05-07,20,
Potter,2021-05-08,8,
Potter,2021-05-09,4,
Potter,2021-05-10,2,
Potter,2021-05-11,6,
Potter,2021-05-12,10,
Potter,2021-05-13,5,
Potter,2021-05-14,11,
Potter,2021-05-15,7,
Potter,2021-05-17,8,
Potter,2021-05-18,15,
Potter,2021-05-19,8,
Potter,2021-05-20,6,
Potter,2021-05-21,7,
Potter,2021-05-22,8,
Potter,2021-05-23,3,
Potter,2021-05-24,4,
Potter,2021-05-25,4,
Potter,2021-05-26,6,
Potter,2021-05-27,5,
Potter,2021-05-28,3,
Potter,2021-05-30,2,
Potter,2021-05-31,1,
Potter,2021-06-01,4,
Potter,2021-06-02,5,6
Potter,2021-06-03,1,
Potter,2021-06-05,2,
Potter,2021-06-07,1,
Potter,2021-06-08,5,
Potter,2021-06-09,4,
Potter,2021-06-10,1,
Potter,2021-06-11,1,
Potter,2021-06-12,5,
Potter,2021-06-13,2,
Potter,2021-06-14,1,
Potter,2021-06-15,2,
Potter,2021-06-16,2,
Potter,2021-06-17,1,
Potter,2021-06-18,2,
Potter,2021-06-20,4,
Potter,2021-06-22,3,
Potter,2021-06-23,3,
Potter,2021-06-24,4,
Potter,2021-06-25,3,
Potter,2021-06-26,2,
Potter,2021-06-27,3,
Potter,2021-06-28,2,
Potter,2021-06-29,3,
Potter,2021-06-30,5,
Potter,2021-07-01,4,
Potter,2021-07-02,4,7
Potter,2021-07-03,6,
Potter,2021-07-04,6,
Potter,2021-07-05,4,
Potter,2021-07-06,5,
Potter,2021-07-07,6,
Potter,2021-07-08,8,
Potter,2021-07-09,10,
Potter,2021-07-10,9,
Potter,2021-07-11,6,
Potter,2021-07-12,8,
Potter,2021-07-13,29,
Potter,2021-07-14,24,
Potter,2021-07-15,11,
Potter,2021-07-16,22,
Potter,2021-07-17,10,
Potter,2021-07-18,14,
Potter,2021-07-19,22,
Potter,2021-07-20,43,
Potter,2021-07-21,41,
Potter,2021-07-22,44,
Potter,2021-07-23,32,
Potter,2021-07-24,31,
Potter,2021-07-25,27,
Potter,2021-07-26,25,
Potter,2021-07-27,56,
Potter,2021-07-28,47,
Potter,2021-07-29,50,
Potter,2021-07-30,54,
Potter,2021-07-31,44,
Potter,2021-08-01,34,
Potter,2021-08-02,28,34
Potter,2021-08-03,82,
Potter,2021-08-04,71,
Potter,2021-08-05,90,
Potter,2021-08-06,73,
Potter,2021-08-07,57,
