OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
846,29850,McKinney ISD,McKinney,43907,043-907,043907,4829850,4,280834867.910278,181867.859968519
847,19530,Forestburg ISD,Forestburg,169910,169-910,169910,4819530,1,329639251.962402,117728.686858952
848,08100,Alvord ISD,Alvord,249901,249-901,249901,4808100,5,294945873.969116,127552.465141479
849,15210,Coppell ISD,Coppell,57922,057-922,057922,4815210,1,64236657.6174316,44347.1309832195
850,13050,Carrollton-Farmers Branch ISD,Carrollton-Farmers Branch,57903,057-903,057903,4813050,5,124515768.056396,74516.9833453587
851,35100,Plano ISD,Plano,43910,043-910,043910,4835100,6,248843849.327637,85212.1966109631
852,13020,Carroll ISD,Carroll,220919,220-919,220919,4813020,3,53041439.2655029,35409.0158688888
853,21660,Grapevine-Colleyville ISD,Grapevine-Colleyville,220906,220-906,220906,4821660,6,137815852.797241,71111.1659492842
854,26430,Lake Dallas ISD,Lake Dallas,61912,061-912,061912,4826430,7,43870539.7871094,35289.2907970231
855,08670,Argyle ISD,Argyle,61910,061-910,061910,4808670,2,91234870.515625,72498.5587702538
856,08910,Aubrey ISD,Aubrey,61907,061-907,061907,4808910,3,120346905.252319,61611.4984038203
857,27720,Little Elm ISD,Little Elm,61914,061-914,061914,4827720,1,99146315.1658936,53651.674004907
858,27300,Lewisville ISD,Lewisville,61902,061-902,061902,4827300,3,323555653.116455,110510.627053163
859,36000,Prosper ISD,Prosper,43912,043-912,043912,4836000,6,151796561.833618,75912.4421841867
860,20010,Frisco ISD,Frisco,43905,043-905,043905,4820010,5,193963553.142334,79730.7469357168
861,39180,Sanger ISD,Sanger,61908,061-908,061908,4839180,3,264005112.190063,89312.1044858322
862,40470,Slidell ISD,Slidell,249908,249-908,249908,4840470,2,302072580.801147,135092.827845551
863,43860,Valley View ISD (Cooke),Valley View (Cooke),49903,049-903,049903,4843860,1,211277732.485718,105405.418066641
864,18600,Era ISD,Era,49906,049-906,049906,4818600,6,389423405.881348,127529.448409753
865,34920,Pilot Point ISD,Pilot Point,61903,061-903,061903,4834920,2,322812579.060425,110803.249914666
866,35310,Ponder ISD,Ponder,61906,061-906,061906,4835310,2,139504095.284424,71597.3363978455
867,16500,Decatur ISD,Decatur,249905,249-905,249905,4816500,4,552032083.369873,158604.695502802
868,25980,Krum ISD,Krum,61905,061-905,061905,4825980,6,190016303.006592,84620.5490688405
869,16740,Denton ISD,Denton,61901,061-901,061901,4816740,4,440252761.930908,198752.187023701
870,20280,Galveston ISD,Galveston,84902,084-902,084902,4820280,3,1006768809.44763,187976.400167236
871,11550,Brookesmith ISD,Brookesmith,25908,025-908,025908,4811550,4,409364284.76001,123082.594865726
872,39210,Santa Anna ISD,Santa Anna,42903,042-903,042903,4839210,5,824627306.897705,174051.968696972
873,11110,Brady ISD,Brady,160901,160-901,160901,4811110,4,1796075119.96448,308329.105042869
874,00007,Panther Creek Cons ISD,Panther Creek Cons,42905,042-905,042905,4800007,2,1427281296.36145,250272.953296336
875,30210,Menard ISD,Menard,164901,164-901,164901,4830210,2,2237688690.69507,216587.2154717
876,29280,Mason ISD,Mason,157901,157-901,157901,4829280,3,2564106007.59058,287118.092616546
877,18070,Eden Cons ISD,Eden Cons,48901,048-901,048901,4818070,1,1418867280.75958,236017.192577728
878,37500,Rochelle ISD,Rochelle,160904,160-904,160904,4837500,3,822381449.569336,161955.261793826
