"County","Population","Cases

03-04","Cases

03-05","Cases

03-06","Cases

03-09","Cases

03-10","Cases

03-11","Cases

03-12","Cases

03-13","Cases

03-15","Cases

03-16","Cases

03-17","Cases

03-18","Cases

03-19","Cases

03-20","Cases

03-21","Cases

03-22","Cases

03-23","Cases

03-24","Cases

03-25","Cases

03-26","Cases

03-27","Cases

03-28","Cases

03-29","Cases

03-30","Cases

03-31","Cases

04-01","Cases

04-02","Cases

04-03","Cases

04-04","Cases

04-05","Cases

04-06","Cases

04-07","Cases

04-08","Cases

04-09","Cases

04-10","Cases

04-11","Cases

04-12","Cases

04-13","Cases

04-14","Cases

04-15","Cases

04-16","Cases

04-17","Cases

04-18","Cases

04-19","Cases

04-20","Cases

04-21","Cases

04-22","Cases

04-23","Cases

04-24","Cases

04-25","Cases

04-26","Cases

04-27","Cases

04-28","Cases

04-29","Cases
04-30","Cases
05-01","Cases
05-02","Cases
05-03","Cases
05-04","Cases
05-05","Cases
05-06","Cases
05-07","Cases
05-08","Cases
05-09","Cases
05-10","Cases
05-11","Cases
05-12","Cases
05-13","Cases
05-14","Cases
05-15","Cases
05-16","Cases
05-17","Cases
05-18","Cases
05-19","Cases
05-20","Cases
05-21","Cases
05-22","Cases
05-23","Cases
05-24","Cases
05-25","Cases
05-26","Cases
05-27","Cases
05-28","Cases
05-29","Cases
05-30","Cases
05-31","Cases 06-01","Cases 06-02","Cases 06-03","Cases 06-04","Cases 06-05","Cases 06-06","Cases 06-07","Cases 06-08"
"Brazos","229410","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","2.0","2.0","2.0","2.0","12.0","16.0","21.0","30.0","36.0","40.0","44.0","46.0","53.0","63.0","68.0","72.0","75.0","94.0","94.0","97.0","108.0","114.0","116.0","134.0","140.0","143.0","149.0","151.0","158.0","164.0","169.0","170.0","170.0","173.0","177.0","177.0","181.0","181.0","182.0","182.0","188.0","193.0","197.0","202.0","208.0","208.0","209.0","219.0","232.0","243.0","256.0","265.0","271.0","278.0","287.0","301.0","305.0","312.0","318.0","325.0","333.0","341.0","362.0","373.0","383.0","436.0","438.0","441.0","444.0","455.0","463.0","470.0","477.0","483.0","487.0","501.0","517.0","532.0","565.0","605.0","626.0"
"Brewster","9133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Briscoe","1568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Brooks","7175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Brown","38923","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","5.0","6.0","6.0","6.0","8.0","8.0","10.0","10.0","10.0","11.0","11.0","12.0","12.0","12.0","13.0","13.0","13.0","13.0","13.0","17.0","17.0","17.0","28.0","34.0","34.0","36.0","36.0","36.0","36.0","36.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","55.0","55.0","55.0","56.0","56.0","56.0","57.0","57.0","57.0","58.0","58.0","58.0","58.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0"
"Burleson","17718","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","5.0","5.0","5.0","6.0","6.0","6.0","6.0","6.0","8.0","8.0","9.0","8.0","8.0","8.0","9.0","10.0","11.0","11.0","11.0","11.0","11.0","12.0","12.0","12.0","13.0","14.0","14.0","14.0","14.0","14.0","14.0","15.0","15.0","15.0","15.0","16.0","16.0","17.0","17.0","18.0","18.0","18.0","20.0","20.0","20.0","22.0","22.0","22.0","22.0","22.0","22.0","23.0","24.0","24.0","24.0","25.0","25.0","26.0","28.0","29.0","32.0","32.0","32.0"
"Burnet","48196","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","3.0","4.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","6.0","6.0","6.0","6.0","6.0","7.0","7.0","8.0","8.0","8.0","9.0","13.0","13.0","14.0","14.0","14.0","14.0","15.0","15.0","16.0","19.0","19.0","20.0","19.0","23.0","24.0","24.0","24.0","25.0","26.0","26.0","26.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","29.0","29.0","29.0","29.0","29.0","29.0","30.0","32.0","35.0","36.0","37.0","38.0","39.0","45.0","49.0","49.0","51.0","54.0","54.0"
"Caldwell","44284","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","3.0","3.0","4.0","5.0","5.0","5.0","6.0","6.0","6.0","6.0","6.0","6.0","7.0","7.0","7.0","7.0","8.0","9.0","8.0","10.0","10.0","10.0","11.0","11.0","11.0","11.0","14.0","14.0","20.0","20.0","21.0","23.0","24.0","25.0","25.0","26.0","27.0","30.0","31.0","33.0","33.0","35.0","36.0","36.0","36.0","39.0","39.0","41.0","49.0","50.0","50.0","50.0","51.0","52.0","57.0","63.0","64.0","65.0","66.0","67.0","73.0","73.0","74.0","76.0","77.0","77.0"
"Calhoun","22840","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","3.0","3.0","3.0","3.0","7.0","8.0","8.0","8.0","11.0","12.0","12.0","12.0","13.0","14.0","14.0","15.0","15.0","19.0","19.0","19.0","21.0","21.0","21.0","21.0","21.0","22.0","23.0","23.0","26.0","26.0","29.0","30.0","30.0","30.0","30.0","31.0","32.0","33.0","34.0","34.0","34.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","38.0","39.0","39.0"
"Callahan","13456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","5.0","6.0","6.0","6.0","6.0","6.0","7.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","10.0","10.0","10.0","10.0","10.0"
