"County","Childcare_Child_Cases_Daily","Childcare_Employee_Cases_Daily","Childcare_Child_Cases_Cumulative","Childcare_Employee_Cases_Cumulative","Date"
"Franklin",1,0,2,3,2020-10-14
"Freestone",0,0,0,1,2020-10-14
"Frio",0,0,0,2,2020-10-14
"Galveston",0,1,33,55,2020-10-14
"Garza",0,0,0,2,2020-10-14
"Gonzales",0,0,1,1,2020-10-14
"Gray",0,0,0,4,2020-10-14
"Grayson",0,0,2,8,2020-10-14
"Gregg",0,1,11,27,2020-10-14
"Grimes",0,0,0,5,2020-10-14
"Guadalupe",0,0,10,15,2020-10-14
"Hale",0,0,0,2,2020-10-14
"Hall",0,1,0,1,2020-10-14
"Hardin",0,0,3,3,2020-10-14
"Harris",2,2,243,486,2020-10-14
"Harrison",0,0,1,10,2020-10-14
"Hartley",0,0,0,1,2020-10-14
"Hays",0,0,6,25,2020-10-14
"Hemphill",0,0,1,0,2020-10-14
"Henderson",0,0,3,6,2020-10-14
"Hidalgo",1,1,70,65,2020-10-14
"Hill",0,0,2,1,2020-10-14
"Hockley",0,0,1,1,2020-10-14
"Hood",0,0,2,11,2020-10-14
"Hopkins",0,0,1,7,2020-10-14
"Howard",0,0,3,4,2020-10-14
"Hunt",1,0,3,5,2020-10-14
"Hutchinson",0,1,0,1,2020-10-14
"Jackson",0,0,3,4,2020-10-14
"Jasper",0,0,0,1,2020-10-14
"Jefferson",0,0,7,13,2020-10-14
"Jim Wells",0,0,3,2,2020-10-14
"Johnson",0,0,7,14,2020-10-14
"Kaufman",0,1,5,17,2020-10-14
"Kendall",0,0,1,0,2020-10-14
"Kerr",0,0,1,3,2020-10-14
"Kleberg",0,0,0,1,2020-10-14
"Knox",0,0,0,1,2020-10-14
"Lamar",0,0,5,6,2020-10-14
"Lamb",0,1,0,1,2020-10-14
"Lavaca",0,1,2,5,2020-10-14
"Lee",0,0,1,0,2020-10-14
"Liberty",0,5,2,12,2020-10-14
"Limestone",0,0,0,1,2020-10-14
"Llano",0,0,0,2,2020-10-14
"Lubbock",1,3,29,83,2020-10-14
"Marion",0,0,1,0,2020-10-14
"Martin",0,0,0,1,2020-10-14
"Matagorda",0,0,3,12,2020-10-14
"Maverick",0,0,3,5,2020-10-14
"McCulloch",0,0,0,2,2020-10-14
"McLennan",0,0,10,45,2020-10-14
"Medina",0,0,1,2,2020-10-14
"Midland",0,0,11,25,2020-10-14
"Mills",0,0,0,1,2020-10-14
"Montgomery",2,1,31,61,2020-10-14
"Morris",0,0,1,4,2020-10-14
"Nacogdoches",0,0,2,10,2020-10-14
"Navarro",0,0,6,5,2020-10-14
"Nolan",0,0,1,0,2020-10-14
"Nueces",0,0,28,65,2020-10-14
"Ochiltree",0,1,0,1,2020-10-14
"Oldham",1,0,1,0,2020-10-14
"Orange",0,0,8,1,2020-10-14
"Palo Pinto",0,0,2,5,2020-10-14
"Panola",0,1,5,2,2020-10-14
"Parker",0,0,3,15,2020-10-14
"Pecos",0,0,1,0,2020-10-14
"Polk",0,0,1,2,2020-10-14
"Potter",0,1,10,12,2020-10-14
"Randall",0,0,10,20,2020-10-14
"Robertson",0,0,0,2,2020-10-14
"Rockwall",0,0,11,8,2020-10-14
"Rusk",0,0,0,6,2020-10-14
"Sabine",0,0,0,2,2020-10-14
"San Jacinto",0,0,1,0,2020-10-14
"San Patricio",0,0,3,6,2020-10-14
"Scurry",0,0,3,1,2020-10-14
"Smith",0,1,19,36,2020-10-14
"Starr",0,0,4,4,2020-10-14
"Swisher",0,1,0,1,2020-10-14
"Tarrant",0,1,106,204,2020-10-14
"Taylor",0,0,3,21,2020-10-14
"Terrell",0,0,0,1,2020-10-14
"Terry",0,0,0,1,2020-10-14
"Titus",0,0,2,5,2020-10-14
"Tom Green",0,1,9,22,2020-10-14
"Travis",1,1,51,101,2020-10-14
"Tyler",0,0,2,2,2020-10-14
"Upshur",0,0,3,1,2020-10-14
"Val Verde",0,0,3,4,2020-10-14
"Van Zandt",0,0,0,2,2020-10-14
"Victoria",0,0,9,6,2020-10-14
"Walker",0,0,2,12,2020-10-14
"Waller",0,0,0,2,2020-10-14
"Washington",0,0,1,3,2020-10-14
"Webb",0,0,21,29,2020-10-14
"Wharton",0,0,4,9,2020-10-14
"Wichita",1,1,2,21,2020-10-14
"Wilbarger",0,0,3,2,2020-10-14
"Willacy",0,0,1,0,2020-10-14
"Williamson",0,0,21,49,2020-10-14
"Wilson",0,0,2,4,2020-10-14
"Wise",0,0,5,2,2020-10-14
"Wood",0,0,0,3,2020-10-14
"Young",0,0,1,1,2020-10-14
"Anderson",0,0,1,4,2020-10-13
"Andrews",0,0,0,3,2020-10-13
"Angelina",0,0,4,16,2020-10-13
"Aransas",0,0,3,0,2020-10-13
"Archer",0,0,0,1,2020-10-13
"Atascosa",0,0,12,3,2020-10-13
"Austin",0,0,0,1,2020-10-13
"Bandera",0,0,1,2,2020-10-13
"Bastrop",0,0,3,4,2020-10-13
"Bee",0,0,0,1,2020-10-13
"Bell",0,0,17,34,2020-10-13
"Bexar",3,0,156,194,2020-10-13
"Blanco",0,0,0,1,2020-10-13
"Bowie",0,0,4,13,2020-10-13
"Brazoria",0,0,27,54,2020-10-13
"Brazos",0,0,14,47,2020-10-13
"Brewster",0,0,0,1,2020-10-13
"Brown",0,0,4,4,2020-10-13
"Burnet",0,0,1,2,2020-10-13
"Caldwell",0,0,3,2,2020-10-13
"Calhoun",0,0,3,5,2020-10-13
"Callahan",0,0,0,1,2020-10-13
"Cameron",0,0,36,33,2020-10-13
"Camp",0,0,2,1,2020-10-13
"Cass",0,0,2,9,2020-10-13
"Chambers",0,0,2,3,2020-10-13
"Cherokee",0,0,3,2,2020-10-13
"Clay",0,0,0,2,2020-10-13
"Collin",2,1,63,107,2020-10-13
"Colorado",0,0,1,7,2020-10-13
"Comal",0,0,11,16,2020-10-13
"Comanche",0,0,1,0,2020-10-13
"Cooke",0,0,3,0,2020-10-13
"Coryell",0,0,2,2,2020-10-13
"Dallam",0,0,1,1,2020-10-13
"Dallas",2,1,118,206,2020-10-13
"Dawson",0,0,0,6,2020-10-13
"Deaf Smith",0,0,0,4,2020-10-13
"Delta",0,0,1,0,2020-10-13
"Denton",1,2,56,99,2020-10-13
"DeWitt",0,0,0,1,2020-10-13
"Dimmit",0,0,3,0,2020-10-13
"Ector",0,3,11,24,2020-10-13
"El Paso",2,0,30,44,2020-10-13
"Ellis",0,0,15,20,2020-10-13
"Erath",0,0,2,3,2020-10-13
"Fannin",0,0,0,1,2020-10-13
"Fayette",0,0,0,1,2020-10-13
"Fort Bend",1,0,48,108,2020-10-13
"Franklin",0,0,1,3,2020-10-13
"Freestone",0,0,0,1,2020-10-13
"Frio",0,0,0,2,2020-10-13
"Galveston",0,0,33,54,2020-10-13
"Garza",0,0,0,2,2020-10-13
"Gonzales",0,0,1,1,2020-10-13
"Gray",0,0,0,4,2020-10-13
"Grayson",0,0,2,8,2020-10-13
"Gregg",0,0,11,26,2020-10-13
"Grimes",0,0,0,5,2020-10-13
"Guadalupe",0,0,10,15,2020-10-13
"Hale",0,0,0,2,2020-10-13
"Hardin",0,0,3,3,2020-10-13
"Harris",2,1,241,484,2020-10-13
"Harrison",0,0,1,10,2020-10-13
"Hartley",0,0,0,1,2020-10-13
"Hays",0,0,6,25,2020-10-13
"Hemphill",0,0,1,0,2020-10-13
"Henderson",0,0,3,6,2020-10-13
"Hidalgo",0,2,69,64,2020-10-13
"Hill",0,0,2,1,2020-10-13
"Hockley",0,0,1,1,2020-10-13
"Hood",0,0,2,11,2020-10-13
"Hopkins",0,0,1,7,2020-10-13
"Howard",0,0,3,4,2020-10-13
"Hunt",0,0,2,5,2020-10-13
"Jackson",0,0,3,4,2020-10-13
"Jasper",0,0,0,1,2020-10-13
"Jefferson",0,0,7,13,2020-10-13
"Jim Wells",0,0,3,2,2020-10-13
"Johnson",0,0,7,14,2020-10-13
"Kaufman",0,0,5,16,2020-10-13
"Kendall",0,0,1,0,2020-10-13
"Kerr",0,0,1,3,2020-10-13
"Kleberg",0,0,0,1,2020-10-13
"Knox",0,0,0,1,2020-10-13
"Lamar",0,1,5,6,2020-10-13
"Lavaca",0,0,2,4,2020-10-13
"Lee",0,0,1,0,2020-10-13
"Liberty",0,0,2,7,2020-10-13
"Limestone",0,0,0,1,2020-10-13
"Llano",0,0,0,2,2020-10-13
"Lubbock",0,4,28,80,2020-10-13
"Marion",0,0,1,0,2020-10-13
"Martin",0,0,0,1,2020-10-13
"Matagorda",0,0,3,12,2020-10-13
"Maverick",0,0,3,5,2020-10-13
"McCulloch",0,0,0,2,2020-10-13
"McLennan",0,0,10,45,2020-10-13
"Medina",0,0,1,2,2020-10-13
"Midland",0,0,11,25,2020-10-13
"Mills",0,0,0,1,2020-10-13
"Montgomery",0,1,29,60,2020-10-13
"Morris",0,0,1,4,2020-10-13
"Nacogdoches",0,0,2,10,2020-10-13
"Navarro",3,0,6,5,2020-10-13
"Nolan",0,0,1,0,2020-10-13
"Nueces",4,0,28,65,2020-10-13
"Orange",0,0,8,1,2020-10-13
"Palo Pinto",0,0,2,5,2020-10-13
"Panola",0,0,5,1,2020-10-13
"Parker",0,0,3,15,2020-10-13
"Pecos",0,0,1,0,2020-10-13
"Polk",0,0,1,2,2020-10-13
"Potter",0,2,10,11,2020-10-13
"Randall",0,0,10,20,2020-10-13
"Robertson",0,0,0,2,2020-10-13
"Rockwall",0,0,11,8,2020-10-13
"Rusk",0,0,0,6,2020-10-13
"Sabine",0,0,0,2,2020-10-13
"San Jacinto",0,0,1,0,2020-10-13
"San Patricio",0,0,3,6,2020-10-13
"Scurry",0,0,3,1,2020-10-13
"Smith",0,0,19,35,2020-10-13
"Starr",0,0,4,4,2020-10-13
"Tarrant",1,2,106,203,2020-10-13
"Taylor",0,1,3,21,2020-10-13
"Terrell",0,0,0,1,2020-10-13
"Terry",0,0,0,1,2020-10-13
"Titus",0,0,2,5,2020-10-13
"Tom Green",0,0,9,21,2020-10-13
