"County","Childcare_Child_Cases_Daily","Childcare_Employee_Cases_Daily","Childcare_Child_Cases_Cumulative","Childcare_Employee_Cases_Cumulative","Date"
"Nolan",0,0,1,0,2020-10-06
"Nueces",1,0,24,65,2020-10-06
"Orange",0,0,8,1,2020-10-06
"Palo Pinto",0,0,2,4,2020-10-06
"Panola",0,0,5,1,2020-10-06
"Parker",0,0,2,15,2020-10-06
"Pecos",0,0,1,0,2020-10-06
"Polk",0,0,1,1,2020-10-06
"Potter",1,0,9,6,2020-10-06
"Randall",1,0,9,17,2020-10-06
"Robertson",0,0,0,2,2020-10-06
"Rockwall",0,0,11,7,2020-10-06
"Rusk",0,0,0,6,2020-10-06
"Sabine",0,0,0,2,2020-10-06
"San Jacinto",0,0,1,0,2020-10-06
"San Patricio",0,0,3,6,2020-10-06
"Scurry",0,0,3,0,2020-10-06
"Smith",0,0,18,34,2020-10-06
"Starr",0,0,3,4,2020-10-06
"Tarrant",2,0,88,182,2020-10-06
"Taylor",0,0,3,16,2020-10-06
"Terrell",0,0,0,1,2020-10-06
"Terry",0,0,0,1,2020-10-06
"Titus",0,0,2,5,2020-10-06
"Tom Green",0,0,9,21,2020-10-06
"Travis",0,0,49,98,2020-10-06
"Tyler",0,0,1,1,2020-10-06
"Upshur",0,0,3,1,2020-10-06
"Val Verde",0,0,3,4,2020-10-06
"Van Zandt",0,0,0,2,2020-10-06
"Victoria",0,1,9,6,2020-10-06
"Walker",0,0,2,12,2020-10-06
"Waller",0,0,0,2,2020-10-06
"Washington",0,0,1,3,2020-10-06
"Webb",1,1,21,29,2020-10-06
"Wharton",0,0,4,9,2020-10-06
"Wichita",0,0,1,15,2020-10-06
"Wilbarger",0,0,3,2,2020-10-06
"Willacy",0,0,1,0,2020-10-06
"Williamson",0,0,18,49,2020-10-06
"Wilson",0,0,2,4,2020-10-06
"Wise",0,0,2,2,2020-10-06
"Wood",0,0,0,2,2020-10-06
"Young",0,0,1,0,2020-10-06
"Anderson",0,0,1,4,2020-10-05
"Andrews",0,0,0,3,2020-10-05
"Angelina",0,0,4,14,2020-10-05
"Aransas",0,0,3,0,2020-10-05
"Archer",0,0,0,1,2020-10-05
"Atascosa",0,0,12,3,2020-10-05
"Austin",0,0,0,1,2020-10-05
"Bandera",0,0,1,2,2020-10-05
"Bastrop",0,0,3,4,2020-10-05
"Bee",0,0,0,1,2020-10-05
"Bell",0,0,14,34,2020-10-05
"Bexar",1,0,148,190,2020-10-05
"Bowie",0,0,4,12,2020-10-05
"Brazoria",0,1,26,51,2020-10-05
"Brazos",0,0,13,46,2020-10-05
"Brewster",0,0,0,1,2020-10-05
"Brown",0,0,4,4,2020-10-05
"Burnet",0,0,1,2,2020-10-05
"Caldwell",0,0,3,2,2020-10-05
"Calhoun",0,0,3,5,2020-10-05
"Callahan",0,0,0,1,2020-10-05
"Cameron",0,0,35,33,2020-10-05
"Camp",0,0,2,1,2020-10-05
"Cass",0,0,2,9,2020-10-05
"Chambers",0,0,0,2,2020-10-05
"Cherokee",0,0,2,1,2020-10-05
"Clay",0,0,0,2,2020-10-05
"Collin",1,1,60,98,2020-10-05
"Colorado",0,0,1,7,2020-10-05
"Comal",0,0,11,16,2020-10-05
"Comanche",0,0,1,0,2020-10-05
"Cooke",0,0,2,0,2020-10-05
"Coryell",0,0,2,2,2020-10-05
"Dallam",0,0,1,1,2020-10-05
"Dallas",0,0,110,196,2020-10-05
"Dawson",0,0,0,6,2020-10-05
"Deaf Smith",0,0,0,3,2020-10-05
"Delta",0,0,1,0,2020-10-05
"Denton",0,4,52,89,2020-10-05
"DeWitt",0,0,0,1,2020-10-05
"Dimmit",0,0,3,0,2020-10-05
"Ector",0,0,11,20,2020-10-05
"El Paso",0,0,23,41,2020-10-05
"Ellis",0,0,11,20,2020-10-05
"Erath",0,0,1,3,2020-10-05
"Fannin",0,0,0,1,2020-10-05
"Fayette",0,0,0,1,2020-10-05
"Fort Bend",0,0,47,105,2020-10-05
"Franklin",0,0,0,3,2020-10-05
"Freestone",0,0,0,1,2020-10-05
"Frio",0,0,0,2,2020-10-05
"Galveston",0,0,33,53,2020-10-05
"Gonzales",0,0,1,1,2020-10-05
"Gray",0,0,0,2,2020-10-05
"Grayson",0,0,2,8,2020-10-05
"Gregg",0,1,10,23,2020-10-05
"Grimes",0,0,0,5,2020-10-05
"Guadalupe",0,0,10,15,2020-10-05
"Hale",0,0,0,2,2020-10-05
"Hardin",0,0,3,3,2020-10-05
"Harris",3,1,228,480,2020-10-05
"Harrison",0,0,1,10,2020-10-05
"Hays",0,0,6,24,2020-10-05
"Hemphill",0,0,1,0,2020-10-05
"Henderson",0,0,2,6,2020-10-05
"Hidalgo",0,0,67,62,2020-10-05
"Hill",0,0,2,1,2020-10-05
"Hockley",0,0,1,1,2020-10-05
"Hood",0,0,2,11,2020-10-05
"Hopkins",0,0,1,6,2020-10-05
"Howard",0,0,3,4,2020-10-05
"Hunt",0,0,2,5,2020-10-05
"Jackson",0,0,3,4,2020-10-05
"Jasper",0,0,0,1,2020-10-05
"Jefferson",0,0,7,10,2020-10-05
"Jim Wells",0,0,3,2,2020-10-05
"Johnson",0,0,7,10,2020-10-05
"Kaufman",0,0,5,16,2020-10-05
"Kendall",0,0,1,0,2020-10-05
"Kerr",0,1,1,3,2020-10-05
"Kleberg",0,0,0,1,2020-10-05
"Knox",0,0,0,1,2020-10-05
"Lamar",0,0,3,5,2020-10-05
"Lavaca",0,0,2,4,2020-10-05
"Lee",0,0,1,0,2020-10-05
"Liberty",0,0,2,7,2020-10-05
"Limestone",0,0,0,1,2020-10-05
"Llano",0,0,0,2,2020-10-05
"Lubbock",0,0,27,70,2020-10-05
"Marion",0,0,1,0,2020-10-05
"Martin",0,0,0,1,2020-10-05
"Matagorda",0,0,3,11,2020-10-05
"Maverick",0,0,3,5,2020-10-05
"McCulloch",0,0,0,1,2020-10-05
"McLennan",0,0,10,44,2020-10-05
"Medina",0,0,1,2,2020-10-05
"Midland",1,1,11,24,2020-10-05
"Montgomery",2,0,28,57,2020-10-05
"Morris",0,0,1,4,2020-10-05
"Nacogdoches",0,0,2,9,2020-10-05
"Navarro",0,0,3,5,2020-10-05
"Nolan",0,0,1,0,2020-10-05
"Nueces",0,0,23,65,2020-10-05
"Orange",0,0,8,1,2020-10-05
"Palo Pinto",0,0,2,4,2020-10-05
"Panola",0,0,5,1,2020-10-05
"Parker",0,1,2,15,2020-10-05
"Pecos",0,0,1,0,2020-10-05
"Polk",0,0,1,1,2020-10-05
"Potter",0,0,8,6,2020-10-05
"Randall",0,0,8,17,2020-10-05
"Robertson",0,0,0,2,2020-10-05
"Rockwall",0,0,11,7,2020-10-05
"Rusk",0,0,0,6,2020-10-05
"Sabine",0,2,0,2,2020-10-05
"San Jacinto",0,0,1,0,2020-10-05
"San Patricio",0,0,3,6,2020-10-05
"Scurry",0,0,3,0,2020-10-05
"Smith",0,1,18,34,2020-10-05
"Starr",0,0,3,4,2020-10-05
"Tarrant",1,5,86,182,2020-10-05
"Taylor",0,0,3,16,2020-10-05
"Terrell",0,0,0,1,2020-10-05
"Terry",0,0,0,1,2020-10-05
"Titus",0,0,2,5,2020-10-05
"Tom Green",0,2,9,21,2020-10-05
"Travis",1,1,49,98,2020-10-05
"Tyler",0,0,1,1,2020-10-05
"Upshur",0,0,3,1,2020-10-05
"Val Verde",0,0,3,4,2020-10-05
"Van Zandt",0,0,0,2,2020-10-05
"Victoria",0,0,9,5,2020-10-05
"Walker",0,0,2,12,2020-10-05
"Waller",0,0,0,2,2020-10-05
"Washington",0,0,1,3,2020-10-05
"Webb",0,0,20,28,2020-10-05
"Wharton",0,0,4,9,2020-10-05
"Wichita",0,0,1,15,2020-10-05
"Wilbarger",0,0,3,2,2020-10-05
"Willacy",0,0,1,0,2020-10-05
"Williamson",0,0,18,49,2020-10-05
"Wilson",0,0,2,4,2020-10-05
"Wise",0,0,2,2,2020-10-05
"Wood",0,0,0,2,2020-10-05
"Young",0,0,1,0,2020-10-05
"Anderson",0,0,1,4,2020-10-04
"Andrews",0,0,0,3,2020-10-04
"Angelina",0,0,4,14,2020-10-04
"Aransas",0,0,3,0,2020-10-04
"Archer",0,0,0,1,2020-10-04
"Atascosa",0,0,12,3,2020-10-04
"Austin",0,0,0,1,2020-10-04
"Bandera",0,0,1,2,2020-10-04
"Bastrop",0,0,3,4,2020-10-04
"Bee",0,0,0,1,2020-10-04
"Bell",0,0,14,34,2020-10-04
"Bexar",2,1,147,190,2020-10-04
"Bowie",0,0,4,12,2020-10-04
"Brazoria",0,2,26,50,2020-10-04
"Brazos",0,0,13,46,2020-10-04
"Brewster",0,0,0,1,2020-10-04
"Brown",0,0,4,4,2020-10-04
"Burnet",0,0,1,2,2020-10-04
"Caldwell",0,0,3,2,2020-10-04
"Calhoun",1,0,3,5,2020-10-04
"Callahan",0,0,0,1,2020-10-04
"Cameron",0,0,35,33,2020-10-04
"Camp",0,0,2,1,2020-10-04
"Cass",0,0,2,9,2020-10-04
"Chambers",0,0,0,2,2020-10-04
"Cherokee",0,0,2,1,2020-10-04
"Clay",0,0,0,2,2020-10-04
"Collin",0,1,59,97,2020-10-04
"Colorado",0,0,1,7,2020-10-04
"Comal",0,0,11,16,2020-10-04
"Comanche",0,0,1,0,2020-10-04
"Cooke",0,0,2,0,2020-10-04
"Coryell",0,0,2,2,2020-10-04
"Dallam",0,0,1,1,2020-10-04
"Dallas",1,0,110,196,2020-10-04
"Dawson",0,0,0,6,2020-10-04
"Deaf Smith",0,0,0,3,2020-10-04
"Delta",0,0,1,0,2020-10-04
"Denton",0,1,52,85,2020-10-04
"DeWitt",0,0,0,1,2020-10-04
"Dimmit",0,0,3,0,2020-10-04
"Ector",0,0,11,20,2020-10-04
"El Paso",1,0,23,41,2020-10-04
"Ellis",0,0,11,20,2020-10-04
"Erath",0,0,1,3,2020-10-04
"Fannin",0,0,0,1,2020-10-04
"Fayette",0,0,0,1,2020-10-04
"Fort Bend",1,1,47,105,2020-10-04
"Franklin",0,0,0,3,2020-10-04
"Freestone",0,0,0,1,2020-10-04
"Frio",0,0,0,2,2020-10-04
"Galveston",0,0,33,53,2020-10-04
"Gonzales",0,0,1,1,2020-10-04
"Gray",0,0,0,2,2020-10-04
"Grayson",0,0,2,8,2020-10-04
"Gregg",0,0,10,22,2020-10-04
"Grimes",0,0,0,5,2020-10-04
"Guadalupe",0,0,10,15,2020-10-04
"Hale",0,0,0,2,2020-10-04
"Hardin",0,0,3,3,2020-10-04
"Harris",3,1,225,479,2020-10-04
"Harrison",0,0,1,10,2020-10-04
"Hays",0,0,6,24,2020-10-04
"Hemphill",0,0,1,0,2020-10-04
"Henderson",0,0,2,6,2020-10-04
"Hidalgo",1,0,67,62,2020-10-04
"Hill",0,0,2,1,2020-10-04
"Hockley",0,0,1,1,2020-10-04
"Hood",0,0,2,11,2020-10-04
"Hopkins",0,0,1,6,2020-10-04
"Howard",0,0,3,4,2020-10-04
"Hunt",0,0,2,5,2020-10-04
"Jackson",0,0,3,4,2020-10-04
"Jasper",0,0,0,1,2020-10-04
"Jefferson",0,0,7,10,2020-10-04
"Jim Wells",0,0,3,2,2020-10-04
"Johnson",0,1,7,10,2020-10-04
"Kaufman",0,0,5,16,2020-10-04
"Kendall",0,0,1,0,2020-10-04
"Kerr",0,0,1,2,2020-10-04
"Kleberg",0,0,0,1,2020-10-04
"Knox",0,0,0,1,2020-10-04
"Lamar",0,0,3,5,2020-10-04
"Lavaca",0,0,2,4,2020-10-04
"Lee",0,0,1,0,2020-10-04
"Liberty",0,0,2,7,2020-10-04
"Limestone",0,0,0,1,2020-10-04
"Llano",0,0,0,2,2020-10-04
"Lubbock",2,2,27,70,2020-10-04
"Marion",1,0,1,0,2020-10-04
"Martin",0,0,0,1,2020-10-04
"Matagorda",0,0,3,11,2020-10-04
"Maverick",0,0,3,5,2020-10-04
"McCulloch",0,0,0,1,2020-10-04
"McLennan",0,1,10,44,2020-10-04
"Medina",0,0,1,2,2020-10-04
"Midland",0,0,10,23,2020-10-04
"Montgomery",0,0,26,57,2020-10-04
"Morris",0,0,1,4,2020-10-04
"Nacogdoches",0,0,2,9,2020-10-04
"Navarro",0,0,3,5,2020-10-04
"Nolan",0,0,1,0,2020-10-04
"Nueces",0,0,23,65,2020-10-04
"Orange",0,0,8,1,2020-10-04
"Palo Pinto",0,0,2,4,2020-10-04
"Panola",0,0,5,1,2020-10-04
"Parker",1,1,2,14,2020-10-04
"Pecos",0,0,1,0,2020-10-04
"Polk",0,0,1,1,2020-10-04
"Potter",0,1,8,6,2020-10-04
"Randall",0,1,8,17,2020-10-04
"Robertson",0,0,0,2,2020-10-04
"Rockwall",0,0,11,7,2020-10-04
"Rusk",0,0,0,6,2020-10-04
"San Jacinto",0,0,1,0,2020-10-04
"San Patricio",0,0,3,6,2020-10-04
"Scurry",0,0,3,0,2020-10-04
"Smith",0,0,18,33,2020-10-04
"Starr",0,0,3,4,2020-10-04
"Tarrant",0,1,85,177,2020-10-04
"Taylor",0,0,3,16,2020-10-04
"Terrell",0,0,0,1,2020-10-04
"Terry",0,0,0,1,2020-10-04
"Titus",0,0,2,5,2020-10-04
"Tom Green",0,0,9,19,2020-10-04
"Travis",0,1,48,97,2020-10-04
"Tyler",0,0,1,1,2020-10-04
"Upshur",0,0,3,1,2020-10-04
"Val Verde",0,0,3,4,2020-10-04
"Van Zandt",0,0,0,2,2020-10-04
"Victoria",0,0,9,5,2020-10-04
"Walker",0,0,2,12,2020-10-04
"Waller",0,0,0,2,2020-10-04
"Washington",0,0,1,3,2020-10-04
"Webb",1,0,20,28,2020-10-04
"Wharton",0,0,4,9,2020-10-04
"Wichita",0,0,1,15,2020-10-04
"Wilbarger",0,0,3,2,2020-10-04
"Willacy",0,0,1,0,2020-10-04
"Williamson",0,0,18,49,2020-10-04
"Wilson",0,0,2,4,2020-10-04
"Wise",0,0,2,2,2020-10-04
"Wood",0,0,0,2,2020-10-04
"Young",0,0,1,0,2020-10-04
"Anderson",0,0,1,4,2020-10-01
"Andrews",0,0,0,3,2020-10-01
"Angelina",0,0,4,14,2020-10-01
"Aransas",0,0,3,0,2020-10-01
"Archer",0,0,0,1,2020-10-01
"Atascosa",0,0,12,3,2020-10-01
"Austin",0,0,0,1,2020-10-01
"Bandera",0,0,1,2,2020-10-01
"Bastrop",0,0,3,4,2020-10-01
"Bee",0,0,0,1,2020-10-01
"Bell",1,0,14,34,2020-10-01
"Bexar",1,0,145,189,2020-10-01
"Bowie",0,0,4,12,2020-10-01
"Brazoria",0,0,26,48,2020-10-01
"Brazos",0,0,13,46,2020-10-01
"Brewster",0,0,0,1,2020-10-01
"Brown",0,0,4,4,2020-10-01
"Burnet",0,0,1,2,2020-10-01
"Caldwell",0,0,3,2,2020-10-01
"Calhoun",0,0,2,5,2020-10-01
"Callahan",0,0,0,1,2020-10-01
"Cameron",0,0,35,33,2020-10-01
"Camp",0,1,2,1,2020-10-01
"Cass",0,1,2,9,2020-10-01
"Chambers",0,0,0,2,2020-10-01
"Cherokee",0,0,2,1,2020-10-01
"Clay",0,0,0,2,2020-10-01
"Collin",0,0,59,96,2020-10-01
"Colorado",0,0,1,7,2020-10-01
"Comal",0,0,11,16,2020-10-01
"Comanche",1,0,1,0,2020-10-01
"Cooke",0,0,2,0,2020-10-01
"Coryell",0,0,2,2,2020-10-01
"Dallam",0,0,1,1,2020-10-01
"Dallas",2,0,109,196,2020-10-01
"Dawson",0,0,0,6,2020-10-01
"Deaf Smith",0,0,0,3,2020-10-01
"Delta",0,0,1,0,2020-10-01
"Denton",0,0,52,84,2020-10-01
"DeWitt",0,0,0,1,2020-10-01
"Dimmit",0,0,3,0,2020-10-01
"Ector",0,1,11,20,2020-10-01
"El Paso",0,0,22,41,2020-10-01
"Ellis",0,0,11,20,2020-10-01
"Erath",0,0,1,3,2020-10-01
"Fannin",0,0,0,1,2020-10-01
"Fayette",0,0,0,1,2020-10-01
"Fort Bend",0,0,46,104,2020-10-01
"Franklin",0,0,0,3,2020-10-01
"Freestone",0,0,0,1,2020-10-01
"Frio",0,0,0,2,2020-10-01
"Galveston",0,0,33,53,2020-10-01
"Gonzales",0,0,1,1,2020-10-01
"Gray",0,0,0,2,2020-10-01
"Grayson",0,0,2,8,2020-10-01
"Gregg",0,0,10,22,2020-10-01
"Grimes",0,0,0,5,2020-10-01
"Guadalupe",0,0,10,15,2020-10-01
"Hale",0,0,0,2,2020-10-01
"Hardin",0,0,3,3,2020-10-01
"Harris",0,0,222,478,2020-10-01
"Harrison",0,0,1,10,2020-10-01
"Hays",0,0,6,24,2020-10-01
"Hemphill",0,0,1,0,2020-10-01
"Henderson",0,0,2,6,2020-10-01
"Hidalgo",1,0,66,62,2020-10-01
"Hill",0,0,2,1,2020-10-01
"Hockley",0,0,1,1,2020-10-01
"Hood",0,0,2,11,2020-10-01
"Hopkins",0,0,1,6,2020-10-01
"Howard",0,2,3,4,2020-10-01
"Hunt",0,0,2,5,2020-10-01
"Jackson",0,0,3,4,2020-10-01
"Jasper",0,0,0,1,2020-10-01
"Jefferson",0,0,7,10,2020-10-01
"Jim Wells",0,0,3,2,2020-10-01
"Johnson",0,0,7,9,2020-10-01
"Kaufman",0,0,5,16,2020-10-01
"Kendall",0,0,1,0,2020-10-01
"Kerr",0,0,1,2,2020-10-01
"Kleberg",0,0,0,1,2020-10-01
"Knox",0,0,0,1,2020-10-01
"Lamar",0,0,3,5,2020-10-01
"Lavaca",1,2,2,4,2020-10-01
"Lee",0,0,1,0,2020-10-01
"Liberty",0,0,2,7,2020-10-01
"Limestone",0,0,0,1,2020-10-01
"Llano",0,0,0,2,2020-10-01
"Lubbock",0,2,25,68,2020-10-01
"Martin",0,0,0,1,2020-10-01
"Matagorda",0,0,3,11,2020-10-01
"Maverick",0,0,3,5,2020-10-01
"McCulloch",0,0,0,1,2020-10-01
"McLennan",0,0,10,43,2020-10-01
"Medina",0,0,1,2,2020-10-01
"Midland",0,0,10,23,2020-10-01
"Montgomery",0,0,26,57,2020-10-01
"Morris",0,0,1,4,2020-10-01
"Nacogdoches",0,0,2,9,2020-10-01
"Navarro",0,0,3,5,2020-10-01
"Nolan",0,0,1,0,2020-10-01
"Nueces",0,0,23,65,2020-10-01
"Orange",0,0,8,1,2020-10-01
"Palo Pinto",0,0,2,4,2020-10-01
"Panola",0,0,5,1,2020-10-01
"Parker",0,0,1,13,2020-10-01
"Pecos",0,0,1,0,2020-10-01
"Polk",0,0,1,1,2020-10-01
"Potter",1,0,8,5,2020-10-01
"Randall",0,0,8,16,2020-10-01
"Robertson",0,0,0,2,2020-10-01
"Rockwall",0,0,11,7,2020-10-01
"Rusk",0,0,0,6,2020-10-01
"San Jacinto",0,0,1,0,2020-10-01
"San Patricio",0,0,3,6,2020-10-01
"Scurry",0,0,3,0,2020-10-01
"Smith",0,0,18,33,2020-10-01
"Starr",0,0,3,4,2020-10-01
"Tarrant",3,5,85,176,2020-10-01
"Taylor",0,1,3,16,2020-10-01
"Terrell",0,0,0,1,2020-10-01
"Terry",0,0,0,1,2020-10-01
"Titus",0,1,2,5,2020-10-01
"Tom Green",0,0,9,19,2020-10-01
"Travis",0,0,48,96,2020-10-01
"Tyler",0,0,1,1,2020-10-01
"Upshur",0,0,3,1,2020-10-01
"Val Verde",0,0,3,4,2020-10-01
"Van Zandt",0,0,0,2,2020-10-01
"Victoria",0,0,9,5,2020-10-01
"Walker",0,0,2,12,2020-10-01
"Waller",0,0,0,2,2020-10-01
"Washington",0,0,1,3,2020-10-01
"Webb",0,0,19,28,2020-10-01
"Wharton",0,0,4,9,2020-10-01
"Wichita",0,0,1,15,2020-10-01
"Wilbarger",0,0,3,2,2020-10-01
"Willacy",0,0,1,0,2020-10-01
"Williamson",0,0,18,49,2020-10-01
"Wilson",0,0,2,4,2020-10-01
"Wise",0,0,2,2,2020-10-01
"Wood",0,0,0,2,2020-10-01
"Young",0,0,1,0,2020-10-01
"Anderson",0,1,1,4,2020-09-30
"Andrews",0,0,0,3,2020-09-30
"Angelina",0,0,4,14,2020-09-30
"Aransas",0,0,3,0,2020-09-30
"Archer",0,0,0,1,2020-09-30
"Atascosa",0,0,12,3,2020-09-30
"Austin",0,0,0,1,2020-09-30
"Bandera",0,0,1,2,2020-09-30
"Bastrop",0,0,3,4,2020-09-30
"Bee",0,0,0,1,2020-09-30
"Bell",0,0,13,34,2020-09-30
"Bexar",0,0,144,189,2020-09-30
"Bowie",0,0,4,12,2020-09-30
"Brazoria",0,0,26,48,2020-09-30
"Brazos",0,0,13,46,2020-09-30
"Brewster",0,0,0,1,2020-09-30
"Brown",0,0,4,4,2020-09-30
"Burnet",0,0,1,2,2020-09-30
"Caldwell",0,0,3,2,2020-09-30
"Calhoun",0,0,2,5,2020-09-30
"Callahan",0,0,0,1,2020-09-30
"Cameron",0,0,35,33,2020-09-30
"Camp",0,0,2,0,2020-09-30
"Cass",0,0,2,8,2020-09-30
"Chambers",0,0,0,2,2020-09-30
"Cherokee",0,0,2,1,2020-09-30
"Clay",0,0,0,2,2020-09-30
"Collin",2,3,59,96,2020-09-30
"Colorado",0,0,1,7,2020-09-30
"Comal",0,0,11,16,2020-09-30
"Cooke",0,0,2,0,2020-09-30
"Coryell",0,0,2,2,2020-09-30
"Dallam",0,0,1,1,2020-09-30
"Dallas",2,1,107,196,2020-09-30
"Dawson",0,2,0,6,2020-09-30
"Deaf Smith",0,0,0,3,2020-09-30
"Delta",0,0,1,0,2020-09-30
"Denton",0,0,52,84,2020-09-30
"DeWitt",0,0,0,1,2020-09-30
"Dimmit",0,0,3,0,2020-09-30
"Ector",0,0,11,19,2020-09-30
"El Paso",0,0,22,41,2020-09-30
"Ellis",0,0,11,20,2020-09-30
"Erath",0,0,1,3,2020-09-30
"Fannin",0,0,0,1,2020-09-30
"Fayette",0,0,0,1,2020-09-30
"Fort Bend",0,0,46,104,2020-09-30
"Franklin",0,0,0,3,2020-09-30
"Freestone",0,0,0,1,2020-09-30
"Frio",0,0,0,2,2020-09-30
"Galveston",0,0,33,53,2020-09-30
"Gonzales",0,0,1,1,2020-09-30
"Gray",0,0,0,2,2020-09-30
"Grayson",0,0,2,8,2020-09-30
"Gregg",1,0,10,22,2020-09-30
"Grimes",0,0,0,5,2020-09-30
"Guadalupe",0,0,10,15,2020-09-30
"Hale",0,0,0,2,2020-09-30
"Hardin",0,0,3,3,2020-09-30
"Harris",0,0,222,478,2020-09-30
"Harrison",0,0,1,10,2020-09-30
"Hays",0,0,6,24,2020-09-30
"Hemphill",0,0,1,0,2020-09-30
"Henderson",0,0,2,6,2020-09-30
"Hidalgo",0,0,65,62,2020-09-30
"Hill",0,0,2,1,2020-09-30
"Hockley",0,0,1,1,2020-09-30
"Hood",0,0,2,11,2020-09-30
"Hopkins",0,0,1,6,2020-09-30
"Howard",0,0,3,2,2020-09-30
"Hunt",0,0,2,5,2020-09-30
"Jackson",0,0,3,4,2020-09-30
"Jasper",0,0,0,1,2020-09-30
"Jefferson",0,0,7,10,2020-09-30
"Jim Wells",0,0,3,2,2020-09-30
"Johnson",0,0,7,9,2020-09-30
"Kaufman",0,0,5,16,2020-09-30
"Kendall",0,0,1,0,2020-09-30
"Kerr",0,0,1,2,2020-09-30
"Kleberg",0,0,0,1,2020-09-30
"Knox",0,0,0,1,2020-09-30
"Lamar",1,0,3,5,2020-09-30
"Lavaca",0,0,1,2,2020-09-30
"Lee",0,0,1,0,2020-09-30
"Liberty",0,0,2,7,2020-09-30
"Limestone",0,0,0,1,2020-09-30
"Llano",0,0,0,2,2020-09-30
"Lubbock",0,2,25,66,2020-09-30
"Martin",0,0,0,1,2020-09-30
"Matagorda",0,0,3,11,2020-09-30
"Maverick",1,0,3,5,2020-09-30
"McCulloch",0,0,0,1,2020-09-30
"McLennan",0,0,10,43,2020-09-30
"Medina",0,0,1,2,2020-09-30
"Midland",0,0,10,23,2020-09-30
"Montgomery",0,0,26,57,2020-09-30
"Morris",0,0,1,4,2020-09-30
"Nacogdoches",0,0,2,9,2020-09-30
"Navarro",0,0,3,5,2020-09-30
"Nolan",0,0,1,0,2020-09-30
"Nueces",0,0,23,65,2020-09-30
"Orange",0,0,8,1,2020-09-30
"Palo Pinto",0,0,2,4,2020-09-30
"Panola",0,1,5,1,2020-09-30
"Parker",0,0,1,13,2020-09-30
"Pecos",0,0,1,0,2020-09-30
"Polk",0,0,1,1,2020-09-30
"Potter",0,0,7,5,2020-09-30
"Randall",1,1,8,16,2020-09-30
"Robertson",0,0,0,2,2020-09-30
"Rockwall",0,0,11,7,2020-09-30
"Rusk",0,0,0,6,2020-09-30
"San Jacinto",0,0,1,0,2020-09-30
"San Patricio",0,0,3,6,2020-09-30
"Scurry",0,0,3,0,2020-09-30
"Smith",0,5,18,33,2020-09-30
"Starr",0,0,3,4,2020-09-30
"Tarrant",1,1,82,171,2020-09-30
"Taylor",0,0,3,15,2020-09-30
"Terrell",0,0,0,1,2020-09-30
"Terry",0,0,0,1,2020-09-30
"Titus",0,0,2,4,2020-09-30
"Tom Green",0,0,9,19,2020-09-30
"Travis",0,0,48,96,2020-09-30
"Tyler",0,0,1,1,2020-09-30
"Upshur",0,0,3,1,2020-09-30
"Val Verde",0,0,3,4,2020-09-30
"Van Zandt",0,0,0,2,2020-09-30
"Victoria",0,0,9,5,2020-09-30
"Walker",0,0,2,12,2020-09-30
"Waller",0,0,0,2,2020-09-30
"Washington",0,0,1,3,2020-09-30
"Webb",0,0,19,28,2020-09-30
"Wharton",0,0,4,9,2020-09-30
"Wichita",0,0,1,15,2020-09-30
"Wilbarger",0,0,3,2,2020-09-30
"Willacy",0,0,1,0,2020-09-30
"Williamson",0,0,18,49,2020-09-30
"Wilson",0,0,2,4,2020-09-30
"Wise",0,0,2,2,2020-09-30
"Wood",0,0,0,2,2020-09-30
"Young",0,0,1,0,2020-09-30
"Anderson",0,0,1,3,2020-09-29
"Andrews",0,0,0,3,2020-09-29
"Angelina",0,0,4,14,2020-09-29
"Aransas",0,0,3,0,2020-09-29
"Archer",0,0,0,1,2020-09-29
"Atascosa",0,0,12,3,2020-09-29
"Austin",0,0,0,1,2020-09-29
"Bandera",0,0,1,2,2020-09-29
"Bastrop",0,0,3,4,2020-09-29
"Bee",0,0,0,1,2020-09-29
"Bell",0,0,13,34,2020-09-29
"Bexar",0,2,144,189,2020-09-29
"Bowie",1,0,4,12,2020-09-29
"Brazoria",0,0,26,48,2020-09-29
"Brazos",0,1,13,46,2020-09-29
"Brewster",0,0,0,1,2020-09-29
"Brown",0,0,4,4,2020-09-29
"Burnet",0,0,1,2,2020-09-29
"Caldwell",0,0,3,2,2020-09-29
"Calhoun",0,0,2,5,2020-09-29
"Callahan",0,0,0,1,2020-09-29
"Cameron",0,0,35,33,2020-09-29
"Camp",0,0,2,0,2020-09-29
"Cass",0,0,2,8,2020-09-29
"Chambers",0,0,0,2,2020-09-29
"Cherokee",0,0,2,1,2020-09-29
"Clay",0,0,0,2,2020-09-29
"Collin",1,0,57,93,2020-09-29
"Colorado",0,0,1,7,2020-09-29
"Comal",0,1,11,16,2020-09-29
"Cooke",0,0,2,0,2020-09-29
"Coryell",0,0,2,2,2020-09-29
"Dallam",0,0,1,1,2020-09-29
"Dallas",0,1,105,195,2020-09-29
"Dawson",0,2,0,4,2020-09-29
"Deaf Smith",0,0,0,3,2020-09-29
"Delta",0,0,1,0,2020-09-29
"Denton",0,0,52,84,2020-09-29
"DeWitt",0,0,0,1,2020-09-29
"Dimmit",0,0,3,0,2020-09-29
"Ector",0,0,11,19,2020-09-29
"El Paso",2,0,22,41,2020-09-29
"Ellis",0,0,11,20,2020-09-29
"Erath",0,0,1,3,2020-09-29
"Fannin",0,0,0,1,2020-09-29
