"District","LEA","County"
"Evadale ISD","121906","Hardin"
"Evadale ISD","121906","Jasper"
"Evant ISD","50901","Coryell"
"Evant ISD","50901","Hamilton"
"Evant ISD","50901","Lampasas"
"Everman ISD","220904","Tarrant"
"Excelsior ISD","210906","Nacogdoches"
"Excelsior ISD","210906","San Augustine"
"Excelsior ISD","210906","Shelby"
"Ezzell ISD","143906","DeWitt"
"Ezzell ISD","143906","Jackson"
"Ezzell ISD","143906","Lavaca"
"Ezzell ISD","143906","Victoria"
"Fabens ISD","71903","El Paso"
"Fairfield ISD","81902","Anderson"
"Fairfield ISD","81902","Freestone"
"Fairfield ISD","81902","Navarro"
"Falls City ISD","128904","Atascosa"
"Falls City ISD","128904","Karnes"
"Falls City ISD","128904","Wilson"
"Fannindel ISD","60914","Delta"
"Fannindel ISD","60914","Fannin"
"Fannindel ISD","60914","Hunt"
"Fannindel ISD","60914","Lamar"
"Farmersville ISD","43904","Collin"
"Farmersville ISD","43904","Hunt"
"Farwell ISD","185902","Bailey"
"Farwell ISD","185902","Parmer"
"Fayetteville ISD","75906","Austin"
"Fayetteville ISD","75906","Colorado"
"Fayetteville ISD","75906","Fayette"
"Ferris ISD","70905","Dallas"
"Ferris ISD","70905","Ellis"
"Ferris ISD","70905","Kaufman"
"Flatonia ISD","75901","Bastrop"
"Flatonia ISD","75901","Caldwell"
"Flatonia ISD","75901","Fayette"
"Flatonia ISD","75901","Gonzales"
"Flatonia ISD","75901","Lavaca"
"Florence ISD","246902","Bell"
"Florence ISD","246902","Burnet"
"Florence ISD","246902","Williamson"
"Floresville ISD","247901","Atascosa"
"Floresville ISD","247901","Bexar"
"Floresville ISD","247901","Wilson"
"Flour Bluff ISD","178914","Kleberg"
"Flour Bluff ISD","178914","Nueces"
"Floydada ISD","77901","Briscoe"
"Floydada ISD","77901","Crosby"
"Floydada ISD","77901","Dickens"
"Floydada ISD","77901","Floyd"
"Floydada ISD","77901","Hale"
"Floydada ISD","77901","Motley"
"Follett ISD","148902","Lipscomb"
"Forestburg ISD","169910","Cooke"
"Forestburg ISD","169910","Montague"
"Forestburg ISD","169910","Wise"
"Forney ISD","129902","Dallas"
"Forney ISD","129902","Kaufman"
"Forney ISD","129902","Rockwall"
"Forsan ISD","114904","Glasscock"
"Forsan ISD","114904","Howard"
"Forsan ISD","114904","Mitchell"
"Forsan ISD","114904","Sterling"
"Fort Bend ISD","79907","Brazoria"
"Fort Bend ISD","79907","Fort Bend"
