County,Region,Region_Name
Lee,5,Temple
Leon,5,Temple
Liberty,4,Tyler
Limestone,5,Temple
Lipscomb,1,Lubbock
Live Oak,7,San Antonio & Harlingen
Llano,5,Temple
Loving,2,El Paso & Midwest Texas 
Lubbock,1,Lubbock
Lynn,1,Lubbock
Madison,5,Temple
Marion,4,Tyler
Martin,1,Lubbock
Mason,2,El Paso & Midwest Texas 
Matagorda,6,Houston
Maverick,7,San Antonio & Harlingen
McCulloch,2,El Paso & Midwest Texas 
McLennan,5,Temple
McMullen,7,San Antonio & Harlingen
Medina,7,San Antonio & Harlingen
Menard,2,El Paso & Midwest Texas 
Midland,2,El Paso & Midwest Texas 
Milam,5,Temple
Mills,5,Temple
Mitchell,1,Lubbock
Montague,2,El Paso & Midwest Texas 
Montgomery,6,Houston
Moore,1,Lubbock
Morris,4,Tyler
Motley,1,Lubbock
Nacogdoches,4,Tyler
Navarro,5,Temple
Newton,4,Tyler
Nolan,1,Lubbock
Nueces,7,San Antonio & Harlingen
Ochiltree,1,Lubbock
Oldham,1,Lubbock
Orange,4,Tyler
Palo Pinto,2,El Paso & Midwest Texas 
Panola,4,Tyler
Parker,2,El Paso & Midwest Texas 
Parmer,1,Lubbock
Pecos,2,El Paso & Midwest Texas 
Polk,4,Tyler
Potter,1,Lubbock
Presidio,2,El Paso & Midwest Texas 
Rains,4,Tyler
Randall,1,Lubbock
Reagan,2,El Paso & Midwest Texas 
Real,7,San Antonio & Harlingen
Red River,4,Tyler
Reeves,2,El Paso & Midwest Texas 
Refugio,7,San Antonio & Harlingen
Roberts,1,Lubbock
Robertson,5,Temple
Rockwall,3,Arlington
Runnels,2,El Paso & Midwest Texas 
Rusk,4,Tyler
Sabine,4,Tyler
San Augustine,4,Tyler
San Jacinto,4,Tyler
San Patricio,7,San Antonio & Harlingen
San Saba,5,Temple
Schleicher,2,El Paso & Midwest Texas 
Scurry,1,Lubbock
Shackelford,2,El Paso & Midwest Texas 
Shelby,4,Tyler
Sherman,1,Lubbock
Smith,4,Tyler
Somervell,2,El Paso & Midwest Texas 
Starr,7,San Antonio & Harlingen
Stephens,2,El Paso & Midwest Texas 
Sterling,2,El Paso & Midwest Texas 
Stonewall,1,Lubbock
Sutton,2,El Paso & Midwest Texas 
Swisher,1,Lubbock
Tarrant,3,Arlington
Taylor,2,El Paso & Midwest Texas 
Terrell,2,El Paso & Midwest Texas 
Terry,1,Lubbock
Throckmorton,2,El Paso & Midwest Texas 
Titus,4,Tyler
Tom Green,2,El Paso & Midwest Texas 
Travis,5,Temple
Trinity,4,Tyler
Tyler,4,Tyler
Upshur,4,Tyler
Upton,2,El Paso & Midwest Texas 
Uvalde,7,San Antonio & Harlingen
Val Verde,7,San Antonio & Harlingen
Van Zandt,4,Tyler
Victoria,7,San Antonio & Harlingen
Walker,4,Tyler
Waller,6,Houston
Ward,2,El Paso & Midwest Texas 
Washington,5,Temple
Webb,7,San Antonio & Harlingen
Wharton,6,Houston
Wheeler,1,Lubbock
Wichita,2,El Paso & Midwest Texas 
Wilbarger,2,El Paso & Midwest Texas 
Willacy,7,San Antonio & Harlingen
Williamson,5,Temple
Wilson,7,San Antonio & Harlingen
Winkler,2,El Paso & Midwest Texas 
Wise,3,Arlington
Wood,4,Tyler
