"LEA","District","County"
145902,"Centerville ISD","Houston,Leon,Madison"
145906,"Normangee ISD","Brazos,Leon,Madison,Robertson"
145907,"Oakwood ISD","Anderson,Freestone,Houston,Leon"
145911,"Leon ISD","Freestone,Leon,Limestone,Robertson"
146901,"Cleveland ISD","Harris,Liberty,Montgomery,San Jacinto"
146902,"Dayton ISD","Chambers,Harris,Liberty"
146903,"Devers ISD","Chambers,Hardin,Jefferson,Liberty"
146904,"Hardin ISD","Hardin,Liberty,Polk,San Jacinto"
146905,"Hull-Daisetta ISD","Hardin,Liberty"
146906,"Liberty ISD","Chambers,Liberty"
146907,"Tarkington ISD","Liberty,San Jacinto"
147901,"Coolidge ISD","Hill,Limestone,Navarro"
147902,"Groesbeck ISD","Falls,Freestone,Leon,Limestone,Robertson"
147903,"Mexia ISD","Freestone,Limestone,Navarro"
148901,"Booker ISD","Hemphill,Lipscomb,Ochiltree,Roberts"
148902,"Follett ISD","Lipscomb"
148905,"Darrouzett ISD","Lipscomb"
149901,"George West ISD","Bee,Duval,Jim Wells,Live Oak,McMullen,San Patricio"
149902,"Three Rivers ISD","Atascosa,Bee,Karnes,Live Oak,McMullen"
150901,"Llano ISD","Blanco,Burnet,Gillespie,Llano,Mason,San Saba"
152901,"Lubbock ISD","Lubbock"
152902,"New Deal ISD","Hale,Lubbock"
152903,"Slaton ISD","Crosby,Lubbock,Lynn"
152906,"Lubbock-Cooper ISD","Lubbock,Lynn"
152907,"Frenship ISD","Hockley,Lubbock,Lynn,Terry"
152908,"Roosevelt ISD","Crosby,Lubbock"
152909,"Shallowater ISD","Hockley,Lubbock"
152910,"Idalou ISD","Hale,Lubbock"
153903,"O'donnell ISD","Borden,Dawson,Garza,Lynn,Terry"
153904,"Tahoka ISD","Garza,Lynn,Terry"
153905,"New Home ISD","Hockley,Lubbock,Lynn,Terry"
153907,"Wilson ISD","Lubbock,Lynn"
154901,"Madisonville Cisd","Grimes,Houston,Leon,Madison,Walker"
154903,"North Zulch ISD","Brazos,Grimes,Madison"
155901,"Jefferson ISD","Cass,Harrison,Marion,Morris,Upshur"
156902,"Stanton ISD","Andrews,Glasscock,Howard,Martin,Midland"
156905,"Grady ISD","Andrews,Howard,Martin"
157901,"Mason ISD","Gillespie,Kimble,Llano,Mason,McCulloch,Menard,San Saba"
158901,"Bay City ISD","Matagorda,Wharton"
158902,"Tidehaven ISD","Jackson,Matagorda,Wharton"
158904,"Matagorda ISD","Matagorda"
158905,"Palacios ISD","Calhoun,Jackson,Matagorda"
158906,"Van Vleck ISD","Brazoria,Matagorda"
159901,"Eagle Pass ISD","Dimmit,Kinney,Maverick,Uvalde,Webb,Zavala"
160901,"Brady ISD","Coleman,Concho,Mason,McCulloch,Menard,San Saba"
160904,"Rochelle ISD","Brown,Coleman,McCulloch,San Saba"
160905,"Lohn ISD","Coleman,McCulloch"
161901,"Crawford ISD","Bosque,Coryell,McLennan"
161903,"Midway ISD","McLennan"
161906,"La Vega ISD","McLennan"
161907,"Lorena ISD","Falls,McLennan"
161908,"Mart ISD","Falls,Limestone,McLennan"
161909,"Mcgregor ISD","Coryell,McLennan"
161910,"Moody ISD","Bell,Coryell,McLennan"
161912,"Riesel ISD","Falls,McLennan"
161914,"Waco ISD","McLennan"
161916,"West ISD","Hill,McLennan"
161918,"Axtell ISD","Hill,Limestone,McLennan"
161919,"Bruceville-Eddy ISD","Bell,Falls,McLennan"
161920,"China Spring ISD","Bosque,Hill,McLennan"
161921,"Connally ISD","McLennan"
161922,"Robinson ISD","Falls,McLennan"
161923,"Bosqueville ISD","McLennan"
161924,"Hallsburg ISD","McLennan"
161925,"Gholson ISD","Hill,McLennan"
162904,"Mcmullen County ISD","Atascosa,Duval,La Salle,Live Oak,McMullen,Webb"
163901,"Devine ISD","Atascosa,Frio,Medina"
163902,"D'hanis ISD","Bandera,Frio,Medina,Uvalde,Zavala"
163903,"Natalia ISD","Atascosa,Medina"
163904,"Hondo ISD","Bandera,Frio,Medina"
163908,"Medina Valley ISD","Bandera,Bexar,Medina"
164901,"Menard ISD","Concho,Kimble,Mason,McCulloch,Menard,Schleicher,Sutton,Tom Green"
165901,"Midland ISD","Andrews,Ector,Glasscock,Martin,Midland,Upton"
165902,"Greenwood ISD","Glasscock,Martin,Midland"
166901,"Cameron ISD","Bell,Falls,Milam,Robertson"
166902,"Gause ISD","Burleson,Milam,Robertson"
166903,"Milano ISD","Burleson,Milam"
166904,"Rockdale ISD","Burleson,Lee,Milam"
166905,"Thorndale ISD","Lee,Milam,Williamson"
166907,"Buckholts ISD","Bell,Milam"
167901,"Goldthwaite ISD","Hamilton,Lampasas,Mills,San Saba"
167902,"Mullin ISD","Brown,Comanche,Mills,San Saba"
167904,"Priddy ISD","Comanche,Hamilton,Mills"
168901,"Colorado ISD","Coke,Mitchell,Nolan,Scurry,Sterling"
168902,"Loraine ISD","Mitchell,Nolan,Scurry"
168903,"Westbrook ISD","Howard,Mitchell"
169901,"Bowie ISD","Clay,Jack,Montague,Wise"
169902,"Nocona ISD","Montague"
169906,"Gold Burg ISD","Clay,Montague"
169908,"Montague ISD","Montague"
