"LEA","District","County"
169909,"Prairie Valley ISD","Montague"
169910,"Forestburg ISD","Cooke,Montague,Wise"
169911,"Saint Jo ISD","Cooke,Montague"
170902,"Conroe ISD","Harris,Montgomery,San Jacinto"
170903,"Montgomery ISD","Grimes,Montgomery,Walker"
170904,"Willis ISD","Montgomery,San Jacinto,Walker"
170906,"Magnolia ISD","Grimes,Harris,Montgomery,Waller"
170907,"Splendora ISD","Liberty,Montgomery,San Jacinto"
170908,"New Caney ISD","Harris,Liberty,Montgomery"
171901,"Dumas ISD","Carson,Dallam,Hartley,Hutchinson,Moore,Oldham,Potter,Sherman"
171902,"Sunray ISD","Hansford,Hutchinson,Moore,Sherman"
172902,"Daingerfield-Lone Star ISD","Camp,Cass,Marion,Morris,Titus,Upshur"
172905,"Pewitt Cisd","Bowie,Cass,Morris,Red River,Titus"
173901,"Motley County ISD","Briscoe,Cottle,Crosby,Dickens,Floyd,Hall,King,Motley"
174901,"Chireno ISD","Nacogdoches,San Augustine"
174902,"Cushing ISD","Cherokee,Nacogdoches,Rusk"
174903,"Garrison ISD","Nacogdoches,Rusk,Shelby"
174904,"Nacogdoches ISD","Angelina,Cherokee,Nacogdoches"
174906,"Woden ISD","Angelina,Nacogdoches"
174908,"Central Heights ISD","Nacogdoches,Rusk"
174909,"Martinsville ISD","Nacogdoches,San Augustine,Shelby"
174910,"Etoile ISD","Angelina,Nacogdoches,San Augustine"
174911,"Douglass ISD","Cherokee,Nacogdoches"
175902,"Blooming Grove ISD","Ellis,Navarro"
175903,"Corsicana ISD","Freestone,Henderson,Navarro"
175904,"Dawson ISD","Hill,Limestone,Navarro"
175905,"Frost ISD","Ellis,Hill,Navarro"
175907,"Kerens ISD","Freestone,Henderson,Navarro"
175910,"Mildred ISD","Navarro"
175911,"Rice ISD","Ellis,Navarro"
176901,"Burkeville ISD","Jasper,Newton,Sabine"
176902,"Newton ISD","Jasper,Newton"
176903,"Deweyville ISD","Jasper,Newton,Orange"
177901,"Roscoe Collegiate ISD","Fisher,Mitchell,Nolan,Scurry"
177902,"Sweetwater ISD","Fisher,Nolan"
177903,"Blackwell Cisd","Coke,Nolan,Runnels,Taylor"
177905,"Highland ISD","Coke,Mitchell,Nolan"
178901,"Agua Dulce ISD","Jim Wells,Nueces"
178902,"Bishop Cisd","Jim Wells,Kleberg,Nueces"
178903,"Calallen ISD","Nueces,San Patricio"
178904,"Corpus Christi ISD","Nueces,San Patricio"
178905,"Driscoll ISD","Jim Wells,Nueces"
178906,"London ISD","Kleberg,Nueces"
178908,"Port Aransas ISD","Aransas,Nueces"
178909,"Robstown ISD","Nueces"
178912,"Tuloso-Midway ISD","Nueces,San Patricio"
