Date,County,inpatient_bed_utilization,admissions_100k,cases_100k,community_level,cases_7day_MA,TPR,transmission_level
2022-02-24,Dallam,12.1,10.3,370.52,High,370.52,9.09,High
2022-02-24,Dallas,8.8,14,79.83,Medium,79.83,7.85,Substantial
2022-02-24,Dawson,7,12,314.27,High,314.27,6.67,High
2022-02-24,Deaf Smith,9.5,7.1,248.03,Medium,248.03,15.56,High
2022-02-24,Delta,7.1,42.7,318.89,High,318.89,16,High
2022-02-24,Denton,11.2,7.4,173.13,Medium,173.13,6.84,High
2022-02-24,DeWitt,9.1,23.5,124.01,High,124.01,16.16,High
2022-02-24,Dickens,7,12,135.69,Medium,135.69,0,High
2022-02-24,Dimmit,4.3,19.8,592.65,High,592.65,15.26,High
2022-02-24,Donley,12.1,10.3,2196.46,High,2196.46,0,High
2022-02-24,Duval,10.2,14.4,376.45,High,376.45,18.08,High
2022-02-24,Eastland,6.6,12.8,54.47,Medium,54.47,8.77,Substantial
2022-02-24,Ector,9.5,8.7,52.34,Low,52.34,9.56,Substantial
2022-02-24,Edwards,4.7,14.2,51.76,Medium,51.76,0,Substantial
2022-02-24,Ellis,8.8,14,113.62,Medium,113.62,7.58,High
2022-02-24,El Paso,12.3,21.3,117.13,High,117.13,10.09,High
2022-02-24,Erath,4.8,0,159.26,Low,159.26,4.07,High
2022-02-24,Falls,9.6,7.5,104.06,Low,104.06,17.65,High
2022-02-24,Fannin,8.2,6,290.03,Medium,290.03,2.85,High
2022-02-24,Fayette,10.4,10.7,51.29,Medium,51.29,6.42,Substantial
2022-02-24,Fisher,8.3,18.5,52.22,Medium,52.22,0,Substantial
2022-02-24,Floyd,2.8,6.4,245.1,Medium,245.1,5.88,High
2022-02-24,Foard,2.2,0,0,Low,0,0,Low
2022-02-24,Fort Bend,9,15.5,343.24,High,343.24,7.81,High
2022-02-24,Franklin,6.7,5.8,251.75,Medium,251.75,14,High
2022-02-24,Freestone,14.6,5.7,50.72,Medium,50.72,5,Substantial
2022-02-24,Frio,8.7,19.8,507.24,High,507.24,7.91,High
2022-02-24,Gaines,3.7,3.6,269.87,Medium,269.87,22.22,High
2022-02-24,Galveston,10.3,22.8,147.89,High,147.89,8.76,High
2022-02-24,Garza,7,12,64.22,Medium,64.22,2.86,Substantial
2022-02-24,Gillespie,4.7,14.2,177.86,Medium,177.86,15.38,High
2022-02-24,Glasscock,3.9,7.9,70.97,Low,70.97,0,Substantial
2022-02-24,Goliad,9.1,23.5,143.64,High,143.64,19.05,High
2022-02-24,Gonzales,8.7,19.8,76.79,Medium,76.79,11.11,High
2022-02-24,Gray,1.2,6.3,146.21,Low,146.21,16.07,High
2022-02-24,Grayson,8.2,6,43.31,Low,43.31,8.33,Substantial
2022-02-24,Gregg,9.5,8.2,67.77,Low,67.77,13.66,High
2022-02-24,Grimes,6.4,20,141.97,High,141.97,10.48,High
2022-02-24,Guadalupe,8.7,19.8,194.19,Medium,194.19,9.9,High
2022-02-24,Hale,2.8,6.4,44.9,Low,44.9,5.15,Moderate
2022-02-24,Hall,0,0,2361.67,Medium,2361.67,2.63,High
2022-02-24,Hamilton,9.6,7.5,23.64,Low,23.64,3.33,Moderate
2022-02-24,Hansford,12.1,10.3,296.35,High,296.35,40,High
2022-02-24,Hardeman,2.2,0,25.43,Low,25.43,14.29,High
2022-02-24,Hardin,9.4,7.8,59.03,Low,59.03,9.61,Substantial
2022-02-24,Harris,9,15.5,169.92,Medium,169.92,5.76,High
2022-02-24,Harrison,,,220.88,Medium,220.88,15.5,High
2022-02-24,Hartley,12.1,10.3,251.08,High,251.08,0,High
2022-02-24,Haskell,6.6,12.8,35.35,Medium,35.35,0,Moderate
2022-02-24,Hays,15,11,495.68,High,495.68,11.17,High
2022-02-24,Hemphill,1.2,6.3,418.96,Medium,418.96,0,High
2022-02-24,Henderson,15.7,32.8,97.9,High,97.9,10.16,High
2022-02-24,Hidalgo,11.8,21.2,385.98,High,385.98,20.9,High
2022-02-24,Hill,9.6,7.5,87.31,Low,87.31,9.66,Substantial
2022-02-24,Hockley,7,12,82.53,Medium,82.53,10.53,High
2022-02-24,Hood,10.3,18.5,121.67,Medium,121.67,13.3,High
2022-02-24,Hopkins,8.8,14,113.26,Medium,113.26,9.18,High
2022-02-24,Houston,6.3,6.7,152.39,Low,152.39,8.85,High
2022-02-24,Howard,3.9,7.9,212.74,Medium,212.74,6.94,High
2022-02-24,Hudspeth,12.3,21.3,225.13,High,225.13,30.43,High
2022-02-24,Hunt,8.8,14,58.83,Medium,58.83,6.53,Substantial
2022-02-24,Hutchinson,12.1,10.3,181.49,Medium,181.49,13.73,High
2022-02-24,Irion,2.9,14.2,325.52,High,325.52,20,High
2022-02-24,Jack,12.5,18.4,167.88,Medium,167.88,8,High
2022-02-24,Jackson,9.1,23.5,271,High,271,14.88,High
2022-02-24,Jasper,9.4,7.8,95.7,Low,95.7,13.98,High
2022-02-24,Jeff Davis,0,5.5,87.95,Low,87.95,0,Substantial
2022-02-24,Jefferson,9.4,7.8,244.47,Medium,244.47,8.89,High
2022-02-24,Jim Hogg,13.1,4.7,1576.92,High,1576.92,19.23,High
2022-02-24,Jim Wells,10.2,14.4,219.85,High,219.85,5.48,High
2022-02-24,Johnson,10.3,18.5,90.43,Medium,90.43,8.26,Substantial
2022-02-24,Jones,6.6,12.8,39.83,Medium,39.83,1.69,Moderate
2022-02-24,Karnes,8.3,6.2,121.79,Low,121.79,26.67,High
2022-02-24,Kaufman,8.8,14,152.03,Medium,152.03,8.92,High
2022-02-24,Kendall,8.7,19.8,111.74,Medium,111.74,11.32,High
2022-02-24,Kenedy,10.2,14.4,742.57,High,742.57,25,High
2022-02-24,Kent,6.6,12.8,131.23,Medium,131.23,0,High
2022-02-24,Kerr,4.7,14.2,106.46,Medium,106.46,11.5,High
2022-02-24,Kimble,4.7,14.2,276.69,High,276.69,33.33,High
2022-02-24,King,7,12,367.65,High,367.65,0,High
2022-02-24,Kinney,4.2,15.3,136.35,Medium,136.35,14.29,High
2022-02-24,Kleberg,10.2,14.4,397.65,High,397.65,22.11,High
2022-02-24,Knox,13.6,18.2,54.59,Medium,54.59,16.67,High
2022-02-24,Lamar,7.1,42.7,158.45,High,158.45,10.26,High
2022-02-24,Lamb,7,12,124.1,Medium,124.1,2.86,High
2022-02-24,Lampasas,9.6,36.9,135.34,High,135.34,13.89,High
2022-02-24,La Salle,8.7,19.8,851.06,High,851.06,8.51,High
2022-02-24,Lavaca,9.1,23.5,104.2,High,104.2,8.65,High
2022-02-24,Lee,8.5,9.3,116.02,Low,116.02,7.94,High
2022-02-24,Leon,0,0,114.92,Low,114.92,10.48,High
2022-02-24,Liberty,9,15.5,111.09,Medium,111.09,9.43,High
2022-02-24,Limestone,9.6,7.5,68.27,Low,68.27,3.83,Substantial
2022-02-24,Lipscomb,3.6,2.8,30.93,Low,30.93,0,Moderate
2022-02-24,Live Oak,10.2,14.4,73.73,Medium,73.73,10.39,High
2022-02-24,Llano,8.5,9.3,110.12,Low,110.12,15.56,High
2022-02-24,Loving,12.3,21.3,5325.44,High,5325.44,61.54,High
2022-02-24,Lubbock,7,12,82.43,Medium,82.43,8.54,Substantial
2022-02-24,Lynn,7,12,50.41,Medium,50.41,17.65,High
