Date,file_path,County,TPR,Tests,Transmission_Level,Community_Level
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Goliad,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Gonzales,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Gray,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Grayson,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Gregg,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Grimes,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Guadalupe,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hale,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hall,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hamilton,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hansford,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hardeman,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hardin,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Harris,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Harrison,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hartley,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Haskell,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hays,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hemphill,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Henderson,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hidalgo,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hill,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hockley,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hood,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hopkins,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Houston,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Howard,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hudspeth,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hunt,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Hutchinson,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Irion,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Jack,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Jackson,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Jasper,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Jeff Davis,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Jefferson,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Jim Hogg,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Jim Wells,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Johnson,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Jones,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Karnes,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Kaufman,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Kendall,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Kenedy,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Kent,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Kerr,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Kimble,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,King,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Kinney,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Kleberg,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Knox,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,La Salle,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Lamar,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Lamb,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Lampasas,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Lavaca,0,,Moderate,
