County,Date,cases_cumulative,deaths_cumulative,cases_daily,deaths_daily
Potter,2021-03-02,497,456,7,11
Potter,2021-04-02,501,459,4,3
Potter,2021-05-02,503,464,2,5
Potter,2021-06-02,508,470,5,6
Potter,2021-07-02,512,477,4,7
Potter,2021-08-02,540,511,28,34
Potter,2021-09-02,638,561,98,50
Potter,2021-10-02,668,586,30,25
Potter,2021-11-02,720,610,52,24
Potter,2021-12-02,799,668,79,58
Potter,2022-01-02,842,720,43,52
Potter,2022-02-02,954,749,112,29
Potter,2022-03-02,956,758,2,9
Potter,2022-04-02,957,759,1,1
Potter,2022-05-02,960,763,3,4
Potter,2022-06-02,982,765,22,2
Potter,2022-07-02,1030,769,48,4
Potter,2022-08-02,1085,772,55,3
Potter,2022-09-02,1123,773,38,1
Potter,2022-10-02,1129,774,6,1
Potter,2022-11-02,1144,776,15,2
Potter,2022-12-02,1184,780,40,4
Potter,2023-01-02,1202,782,18,2
Potter,2023-02-02,1232,789,30,7
Potter,2023-03-02,1253,790,21,1
Potter,2023-04-02,1257,792,4,2
Randall,2020-04-02,5,3,5,3
Randall,2020-05-02,27,6,22,3
Randall,2020-06-02,33,9,6,3
Randall,2020-07-02,61,23,28,14
Randall,2020-08-02,70,41,9,18
Randall,2020-09-02,83,56,13,15
Randall,2020-10-02,149,82,66,26
Randall,2020-11-02,235,151,86,69
Randall,2020-12-02,396,216,161,65
Randall,2021-01-02,441,277,45,61
Randall,2021-02-02,465,287,24,10
Randall,2021-03-02,470,290,5,3
Randall,2021-04-02,480,299,10,9
Randall,2021-05-02,482,305,2,6
Randall,2021-06-02,487,311,5,6
Randall,2021-07-02,491,312,4,1
Randall,2021-08-02,539,335,48,23
Randall,2021-09-02,661,362,122,27
Randall,2021-10-02,704,385,43,23
Randall,2021-11-02,757,397,53,12
Randall,2021-12-02,851,442,94,45
Randall,2022-01-02,898,481,47,39
Randall,2022-02-02,1009,510,111,29
Randall,2022-03-02,1013,519,4,9
Randall,2022-04-02,1015,520,2,1
Randall,2022-06-02,1031,524,16,4
Randall,2022-07-02,1066,530,35,6
Randall,2022-08-02,1139,534,73,4
Randall,2022-09-02,1183,536,44,2
Randall,2022-11-02,1202,537,19,1
Randall,2022-12-02,1237,540,35,3
Randall,2023-01-02,1256,543,19,3
Randall,2023-02-02,1284,548,28,5
Randall,2023-03-02,1311,551,27,3
Randall,2023-04-02,1317,553,6,2
Travis,2020-03-27,160,1,,
Travis,2020-03-28,179,1,19,0
Travis,2020-03-29,200,1,21,0
Travis,2020-03-30,206,2,6,1
Travis,2020-03-31,244,2,38,0
Travis,2020-04-01,305,3,61,1
Travis,2020-04-02,351,3,46,0
Travis,2020-04-03,430,4,79,1
Travis,2020-04-04,460,6,30,2
Travis,2020-04-05,484,6,24,0
Travis,2020-04-06,502,6,18,0
Travis,2020-04-07,554,7,52,1
Travis,2020-04-08,597,7,43,0
Travis,2020-04-09,642,7,45,0
Travis,2020-04-10,690,9,48,2
Travis,2020-04-11,744,9,54,0
Travis,2020-04-12,774,9,30,0
Travis,2020-04-13,856,11,82,2
Travis,2020-04-14,900,14,44,3
Travis,2020-04-15,977,17,77,3
Travis,2020-04-16,1029,18,52,1
Travis,2020-04-17,1074,21,45,3
Travis,2020-04-18,1092,23,18,2
Travis,2020-04-19,1108,25,16,2
Travis,2020-04-20,1174,26,66,1
Travis,2020-04-21,1233,27,59,1
Travis,2020-04-22,1263,28,30,1
Travis,2020-04-23,1312,31,49,3
Travis,2020-04-24,1379,32,67,1
Travis,2020-04-25,1396,36,17,4
Travis,2020-04-26,1412,39,16,3
Travis,2020-04-27,1464,42,52,3
Travis,2020-04-28,1539,42,75,0
Travis,2020-04-29,1591,44,52,2
Travis,2020-04-30,1654,47,63,3
Travis,2020-05-01,1683,51,29,4
Travis,2020-05-02,1714,51,31,0
Travis,2020-05-03,1756,52,42,1
Travis,2020-05-04,1816,53,60,1
Travis,2020-05-05,1876,58,60,5
Travis,2020-05-06,1946,57,70,-1
Travis,2020-05-07,2002,59,56,2
Travis,2020-05-08,2071,60,69,1
Travis,2020-05-09,2095,60,24,0
Travis,2020-05-10,2127,60,32,0
Travis,2020-05-11,2171,65,44,5
Travis,2020-05-12,2235,71,64,6
Travis,2020-05-13,2288,72,53,1
Travis,2020-05-14,2345,74,57,2
Travis,2020-05-15,2381,77,36,3
Travis,2020-05-16,2425,77,44,0
Travis,2020-05-17,2459,77,34,0
Travis,2020-05-18,2537,79,78,2
Travis,2020-05-19,2595,81,58,2
