Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2022-11-07,76137,71751,38589,34268
2022-11-07,76140,35021,18915,16538
2022-11-07,76147,257,139,121
2022-11-07,76148,27136,14583,12962
2022-11-07,76150,27,16,11
2022-11-07,76155,7076,3919,3373
2022-11-07,76161,352,188,172
2022-11-07,76162,339,181,161
2022-11-07,76163,205,110,97
2022-11-07,76164,19456,10535,9097
2022-11-07,76166,19,10,9
2022-11-07,76177,26851,14481,12862
2022-11-07,76179,77018,41512,36785
2022-11-07,76180,44606,24143,21295
2022-11-07,76181,61,31,30
2022-11-07,76182,38480,20533,18705
2022-11-07,76185,291,152,141
2022-11-07,76190,22,18,
2022-11-07,76192,,,
2022-11-07,76195,,,
2022-11-07,76196,951,546,451
2022-11-07,76197,,,
2022-11-07,76198,,,
2022-11-07,76199,8,,
2022-11-07,76201,29428,16057,13954
2022-11-07,76202,516,275,249
2022-11-07,76203,441,247,216
2022-11-07,76204,117,70,58
2022-11-07,76205,22040,11934,10510
2022-11-07,76206,253,138,118
2022-11-07,76207,22079,11775,10687
2022-11-07,76208,31923,17211,15283
2022-11-07,76209,31105,16617,15031
2022-11-07,76210,56813,30419,27386
2022-11-07,76225,2516,1378,1235
2022-11-07,76226,44802,24081,21798
2022-11-07,76227,56579,30681,27135
2022-11-07,76228,776,421,382
2022-11-07,76230,7372,4127,3523
2022-11-07,76233,2859,1618,1419
2022-11-07,76234,17354,9456,8412
2022-11-07,76238,370,207,175
2022-11-07,76239,882,488,427
2022-11-07,76240,22841,12848,10676
2022-11-07,76241,516,280,250
2022-11-07,76244,95487,51169,45872
2022-11-07,76245,1823,1046,891
2022-11-07,76246,83,48,40
2022-11-07,76247,19976,10825,9621
2022-11-07,76248,56021,30084,27025
2022-11-07,76249,9161,4986,4471
2022-11-07,76250,934,511,446
2022-11-07,76251,579,320,284
2022-11-07,76252,2327,1277,1093
2022-11-07,76253,121,67,55
2022-11-07,76255,4304,2359,2067
2022-11-07,76258,7244,3927,3555
2022-11-07,76259,5700,3091,2755
2022-11-07,76261,159,90,73
2022-11-07,76262,53004,28630,25605
2022-11-07,76263,73,41,32
2022-11-07,76264,1148,648,587
2022-11-07,76265,1040,581,499
2022-11-07,76266,14962,8147,7364
2022-11-07,76267,131,74,64
2022-11-07,76268,186,109,93
2022-11-07,76270,1664,926,812
2022-11-07,76271,1585,860,769
2022-11-07,76272,4648,2573,2224
2022-11-07,76273,7696,4376,3835
2022-11-07,76301,14793,8185,7136
2022-11-07,76302,12432,6864,6071
2022-11-07,76305,4519,2470,2243
2022-11-07,76306,13849,7612,6701
2022-11-07,76307,354,195,167
2022-11-07,76308,22234,12122,10812
2022-11-07,76309,13681,7462,6647
2022-11-07,76310,21767,11833,10688
2022-11-07,76311,1008,594,470
2022-11-07,76351,1676,898,842
2022-11-07,76352,35,20,17
2022-11-07,76354,10296,5722,5057
2022-11-07,76357,533,288,261
2022-11-07,76360,2732,1499,1355
2022-11-07,76363,205,116,93
2022-11-07,76364,110,61,55
2022-11-07,76365,4269,2289,2111
2022-11-07,76366,2049,1108,1004
2022-11-07,76367,13925,7560,7018
2022-11-07,76369,116,68,58
2022-11-07,76370,221,119,116
2022-11-07,76371,1329,728,648
2022-11-07,76372,539,301,271
2022-11-07,76373,134,74,70
2022-11-07,76374,3612,1983,1825
2022-11-07,76377,546,293,266
2022-11-07,76379,469,253,232
2022-11-07,76380,3001,1635,1487
2022-11-07,76384,12645,6997,6359
2022-11-07,76385,349,192,176
2022-11-07,76388,189,100,92
2022-11-07,76389,1259,684,635
2022-11-07,76401,23547,12834,11408
2022-11-07,76402,104,57,51
2022-11-07,76424,6369,3592,3198
2022-11-07,76426,10417,5818,5059
2022-11-07,76427,421,232,208
2022-11-07,76429,154,86,73
2022-11-07,76430,1929,1041,929
2022-11-07,76431,2659,1484,1315
2022-11-07,76432,959,542,495
2022-11-07,76433,1568,851,755
2022-11-07,76435,541,299,260
2022-11-07,76436,220,124,106
2022-11-07,76437,3982,2222,1962
2022-11-07,76439,131,71,65
2022-11-07,76442,6994,3824,3479
2022-11-07,76443,1248,682,615
2022-11-07,76444,3154,1710,1525
2022-11-07,76445,291,157,141
2022-11-07,76446,7450,4083,3611
2022-11-07,76448,4854,2715,2338
2022-11-07,76449,2041,1130,1024
2022-11-07,76450,11005,6070,5423
2022-11-07,76452,96,59,44
2022-11-07,76453,1266,671,622
2022-11-07,76454,1191,643,582
2022-11-07,76455,949,517,467
2022-11-07,76457,3424,1855,1657
2022-11-07,76458,5544,3055,2692
2022-11-07,76459,132,71,64
2022-11-07,76460,258,144,130
2022-11-07,76461,43,24,22
2022-11-07,76462,2614,1419,1274
2022-11-07,76463,357,191,172
2022-11-07,76464,336,182,162
2022-11-07,76465,132,72,62
2022-11-07,76466,144,78,70
2022-11-07,76467,48,27,23
2022-11-07,76468,188,100,91
2022-11-07,76469,89,48,44
2022-11-07,76470,1992,1123,959
2022-11-07,76471,1142,658,554
2022-11-07,76472,1195,648,587
2022-11-07,76474,238,129,122
2022-11-07,76475,725,397,348
2022-11-07,76476,2220,1194,1082
2022-11-07,76481,118,66,58
2022-11-07,76483,858,462,407
2022-11-07,76484,901,491,442
2022-11-07,76485,127,71,62
2022-11-07,76486,953,513,464
2022-11-07,76487,2334,1286,1135
2022-11-07,76490,121,66,57
2022-11-07,76491,375,204,181
2022-11-07,76501,16811,9128,8082
2022-11-07,76502,55939,30181,26828
2022-11-07,76503,641,340,314
2022-11-07,76504,25046,13669,11904
2022-11-07,76505,39,20,19
2022-11-07,76508,97,60,42
2022-11-07,76511,2562,1403,1246
2022-11-07,76513,44876,24420,21441
2022-11-07,76518,1159,622,556
2022-11-07,76519,524,276,263
2022-11-07,76520,8086,4316,3889
2022-11-07,76522,35660,19737,16804
2022-11-07,76523,94,51,43
2022-11-07,76524,2609,1409,1271
2022-11-07,76525,992,545,486
2022-11-07,76526,73,39,35
2022-11-07,76527,5012,2776,2416
2022-11-07,76528,21563,11662,10473
2022-11-07,76530,2982,1624,1443
2022-11-07,76531,5336,2867,2685
2022-11-07,76533,128,69,64
2022-11-07,76534,2395,1294,1157
2022-11-07,76537,13749,7565,6588
2022-11-07,76538,830,447,399
2022-11-07,76539,7957,4406,3800
2022-11-07,76540,247,134,117
2022-11-07,76541,15528,8643,7168
2022-11-07,76542,48007,26793,22106
2022-11-07,76543,25939,14411,12066
2022-11-07,76544,6944,4278,2929
2022-11-07,76547,342,192,162
2022-11-07,76548,30659,17092,14230
2022-11-07,76549,45999,25843,21088
2022-11-07,76550,11769,6481,5766
2022-11-07,76554,1892,1046,916
2022-11-07,76556,1295,690,621
2022-11-07,76557,4823,2626,2362
2022-11-07,76558,57,29,29
2022-11-07,76559,5872,3247,2737
2022-11-07,76561,1052,569,515
2022-11-07,76564,79,43,37
2022-11-07,76565,86,48,43
2022-11-07,76566,358,197,180
2022-11-07,76567,8854,4733,4275
2022-11-07,76569,2437,1330,1178
2022-11-07,76570,2249,1241,1040
2022-11-07,76571,11535,6226,5584
2022-11-07,76573,85,45,41
2022-11-07,76574,23575,12864,11349
2022-11-07,76577,3086,1666,1527
2022-11-07,76578,1836,1010,900
2022-11-07,76579,4708,2557,2284
2022-11-07,76596,1936,1013,923
2022-11-07,76597,4585,2355,2257
2022-11-07,76598,900,475,425
2022-11-07,76599,8,,
2022-11-07,76621,1001,543,490
2022-11-07,76622,999,560,490
2022-11-07,76623,265,143,127
2022-11-07,76624,2301,1271,1139
2022-11-07,76626,1324,707,645
2022-11-07,76627,1052,578,516
2022-11-07,76628,75,44,34
2022-11-07,76629,1594,880,770
2022-11-07,76630,1770,979,858
2022-11-07,76631,377,214,182
2022-11-07,76632,1674,932,783
2022-11-07,76633,5913,3256,2864
2022-11-07,76634,7733,4188,3757
2022-11-07,76635,947,523,452
2022-11-07,76636,1159,632,568
2022-11-07,76637,481,265,239
2022-11-07,76638,3099,1695,1496
2022-11-07,76639,1378,745,655
2022-11-07,76640,3015,1672,1459
2022-11-07,76641,1528,839,716
2022-11-07,76642,5589,3337,2979
2022-11-07,76643,18885,10211,9153
2022-11-07,76644,139,78,66
2022-11-07,76645,9974,5564,4699
2022-11-07,76648,2100,1172,1026
2022-11-07,76649,651,352,324
2022-11-07,76650,65,35,33
2022-11-07,76651,2906,1584,1428
2022-11-07,76652,759,411,377
2022-11-07,76653,905,493,441
2022-11-07,76654,164,91,80
2022-11-07,76655,11711,6377,5711
2022-11-07,76656,2111,1136,1019
2022-11-07,76657,13114,7155,6361
2022-11-07,76660,397,224,188
2022-11-07,76661,8801,4781,4119
2022-11-07,76664,2786,1564,1339
2022-11-07,76665,2195,1200,1083
2022-11-07,76666,226,126,108
2022-11-07,76667,10059,5562,4814
2022-11-07,76670,1317,740,623
2022-11-07,76671,1603,887,787
2022-11-07,76673,952,525,464
2022-11-07,76676,341,190,163
2022-11-07,76678,147,79,74
2022-11-07,76679,1147,625,551
2022-11-07,76680,165,87,81
2022-11-07,76681,514,287,237
2022-11-07,76682,2744,1496,1341
2022-11-07,76684,115,65,58
2022-11-07,76685,96,52,47
2022-11-07,76686,229,123,114
2022-11-07,76687,1135,636,570
2022-11-07,76689,3942,2160,1910
2022-11-07,76690,976,526,475
2022-11-07,76691,6729,3699,3259
2022-11-07,76692,10021,5680,5012
2022-11-07,76693,1287,705,616
2022-11-07,76701,1750,985,843
2022-11-07,76702,517,284,244
2022-11-07,76703,388,210,189
2022-11-07,76704,6814,3766,3244
2022-11-07,76705,29263,16348,14209
2022-11-07,76706,39747,22241,19201
2022-11-07,76707,16548,9112,7869
2022-11-07,76708,30458,16710,14696
2022-11-07,76710,28051,15303,13446
2022-11-07,76711,10840,5978,5148
2022-11-07,76712,36637,19801,17685
2022-11-07,76714,205,109,103
2022-11-07,76715,288,158,136
2022-11-07,76716,9,,
2022-11-07,76797,,,
2022-11-07,76798,1470,865,732
2022-11-07,76799,7,,
2022-11-07,76801,21135,12089,10794
2022-11-07,76802,4337,2470,2213
2022-11-07,76803,161,94,82
2022-11-07,76804,493,271,253
2022-11-07,76820,133,71,66
2022-11-07,76821,4679,2558,2323
2022-11-07,76823,2006,1150,1022
2022-11-07,76824,68,37,32
2022-11-07,76825,5416,2935,2638
2022-11-07,76827,270,159,146
2022-11-07,76828,130,72,63
2022-11-07,76831,81,43,39
2022-11-07,76832,542,306,263
2022-11-07,76834,4285,2323,2054
2022-11-07,76836,35,18,17
2022-11-07,76837,1833,1061,863
2022-11-07,76841,103,54,50
2022-11-07,76842,188,105,95
2022-11-07,76844,3374,1806,1651
2022-11-07,76845,103,58,49
2022-11-07,76848,61,33,30
2022-11-07,76849,3275,1779,1586
2022-11-07,76852,218,118,107
2022-11-07,76853,1290,723,614
2022-11-07,76854,272,152,128
2022-11-07,76855,,,
2022-11-07,76856,3951,2104,1943
2022-11-07,76857,1478,827,752
2022-11-07,76858,208,110,103
2022-11-07,76859,2135,1155,1057
2022-11-07,76861,1902,1033,936
2022-11-07,76862,202,112,96
2022-11-07,76864,640,349,314
2022-11-07,76865,112,62,58
2022-11-07,76866,561,306,283
