"Level","current_ratio","current_ratio_cat"
"Cooke",0.791666666666667,"(0.5,0.792]"
"Coryell",1.4,"(1.1,1.4]"
"Cottle",0.75,"(0.5,0.75]"
"Crane",1,"(0.9,1]"
"Crockett",NA,NA
"Crosby",1.5,"(1.1,1.5]"
"Culberson",5,"(4,5]"
"Dallam",2.28571428571429,"(2,2.29]"
"Dallas",1.29602122015915,"(1.1,1.3]"
"Dawson",1.51315789473684,"(1.5,1.51]"
"Deaf Smith",1.07407407407407,"(0.9,1.07]"
"Delta",0.666666666666667,"(0.5,0.667]"
"Denton",0.875545851528384,"(0.5,0.876]"
"DeWitt",40,"(8,40]"
"Dickens",NA,NA
"Dimmit",4,"(2,4]"
"Donley",1.4,"(1.1,1.4]"
"Duval",1.35714285714286,"(1.1,1.36]"
"Eastland",1.4,"(1.1,1.4]"
"Ector",1.50617283950617,"(1.5,1.51]"
"Edwards",NA,NA
"El Paso",1.48665425201738,"(1.1,1.49]"
"Ellis",1.25641025641026,"(1.1,1.26]"
"Erath",0.745098039215686,"(0.5,0.745]"
"Falls",9.62068965517241,"(8,9.62]"
"Fannin",0.695652173913043,"(0.5,0.696]"
"Fayette",0.266666666666667,"(0,0.267]"
"Fisher",8,"(4,8]"
"Floyd",1,"(0.9,1]"
"Foard",1.25,"(1.1,1.25]"
"Fort Bend",0.556122448979592,"(0.5,0.556]"
"Franklin",8,"(4,8]"
"Freestone",1.18181818181818,"(1.1,1.18]"
"Frio",0.555555555555556,"(0.5,0.556]"
"Gaines",1.25,"(1.1,1.25]"
"Galveston",0.984615384615384,"(0.9,0.985]"
"Garza",3,"(2,3]"
"Gillespie",0.833333333333333,"(0.5,0.833]"
"Goliad",1,"(0.9,1]"
"Gonzales",0.333333333333333,"(0,0.333]"
"Gray",1.33333333333333,"(1.1,1.33]"
"Grayson",1.40697674418605,"(1.1,1.41]"
"Gregg",0.723684210526316,"(0.5,0.724]"
"Grimes",4.2,"(4,4.2]"
"Guadalupe",0.113207547169811,"(0,0.113]"
"Hale",1.86885245901639,"(1.5,1.87]"
"Hall",0.166666666666667,"(0,0.167]"
"Hamilton",1,"(0.9,1]"
"Hansford",1.19354838709677,"(1.1,1.19]"
"Hardeman",3,"(2,3]"
"Hardin",0.777777777777778,"(0.5,0.778]"
"Harris",1.29446308724832,"(1.1,1.29]"
"Harrison",0.967741935483871,"(0.9,0.968]"
"Hartley",0.8,"(0.5,0.8]"
"Haskell",0.375,"(0,0.375]"
"Hays",0.631578947368421,"(0.5,0.632]"
"Hemphill",3.4,"(2,3.4]"
"Henderson",1.38461538461538,"(1.1,1.38]"
"Hidalgo",1.14873035066505,"(1.1,1.15]"
"Hill",0.471698113207547,"(0,0.472]"
"Hockley",1.42857142857143,"(1.1,1.43]"
"Hood",0.957446808510638,"(0.9,0.957]"
"Hopkins",0.829268292682927,"(0.5,0.829]"
"Houston",0.4,"(0,0.4]"
"Howard",0.597122302158273,"(0.5,0.597]"
"Hudspeth",0.25,"(0,0.25]"
"Hunt",1.06153846153846,"(0.9,1.06]"
"Hutchinson",1.19047619047619,"(1.1,1.19]"
"Irion",0.5,"(0,0.5]"
"Jack",0.4,"(0,0.4]"
"Jackson",0.125,"(0,0.125]"
"Jasper",1.7,"(1.5,1.7]"
"Jefferson",1.05729166666667,"(0.9,1.06]"
"Jim Hogg",7.5,"(4,7.5]"
"Jim Wells",0.954545454545455,"(0.9,0.955]"
"Johnson",0.873333333333333,"(0.5,0.873]"
"Jones",3.5,"(2,3.5]"
"Karnes",NA,NA
"Kaufman",0.813333333333333,"(0.5,0.813]"
"Kendall",NA,NA
"Kerr",1.07142857142857,"(0.9,1.07]"
"Kimble",NA,NA
"Kinney",0.5,"(0,0.5]"
"Kleberg",0.647058823529412,"(0.5,0.647]"
"Knox",0.176470588235294,"(0,0.176]"
"La Salle",5.33333333333333,"(4,5.33]"
"Lamar",1.00869565217391,"(0.9,1.01]"
"Lamb",1.33333333333333,"(1.1,1.33]"
"Lampasas",1.42857142857143,"(1.1,1.43]"
"Lavaca",0.4,"(0,0.4]"
"Lee",0.272727272727273,"(0,0.273]"
"Leon",2.15384615384615,"(2,2.15]"
"Liberty",4.77777777777778,"(4,4.78]"
"Limestone",1.8125,"(1.5,1.81]"
"Lipscomb",8,"(4,8]"
"Llano",0.923076923076923,"(0.9,0.923]"
"Lubbock",0.845653939886271,"(0.5,0.846]"
"Lynn",0.545454545454545,"(0.5,0.545]"
"Madison",1.71428571428571,"(1.5,1.71]"
"Marion",3,"(2,3]"
"Martin",NA,NA
"Mason",1,"(0.9,1]"
"Matagorda",1.17647058823529,"(1.1,1.18]"
"Maverick",9,"(8,9]"
"McCulloch",0.75,"(0.5,0.75]"
"McLennan",1.41558441558442,"(1.1,1.42]"
"Medina",0.548387096774194,"(0.5,0.548]"
"Menard",1,"(0.9,1]"
"Midland",0.88785046728972,"(0.5,0.888]"
"Milam",0.454545454545455,"(0,0.455]"
"Mills",5,"(4,5]"
"Mitchell",2,"(1.5,2]"
"Montague",1.36363636363636,"(1.1,1.36]"
"Montgomery",1.85675675675676,"(1.5,1.86]"
"Moore",2.25,"(2,2.25]"
"Morris",0.428571428571429,"(0,0.429]"
"Motley",NA,NA
"Nacogdoches",0.507042253521127,"(0.5,0.507]"
"Navarro",0.767441860465116,"(0.5,0.767]"
