"County","Date","Tests","TPR_CMS"
"Jim Hogg",2020-11-25,921,0.037
"Jim Wells",2020-11-25,2181,0.108
"Johnson",2020-11-25,7273,0.164
"Jones",2020-11-25,411,0.124
"Karnes",2020-11-25,408,0.1
"Kaufman",2020-11-25,6403,0.163
"Kendall",2020-11-25,1119,0.097
"Kenedy",2020-11-25,NA,NA
"Kent",2020-11-25,NA,NA
"Kerr",2020-11-25,944,0.104
"Kimble",2020-11-25,209,0.139
"King",2020-11-25,NA,NA
"Kinney",2020-11-25,110,0.064
"Kleberg",2020-11-25,1121,0.107
"Knox",2020-11-25,NA,NA
"La Salle",2020-11-25,493,0.041
"Lamar",2020-11-25,2159,0.129
"Lamb",2020-11-25,570,0.351
"Lampasas",2020-11-25,916,0.102
"Lavaca",2020-11-25,523,0.241
"Lee",2020-11-25,451,0.146
"Leon",2020-11-25,411,0.144
"Liberty",2020-11-25,1898,0.135
"Limestone",2020-11-25,1084,0.125
"Lipscomb",2020-11-25,NA,NA
"Live Oak",2020-11-25,258,0.116
"Llano",2020-11-25,1113,0.106
"Loving",2020-11-25,NA,NA
"Lubbock",2020-11-25,20364,0.184
"Lynn",2020-11-25,179,0.313
"Madison",2020-11-25,362,0.177
"Marion",2020-11-25,145,0.09
"Martin",2020-11-25,138,0.254
"Mason",2020-11-25,126,0.063
"Matagorda",2020-11-25,950,0.151
"Maverick",2020-11-25,1902,0.145
"McCulloch",2020-11-25,173,0.168
"McLennan",2020-11-25,16923,0.124
"McMullen",2020-11-25,NA,NA
"Medina",2020-11-25,1220,0.143
"Menard",2020-11-25,154,0.104
"Midland",2020-11-25,3450,0.23
"Milam",2020-11-25,913,0.067
"Mills",2020-11-25,338,0.074
"Mitchell",2020-11-25,312,0.34
"Montague",2020-11-25,1029,0.218
"Montgomery",2020-11-25,20377,0.116
"Moore",2020-11-25,559,0.2
"Morris",2020-11-25,331,0.136
"Motley",2020-11-25,29,0.621
"Nacogdoches",2020-11-25,1700,0.148
"Navarro",2020-11-25,1237,0.117
"Newton",2020-11-25,80,0.1
"Nolan",2020-11-25,631,0.265
"Nueces",2020-11-25,12193,0.113
"Ochiltree",2020-11-25,NA,NA
"Oldham",2020-11-25,65,0.308
"Orange",2020-11-25,1581,0.144
"Palo Pinto",2020-11-25,914,0.205
"Panola",2020-11-25,405,0.136
"Parker",2020-11-25,4705,0.18
"Parmer",2020-11-25,82,0.317
"Pecos",2020-11-25,584,0.101
"Polk",2020-11-25,920,0.105
"Potter",2020-11-25,3073,0.223
"Presidio",2020-11-25,1908,0.112
"Rains",2020-11-25,205,0.166
"Randall",2020-11-25,3920,0.228
"Reagan",2020-11-25,24,0.375
"Real",2020-11-25,116,0.086
"Red River",2020-11-25,437,0.055
"Reeves",2020-11-25,515,0.142
"Refugio",2020-11-25,169,0.142
"Roberts",2020-11-25,NA,NA
"Robertson",2020-11-25,519,0.087
"Rockwall",2020-11-25,7977,0.107
"Runnels",2020-11-25,262,0.134
"Rusk",2020-11-25,1242,0.188
"Sabine",2020-11-25,386,0.044
"San Augustine",2020-11-25,393,0.051
"San Jacinto",2020-11-25,369,0.098
"San Patricio",2020-11-25,1522,0.154
"San Saba",2020-11-25,230,0.283
"Schleicher",2020-11-25,76,0.224
"Scurry",2020-11-25,1334,0.265
"Shackelford",2020-11-25,39,0.128
"Shelby",2020-11-25,422,0.092
"Sherman",2020-11-25,NA,NA
"Smith",2020-11-25,8206,0.12
"Somervell",2020-11-25,282,0.138
"Starr",2020-11-25,2082,0.164
"Stephens",2020-11-25,202,0.119
"Sterling",2020-11-25,30,0.267
"Stonewall",2020-11-25,NA,NA
"Sutton",2020-11-25,220,0.205
"Swisher",2020-11-25,181,0.414
"Tarrant",2020-11-25,105129,0.15
"Taylor",2020-11-25,5520,0.108
"Terrell",2020-11-25,22,0.136
"Terry",2020-11-25,287,0.275
"Throckmorton",2020-11-25,27,0.037
"Titus",2020-11-25,1895,0.084
"Tom Green",2020-11-25,5340,0.129
"Travis",2020-11-25,68217,0.057
"Trinity",2020-11-25,441,0.059
"Tyler",2020-11-25,395,0.081
"Upshur",2020-11-25,645,0.167
"Upton",2020-11-25,29,0.172
"Uvalde",2020-11-25,2137,0.089
"Val Verde",2020-11-25,3847,0.085
"Van Zandt",2020-11-25,1160,0.222
"Victoria",2020-11-25,1841,0.186
"Walker",2020-11-25,5360,0.085
"Waller",2020-11-25,1674,0.077
"Ward",2020-11-25,422,0.197
"Washington",2020-11-25,3585,0.086
"Webb",2020-11-25,26734,0.125
"Wharton",2020-11-25,1205,0.179
"Wheeler",2020-11-25,121,0.405
"Wichita",2020-11-25,7181,0.204
"Wilbarger",2020-11-25,1110,0.295
"Willacy",2020-11-25,994,0.096
"Williamson",2020-11-25,30130,0.071
"Wilson",2020-11-25,1893,0.081
"Winkler",2020-11-25,88,0.239
"Wise",2020-11-25,3143,0.194
"Wood",2020-11-25,932,0.177
"Yoakum",2020-11-25,189,0.212
"Young",2020-11-25,269,0.134
"Zapata",2020-11-25,1216,0.095
"Zavala",2020-11-25,976,0.151
