County,Date,cases_daily,deaths_daily
Randall,2021-03-11,7,
Randall,2021-03-12,2,
Randall,2021-03-13,5,
Randall,2021-03-14,4,
Randall,2021-03-16,2,
Randall,2021-03-17,3,
Randall,2021-03-18,3,
Randall,2021-03-19,4,
Randall,2021-03-20,6,
Randall,2021-03-21,1,
Randall,2021-03-22,2,
Randall,2021-03-23,4,
Randall,2021-03-24,9,
Randall,2021-03-25,4,
Randall,2021-03-26,6,
Randall,2021-03-27,6,
Randall,2021-03-28,3,
Randall,2021-03-29,3,
Randall,2021-03-30,7,
Randall,2021-03-31,6,
Randall,2021-04-01,11,
Randall,2021-04-02,10,9
Randall,2021-04-03,3,
Randall,2021-04-04,9,
Randall,2021-04-05,4,
Randall,2021-04-06,12,
Randall,2021-04-07,9,
Randall,2021-04-08,7,
Randall,2021-04-09,3,
Randall,2021-04-10,8,
Randall,2021-04-11,2,
Randall,2021-04-12,2,
Randall,2021-04-13,13,
Randall,2021-04-14,9,
Randall,2021-04-15,10,
Randall,2021-04-16,8,
Randall,2021-04-17,8,
Randall,2021-04-18,2,
Randall,2021-04-19,7,
Randall,2021-04-20,20,
Randall,2021-04-21,10,
Randall,2021-04-22,12,
Randall,2021-04-23,22,
Randall,2021-04-24,18,
Randall,2021-04-25,12,
Randall,2021-04-26,8,
Randall,2021-04-27,19,
Randall,2021-04-28,11,
Randall,2021-04-29,14,
Randall,2021-04-30,9,
Randall,2021-05-01,8,
Randall,2021-05-02,2,6
Randall,2021-05-03,3,
Randall,2021-05-04,24,
Randall,2021-05-05,9,
Randall,2021-05-06,9,
Randall,2021-05-07,11,
Randall,2021-05-08,10,
Randall,2021-05-09,4,
Randall,2021-05-10,6,
Randall,2021-05-11,7,
Randall,2021-05-12,10,
Randall,2021-05-13,12,
Randall,2021-05-14,12,
Randall,2021-05-15,8,
Randall,2021-05-16,3,
Randall,2021-05-17,7,
Randall,2021-05-18,13,
Randall,2021-05-19,8,
Randall,2021-05-20,8,
Randall,2021-05-21,3,
Randall,2021-05-22,7,
Randall,2021-05-23,6,
Randall,2021-05-24,3,
Randall,2021-05-25,5,
Randall,2021-05-26,4,
Randall,2021-05-27,8,
Randall,2021-05-28,3,
Randall,2021-05-29,6,
Randall,2021-05-30,1,
Randall,2021-05-31,2,
Randall,2021-06-01,3,
Randall,2021-06-02,5,6
Randall,2021-06-03,4,
Randall,2021-06-04,2,
Randall,2021-06-05,3,
Randall,2021-06-06,2,
Randall,2021-06-07,3,
Randall,2021-06-08,2,
Randall,2021-06-09,8,
Randall,2021-06-10,2,
Randall,2021-06-11,5,
Randall,2021-06-12,2,
