"Metro_Area","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"Metro",2020-08-01,"Raw",1017.29323308271,470.913205537806,749.792033658979,711.297122071966,788.286945245992,586.959569362284,491.364230566235,682.554908158333
"Metro",2020-08-02,"Raw",646.491228070175,1127.82215122471,738.309220826014,699.37602500193,777.242416650097,592.623296909053,496.33841212343,688.908181694675
"Metro",2020-08-03,"Raw",596.616541353383,1303.03514376997,726.447452136465,686.999276656738,765.895627616192,598.021385045074,500.952756073472,695.090014016677
"Metro",2020-08-04,"Raw",891.604010025063,548.961661341853,714.248964096619,674.222326143187,754.275602050051,603.140659414524,505.211860871709,701.069457957339
"Metro",2020-08-05,"Raw",887.092731829574,696.099574014909,701.755993212761,661.101842557304,742.410143868217,607.967945661577,509.122042057977,706.813849265178
"Metro",2020-08-06,"Raw",674.436090225564,447.590521831736,689.010775991175,647.695281285916,730.326270696434,612.490069430408,512.690886209979,712.289252650838
"Metro",2020-08-07,"Raw",648.997493734336,2181.92225772098,676.055548938148,634.06050079367,718.050597082625,616.693856365193,515.926821690984,717.460891039402
"Metro",2020-08-08,"Raw",650.877192982456,1882.65441959531,662.932548559963,620.255440035308,705.609657084619,620.566132110105,518.838716725884,722.293547494327
"Metro",2020-08-09,"Raw",483.959899749373,1568.25079872204,649.684011362907,606.337857387151,693.030165338664,624.093722309321,521.435509844671,726.751934773971
"Metro",2020-08-10,"Raw",407.894736842105,1573.84185303514,636.352173853265,592.365125423918,680.339222282612,627.263452607015,523.725872812368,730.801032401661
"Metro",2020-08-11,"Raw",863.784461152882,967.718317358892,622.979272537322,578.394071909048,667.564473165595,630.062148647362,525.717902071496,734.406395223227
"Metro",2020-08-12,"Raw",592.606516290727,405.01863684771,609.607543921362,564.480855478693,654.734232364031,632.476636074537,527.418831483065,737.534440666008
"Metro",2020-08-13,"Raw",606.892230576441,1811.20873269436,596.279224511671,550.680863979706,641.877585043637,634.493740532715,528.83475663034,740.152724435089
"Metro",2020-08-14,"Raw",638.095238095238,784.305111821086,583.036550814535,537.04862360343,629.024478025641,636.100287666071,529.970358918024,742.230216414117
"Metro",2020-08-15,"Raw",859.52380952381,-97.510649627263,569.921759336239,523.637707294218,616.20581137826,637.28310311878,530.828615891,743.737590346559
"Metro",2020-08-16,"Raw",663.032581453634,792.07933972311,556.977086583067,510.500630989529,603.453542176605,638.029012535017,531.410482343438,744.647542726596
"Metro",2020-08-17,"Raw",220.676691729323,940.814696485623,544.241394825259,497.684580483325,590.798209167194,638.326590535252,531.71497057473,744.938210495774
"Metro",2020-08-18,"Raw",712.531328320802,741.866347177849,531.724177982282,485.1992705148,578.249085449765,638.179634311417,531.742127990007,744.617140632826
"Metro",2020-08-19,"Raw",637.218045112782,192.97124600639,519.419808397249,473.034243157597,565.805373636901,637.59977906032,531.490824268622,743.708733852018
"Metro",2020-08-20,"Raw",444.360902255639,752.489350372737,507.322533441565,461.17732079496,553.46774608817,636.598724755672,530.956824687401,742.240624823942
"Metro",2020-08-21,"Raw",423.558897243108,593.091054313099,495.426600486639,449.614802090814,541.238398882464,635.188171371182,530.132860755108,740.243481987256
"Metro",2020-08-22,"Raw",393.233082706767,581.389776357827,483.726256903877,438.331460721834,529.12105308592,633.37981888056,529.008679144869,737.750958616251
"Metro",2020-08-23,"Raw",305.639097744361,15.1624068157614,472.215750064686,427.31050803143,517.120992097942,631.185367257516,527.571071549931,734.799662965102
"Metro",2020-08-24,"Raw",200,78.1283280085197,460.889327340473,416.533527829629,505.245126851318,628.61651647576,525.803907591179,731.429125360341
"Metro",2020-08-25,"Raw",560.902255639098,558.413205537806,449.741236102646,405.980393281268,493.502078924023,625.684966509001,523.688196575772,727.681736442231
"Metro",2020-08-26,"Raw",474.937343358396,1196.61874334398,438.76572372261,395.629179093878,481.902268351341,622.40241733095,521.202208037931,723.602626623969
"Metro",2020-08-27,"Raw",474.436090225564,336.009052183174,427.957037571772,385.456087186281,470.457987957264,618.780568915315,518.32168468377,719.23945314686
"Metro",2020-08-28,"Raw",314.160401002506,597.484025559105,417.309425021541,375.435410615129,459.183439427954,614.831121235807,515.020183192884,714.64205927873
"Metro",2020-08-29,"Raw",425.563909774436,146.884984025559,406.817133443323,365.539568180423,448.094698706222,610.565774266135,511.26957636544,709.86197216683
"Metro",2020-08-30,"Raw",348.872180451128,257.25505857295,396.474410208524,355.739249354511,437.209571062536,605.99622798001,507.040742122061,704.951713837958
"Metro",2020-08-31,"Raw",228.696741854637,162.220447284345,386.275502688551,346.003713243712,426.547292133391,601.13418235114,502.304448930226,699.963915772054
"Metro",2020-09-01,"Raw",347.744360902256,97.5638977635783,376.214658254812,336.301282087177,416.128034422448,595.991337353237,497.03242265704,694.950252049433
"Metro",2020-09-02,"Raw",372.932330827068,700.479233226837,366.286124278714,326.600054503096,405.972194054332,590.579392960008,491.19854833986,689.960237580157
"Metro",2020-09-03,"Raw",330.451127819549,252.422790202343,356.484148131663,316.868832704186,396.09946355914,584.910049145165,484.780126851217,685.039971439113
"Metro",2020-09-04,"Raw",360.15037593985,698.149627263046,346.802977185066,307.078212032138,386.527742337994,578.995005882417,477.759078827055,680.23093293778
"Metro",2020-09-05,"Raw",370.676691729323,186.581469648562,337.236858810331,297.20172883108,377.271988789582,572.845963145474,470.122975559755,675.568950731194
"Metro",2020-09-06,"Raw",244.611528822055,144.395633652822,327.780040378864,287.216920413781,368.343160343947,566.474620908045,461.865785674499,671.083456141592
"Metro",2020-09-07,"Raw",151.127819548872,667.851437699681,318.426769262072,277.106138299223,359.747400224921,559.892679143841,452.98825852517,666.797099762512
"Metro",2020-09-08,"Raw",42.8571428571429,57.321618743344,309.171292831362,266.856985710845,351.485599951879,553.111837826571,443.497914322401,662.72576133074
"Metro",2020-09-09,"Raw",348.370927318296,786.261980830671,300.007858458141,256.462318760234,343.553398156048,546.143796929944,433.408665270038,658.87892858985
"Metro",2020-09-10,"Raw",335.714285714286,34.1719914802982,290.930713513816,245.919836358263,335.941590669369,539.000256427671,422.740138205898,655.260374649445
"Metro",2020-09-11,"Raw",260.526315789474,668.264110756124,281.934105369794,235.231357476144,328.636853263444,531.692916293462,411.51679759786,651.869034989063
"Metro",2020-09-12,"Raw",343.483709273183,1113.83120340788,273.012281397482,224.401923815194,321.622638979769,524.233476501025,399.766974824651,648.699978177399
"Metro",2020-09-13,"Raw",108.270676691729,-745.5404685836,264.159488968286,213.4388657827,314.880112153873,516.633637024072,387.521898414175,645.745375633969
"Metro",2020-09-14,"Raw",196.616541353383,329.818956336528,255.369975453614,202.350939957271,308.389010949957,508.905097836311,374.81479716447,642.995398508152
"Metro",2020-09-15,"Raw",410.275689223058,583.439829605964,246.637988224873,191.147603874129,302.128372575618,501.059558911452,361.680121420784,640.43899640212
"Metro",2020-09-16,"Raw",260.15037593985,525.412673056443,237.95777465347,179.838453820508,296.077095486432,493.108720223206,348.152903195022,638.064537251389
"Metro",2020-09-17,"Raw",309.774436090226,1183.35995740149,229.323582110811,168.432821697232,290.214342524389,485.064281745281,334.268256672133,635.860306818429
"Metro",2020-09-18,"Raw",313.408521303258,1444.51544195953,220.729657968303,156.939509752461,284.519806184146,476.937943451388,320.061007944761,633.814878958015
"Metro",2020-09-19,"Raw",254.511278195489,297.697018104366,212.170249597354,145.36663505799,278.973864136718,468.741405315237,305.565435939089,631.917374691384
"Metro",2020-09-20,"Raw",167.669172932331,262.619808306709,203.63960436937,133.721555524965,273.557653213775,460.486367310536,290.81510406641,630.157630554663
"Metro",2020-09-21,"Raw",104.636591478697,557.454739084132,195.131969655758,122.010852839997,268.25308647152,452.184529410997,275.842762649425,628.526296172569
"Metro",2020-09-22,"Raw",310.651629072682,836.395101171459,186.641592827926,110.240352641025,263.042833014827,443.847591590328,260.680304340089,627.014878840568
"Metro",2020-09-23,"Raw",206.265664160401,1002.46272630458,178.162721257279,98.4151671767355,257.910275337823,435.48725382224,245.358757621637,625.615750022844
"Metro",2020-09-24,"Raw",328.320802005013,-100,169.689602315226,86.5397499468737,252.839454683579,427.115216080442,229.908306461738,624.322125699147
"Non-Metro",2020-04-22,"Raw",0,0,161.300174169154,-72.5651662050546,395.165514543363,-118.683413521579,-342.028908131708,104.662081088551
"Non-Metro",2020-04-23,"Raw",90.9090909090909,90.3462749213012,151.440472400655,-73.0402493628559,375.921194164166,-124.272074464889,-340.256580447318,91.7124315175389
"Non-Metro",2020-04-24,"Raw",37.6623376623377,-442.497376705142,141.612550943837,-73.6384010503107,356.863502937984,-129.86175509267,-338.605821715102,78.8823115297617
"Non-Metro",2020-04-25,"Raw",14.2857142857143,-184.05036726128,131.848190110379,-74.3554567456525,338.051836966411,-135.453475089391,-337.095015417304,66.1880652385226
"Non-Metro",2020-04-26,"Raw",62.3376623376623,-110.073452256034,122.179170211963,-75.1889508600592,319.547291283985,-141.048254139521,-335.743153870969,53.6466455919265
"Non-Metro",2020-04-27,"Raw",37.6623376623377,-169.464847848898,112.637271560268,-76.1382427545014,301.412785875037,-146.647111927532,-334.569826105892,41.2756022508284
"Non-Metro",2020-04-28,"Raw",140.25974025974,-83.8405036726128,103.254274466974,-77.2046081722626,283.713157106211,-152.251068137892,-333.59518245776,29.093046181976
"Non-Metro",2020-04-29,"Raw",-23.3766233766234,-179.643231899265,94.0619592437637,-78.3912693898586,266.515187877386,-157.861142455072,-332.839867994736,17.1175830845923
"Non-Metro",2020-04-30,"Raw",145.454545454545,-164.323189926548,85.0921062023154,-79.7033273248167,249.887539729447,-163.478354563541,-332.324915512136,5.36820638505375
"Non-Metro",2020-05-01,"Raw",115.584415584416,-105.14165792235,76.3764956543103,-81.1475474758521,233.900538784473,-169.10372414777,-332.071587691227,-6.13586060431399
"Non-Metro",2020-05-02,"Raw",38.961038961039,-156.348373557188,67.9469079114287,-82.7319405541054,218.625756376963,-174.738270892229,-332.101157453901,-17.3753843305573
"Non-Metro",2020-05-03,"Raw",50.6493506493507,-117.838405036726,59.8351232853508,-84.4650712234717,204.135317794173,-180.383014481388,-332.434616007512,-28.3314129552639
"Non-Metro",2020-05-04,"Raw",-48.0519480519481,-216.579223504722,52.0729220877572,-86.3550297434604,190.500873918975,-186.038974599716,-333.092300120059,-38.985649079372
"Non-Metro",2020-05-05,"Raw",125.974025974026,-100,44.6920846303281,-88.4080185808812,177.792187841537,-191.707170931683,-334.09343438603,-49.3209074773364
"Non-Metro",2020-05-06,"Raw",35.0649350649351,-238.824763903463,37.7243912247441,-90.6265466655988,166.075329115087,-197.38862316176,-335.45559111903,-59.32165520449
"Non-Metro",2020-05-07,"Raw",59.7402597402597,-275.970619097587,31.2016221826854,-93.0072922201253,155.410536585496,-203.084350974416,-337.194080188749,-68.9746217600836
"Non-Metro",2020-05-08,"Raw",83.1168831168831,-285.519412381952,25.1555578158324,-95.538786829533,145.849902461198,-208.795374054122,-339.321293148592,-78.2694549596524
"Non-Metro",2020-05-09,"Raw",-9.09090909090909,-343.336831059811,19.6179784358655,-98.1991708811118,137.435127752843,-214.522712085347,-341.84603906463,-87.1993851060641
"Non-Metro",2020-05-10,"Raw",79.2207792207792,-301.364113326338,14.6206643544651,-100.95434184365,130.19567055258,-220.267384752561,-344.772921311088,-95.7618481940336
"Non-Metro",2020-05-11,"Raw",-77.9220779220779,-209.024134312697,10.1953958833116,-103.756824911739,124.147616678362,-226.030411740235,-348.101812309326,-103.959011171143
"Non-Metro",2020-05-12,"Raw",122.077922077922,-279.643231899265,6.37395333408536,-106.545615933554,119.293522601725,-231.812812732837,-351.827483792289,-111.798141673385
"Non-Metro",2020-05-13,"Raw",170.12987012987,-187.408184679958,3.18811701846671,-109.247086413902,115.623320450836,-237.615607414839,-355.939441659837,-119.291773169841
"Non-Metro",2020-05-14,"Raw",105.194805194805,-284.994753410283,0.669667248136271,-111.776843476173,113.116177972446,-243.43981547071,-360.421996766512,-126.457634174907
"Non-Metro",2020-05-15,"Raw",115.584415584416,-143.336831059811,-1.14961566522599,-114.042267507813,111.743036177361,-249.28645658492,-365.254578408942,-133.318334760897
"Non-Metro",2020-05-16,"Raw",51.9480519480519,-220.566631689402,-2.23795140993926,-115.945359505796,111.469456685917,-255.156550441939,-370.412270321415,-139.900830562463
"Non-Metro",2020-05-17,"Raw",-7.79220779220779,-230.430220356768,-2.56355967432345,-117.385536429892,112.258417081245,-261.051116726237,-375.866525023487,-146.235708428987
"Non-Metro",2020-05-18,"Raw",-24.6753246753247,-420.146904512067,-2.09466014669823,-118.262095797473,114.072775504077,-266.971175122283,-381.585996050802,-152.356354193765
"Non-Metro",2020-05-19,"Raw",138.961038961039,-393.284365162644,-0.799472515382824,-118.476189029019,116.877243998253,-272.917745314549,-387.537421501955,-158.298069127144
"Non-Metro",2020-05-20,"Raw",201.298701298701,-226.442812172088,1.35378353130296,-117.932256710242,120.639823772848,-278.891846987504,-393.686496362837,-164.097197612171
"Non-Metro",2020-05-21,"Raw",68.8311688311688,-271.878279118573,4.39688830503925,-116.538963415494,125.332740025573,-284.894499825617,-399.998682895075,-169.790316756159
"Non-Metro",2020-05-22,"Raw",90.9090909090909,-240.398740818468,8.36162211750668,-114.209718090598,130.932962325611,-290.926723513359,-406.43992447718,-175.413522549539
"Non-Metro",2020-05-23,"Raw",59.7402597402597,-100,13.2797652803856,-110.862883412464,137.422413973236,-296.9895377352,-412.977245130039,-181.001830340362
"Non-Metro",2020-05-24,"Raw",-38.961038961039,-335.676810073452,19.1830981053563,-106.421774201747,144.78797041246,-303.08396217561,-419.579231844868,-186.588692506352
"Non-Metro",2020-05-25,"Raw",-40.2597402597403,-266.631689401889,26.1034009040993,-100.814530845933,153.021332654132,-309.211016519058,-426.216408256567,-192.20562478155
"Non-Metro",2020-05-26,"Raw",41.5584415584416,-300.734522560336,34.0724539882948,-93.9739361987714,162.118844175361,-315.371720450015,-432.861515776045,-197.881925123985
"Non-Metro",2020-05-27,"Raw",400,-316.264428121721,43.1220376696234,-85.8372280290611,172.081303368308,-321.56709365295,-439.489722407617,-203.644464898283
"Non-Metro",2020-05-28,"Raw",477.922077922078,-246.274921301154,53.2839322597654,-76.3459459526885,182.913810472219,-327.798155812334,-446.078780939382,-209.517530685286
"Non-Metro",2020-05-29,"Raw",141.558441558442,-266.631689401889,64.5899180704011,-65.4458425778851,194.625678718687,-334.065926612636,-452.609157915212,-215.52269531006
"Non-Metro",2020-05-30,"Raw",187.012987012987,-400.944386149003,77.071775413211,-53.0868832394818,207.230434065904,-340.371425738327,-459.064153592298,-221.678697884356
"Non-Metro",2020-05-31,"Raw",950.649350649351,-196.85204616999,90.7610371260104,-39.2236802285658,220.745754480587,-346.715663625856,-465.430065428763,-228.001261822949
"Non-Metro",2020-06-01,"Raw",-58.4415584415584,-1250.99685204617,105.659291708947,-23.8544436772252,235.173027095118,-353.09853170126,-471.700364779605,-234.496698622915
"Non-Metro",2020-06-02,"Raw",401.298701298701,-536.096537250787,121.709971303886,-7.05735995933422,250.477302567107,-359.51774810589,-477.87934926761,-241.15614694417
"Non-Metro",2020-06-03,"Raw",315.584415584416,-471.983210912907,138.84982625834,11.077384519299,266.62226799738,-365.970781284556,-483.974641726825,-247.966920842287
"Non-Metro",2020-06-04,"Raw",220.779220779221,-186.568730325289,157.015606919818,30.4567328137061,283.57448102593,-372.455099682071,-489.995882134425,-254.914317229717
"Non-Metro",2020-06-05,"Raw",124.675324675325,-270.828961175236,176.144063635832,50.985073594339,301.303053677325,-378.968171743246,-495.954379752545,-261.981963733947
"Non-Metro",2020-06-06,"Raw",84.4155844155844,-327.806925498426,196.171946753893,72.564523317397,319.779370190388,-385.507465912892,-501.862795182473,-269.152136643312
"Non-Metro",2020-06-07,"Raw",-53.2467532467533,-692.02518363064,217.03600662151,95.0952042690315,338.976808973989,-392.070450635821,-507.734841229446,-276.406060042196
"Non-Metro",2020-06-08,"Raw",-98.7012987012987,-247.84889821616,238.672993586196,118.47554774823,358.870439424162,-398.654594356845,-513.584993120742,-283.724195592948
"Non-Metro",2020-06-09,"Raw",168.831168831169,-362.434417628541,261.01965799546,142.602651572017,379.436664418903,-405.257365520774,-519.428200332403,-291.086530709146
"Non-Metro",2020-06-10,"Raw",238.961038961039,-100,284.012750196814,167.372720518362,400.652779875266,-411.876232572422,-525.279594137061,-298.472871007783
"Non-Metro",2020-06-11,"Raw",94.8051948051948,-322.350472193074,307.589020537768,192.681616023715,422.496425051822,-418.508663956598,-531.154187058341,-305.863140854856
"Non-Metro",2020-06-12,"Raw",181.818181818182,-117.94333683106,331.685219365834,218.425535988656,444.944902743011,-425.152128118116,-537.066562749203,-313.237693487028
"Non-Metro",2020-06-13,"Raw",177.922077922078,-199.790136411333,356.238097028521,244.501835503653,467.974358553389,-431.804093501785,-543.030557393412,-320.577629610159
"Non-Metro",2020-06-14,"Raw",-9.09090909090909,-378.279118572928,381.184403873341,270.8099837223,491.558824024381,-438.462028552419,-549.058936480556,-327.865120624282
"Non-Metro",2020-06-15,"Raw",-54.5454545454545,-366.526757607555,406.460890247804,297.252631085627,515.66914940998,-445.123401714827,-555.163073561833,-335.083729867821
"Non-Metro",2020-06-16,"Raw",1367.53246753247,-399.580272822665,432.004306499421,323.736736474239,540.271876524603,-451.785681433823,-561.352640111256,-342.218722756389
"Non-Metro",2020-06-17,"Raw",262.337662337662,-317.733473242392,457.751402975704,350.17467958472,565.328126366688,-458.446336154216,-567.635317592259,-349.257354716174
"Non-Metro",2020-06-18,"Raw",267.532467532468,-360.020986358867,483.638930024162,376.485265631496,590.792594416827,-465.10283432082,-574.016543946951,-356.189124694689
"Non-Metro",2020-06-19,"Raw",346.753246753247,-370.93389296957,509.603637992306,402.59452356966,616.612752414953,-471.752644378446,-580.4993067183,-363.005982038592
"Non-Metro",2020-06-20,"Raw",250.649350649351,-468.94018887723,535.582277227649,428.436209920325,642.728344534973,-478.393234771904,-587.083993737028,-369.702475806781
"Non-Metro",2020-06-21,"Raw",75.3246753246753,-677.964323189927,561.511598077699,453.951958525081,669.071237630317,-485.022073946007,-593.768309782078,-376.275838109937
