"PHR","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"6/5S - Houston PHR",2020-06-27,"Raw",749.193548387097,827.330677290837,503.247296299112,462.910152475909,543.584440122315,364.35502837956,269.075571078812,459.634485680308
"6/5S - Houston PHR",2020-06-28,"Raw",430.241935483871,601.314741035857,522.083291004076,481.807606920177,562.358975087976,371.174438695583,276.045495650194,466.303381740971
"6/5S - Houston PHR",2020-06-29,"Raw",28.6290322580645,399.96015936255,540.727539051749,500.426726148861,581.028351954637,377.986055177821,282.933748915059,473.038361440584
"6/5S - Houston PHR",2020-06-30,"Raw",698.790322580645,423.386454183267,559.139126561566,518.727322450786,599.550930672346,384.782833847366,289.732563034977,479.833104659755
"6/5S - Houston PHR",2020-07-01,"Raw",487.903225806452,420.517928286853,577.277139652962,536.671025129003,617.883254176922,391.557730725307,296.435513880026,486.679947570588
"6/5S - Houston PHR",2020-07-02,"Raw",794.758064516129,436.135458167331,595.100664445374,554.221186807581,635.980142083166,398.303701832733,303.037511142852,493.569892522615
"6/5S - Houston PHR",2020-07-03,"Raw",788.709677419355,366.613545816733,612.568787058236,571.342731322053,653.794842794418,405.013703190735,309.53476193977,500.492644441699
"6/5S - Houston PHR",2020-07-04,"Raw",778.629032258065,559.282868525896,629.640593610983,588.001956986688,671.279230235279,411.6806908204,315.924709539069,507.436672101732
"6/5S - Houston PHR",2020-07-05,"Raw",177.016129032258,564.701195219124,646.275170223053,604.166311604728,688.384028841378,418.29762074282,322.205949885897,514.389291599744
"6/5S - Houston PHR",2020-07-06,"Raw",250,517.250996015936,662.431603013879,619.80415576585,705.059050261909,424.857448979084,328.378129376406,521.336768581762
"6/5S - Houston PHR",2020-07-07,"Raw",973.790322580645,503.187250996016,678.068978102898,634.884529128614,721.253427077183,431.353131550281,334.441827814103,528.264435286459
"6/5S - Houston PHR",2020-07-08,"Raw",862.5,577.96812749004,693.146381609545,649.376931199548,736.915832019543,437.777624477501,340.398430639629,535.156818315373
"6/5S - Houston PHR",2020-07-09,"Raw",531.451612903226,236.812749003984,707.622899653256,663.25112436185,751.994674944662,444.123883781834,346.249994378478,541.99777318519
"6/5S - Houston PHR",2020-07-10,"Raw",725,489.043824701195,721.457618353466,676.476963233885,766.438273473046,450.384865484369,351.99910884514,548.770622123598
"6/5S - Houston PHR",2020-07-11,"Raw",684.677419354839,528.804780876494,734.60962382961,689.024251296118,780.194996363102,456.553525606195,357.648759040135,555.458292172255
"6/5S - Houston PHR",2020-07-12,"Raw",926.209677419355,454.342629482072,747.038002201124,700.862623329478,793.21338107277,462.622820168403,363.202188948054,562.043451388752
"6/5S - Houston PHR",2020-07-13,"Raw",555.645161290323,504.980079681275,758.701839587444,711.96145058266,805.442228592228,468.585705192082,368.662768655572,568.508641728592
"6/5S - Houston PHR",2020-07-14,"Raw",1247.58064516129,244.741035856574,769.560222108005,722.289764630298,816.830679585712,474.435136698321,374.033865413021,574.836407983622
"6/5S - Houston PHR",2020-07-15,"Raw",1051.20967741935,358.446215139442,779.572235882243,731.816195437017,827.328276327469,480.164070708211,379.318718500241,581.009422916181
"6/5S - Houston PHR",2020-07-16,"Raw",1053.62903225806,14.1035856573705,788.696967029593,740.508919029388,836.885015029798,485.76546324284,384.520317049883,587.010609435797
"6/5S - Houston PHR",2020-07-17,"Raw",982.258064516129,446.01593625498,796.89350166949,748.335610239447,845.451393099533,491.232270323298,389.641279336179,592.823261310417
"6/5S - Houston PHR",2020-07-18,"Raw",1047.58064516129,410.438247011952,804.12092592137,755.263396087381,852.97845575536,496.557447970675,394.683731449305,598.431164492046
"6/5S - Houston PHR",2020-07-19,"Raw",684.274193548387,657.768924302789,810.33832590467,761.258805412694,859.417846396646,501.733952206061,399.649182730319,603.818721681804
"6/5S - Houston PHR",2020-07-20,"Raw",357.258064516129,364.183266932271,815.504787738823,766.287710260169,864.721865217477,506.754739050545,404.538394819322,608.971083281769
"6/5S - Houston PHR",2020-07-21,"Raw",914.91935483871,405.059760956175,819.579397543266,770.315254210137,868.843540876394,511.612764525217,409.351240647907,613.874288402527
"6/5S - Houston PHR",2020-07-22,"Raw",794.758064516129,294.02390438247,822.533779332142,773.316700824704,871.750857839581,516.302502287791,414.086299897687,618.518704677896
"6/5S - Houston PHR",2020-07-23,"Raw",776.209677419355,330,824.389708698432,775.310186188385,873.469231208478,520.824496542487,418.740010952354,622.90898213262
"6/5S - Houston PHR",2020-07-24,"Raw",780.645161290323,389.083665338645,825.18149912982,776.323966365733,874.039031893908,525.180809130146,423.307518795292,627.054099465001
"6/5S - Houston PHR",2020-07-25,"Raw",656.854838709677,397.689243027888,824.943464113996,776.385568955174,873.501359272817,529.373501891614,427.783079506894,630.963924276334
"6/5S - Houston PHR",2020-07-26,"Raw",661.693548387097,395.378486055777,823.709917138645,775.521864758891,871.897969518399,533.404636667733,432.160201241131,634.649072094335
"6/5S - Houston PHR",2020-07-27,"Raw",583.467741935484,281.115537848606,821.515171691456,773.759126396874,869.271216986039,537.276275299347,436.431775149268,638.120775449427
"6/5S - Houston PHR",2020-07-28,"Raw",713.709677419355,39.0836653386454,818.393541260116,771.123078675637,865.664003844594,540.9904796273,440.590199920055,641.390759334545
"6/5S - Houston PHR",2020-07-29,"Raw",818.951612903226,186.772908366534,814.379339332311,767.638945205283,861.119733459339,544.549311492435,444.627503084453,644.471119900417
"6/5S - Houston PHR",2020-07-30,"Raw",770.967741935484,399.521912350598,809.506879395729,763.331495655564,855.682263135893,547.954832735595,448.535461710861,647.374203760329
"6/5S - Houston PHR",2020-07-31,"Raw",836.693548387097,304.980079681275,803.810474938057,758.225098083351,849.395851792763,551.209105197624,452.305724571937,650.112485823311
"6/5S - Houston PHR",2020-08-01,"Raw",1033.46774193548,290.956175298805,797.324439446982,752.343780867817,842.305098026147,554.314190719366,455.9299372763,652.698444162433
"6/5S - Houston PHR",2020-08-02,"Raw",839.516129032258,1161.79282868526,790.083086410192,745.711308851335,834.45486396905,557.272151141665,459.399871213376,655.144431069953
"6/5S - Houston PHR",2020-08-03,"Raw",645.161290322581,1695.01992031872,782.120729315374,738.351278171078,825.89018045967,560.085048305363,462.70755645193,657.462540158796
"6/5S - Houston PHR",2020-08-04,"Raw",812.903225806452,521.553784860558,773.471681650215,730.28723381945,816.656129480981,562.754944051304,465.845417969821,659.664470132787
"6/5S - Houston PHR",2020-08-05,"Raw",988.306451612903,527.011952191235,764.170256902403,721.542813015873,806.797700788933,565.283900220332,468.806413796658,661.761386644006
"6/5S - Houston PHR",2020-08-06,"Raw",913.306451612903,416.334661354582,754.250768559624,712.141915847076,796.359621272172,567.673978653291,471.584172861367,663.763784445215
"6/5S - Houston PHR",2020-08-07,"Raw",606.048387096774,1810.796812749,743.747530109565,702.108902237348,785.386157981782,569.927241191024,474.173129607584,665.681352774463
"6/5S - Houston PHR",2020-08-08,"Raw",697.177419354839,2378.24701195219,732.694855039915,691.46881116875,773.920898911079,572.045749674374,476.568651837007,667.52284751174
"6/5S - Houston PHR",2020-08-09,"Raw",800.403225806452,927.011952191235,721.127056838359,680.247594398456,762.006519278262,574.031565944185,478.767157833983,669.295974054387
"6/5S - Houston PHR",2020-08-10,"Raw",476.612903225807,1324.98007968127,709.078448992586,668.472353161738,749.684544823435,575.886751841301,480.766218677187,671.007285005414
"6/5S - Houston PHR",2020-08-11,"Raw",672.177419354839,698.127490039841,696.583344990283,656.171563162903,736.995126817664,577.613369206564,482.564641802016,672.662096611113
"6/5S - Houston PHR",2020-08-12,"Raw",618.951612903226,326.693227091633,683.676058319137,643.37527130994,723.976845328333,579.21347988082,484.162532357356,674.264427404284
"6/5S - Houston PHR",2020-08-13,"Raw",635.887096774194,892.509960159363,670.390902466835,630.115247826635,710.666557107034,580.689145704911,485.561329683798,675.816961726024
"6/5S - Houston PHR",2020-08-14,"Raw",632.661290322581,300.159362549801,656.762190921063,616.425079948785,697.099301893342,582.04242851968,486.763817270069,677.321039769292
"6/5S - Houston PHR",2020-08-15,"Raw",782.661290322581,-98.804780876494,642.824237169511,602.340198245101,683.308276093921,583.275390165972,487.774105730044,678.7766746019
"6/5S - Houston PHR",2020-08-16,"Raw",800.806451612903,812.868525896414,628.611354699864,587.897833008041,669.324876391687,584.390092484629,488.597589571817,680.182595397442
"6/5S - Houston PHR",2020-08-17,"Raw",160.483870967742,1402.27091633466,614.15785699981,573.136905024344,655.178808975277,585.388597316496,489.240879684398,681.536314948594
"6/5S - Houston PHR",2020-08-18,"Raw",562.096774193548,1975.37848605578,599.498057557037,558.097861121086,640.898253992988,586.272966502416,489.711714438958,682.834218565874
"6/5S - Houston PHR",2020-08-19,"Raw",658.870967741935,216.374501992032,584.666269859231,542.822469168042,626.510070550419,587.045261883232,490.018853008152,684.071670758312
"6/5S - Houston PHR",2020-08-20,"Raw",536.290322580645,499.96015936255,569.696807394079,527.353589152977,612.040025635181,587.707545299788,490.171954902358,685.243135697218
"6/5S - Houston PHR",2020-08-21,"Raw",517.338709677419,732.231075697211,554.623983649269,511.734936544964,597.513030753575,588.261878592928,490.181449797067,686.342307388789
"6/5S - Houston PHR",2020-08-22,"Raw",482.258064516129,547.290836653386,539.482112112489,496.010851896733,582.953372328244,588.710323603495,490.058401507257,687.362245699733
"6/5S - Houston PHR",2020-08-23,"Raw",562.096774193548,-14.3426294820717,524.305506271425,480.226087238102,568.384925304747,589.054942172332,489.814369504107,688.295514840557
"6/5S - Houston PHR",2020-08-24,"Raw",268.951612903226,90.597609561753,509.128479613764,464.425616031073,553.831343196454,589.297796140284,489.461270733185,689.134321547382
"6/5S - Houston PHR",2020-08-25,"Raw",765.725806451613,753.98406374502,493.985345627194,448.654469900687,539.316221353701,589.440947348193,489.011243750935,689.870650945451
"6/5S - Houston PHR",2020-08-26,"Raw",419.758064516129,1347.84860557769,478.910417799402,432.957602406707,524.863233192097,589.486457636904,488.476516411297,690.496398862511
"6/5S - Houston PHR",2020-08-27,"Raw",422.58064516129,215.298804780877,463.938009618075,417.379777938665,510.496241297485,589.436388847259,487.86927755761,691.003500136908
"6/5S - Houston PHR",2020-08-28,"Raw",185.887096774194,574.143426294821,449.102434570901,401.965482386121,496.239386755681,589.292802820102,487.201552441817,691.384053198387
"6/5S - Houston PHR",2020-08-29,"Raw",788.306451612903,59.6414342629482,434.438006145566,386.758851436218,482.117160854914,589.057761396278,486.485080922668,691.630441869887
"6/5S - Houston PHR",2020-08-30,"Raw",656.451612903226,139.123505976096,419.979037829758,371.803612014325,468.154463645192,588.733326416629,485.731196892306,691.735455940952
"6/5S - Houston PHR",2020-08-31,"Raw",379.032258064516,152.350597609562,405.759843111164,357.143032339603,454.376653882726,588.321559721999,484.950706840165,691.692412603832
"6/5S - Houston PHR",2020-09-01,"Raw",363.306451612903,145.139442231076,391.814735477472,342.81987616444,440.809594790504,587.824523153231,484.15376497097,691.495281335492
"6/5S - Houston PHR",2020-09-02,"Raw",400.806451612903,1422.90836653386,378.178028416368,328.876356882049,427.479699950688,587.244278551169,483.349741832259,691.13881527008
